pitch_type,player_name,batter,description,hit_speed,hit_angle
FF,Edwin Jackson,516416,Ball,null,null
CU,Edwin Jackson,516416,Ball,null,null
CH,Edwin Jackson,516416,Called Strike,null,null
FF,Edwin Jackson,516416,Ball,null,null
FF,Edwin Jackson,516416,Ball,null,null
FF,Edwin Jackson,571875,Called Strike,null,null
CU,Edwin Jackson,571875,Ball,null,null
FF,Edwin Jackson,571875,"In play, out(s)",87.8,43.18
SL,Edwin Jackson,502671,Foul,null,null
SL,Edwin Jackson,502671,"In play, out(s)",95.3,38.78
SL,Edwin Jackson,502671,Called Strike,null,null
SL,Edwin Jackson,456078,Ball In Dirt,null,null
SL,Edwin Jackson,456078,Swinging Strike,null,null
FF,Edwin Jackson,456078,"In play, run(s)",76.3,24.51
FF,Edwin Jackson,456078,Ball,null,null
SL,Edwin Jackson,456078,Ball,null,null
CH,Edwin Jackson,592273,Swinging Strike,null,null
SL,Edwin Jackson,592273,Foul,null,null
FF,Edwin Jackson,592273,Ball,null,null
SL,Edwin Jackson,592273,Swinging Strike,null,null
FF,Edwin Jackson,572008,Foul,null,null
CH,Edwin Jackson,572008,Ball,null,null
FF,Edwin Jackson,572008,"In play, out(s)",null,null
FF,Edwin Jackson,572008,Ball,null,null
FF,Edwin Jackson,593647,Swinging Strike,null,null
SL,Edwin Jackson,593647,Swinging Strike (Blocked),null,null
FF,Edwin Jackson,593647,Foul,null,null
SL,Edwin Jackson,593647,Ball,null,null
FF,Edwin Jackson,571745,"In play, out(s)",null,null
FF,Edwin Jackson,640463,Called Strike,null,null
FF,Edwin Jackson,640463,"In play, out(s)",null,null
FF,Edwin Jackson,640463,Ball,null,null
FF,Edwin Jackson,516416,Foul,null,null
SL,Edwin Jackson,516416,Foul,null,null
FF,Edwin Jackson,516416,"In play, out(s)",null,null
CU,Edwin Jackson,516416,Ball,null,null
CH,Edwin Jackson,516416,Ball,null,null
FF,Edwin Jackson,516416,Foul Tip,null,null
FF,Edwin Jackson,516416,Ball,null,null
SL,Edwin Jackson,516416,Foul,null,null
CU,Edwin Jackson,571875,Foul,null,null
FF,Edwin Jackson,571875,Ball,null,null
SL,Edwin Jackson,571875,Ball,null,null
FF,Edwin Jackson,571875,Ball,null,null
FF,Edwin Jackson,571875,Swinging Strike,null,null
SL,Edwin Jackson,571875,Ball,null,null
FF,Edwin Jackson,502671,Ball In Dirt,null,null
SL,Edwin Jackson,502671,"In play, run(s)",null,null
SL,Edwin Jackson,502671,Ball,null,null
FF,Edwin Jackson,456078,Ball,null,null
SL,Edwin Jackson,456078,Ball,null,null
FF,Edwin Jackson,456078,Called Strike,null,null
SL,Edwin Jackson,456078,Foul,null,null
FF,Edwin Jackson,456078,Swinging Strike,null,null
CH,Edwin Jackson,592273,Ball,null,null
FF,Edwin Jackson,592273,Swinging Strike,null,null
SL,Edwin Jackson,592273,Foul,null,null
FF,Edwin Jackson,592273,"In play, no out",null,null
FF,Edwin Jackson,592273,Ball,null,null
FF,Edwin Jackson,592273,Swinging Strike,null,null
SL,Edwin Jackson,592273,Ball,null,null
SL,Edwin Jackson,572008,Ball In Dirt,null,null
SL,Edwin Jackson,572008,Ball,null,null
SL,Edwin Jackson,572008,Swinging Strike,null,null
FF,Edwin Jackson,572008,"In play, out(s)",null,null
SL,Edwin Jackson,593647,Foul,null,null
FF,Edwin Jackson,593647,Ball,null,null
FF,Edwin Jackson,593647,Foul,null,null
CU,Edwin Jackson,593647,Called Strike,null,null
SL,Edwin Jackson,593647,"In play, out(s)",null,null
SL,Edwin Jackson,571745,Swinging Strike,null,null
FF,Edwin Jackson,571745,"In play, no out",null,null
FF,Edwin Jackson,571745,Ball,null,null
FF,Edwin Jackson,571745,Ball,null,null
FF,Edwin Jackson,640463,Ball In Dirt,null,null
CH,Edwin Jackson,640463,"In play, out(s)",null,null
