pitch_type,player_name,batter,description,hit_speed,hit_angle
FT,Jose Berrios,594809,"In play, out(s)",98,20.02
FT,Jose Berrios,641313,Called Strike,null,null
CU,Jose Berrios,641313,Ball,null,null
FT,Jose Berrios,641313,Called Strike,null,null
FF,Jose Berrios,641313,Called Strike,null,null
CU,Jose Berrios,641313,Ball,null,null
FT,Jose Berrios,547989,Ball,null,null
FT,Jose Berrios,547989,Hit By Pitch,null,null
CH,Jose Berrios,408047,Ball In Dirt,null,null
FT,Jose Berrios,408047,Ball,null,null
FT,Jose Berrios,408047,Ball,null,null
CU,Jose Berrios,408047,Called Strike,null,null
FT,Jose Berrios,408047,Swinging Strike,null,null
CH,Jose Berrios,408047,Ball In Dirt,null,null
CU,Jose Berrios,453943,Called Strike,null,null
FT,Jose Berrios,453943,"In play, out(s)",77.6,12.61
FT,Jose Berrios,488671,Ball,null,null
FT,Jose Berrios,488671,Swinging Strike,null,null
FT,Jose Berrios,488671,Swinging Strike,null,null
FT,Jose Berrios,488671,Ball,null,null
CU,Jose Berrios,488671,Ball,null,null
FF,Jose Berrios,488671,Called Strike,null,null
FT,Jose Berrios,570560,Swinging Strike,null,null
CU,Jose Berrios,570560,"In play, out(s)",94,34.8
CH,Jose Berrios,570560,Ball,null,null
FT,Jose Berrios,570560,Foul,null,null
CH,Jose Berrios,543776,Ball,null,null
FT,Jose Berrios,543776,Foul,null,null
CU,Jose Berrios,543776,"In play, out(s)",87.1,24.69
FT,Jose Berrios,543776,Ball,null,null
FT,Jose Berrios,543776,Called Strike,null,null
FT,Jose Berrios,543776,Foul,null,null
CU,Jose Berrios,543776,Foul,null,null
CU,Jose Berrios,594809,Ball,null,null
FT,Jose Berrios,594809,Called Strike,null,null
CU,Jose Berrios,594809,Ball,null,null
FT,Jose Berrios,594809,"In play, no out",75,22.9
FT,Jose Berrios,641313,"In play, out(s)",92.1,26.08
FT,Jose Berrios,466320,Ball,null,null
FT,Jose Berrios,466320,Ball,null,null
CH,Jose Berrios,466320,Ball,null,null
FT,Jose Berrios,466320,Ball,null,null
FT,Jose Berrios,547989,Ball,null,null
FT,Jose Berrios,547989,"In play, run(s)",92,18.01
CU,Jose Berrios,547989,Ball,null,null
FT,Jose Berrios,547989,Ball,null,null
CH,Jose Berrios,488671,Ball,null,null
FT,Jose Berrios,488671,Swinging Strike,null,null
CH,Jose Berrios,488671,Foul,null,null
FT,Jose Berrios,488671,"In play, out(s)",null,null
FT,Jose Berrios,543776,Ball,null,null
FT,Jose Berrios,543776,"In play, out(s)",76.5,48.12
FT,Jose Berrios,543776,Called Strike,null,null
CH,Jose Berrios,543776,Ball,null,null
FT,Jose Berrios,594809,"In play, out(s)",95.7,14.02
CH,Jose Berrios,641313,Ball,null,null
CH,Jose Berrios,641313,Foul,null,null
CU,Jose Berrios,641313,Ball,null,null
FT,Jose Berrios,641313,Called Strike,null,null
FT,Jose Berrios,641313,Called Strike,null,null
FT,Jose Berrios,466320,Ball,null,null
FT,Jose Berrios,466320,Ball,null,null
FF,Jose Berrios,466320,Foul,null,null
FT,Jose Berrios,466320,"In play, no out",79.8,1.82
FT,Jose Berrios,547989,Ball,null,null
FT,Jose Berrios,547989,Ball,null,null
FT,Jose Berrios,547989,Ball,null,null
FT,Jose Berrios,547989,Called Strike,null,null
CU,Jose Berrios,547989,Ball,null,null
FT,Jose Berrios,547989,Foul,null,null
FT,Jose Berrios,408047,Foul,null,null
FT,Jose Berrios,408047,Foul,null,null
CH,Jose Berrios,408047,"In play, out(s)",null,null
FT,Jose Berrios,408047,Foul,null,null
CU,Jose Berrios,408047,Foul,null,null
CU,Jose Berrios,408047,Foul,null,null
CH,Jose Berrios,408047,Ball,null,null
FT,Jose Berrios,570560,Ball,null,null
FF,Jose Berrios,570560,"In play, out(s)",null,null
FT,Jose Berrios,453943,Foul,null,null
CU,Jose Berrios,453943,Foul,null,null
FT,Jose Berrios,453943,Foul,null,null
CU,Jose Berrios,453943,Foul,null,null
FT,Jose Berrios,453943,Ball,null,null
CH,Jose Berrios,453943,"In play, no out",99.7,5.68
FT,Jose Berrios,408047,"In play, out(s)",85.5,-23.35
CU,Jose Berrios,408047,Called Strike,null,null
FT,Jose Berrios,408047,Ball,null,null
FT,Jose Berrios,466320,Ball,null,null
FT,Jose Berrios,466320,"In play, out(s)",89,53.46
FT,Jose Berrios,466320,Ball,null,null
FT,Jose Berrios,466320,Ball,null,null
FT,Jose Berrios,466320,Called Strike,null,null
FT,Jose Berrios,502481,Ball,null,null
FT,Jose Berrios,502481,Foul,null,null
FT,Jose Berrios,502481,Called Strike,null,null
FT,Jose Berrios,502481,Ball,null,null
CH,Jose Berrios,502481,"In play, out(s)",null,null
FT,Jose Berrios,593160,Foul,null,null
FT,Jose Berrios,593160,Ball,null,null
CH,Jose Berrios,593160,"In play, out(s)",58.6,44.93
FF,Jose Berrios,593160,Foul,null,null
FF,Jose Berrios,434778,Ball,null,null
FT,Jose Berrios,434778,Ball,null,null
FT,Jose Berrios,434778,"In play, out(s)",92.6,27.23
FT,Jose Berrios,434778,Ball,null,null
FT,Jose Berrios,434778,Called Strike,null,null
CH,Jose Berrios,521692,Ball,null,null
FF,Jose Berrios,521692,Ball,null,null
FF,Jose Berrios,521692,"In play, out(s)",83.4,64.81
FT,Jose Berrios,460086,Ball,null,null
FT,Jose Berrios,460086,"In play, out(s)",101.1,49.66
FF,Jose Berrios,460086,Ball,null,null
FT,Jose Berrios,449181,"In play, no out",null,null
FT,Jose Berrios,449181,Ball,null,null
FT,Jose Berrios,444876,Ball,null,null
CH,Jose Berrios,444876,"In play, out(s)",71.3,9.62
CU,Jose Berrios,444876,Swinging Strike,null,null
CU,Jose Berrios,596144,Ball,null,null
CH,Jose Berrios,596144,"In play, out(s)",79.4,58.1
CU,Jose Berrios,596144,Called Strike,null,null
FT,Jose Berrios,596144,Ball,null,null
FT,Jose Berrios,502481,Ball,null,null
FT,Jose Berrios,502481,Called Strike,null,null
FT,Jose Berrios,502481,Foul,null,null
FT,Jose Berrios,502481,Foul,null,null
FT,Jose Berrios,502481,Ball,null,null
FT,Jose Berrios,502481,Ball,null,null
FT,Jose Berrios,502481,Foul,null,null
FT,Jose Berrios,502481,Ball,null,null
CH,Jose Berrios,593160,Ball,null,null
FT,Jose Berrios,593160,Called Strike,null,null
CU,Jose Berrios,593160,Ball,null,null
FT,Jose Berrios,593160,"In play, no out",99.2,14.9
FT,Jose Berrios,543333,Foul,null,null
FT,Jose Berrios,543333,Ball,null,null
CH,Jose Berrios,543333,Ball,null,null
CH,Jose Berrios,543333,Swinging Strike (Blocked),null,null
FT,Jose Berrios,543333,"In play, run(s)",76.8,16.39
FT,Jose Berrios,434778,Foul,null,null
FT,Jose Berrios,434778,Ball,null,null
CH,Jose Berrios,434778,"In play, run(s)",null,null
FT,Jose Berrios,434778,Foul,null,null
CU,Jose Berrios,521692,"In play, out(s)",84.4,50.13
CU,Jose Berrios,521692,Called Strike,null,null
CH,Jose Berrios,460086,Swinging Strike,null,null
CH,Jose Berrios,460086,"In play, out(s)",100.2,-14.22
FT,Jose Berrios,460086,Ball,null,null
CH,Jose Berrios,460086,Swinging Strike,null,null
CU,Jose Berrios,449181,Ball,null,null
FT,Jose Berrios,449181,Swinging Strike,null,null
FT,Jose Berrios,449181,Hit By Pitch,null,null
CU,Jose Berrios,449181,Ball,null,null
CU,Jose Berrios,444876,Ball,null,null
CH,Jose Berrios,444876,Ball,null,null
CH,Jose Berrios,444876,Foul,null,null
FT,Jose Berrios,444876,"In play, out(s)",103.9,5.4
