pitch_type,player_name,batter,description,hit_speed,hit_angle
FF,Jose Quintana,523253,Swinging Strike,null,null
FF,Jose Quintana,523253,Ball,null,null
FF,Jose Quintana,523253,"In play, out(s)",78.3,33.61
FF,Jose Quintana,595281,Foul,null,null
FF,Jose Quintana,595281,Ball,null,null
FF,Jose Quintana,595281,Foul,null,null
CU,Jose Quintana,595281,Ball,null,null
FF,Jose Quintana,595281,Swinging Strike,null,null
FT,Jose Quintana,595281,"In play, out(s)",85,-28.49
FT,Jose Quintana,446334,Ball,null,null
FT,Jose Quintana,446334,Ball,null,null
FF,Jose Quintana,446334,Swinging Strike,null,null
FF,Jose Quintana,446334,Called Strike,null,null
CH,Jose Quintana,446334,Ball,null,null
FF,Jose Quintana,446334,Called Strike,null,null
FT,Jose Quintana,446334,Foul,null,null
FF,Jose Quintana,543543,Ball,null,null
FF,Jose Quintana,543543,Ball,null,null
FT,Jose Quintana,543543,Swinging Strike,null,null
FF,Jose Quintana,543543,Foul,null,null
CU,Jose Quintana,543543,Ball,null,null
FT,Jose Quintana,543543,Ball,null,null
FT,Jose Quintana,543484,Ball,null,null
FT,Jose Quintana,543484,Called Strike,null,null
FF,Jose Quintana,543484,Called Strike,null,null
CH,Jose Quintana,543484,Foul,null,null
FF,Jose Quintana,543484,Ball,null,null
CH,Jose Quintana,493351,Ball,null,null
FF,Jose Quintana,493351,Ball,null,null
FF,Jose Quintana,493351,"In play, run(s)",62.8,23.65
CU,Jose Quintana,592200,Called Strike,null,null
FT,Jose Quintana,592200,"In play, out(s)",93.2,17.43
FT,Jose Quintana,592200,Ball,null,null
CU,Jose Quintana,592200,Foul,null,null
FF,Jose Quintana,435064,Called Strike,null,null
CU,Jose Quintana,435064,Ball,null,null
CU,Jose Quintana,435064,Swinging Strike (Blocked),null,null
CU,Jose Quintana,435064,Swinging Strike,null,null
CU,Jose Quintana,435064,Ball In Dirt,null,null
CH,Jose Quintana,523253,Ball,null,null
FT,Jose Quintana,523253,Ball,null,null
FT,Jose Quintana,523253,Foul,null,null
FF,Jose Quintana,523253,Called Strike,null,null
FF,Jose Quintana,523253,Foul,null,null
CU,Jose Quintana,523253,Swinging Strike,null,null
CU,Jose Quintana,595281,Ball,null,null
FT,Jose Quintana,595281,"In play, no out",96.9,9.04
CU,Jose Quintana,595281,Called Strike,null,null
FF,Jose Quintana,595281,Swinging Strike,null,null
FF,Jose Quintana,446334,Called Strike,null,null
FT,Jose Quintana,446334,"In play, out(s)",105.8,7.99
FF,Jose Quintana,446334,Ball,null,null
CU,Jose Quintana,446334,Foul,null,null
FF,Jose Quintana,543543,Swinging Strike,null,null
CU,Jose Quintana,543543,Foul,null,null
CU,Jose Quintana,543543,Swinging Strike (Blocked),null,null
FT,Jose Quintana,572816,Foul,null,null
FT,Jose Quintana,572816,Swinging Strike,null,null
CU,Jose Quintana,572816,Called Strike,null,null
FT,Jose Quintana,543484,"In play, run(s)",105.7,21.15
CH,Jose Quintana,543484,Ball,null,null
CU,Jose Quintana,493351,Ball,null,null
CU,Jose Quintana,493351,Ball,null,null
CU,Jose Quintana,493351,Foul,null,null
FF,Jose Quintana,493351,Foul,null,null
CU,Jose Quintana,493351,Foul,null,null
FF,Jose Quintana,493351,Foul,null,null
FF,Jose Quintana,493351,Foul,null,null
CU,Jose Quintana,493351,Ball,null,null
CU,Jose Quintana,493351,"In play, out(s)",90.7,-14.09
FF,Jose Quintana,592200,Foul,null,null
CU,Jose Quintana,592200,Foul,null,null
FF,Jose Quintana,592200,Ball,null,null
FF,Jose Quintana,592200,Called Strike,null,null
CU,Jose Quintana,592200,Ball,null,null
CU,Jose Quintana,592200,Ball,null,null
FF,Jose Quintana,592200,Called Strike,null,null
FT,Jose Quintana,592200,Foul,null,null
FF,Jose Quintana,592200,Foul,null,null
CU,Jose Quintana,435064,"In play, out(s)",null,null
FF,Jose Quintana,435064,Called Strike,null,null
FF,Jose Quintana,523253,Ball,null,null
FF,Jose Quintana,523253,Foul,null,null
FT,Jose Quintana,523253,"In play, out(s)",99.8,0.52
CH,Jose Quintana,523253,Swinging Strike,null,null
FF,Jose Quintana,523253,Foul,null,null
FF,Jose Quintana,595281,Called Strike,null,null
CU,Jose Quintana,595281,Ball,null,null
FT,Jose Quintana,595281,Ball,null,null
FF,Jose Quintana,595281,"In play, no out",95.7,11.93
CH,Jose Quintana,446334,"In play, out(s)",89,26.51
FT,Jose Quintana,543543,Foul,null,null
CU,Jose Quintana,543543,Ball In Dirt,null,null
FT,Jose Quintana,543543,Ball,null,null
CU,Jose Quintana,543543,Swinging Strike,null,null
FT,Jose Quintana,543543,Foul,null,null
FT,Jose Quintana,543543,Foul,null,null
CU,Jose Quintana,543543,Ball,null,null
