pitch_type,player_name,batter,description,hit_speed,hit_angle
SL,Nick Goody,444432,Swinging Strike,null,null
SL,Nick Goody,444432,"In play, run(s)",104.5,23.38
SL,Nick Goody,444432,Called Strike,null,null
FF,Nick Goody,570731,Swinging Strike,null,null
SL,Nick Goody,570731,Swinging Strike,null,null
FF,Nick Goody,570731,Swinging Strike,null,null
SL,Nick Goody,570731,Ball,null,null
FF,Nick Goody,570731,Foul,null,null
SL,Nick Goody,429666,"In play, out(s)",82.2,32.25
FF,Nick Goody,429666,Called Strike,null,null
FF,Nick Goody,547957,Ball,null,null
SL,Nick Goody,547957,Swinging Strike,null,null
SL,Nick Goody,547957,Foul,null,null
SL,Nick Goody,547957,Called Strike,null,null
SL,Nick Goody,547957,Ball,null,null
FF,Nick Goody,547957,"In play, out(s)",94.7,16.77
SL,Nick Goody,430945,Swinging Strike (Blocked),null,null
FF,Nick Goody,430945,Foul,null,null
FF,Nick Goody,430945,Swinging Strike,null,null
SL,Nick Goody,446308,Swinging Strike,null,null
FF,Nick Goody,446308,"In play, no out",102.4,19.11
FF,Nick Goody,446308,Foul,null,null
SL,Nick Goody,446308,Foul,null,null
FF,Nick Goody,448801,Ball,null,null
SL,Nick Goody,448801,Called Strike,null,null
FF,Nick Goody,448801,"In play, run(s)",105.3,34.69
FF,Nick Goody,456030,Ball,null,null
SL,Nick Goody,456030,Ball,null,null
SL,Nick Goody,456030,Swinging Strike (Blocked),null,null
SL,Nick Goody,456030,"In play, out(s)",78.5,58.11
FF,Nick Goody,593428,Ball,null,null
FF,Nick Goody,593428,Ball,null,null
SL,Nick Goody,593428,Ball,null,null
FF,Nick Goody,593428,Ball,null,null
SL,Nick Goody,605141,"In play, no out",95,16.02
FF,Nick Goody,605141,Called Strike,null,null
FF,Nick Goody,605141,Foul,null,null
IN,Nick Goody,120074,Intent Ball,null,null
IN,Nick Goody,120074,Intent Ball,null,null
IN,Nick Goody,120074,Intent Ball,null,null
IN,Nick Goody,120074,Intent Ball,null,null
FF,Nick Goody,434670,Ball,null,null
FF,Nick Goody,434670,"In play, out(s)",86.8,52.52
SL,Nick Goody,434670,Ball In Dirt,null,null
FF,Nick Goody,434670,Foul Tip,null,null
SL,Nick Goody,434670,Ball,null,null
SL,Nick Goody,502082,Ball In Dirt,null,null
FF,Nick Goody,502082,Ball,null,null
FF,Nick Goody,502082,Ball,null,null
FF,Nick Goody,502082,Called Strike,null,null
FF,Nick Goody,502082,Ball,null,null
SL,Nick Goody,501659,Called Strike,null,null
SL,Nick Goody,501659,"In play, out(s)",null,null
SL,Nick Goody,434658,Swinging Strike,null,null
FF,Nick Goody,434658,Ball,null,null
FF,Nick Goody,434658,Ball,null,null
FF,Nick Goody,434658,Foul,null,null
FF,Nick Goody,434658,Ball,null,null
FF,Nick Goody,434658,Ball,null,null
SL,Nick Goody,543401,Ball,null,null
SL,Nick Goody,543401,Ball,null,null
CH,Nick Goody,543401,"In play, run(s)",91.7,12.78
FF,Nick Goody,547379,Called Strike,null,null
SL,Nick Goody,547379,Ball,null,null
FF,Nick Goody,547379,Called Strike,null,null
SL,Nick Goody,547379,"In play, out(s)",null,null
SL,Nick Goody,467793,Ball,null,null
FF,Nick Goody,467793,Ball,null,null
FF,Nick Goody,467793,Called Strike,null,null
FF,Nick Goody,467793,Ball,null,null
FF,Nick Goody,467793,Called Strike,null,null
FF,Nick Goody,467793,Ball,null,null
SL,Nick Goody,492841,Swinging Strike,null,null
SL,Nick Goody,492841,Ball,null,null
FF,Nick Goody,492841,Foul,null,null
FF,Nick Goody,492841,Foul,null,null
FF,Nick Goody,492841,Ball,null,null
FF,Nick Goody,492841,Swinging Strike,null,null
FF,Nick Goody,492841,Called Strike,null,null
SL,Nick Goody,596019,Called Strike,null,null
SL,Nick Goody,596019,"In play, out(s)",88.2,31.65
FF,Nick Goody,596019,Ball,null,null
FF,Nick Goody,596019,Foul,null,null
FF,Nick Goody,435063,Foul,null,null
SL,Nick Goody,435063,Foul,null,null
SL,Nick Goody,435063,Foul,null,null
SL,Nick Goody,435063,Ball,null,null
SL,Nick Goody,435063,Swinging Strike,null,null
FF,Nick Goody,435063,Ball,null,null
FF,Nick Goody,435063,Ball,null,null
FF,Nick Goody,435063,Foul,null,null
SL,Nick Goody,435063,Ball In Dirt,null,null
SL,Nick Goody,608070,Swinging Strike,null,null
FF,Nick Goody,608070,Foul,null,null
SL,Nick Goody,608070,Swinging Strike (Blocked),null,null
FF,Nick Goody,608070,Called Strike,null,null
SL,Nick Goody,435522,Ball,null,null
FF,Nick Goody,435522,Called Strike,null,null
FF,Nick Goody,435522,"In play, out(s)",94.2,55.67
FF,Nick Goody,435522,Ball,null,null
FF,Nick Goody,435522,Ball,null,null
FF,Nick Goody,570731,"In play, out(s)",82.1,35.88
FF,Nick Goody,570731,Ball,null,null
FF,Nick Goody,570731,Swinging Strike,null,null
SL,Nick Goody,430945,Swinging Strike,null,null
SL,Nick Goody,430945,Ball,null,null
FF,Nick Goody,430945,"In play, out(s)",99.5,-4.02
FF,Nick Goody,430945,Ball,null,null
FF,Nick Goody,430945,Ball,null,null
FF,Nick Goody,430945,Foul,null,null
FF,Nick Goody,444432,"In play, out(s)",null,null
FF,Nick Goody,592518,Called Strike,null,null
SL,Nick Goody,592518,Swinging Strike (Blocked),null,null
FF,Nick Goody,592518,Ball,null,null
SL,Nick Goody,592518,Swinging Strike,null,null
SL,Nick Goody,444432,Ball,null,null
FF,Nick Goody,444432,Foul,null,null
FF,Nick Goody,444432,Foul,null,null
SL,Nick Goody,444432,Ball,null,null
FF,Nick Goody,444432,Swinging Strike,null,null
FF,Nick Goody,570731,Swinging Strike,null,null
SL,Nick Goody,570731,Swinging Strike,null,null
SL,Nick Goody,570731,Ball,null,null
FF,Nick Goody,570731,Foul,null,null
SL,Nick Goody,452672,"In play, out(s)",88.8,42.17
FF,Nick Goody,605141,Called Strike,null,null
FF,Nick Goody,605141,"In play, out(s)",93,24.44
FF,Nick Goody,456030,Ball,null,null
FF,Nick Goody,456030,Called Strike,null,null
FF,Nick Goody,456030,Called Strike,null,null
SL,Nick Goody,456030,Ball,null,null
FF,Nick Goody,456030,Ball,null,null
SL,Nick Goody,456030,Ball,null,null
FF,Nick Goody,593428,Ball,null,null
SL,Nick Goody,593428,Swinging Strike,null,null
FF,Nick Goody,593428,Foul,null,null
FF,Nick Goody,593428,Swinging Strike,null,null
SL,Nick Goody,593428,Ball,null,null
SL,Nick Goody,593428,Called Strike,null,null
SL,Nick Goody,518614,Ball In Dirt,null,null
SL,Nick Goody,518614,Swinging Strike,null,null
SL,Nick Goody,518614,Ball,null,null
SL,Nick Goody,518614,Called Strike,null,null
FF,Nick Goody,518614,Swinging Strike,null,null
SL,Nick Goody,518614,Ball In Dirt,null,null
SL,Nick Goody,448602,"In play, run(s)",106.3,17.02
FF,Nick Goody,430605,Swinging Strike,null,null
FF,Nick Goody,430605,Called Strike,null,null
SL,Nick Goody,430605,Swinging Strike,null,null
FF,Nick Goody,547172,Ball,null,null
FF,Nick Goody,547172,Called Strike,null,null
SL,Nick Goody,547172,Swinging Strike (Blocked),null,null
SL,Nick Goody,547172,Ball,null,null
