pitch_type,player_name,batter,description,hit_speed,hit_angle
SL,Ross Stripling,622534,"In play, no out",66.2,8.41
SL,Ross Stripling,571976,Ball,null,null
FF,Ross Stripling,571976,Foul,null,null
CU,Ross Stripling,571976,"In play, run(s)",67.4,-24.77
CU,Ross Stripling,571976,Swinging Strike,null,null
CU,Ross Stripling,571976,Called Strike,null,null
FF,Ross Stripling,571976,Ball,null,null
FF,Ross Stripling,500208,Ball,null,null
FF,Ross Stripling,500208,Ball,null,null
CU,Ross Stripling,500208,Swinging Strike,null,null
CU,Ross Stripling,500208,Foul,null,null
CH,Ross Stripling,500208,Foul,null,null
FF,Ross Stripling,543105,Swinging Strike,null,null
FF,Ross Stripling,543105,Called Strike,null,null
CU,Ross Stripling,543105,Ball,null,null
SL,Ross Stripling,543105,Ball,null,null
SL,Ross Stripling,543105,Called Strike,null,null
SL,Ross Stripling,592669,Ball,null,null
CU,Ross Stripling,592669,Swinging Strike,null,null
SL,Ross Stripling,592669,Ball,null,null
CU,Ross Stripling,592669,Ball,null,null
CU,Ross Stripling,592669,Swinging Strike,null,null
SL,Ross Stripling,592669,Called Strike,null,null
SL,Ross Stripling,572114,Foul,null,null
FF,Ross Stripling,572114,Swinging Strike,null,null
CU,Ross Stripling,572114,Called Strike,null,null
CU,Ross Stripling,572114,Ball,null,null
CU,Ross Stripling,595978,Ball,null,null
CU,Ross Stripling,595978,Ball,null,null
SL,Ross Stripling,595978,Foul,null,null
FF,Ross Stripling,595978,Foul,null,null
SL,Ross Stripling,595978,"In play, out(s)",78.4,-6.21
CH,Ross Stripling,506560,Ball,null,null
FF,Ross Stripling,506560,Ball,null,null
CH,Ross Stripling,506560,Foul,null,null
CU,Ross Stripling,506560,"In play, no out",95,-0.15
FF,Ross Stripling,506560,Called Strike,null,null
FF,Ross Stripling,506560,Swinging Strike,null,null
CU,Ross Stripling,506560,Ball,null,null
FF,Ross Stripling,477165,"In play, out(s)",67.4,15.02
FF,Ross Stripling,477165,Called Strike,null,null
SL,Ross Stripling,606131,"In play, out(s)",null,null
FF,Ross Stripling,606131,Called Strike,null,null
CU,Ross Stripling,430605,Called Strike,null,null
SL,Ross Stripling,430605,Foul,null,null
CH,Ross Stripling,430605,Ball,null,null
FF,Ross Stripling,430605,Ball,null,null
CH,Ross Stripling,430605,Swinging Strike,null,null
SL,Ross Stripling,506924,Called Strike,null,null
CH,Ross Stripling,506924,Ball,null,null
FF,Ross Stripling,506924,"In play, out(s)",82.9,36.24
FF,Ross Stripling,542436,Called Strike,null,null
SL,Ross Stripling,542436,Ball,null,null
FF,Ross Stripling,542436,Foul,null,null
SL,Ross Stripling,542436,"In play, no out",null,null
CU,Ross Stripling,453568,Ball,null,null
CH,Ross Stripling,453568,Ball,null,null
CH,Ross Stripling,453568,Swinging Strike,null,null
SL,Ross Stripling,453568,"In play, no out",104.8,9.72
FF,Ross Stripling,518934,Ball,null,null
FF,Ross Stripling,518934,Foul,null,null
FF,Ross Stripling,518934,Ball,null,null
CU,Ross Stripling,518934,Foul,null,null
FF,Ross Stripling,518934,"In play, out(s)",72.8,33.21
SL,Ross Stripling,571448,Called Strike,null,null
CU,Ross Stripling,571448,Ball,null,null
FF,Ross Stripling,571448,Ball,null,null
FF,Ross Stripling,571448,Ball,null,null
CU,Ross Stripling,571448,Swinging Strike (Blocked),null,null
SL,Ross Stripling,571448,Foul,null,null
CU,Ross Stripling,571448,Swinging Strike,null,null
FF,Ross Stripling,471865,Ball,null,null
FF,Ross Stripling,471865,Called Strike,null,null
FF,Ross Stripling,471865,Ball,null,null
CH,Ross Stripling,471865,Foul,null,null
FF,Ross Stripling,471865,Swinging Strike,null,null
FF,Ross Stripling,608596,Ball,null,null
CU,Ross Stripling,608596,Ball,null,null
FF,Ross Stripling,608596,Foul,null,null
FF,Ross Stripling,608596,Ball,null,null
FF,Ross Stripling,608596,Ball,null,null
SL,Ross Stripling,506924,Swinging Strike,null,null
CU,Ross Stripling,506924,Called Strike,null,null
FF,Ross Stripling,506924,Ball,null,null
FF,Ross Stripling,506924,Ball,null,null
SL,Ross Stripling,506924,Ball,null,null
