pitch_type,player_name,batter,description,hit_speed,hit_angle
CU,Tim Lincecum,493114,Foul,null,null
CH,Tim Lincecum,493114,Ball,null,null
CU,Tim Lincecum,493114,"In play, no out",81.2,5.59
CU,Tim Lincecum,452234,Ball In Dirt,null,null
CH,Tim Lincecum,452234,Swinging Strike (Blocked),null,null
CH,Tim Lincecum,452234,Ball In Dirt,null,null
FT,Tim Lincecum,452234,Called Strike,null,null
CH,Tim Lincecum,452234,Ball,null,null
FT,Tim Lincecum,452234,"In play, no out",76.8,16.24
CH,Tim Lincecum,429664,Ball In Dirt,null,null
FT,Tim Lincecum,429664,"In play, run(s)",106.1,-6.4
FT,Tim Lincecum,429664,Ball,null,null
CU,Tim Lincecum,572122,"In play, out(s)",93.4,49.25
FT,Tim Lincecum,572122,Called Strike,null,null
FT,Tim Lincecum,452252,Ball,null,null
CH,Tim Lincecum,452252,Ball In Dirt,null,null
CH,Tim Lincecum,452252,"In play, run(s)",109.1,18.09
CH,Tim Lincecum,452252,Swinging Strike,null,null
FT,Tim Lincecum,452252,Foul,null,null
CU,Tim Lincecum,547982,Ball,null,null
CH,Tim Lincecum,547982,Foul,null,null
CH,Tim Lincecum,547982,Swinging Strike,null,null
CH,Tim Lincecum,547982,"In play, run(s)",81.5,30.94
FF,Tim Lincecum,572287,Foul,null,null
CH,Tim Lincecum,572287,Ball In Dirt,null,null
CH,Tim Lincecum,572287,Ball,null,null
CH,Tim Lincecum,572287,"In play, run(s)",99.1,30.99
CH,Tim Lincecum,572287,Foul,null,null
CH,Tim Lincecum,572287,Swinging Strike,null,null
CU,Tim Lincecum,572287,Foul,null,null
CH,Tim Lincecum,572287,Ball In Dirt,null,null
FT,Tim Lincecum,502523,"In play, no out",null,null
FT,Tim Lincecum,493114,Foul,null,null
CU,Tim Lincecum,493114,"In play, out(s)",76.2,75.64
FT,Tim Lincecum,493114,Ball,null,null
CH,Tim Lincecum,452234,Ball,null,null
FT,Tim Lincecum,452234,Ball,null,null
CU,Tim Lincecum,452234,Ball,null,null
CH,Tim Lincecum,452234,Ball,null,null
FT,Tim Lincecum,452234,Called Strike,null,null
FT,Tim Lincecum,443558,"In play, out(s)",95.5,46.76
CH,Tim Lincecum,443558,Ball,null,null
CH,Tim Lincecum,572122,Called Strike,null,null
CH,Tim Lincecum,572122,Swinging Strike,null,null
SL,Tim Lincecum,572122,Foul,null,null
SL,Tim Lincecum,572122,Foul,null,null
FT,Tim Lincecum,572122,Ball,null,null
CH,Tim Lincecum,572122,"In play, out(s)",98,8.54
CH,Tim Lincecum,452252,Swinging Strike,null,null
SL,Tim Lincecum,452252,Foul,null,null
CH,Tim Lincecum,452252,"In play, no out",100.2,16.65
CH,Tim Lincecum,452252,Ball,null,null
FT,Tim Lincecum,452252,Called Strike,null,null
FT,Tim Lincecum,547982,Foul,null,null
CU,Tim Lincecum,547982,Called Strike,null,null
CH,Tim Lincecum,547982,Ball In Dirt,null,null
CH,Tim Lincecum,547982,"In play, out(s)",101.6,25.67
FT,Tim Lincecum,572287,Ball,null,null
