pitch_type,player_name,batter,description,hit_speed,hit_angle
CH,Tommy Layne,446308,Ball,null,null
FT,Tommy Layne,446308,"In play, run(s)",104.1,36.12
SL,Tommy Layne,446308,Foul,null,null
FT,Tommy Layne,446308,Foul,null,null
CU,Tommy Layne,448801,Swinging Strike,null,null
FT,Tommy Layne,448801,Foul,null,null
FF,Tommy Layne,448801,Ball,null,null
CU,Tommy Layne,448801,Called Strike,null,null
CU,Tommy Layne,448801,Ball,null,null
CU,Tommy Layne,448801,Ball,null,null
CU,Tommy Layne,598265,"In play, out(s)",86.4,50.16
CU,Tommy Layne,598265,Ball,null,null
IN,Tommy Layne,431094,Intent Ball,null,null
IN,Tommy Layne,431094,Intent Ball,null,null
IN,Tommy Layne,431094,Intent Ball,null,null
IN,Tommy Layne,431094,Intent Ball,null,null
SL,Tommy Layne,643217,"In play, out(s)",88,54.15
CU,Tommy Layne,643217,Called Strike,null,null
SL,Tommy Layne,431094,"In play, run(s)",100.9,29.71
FF,Tommy Layne,431094,Called Strike,null,null
SL,Tommy Layne,431094,Ball,null,null
FT,Tommy Layne,598265,Ball,null,null
FT,Tommy Layne,598265,Ball,null,null
FT,Tommy Layne,598265,"In play, no out",101.6,-6.62
FT,Tommy Layne,643217,Ball,null,null
FT,Tommy Layne,643217,Foul,null,null
CU,Tommy Layne,643217,Ball,null,null
SL,Tommy Layne,643217,Ball In Dirt,null,null
CU,Tommy Layne,643217,Called Strike,null,null
CU,Tommy Layne,643217,Swinging Strike,null,null
FT,Tommy Layne,506702,"In play, out(s)",null,null
FT,Tommy Layne,506702,Ball,null,null
FT,Tommy Layne,456030,Ball,null,null
FF,Tommy Layne,456030,"In play, run(s)",74.9,0.89
CU,Tommy Layne,456030,Called Strike,null,null
CU,Tommy Layne,518626,Ball,null,null
CU,Tommy Layne,518626,"In play, out(s)",94.3,46.42
SL,Tommy Layne,518626,Foul,null,null
CU,Tommy Layne,518626,Called Strike,null,null
CH,Tommy Layne,518626,Ball In Dirt,null,null
CU,Tommy Layne,429665,Ball In Dirt,null,null
CH,Tommy Layne,429665,Ball,null,null
SL,Tommy Layne,429665,Swinging Strike,null,null
FT,Tommy Layne,429665,Ball In Dirt,null,null
SL,Tommy Layne,429665,Called Strike,null,null
CU,Tommy Layne,429665,Ball,null,null
SL,Tommy Layne,425900,Called Strike,null,null
FT,Tommy Layne,425900,Called Strike,null,null
SL,Tommy Layne,425900,Ball,null,null
SL,Tommy Layne,425900,Ball,null,null
CU,Tommy Layne,425900,"In play, run(s)",75.3,41.5
FT,Tommy Layne,453064,Called Strike,null,null
CH,Tommy Layne,453064,"In play, out(s)",75.8,39.73
SL,Tommy Layne,453064,Called Strike,null,null
CH,Tommy Layne,431145,Ball,null,null
FT,Tommy Layne,431145,Ball,null,null
FT,Tommy Layne,431145,Ball,null,null
FT,Tommy Layne,431145,Called Strike,null,null
SL,Tommy Layne,431145,"In play, out(s)",54.7,-79.94
FT,Tommy Layne,572816,Ball,null,null
CU,Tommy Layne,572816,Ball,null,null
CU,Tommy Layne,572816,Called Strike,null,null
FT,Tommy Layne,572816,Foul,null,null
CU,Tommy Layne,572816,"In play, out(s)",100.8,22.88
FT,Tommy Layne,572816,Foul,null,null
CU,Tommy Layne,572816,Swinging Strike,null,null
FT,Tommy Layne,572816,Ball,null,null
FT,Tommy Layne,572816,Foul,null,null
CU,Tommy Layne,598265,Called Strike,null,null
CU,Tommy Layne,598265,Called Strike,null,null
SL,Tommy Layne,598265,Ball,null,null
FT,Tommy Layne,598265,Swinging Strike,null,null
FT,Tommy Layne,543877,Ball,null,null
CH,Tommy Layne,543877,Called Strike,null,null
FT,Tommy Layne,543877,Foul,null,null
CU,Tommy Layne,543877,Ball,null,null
CH,Tommy Layne,543877,"In play, out(s)",null,null
FF,Tommy Layne,456030,"In play, out(s)",82.3,61.61
FT,Tommy Layne,120074,Ball,null,null
CU,Tommy Layne,120074,"In play, out(s)",91.9,30.43
CH,Tommy Layne,431094,Swinging Strike (Blocked),null,null
CU,Tommy Layne,431094,Swinging Strike,null,null
SL,Tommy Layne,431094,Called Strike,null,null
CU,Tommy Layne,592626,Ball,null,null
CU,Tommy Layne,592626,Foul,null,null
CU,Tommy Layne,592626,Called Strike,null,null
FT,Tommy Layne,592626,Swinging Strike,null,null
CU,Tommy Layne,592626,"In play, out(s)",95.3,4.67
SL,Tommy Layne,592808,Ball,null,null
FT,Tommy Layne,592808,Called Strike,null,null
CU,Tommy Layne,592808,Ball,null,null
SL,Tommy Layne,592808,Called Strike,null,null
CU,Tommy Layne,592808,Ball,null,null
CU,Tommy Layne,592808,"In play, out(s)",null,null
FT,Tommy Layne,400284,"In play, out(s)",76.8,48.58
FF,Tommy Layne,545338,"In play, no out",100.3,4.88
CU,Tommy Layne,572816,"In play, no out",70.4,24.75
CU,Tommy Layne,572816,Ball,null,null
CU,Tommy Layne,572816,Swinging Strike,null,null
CU,Tommy Layne,572816,Swinging Strike,null,null
CU,Tommy Layne,489149,Called Strike,null,null
FT,Tommy Layne,489149,Hit By Pitch,null,null
CU,Tommy Layne,489149,Called Strike,null,null
FT,Tommy Layne,489149,Ball,null,null
FT,Tommy Layne,543543,"In play, out(s)",84,27.54
CU,Tommy Layne,543543,Called Strike,null,null
CU,Tommy Layne,489149,Called Strike,null,null
CU,Tommy Layne,489149,Ball,null,null
CU,Tommy Layne,489149,Swinging Strike,null,null
CU,Tommy Layne,489149,Ball,null,null
CU,Tommy Layne,489149,Swinging Strike,null,null
SL,Tommy Layne,425834,Ball,null,null
SL,Tommy Layne,425834,Foul,null,null
CU,Tommy Layne,425834,Foul,null,null
CU,Tommy Layne,425834,Ball In Dirt,null,null
SL,Tommy Layne,425834,Called Strike,null,null
SL,Tommy Layne,425834,Ball In Dirt,null,null
CU,Tommy Layne,425834,Foul,null,null
FT,Tommy Layne,425834,Ball,null,null
SL,Tommy Layne,431145,Ball,null,null
FT,Tommy Layne,431145,Ball,null,null
CU,Tommy Layne,431145,"In play, out(s)",62.6,31.46
SL,Tommy Layne,431145,Ball,null,null
SL,Tommy Layne,431145,Called Strike,null,null
SL,Tommy Layne,431145,Called Strike,null,null
CU,Tommy Layne,476883,Foul,null,null
FT,Tommy Layne,476883,Ball,null,null
FT,Tommy Layne,476883,"In play, out(s)",76.4,36.28
CU,Tommy Layne,460086,Ball,null,null
CU,Tommy Layne,460086,Ball,null,null
