"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"3","Adam Conley",493316,"CH|FF","Called Strike","null","null"
"5","Adam Conley",434158,"CH|CH","Foul","null","null"
"6","Adam Conley",434158,"CH|FF","Called Strike","null","null"
"7","Adam Conley",434158,"FF|FF","Foul","null","null"
"8","Adam Conley",434158,"FF|CH","Foul","null","null"
"9","Adam Conley",434158,"CH|FF","In play, out(s)","78","26.87"
"12","Adam Conley",608061,"FF|FF","In play, out(s)","77.2","60.71"
"14","Adam Conley",457803,"CH|FF","In play, out(s)","100.5","20.69"
"15","Adam Conley",457803,"FF|FF","Swinging Strike","null","null"
"17","Adam Conley",518595,"SL|FF","Called Strike","null","null"
"19","Adam Conley",112526,"FF|FF","Swinging Strike","null","null"
"20","Adam Conley",112526,"FF|FF","Called Strike","null","null"
"22","Adam Conley",452678,"CH|CH","Called Strike","null","null"
"27","Adam Conley",493316,"SL|CH","Swinging Strike","null","null"
"28","Adam Conley",493316,"CH|SL","Foul","null","null"
"31","Adam Conley",493316,"CH|FF","Called Strike","null","null"
"34","Adam Conley",408314,"SL|FF","Called Strike","null","null"
"36","Adam Conley",408314,"SL|FF","Called Strike","null","null"
"37","Adam Conley",408314,"FF|FF","Foul","null","null"
"38","Adam Conley",408314,"FF|CH","In play, no out","null","null"
"40","Adam Conley",493472,"FF|FF","Foul","null","null"
"41","Adam Conley",493472,"FF|FF","Called Strike","null","null"
"43","Adam Conley",493472,"CH|CH","In play, out(s)","65","-23.85"
"45","Adam Conley",408314,"FF|FF","Called Strike","null","null"
"47","Adam Conley",594809,"FF|FF","Called Strike","null","null"
"49","Adam Conley",594809,"FF|FF","Called Strike","null","null"
"53","Adam Conley",466320,"FF|FF","Called Strike","null","null"
"54","Adam Conley",466320,"FF|SL","Swinging Strike","null","null"
"56","Adam Conley",547989,"FF|CH","In play, run(s)","99.2","11.53"
"59","Adam Conley",453943,"FF|SL","Swinging Strike","null","null"
"60","Adam Conley",453943,"SL|SL","Swinging Strike","null","null"
"61","Adam Conley",453943,"SL|SL","Foul","null","null"
"63","Adam Conley",641313,"FF|SL","In play, no out","94.9","5.54"
"65","Adam Conley",641313,"CH|FF","Foul","null","null"
