"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"3","Adam Warren",456422,"FF|SL","Called Strike","null","null"
"5","Adam Warren",456422,"FF|CU","In play, out(s)","59.7","-32.62"
"10","Adam Warren",592518,"FF|CU","In play, out(s)","null","null"
"11","Adam Warren",592518,"CU|FT","Called Strike","null","null"
"14","Adam Warren",506702,"SL|CU","In play, no out","85.6","-26.83"
"15","Adam Warren",506702,"CU|FF","Called Strike","null","null"
"17","Adam Warren",506702,"SL|SL","Swinging Strike","null","null"
"19","Adam Warren",456030,"FF|SL","Called Strike","null","null"
"21","Adam Warren",593428,"SL|SL","Foul","null","null"
"25","Adam Warren",593428,"FF|CU","In play, out(s)","72.5","9.06"
"38","Adam Warren",430832,"FF|SL","In play, out(s)","71.5","-40.04"
"42","Adam Warren",431145,"CU|SL","Swinging Strike","null","null"
"43","Adam Warren",431145,"SL|FF","Called Strike","null","null"
"47","Adam Warren",459431,"CH|SL","In play, out(s)","104.5","21.3"
"50","Adam Warren",429665,"FF|FF","In play, out(s)","86","-23.16"
"51","Adam Warren",429665,"FF|FF","Called Strike","null","null"
"52","Adam Warren",429665,"FF|FF","Foul","null","null"
"56","Adam Warren",485567,"SL|CU","Swinging Strike (Blocked)","null","null"
"58","Adam Warren",485567,"SL|SL","Called Strike","null","null"
"61","Adam Warren",581527,"SL|SL","Foul","null","null"
"63","Adam Warren",581527,"SL|FF","Foul","null","null"
"64","Adam Warren",581527,"FF|FF","Swinging Strike","null","null"
"68","Adam Warren",459431,"FF|SL","Called Strike","null","null"
"69","Adam Warren",459431,"SL|SL","Foul","null","null"
"70","Adam Warren",459431,"SL|FF","In play, no out","75.6","13.76"
"72","Adam Warren",459431,"CU|SL","Swinging Strike","null","null"
"76","Adam Warren",523253,"CU|FF","Called Strike","null","null"
"79","Adam Warren",446334,"SL|SL","Swinging Strike","null","null"
"80","Adam Warren",446334,"SL|FF","Called Strike","null","null"
"81","Adam Warren",446334,"FF|FF","Foul","null","null"
"84","Adam Warren",543543,"FF|CU","In play, run(s)","104.4","24.44"
"85","Adam Warren",543543,"CU|CU","Swinging Strike","null","null"
"86","Adam Warren",543543,"CU|FF","Foul","null","null"
"91","Adam Warren",595281,"SL|SL","Foul","null","null"
"92","Adam Warren",595281,"SL|SL","Called Strike","null","null"
"94","Adam Warren",595281,"FF|FF","In play, out(s)","81.8","-3.36"
"97","Adam Warren",434670,"FF|SL","In play, no out","110.7","-8"
"101","Adam Warren",506702,"CU|FF","Foul","null","null"
"102","Adam Warren",506702,"FF|CU","Swinging Strike","null","null"
"103","Adam Warren",506702,"CU|CU","Called Strike","null","null"
"104","Adam Warren",506702,"CU|CH","Swinging Strike","null","null"
"108","Adam Warren",643217,"CH|CU","In play, out(s)","95.6","32.27"
"109","Adam Warren",643217,"CU|CH","Called Strike","null","null"
"111","Adam Warren",643217,"FF|SL","Swinging Strike","null","null"
"113","Adam Warren",456030,"SL|FF","Called Strike","null","null"
"115","Adam Warren",456030,"SL|FF","In play, out(s)","null","null"
"117","Adam Warren",543768,"CU|FF","In play, out(s)","91.9","-12.4"
"119","Adam Warren",605141,"SL|FF","Called Strike","null","null"
"120","Adam Warren",605141,"FF|SL","In play, run(s)","100.3","-26.2"
"122","Adam Warren",593428,"FF|CU","Called Strike","null","null"
"123","Adam Warren",593428,"CU|FT","Swinging Strike","null","null"
"128","Adam Warren",434670,"SL|SL","Foul","null","null"
"130","Adam Warren",434670,"FF|SL","In play, out(s)","null","null"
"132","Adam Warren",543768,"SL|FF","Called Strike","null","null"
"133","Adam Warren",543768,"FF|SL","Foul","null","null"
"134","Adam Warren",543768,"SL|SL","Foul","null","null"
"137","Adam Warren",543768,"CH|SL","Foul","null","null"
"140","Adam Warren",506702,"SL|CH","Called Strike","null","null"
"141","Adam Warren",506702,"CH|SL","Foul","null","null"
"143","Adam Warren",506702,"SL|SL","Called Strike","null","null"
"144","Adam Warren",506702,"SL|SL","Called Strike","null","null"
"146","Adam Warren",120074,"CH|SL","In play, run(s)","109.1","19"
"149","Adam Warren",605141,"CU|SL","Called Strike","null","null"
"151","Adam Warren",592626,"CU|SL","Called Strike","null","null"
"152","Adam Warren",592626,"SL|FF","Swinging Strike","null","null"
"154","Adam Warren",592626,"FF|FF","In play, out(s)","95.9","55.41"
"156","Adam Warren",518735,"SL|SL","Called Strike","null","null"
"158","Adam Warren",518735,"SL|SL","Called Strike","null","null"
"159","Adam Warren",518735,"SL|CU","Swinging Strike (Blocked)","null","null"
"161","Adam Warren",545338,"SL|CU","Foul","null","null"
"162","Adam Warren",545338,"CU|SL","Called Strike","null","null"
"163","Adam Warren",545338,"SL|FF","Foul","null","null"
"164","Adam Warren",545338,"FF|SL","Hit By Pitch","null","null"
"166","Adam Warren",446334,"SL|SL","In play, out(s)","79.2","2.17"
"169","Adam Warren",523253,"FF|FF","Called Strike","null","null"
"170","Adam Warren",523253,"FF|FF","Called Strike","null","null"
"173","Adam Warren",493351,"SL|SL","In play, out(s)","98.7","-5.55"
"174","Adam Warren",493351,"SL|SL","Swinging Strike","null","null"
"175","Adam Warren",493351,"SL|SL","Called Strike","null","null"
"180","Adam Warren",446334,"FF|FF","In play, out(s)","102.4","37.23"
"182","Adam Warren",446334,"SL|FF","Called Strike","null","null"
"186","Adam Warren",607680,"FF|CU","Called Strike","null","null"
"190","Adam Warren",475253,"CU|SL","In play, out(s)","81.2","-23.86"
"192","Adam Warren",581527,"FF|FF","Foul","null","null"
"194","Adam Warren",581527,"SL|FF","Foul","null","null"
"196","Adam Warren",581527,"FF|SL","Called Strike","null","null"
"198","Adam Warren",581527,"FF|FF","Foul","null","null"
"199","Adam Warren",581527,"FF|FF","Foul","null","null"
"200","Adam Warren",581527,"FF|SL","In play, out(s)","88.5","44.61"
"202","Adam Warren",430832,"FF|CU","Called Strike","null","null"
"203","Adam Warren",430832,"CU|FF","In play, out(s)","96.3","35.43"
"206","Adam Warren",518626,"SL|SL","Foul","null","null"
"207","Adam Warren",518626,"SL|FF","Called Strike","null","null"
"208","Adam Warren",518626,"FF|FF","Called Strike","null","null"
"211","Adam Warren",431145,"CU|CU","Foul","null","null"
"214","Adam Warren",431145,"SL|CU","Swinging Strike","null","null"
"217","Adam Warren",453064,"SL|SL","Called Strike","null","null"
"220","Adam Warren",453064,"FF|FF","In play, no out","98.1","6.67"
"224","Adam Warren",429665,"SL|CH","Foul","null","null"
"225","Adam Warren",429665,"CH|SL","Swinging Strike","null","null"
"226","Adam Warren",429665,"SL|SL","In play, out(s)","66","-36.35"
"229","Adam Warren",592518,"CU|SL","Swinging Strike","null","null"
"232","Adam Warren",592518,"SL|SL","In play, out(s)","92.1","39.66"
"235","Adam Warren",543376,"SL|SL","In play, out(s)","null","null"
"238","Adam Warren",456422,"CU|SL","In play, no out","null","null"
"239","Adam Warren",456422,"SL|FF","Called Strike","null","null"
"242","Adam Warren",429666,"FT|FF","Called Strike","null","null"
"243","Adam Warren",429666,"FF|FF","Called Strike","null","null"
