"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"3","Addison Reed",546318,"FF|FF","In play, out(s)","82.9","38.07"
"7","Addison Reed",433217,"FF|SL","Foul","null","null"
"8","Addison Reed",433217,"SL|SL","Foul","null","null"
"10","Addison Reed",433217,"FF|FF","Called Strike","null","null"
"11","Addison Reed",433217,"FF|FF","Foul","null","null"
"12","Addison Reed",433217,"FF|FF","Foul","null","null"
"13","Addison Reed",433217,"FF|FF","In play, out(s)","92.6","5.88"
"15","Addison Reed",546318,"FF|SL","Swinging Strike","null","null"
"18","Addison Reed",546318,"FC|FF","Swinging Strike","null","null"
"20","Addison Reed",596748,"FF|FF","Called Strike","null","null"
"21","Addison Reed",596748,"FF|FF","Called Strike","null","null"
"22","Addison Reed",596748,"FF|SL","Foul","null","null"
"23","Addison Reed",596748,"SL|FF","Foul","null","null"
"24","Addison Reed",596748,"FF|FF","Foul","null","null"
"27","Addison Reed",429667,"FF|SL","Swinging Strike","null","null"
"28","Addison Reed",429667,"SL|FF","Called Strike","null","null"
"29","Addison Reed",429667,"FF|FF","Foul","null","null"
"32","Addison Reed",592885,"SL|FF","Foul","null","null"
"34","Addison Reed",592885,"FF|FF","Called Strike","null","null"
"36","Addison Reed",592885,"SL|FF","In play, no out","96","14.2"
"38","Addison Reed",519317,"FF|FF","Called Strike","null","null"
"40","Addison Reed",519317,"SL|FF","Called Strike","null","null"
"43","Addison Reed",592663,"FF|FF","Foul","null","null"
"45","Addison Reed",592663,"SL|FF","Swinging Strike","null","null"
"47","Addison Reed",571506,"FF|FF","Called Strike","null","null"
"48","Addison Reed",571506,"FF|FF","In play, out(s)","88.7","21.55"
"50","Addison Reed",570639,"SL|FF","In play, no out","92.2","1.4"
"51","Addison Reed",570639,"FF|FF","Called Strike","null","null"
"55","Addison Reed",543829,"FF|FF","In play, out(s)","73.6","4.27"
"57","Addison Reed",542303,"FF|SL","Swinging Strike","null","null"
"58","Addison Reed",542303,"SL|FF","Called Strike","null","null"
"59","Addison Reed",542303,"FF|FF","In play, out(s)","91.2","21.66"
"62","Addison Reed",596451,"FF|FF","In play, out(s)","null","null"
"65","Addison Reed",596748,"FF|FF","Called Strike","null","null"
"66","Addison Reed",596748,"FF|FF","Foul","null","null"
"69","Addison Reed",596748,"SL|FC","In play, run(s)","101.8","23.48"
"72","Addison Reed",429667,"SL|SL","Foul","null","null"
"76","Addison Reed",546318,"SL|FF","Called Strike","null","null"
"78","Addison Reed",546318,"FF|SL","In play, no out","105.2","-1.92"
"80","Addison Reed",503351,"FF|FF","Foul","null","null"
"81","Addison Reed",503351,"FF|SL","Foul","null","null"
"82","Addison Reed",503351,"SL|FF","Foul","null","null"
"84","Addison Reed",542255,"FF|SL","In play, no out","89.7","2.52"
"85","Addison Reed",542255,"SL|FF","Foul","null","null"
"87","Addison Reed",611177,"FF|FF","Foul","null","null"
"88","Addison Reed",611177,"FF|SL","Foul","null","null"
"89","Addison Reed",611177,"SL|FF","Foul","null","null"
"90","Addison Reed",611177,"FF|FF","Foul","null","null"
"92","Addison Reed",611177,"SL|FC","In play, out(s)","86.7","55.42"
"95","Addison Reed",542255,"SL|FF","Called Strike","null","null"
"97","Addison Reed",542255,"FF|FF","In play, no out","82.6","20.27"
"99","Addison Reed",611177,"FF|FF","Foul","null","null"
"100","Addison Reed",611177,"FF|FF","Foul","null","null"
"102","Addison Reed",518692,"SL|SL","Swinging Strike","null","null"
"103","Addison Reed",518692,"SL|SL","Swinging Strike","null","null"
"105","Addison Reed",461314,"FF|SL","In play, out(s)","88.5","-2.14"
"106","Addison Reed",461314,"SL|FF","Called Strike","null","null"
"108","Addison Reed",592696,"SL|SL","Foul","null","null"
"109","Addison Reed",592696,"SL|FF","Foul","null","null"
"110","Addison Reed",592696,"FF|FF","Foul","null","null"
"111","Addison Reed",592696,"FF|FF","Foul","null","null"
"112","Addison Reed",592696,"FF|SL","Swinging Strike","null","null"
"114","Addison Reed",621439,"FF|FF","In play, out(s)","90.3","41.22"
"116","Addison Reed",500871,"FF|FF","Called Strike","null","null"
"117","Addison Reed",500871,"FF|FF","In play, out(s)","95.6","-9.66"
"119","Addison Reed",621439,"SL|FF","Swinging Strike","null","null"
"120","Addison Reed",621439,"FF|SL","Called Strike","null","null"
"123","Addison Reed",572821,"SL|FF","Swinging Strike","null","null"
"124","Addison Reed",572821,"FF|FF","Called Strike","null","null"
"125","Addison Reed",572821,"FF|SL","Swinging Strike","null","null"
"128","Addison Reed",519184,"FF|FF","Called Strike","null","null"
"130","Addison Reed",607208,"FF|FF","Foul","null","null"
"131","Addison Reed",607208,"FF|FF","Called Strike","null","null"
"135","Addison Reed",607208,"FF|FF","Foul","null","null"
"137","Addison Reed",150029,"FF|FF","Called Strike","null","null"
"138","Addison Reed",150029,"FF|FF","Foul","null","null"
"140","Addison Reed",518692,"SL|FC","Swinging Strike","null","null"
"141","Addison Reed",518692,"FC|FF","In play, out(s)","103.4","7.39"
"143","Addison Reed",518692,"SL|FF","Swinging Strike","null","null"
"147","Addison Reed",611177,"FF|SL","Swinging Strike","null","null"
"148","Addison Reed",611177,"SL|FF","In play, out(s)","92.3","19.43"
"149","Addison Reed",611177,"FF|FF","Called Strike","null","null"
"151","Addison Reed",493596,"FF|FF","Called Strike","null","null"
"156","Addison Reed",621020,"SL|FF","Foul","null","null"
"157","Addison Reed",621020,"FF|FF","Foul","null","null"
"158","Addison Reed",621020,"FF|FF","Foul","null","null"
"159","Addison Reed",621020,"FF|SL","Foul","null","null"
"161","Addison Reed",621020,"FF|FF","Foul","null","null"
"162","Addison Reed",621020,"FF|FF","Foul","null","null"
"164","Addison Reed",621020,"FC|FF","In play, no out","102.2","-5.1"
"166","Addison Reed",534627,"FF|FF","Called Strike","null","null"
"167","Addison Reed",534627,"FF|FF","Foul","null","null"
"171","Addison Reed",541608,"FF|FF","Called Strike","null","null"
"175","Addison Reed",553993,"FF|FF","Called Strike","null","null"
"176","Addison Reed",553993,"FF|FC","Called Strike","null","null"
"177","Addison Reed",553993,"FC|FF","Swinging Strike","null","null"
"179","Addison Reed",571466,"FF|FF","In play, run(s)","82.4","24.63"
"182","Addison Reed",458015,"FC|FF","Foul","null","null"
"183","Addison Reed",458015,"FF|FF","In play, out(s)","94.1","33.8"
"191","Addison Reed",150029,"SL|FF","Foul","null","null"
"192","Addison Reed",150029,"FF|FF","Called Strike","null","null"
"193","Addison Reed",150029,"FF|FF","Foul","null","null"
"195","Addison Reed",150029,"FF|SL","In play, no out","100.2","-1.36"
"197","Addison Reed",547180,"SL|FF","In play, out(s)","82.8","40.72"
"198","Addison Reed",547180,"FF|FF","Called Strike","null","null"
"200","Addison Reed",547180,"FF|FF","Foul","null","null"
"202","Addison Reed",543685,"FF|FF","Swinging Strike","null","null"
"204","Addison Reed",543685,"SL|FC","Swinging Strike","null","null"
"205","Addison Reed",543685,"FC|FF","In play, no out","89.2","12.77"
"207","Addison Reed",467092,"FF|FF","Foul","null","null"
"208","Addison Reed",467092,"FF|FF","Called Strike","null","null"
"209","Addison Reed",467092,"FF|FF","Foul","null","null"
"211","Addison Reed",467092,"FF|SL","Foul","null","null"
"214","Addison Reed",502517,"FF|FF","In play, out(s)","93.5","34.58"
"217","Addison Reed",543685,"SL|FF","Foul","null","null"
"218","Addison Reed",543685,"FF|FF","Foul","null","null"
"220","Addison Reed",543685,"FF|FF","Swinging Strike","null","null"
"222","Addison Reed",475582,"FF|SL","In play, out(s)","null","null"
"223","Addison Reed",475582,"SL|FF","Foul","null","null"
"224","Addison Reed",475582,"FF|FF","Called Strike","null","null"
"227","Addison Reed",467092,"SL|FF","In play, out(s)","null","null"
"228","Addison Reed",467092,"FF|FF","Called Strike","null","null"
"229","Addison Reed",467092,"FF|FF","Swinging Strike","null","null"
"232","Addison Reed",445988,"FF|SL","In play, out(s)","85.2","20.3"
"234","Addison Reed",592885,"FF|SL","Called Strike","null","null"
"235","Addison Reed",592885,"SL|SL","In play, out(s)","78.2","1.03"
"239","Addison Reed",489305,"FF|FF","Swinging Strike","null","null"
"240","Addison Reed",489305,"FF|FF","Swinging Strike","null","null"
"242","Addison Reed",542303,"FF|FF","In play, out(s)","105.8","14.78"
"243","Addison Reed",542303,"FF|SL","Foul","null","null"
"245","Addison Reed",400085,"FF|FF","Called Strike","null","null"
"249","Addison Reed",588751,"FF|FF","Foul","null","null"
"251","Addison Reed",588751,"SL|FF","Swinging Strike","null","null"
"253","Addison Reed",592663,"SL|FF","Foul","null","null"
"255","Addison Reed",425509,"FF|FF","In play, out(s)","97.5","23.45"
"256","Addison Reed",425509,"FF|FF","Called Strike","null","null"
"261","Addison Reed",594824,"SL|FF","In play, run(s)","96.7","-13.84"
"264","Addison Reed",543939,"SL|SL","Swinging Strike","null","null"
"267","Addison Reed",545341,"SL|SL","In play, out(s)","73","57.76"
"269","Addison Reed",571757,"FF|SL","Called Strike","null","null"
"271","Addison Reed",502054,"FF|FF","Swinging Strike","null","null"
"272","Addison Reed",502054,"FF|FF","Called Strike","null","null"
"275","Addison Reed",572039,"FF|SL","In play, no out","95.9","-1.27"
"276","Addison Reed",572039,"SL|FF","Foul","null","null"
"278","Addison Reed",572039,"FF|FF","Called Strike","null","null"
"279","Addison Reed",572039,"FF|FF","Foul","null","null"
"280","Addison Reed",572039,"FF|SL","Foul","null","null"
"283","Addison Reed",572761,"SL|FF","Called Strike","null","null"
"284","Addison Reed",572761,"FF|FF","In play, out(s)","94.2","42.08"
"288","Addison Reed",452254,"FF|FF","Swinging Strike","null","null"
"292","Addison Reed",456488,"FF|FF","Swinging Strike","null","null"
"294","Addison Reed",623143,"FF|FF","In play, out(s)","73.4","48.08"
"298","Addison Reed",452655,"FC|FF","Foul","null","null"
"299","Addison Reed",452655,"FF|SL","In play, no out","98.3","29.39"
"303","Addison Reed",605412,"SL|FF","In play, run(s)","null","null"
"304","Addison Reed",605412,"FF|FC","Called Strike","null","null"
"306","Addison Reed",474832,"SL|SL","Foul","null","null"
"312","Addison Reed",452254,"FF|FF","Called Strike","null","null"
"315","Addison Reed",457763,"FF|FF","Foul (Runner Going)","null","null"
"316","Addison Reed",457763,"FF|FF","Foul (Runner Going)","null","null"
"318","Addison Reed",457763,"FF|FF","Called Strike","null","null"
"319","Addison Reed",457763,"FF|FF","Called Strike","null","null"
"320","Addison Reed",457763,"FF|FF","In play, run(s)","98.6","27.2"
