"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Aroldis Chapman",541608,"FF|CH","Swinging Strike","null","null"
"3","Aroldis Chapman",541608,"CH|FF","Foul","null","null"
"5","Aroldis Chapman",573113,"FF|FF","Foul","null","null"
"7","Aroldis Chapman",573113,"CH|FF","Foul","null","null"
"10","Aroldis Chapman",573113,"FF|FF","Foul","null","null"
"11","Aroldis Chapman",573113,"FF|FF","In play, out(s)","80.8","23.71"
"15","Aroldis Chapman",606299,"SL|FF","Called Strike","null","null"
"16","Aroldis Chapman",606299,"FF|FF","In play, no out","101.7","-2.75"
"18","Aroldis Chapman",474443,"FF|FF","Foul (Runner Going)","null","null"
"19","Aroldis Chapman",474443,"FF|FF","Foul (Runner Going)","null","null"
"21","Aroldis Chapman",474443,"FF|SL","Called Strike","null","null"
"22","Aroldis Chapman",474443,"SL|SL","Swinging Strike","null","null"
"26","Aroldis Chapman",458015,"FF|FF","Swinging Strike","null","null"
"27","Aroldis Chapman",458015,"FF|FF","Swinging Strike","null","null"
"29","Aroldis Chapman",624428,"FF|FF","Foul","null","null"
"30","Aroldis Chapman",624428,"FF|SL","Called Strike","null","null"
"32","Aroldis Chapman",624428,"FF|SL","Swinging Strike","null","null"
"35","Aroldis Chapman",465753,"CH|FF","Foul","null","null"
"37","Aroldis Chapman",465753,"FF|FF","Foul","null","null"
"38","Aroldis Chapman",465753,"FF|CH","Foul","null","null"
"39","Aroldis Chapman",465753,"CH|FF","Called Strike","null","null"
"41","Aroldis Chapman",457705,"CH|FF","Swinging Strike","null","null"
"42","Aroldis Chapman",457705,"FF|CH","Foul","null","null"
"46","Aroldis Chapman",444379,"SL|SL","Called Strike","null","null"
"47","Aroldis Chapman",444379,"SL|SL","Swinging Strike","null","null"
"50","Aroldis Chapman",605137,"FF|FF","In play, out(s)","null","null"
"51","Aroldis Chapman",605137,"FF|CH","Swinging Strike","null","null"
"55","Aroldis Chapman",595386,"SL|FF","Foul","null","null"
"56","Aroldis Chapman",595386,"FF|FF","Foul","null","null"
"57","Aroldis Chapman",595386,"FF|FF","In play, out(s)","null","null"
"58","Aroldis Chapman",595386,"FF|SL","Called Strike","null","null"
"61","Aroldis Chapman",425877,"FF|FF","In play, out(s)","93","-13.74"
"66","Aroldis Chapman",576397,"FF|FF","In play, out(s)","99.1","32.95"
"68","Aroldis Chapman",576397,"FF|FF","Called Strike","null","null"
"74","Aroldis Chapman",500874,"FF|FF","Called Strike","null","null"
"75","Aroldis Chapman",500874,"FF|FF","Called Strike","null","null"
"76","Aroldis Chapman",500874,"FF|FF","Foul","null","null"
"77","Aroldis Chapman",500874,"FF|FF","Foul","null","null"
"78","Aroldis Chapman",500874,"FF|FF","Foul","null","null"
"79","Aroldis Chapman",500874,"FF|SL","Called Strike","null","null"
"85","Aroldis Chapman",573113,"FF|FF","Swinging Strike","null","null"
"88","Aroldis Chapman",573113,"FF|FF","Foul","null","null"
"91","Aroldis Chapman",571466,"FF|FF","Swinging Strike","null","null"
"93","Aroldis Chapman",571466,"FF|FF","Foul","null","null"
"96","Aroldis Chapman",408252,"FF|FF","Foul","null","null"
"98","Aroldis Chapman",408252,"FF|FF","Foul","null","null"
"99","Aroldis Chapman",408252,"FF|SL","In play, out(s)","null","null"
"101","Aroldis Chapman",408252,"FF|FF","Foul","null","null"
"102","Aroldis Chapman",408252,"FF|FF","Foul","null","null"
"104","Aroldis Chapman",518653,"FF|null","Called Strike","null","null"
"105","Aroldis Chapman",518653,"null|FF","Swinging Strike","null","null"
"107","Aroldis Chapman",518653,"null|FF","Called Strike","null","null"
"109","Aroldis Chapman",460075,"null|SL","Called Strike","null","null"
"110","Aroldis Chapman",460075,"SL|CH","Swinging Strike","null","null"
"112","Aroldis Chapman",474892,"null|FF","Called Strike","null","null"
"113","Aroldis Chapman",474892,"FF|null","Swinging Strike","null","null"
"115","Aroldis Chapman",502054,"FF|FF","Swinging Strike","null","null"
"117","Aroldis Chapman",502054,"FF|FF","Foul","null","null"
"120","Aroldis Chapman",572039,"CH|FF","Swinging Strike","null","null"
"124","Aroldis Chapman",572039,"SL|FF","Foul","null","null"
"126","Aroldis Chapman",543939,"FF|FF","Called Strike","null","null"
"128","Aroldis Chapman",543939,"FF|FF","In play, out(s)","95.4","26.96"
"131","Aroldis Chapman",608324,"FF|FF","Foul","null","null"
"133","Aroldis Chapman",608324,"FF|FF","Swinging Strike","null","null"
"138","Aroldis Chapman",501303,"FF|FF","Foul","null","null"
"139","Aroldis Chapman",501303,"FF|SL","Called Strike","null","null"
"142","Aroldis Chapman",434636,"SL|SL","Called Strike","null","null"
"144","Aroldis Chapman",452655,"FF|SL","Swinging Strike","null","null"
"145","Aroldis Chapman",452655,"SL|FF","Foul","null","null"
"149","Aroldis Chapman",605412,"SL|SL","Called Strike","null","null"
"153","Aroldis Chapman",452254,"FF|FF","Swinging Strike","null","null"
"155","Aroldis Chapman",452254,"FF|FF","Swinging Strike","null","null"
"157","Aroldis Chapman",474832,"FF|FF","Swinging Strike","null","null"
"158","Aroldis Chapman",474832,"FF|FF","Swinging Strike","null","null"
"161","Aroldis Chapman",457705,"FF|SL","Called Strike","null","null"
"162","Aroldis Chapman",457705,"SL|FF","Foul","null","null"
"163","Aroldis Chapman",457705,"FF|FF","In play, out(s)","99.6","-10.56"
"166","Aroldis Chapman",570256,"FF|SL","Swinging Strike","null","null"
"167","Aroldis Chapman",570256,"SL|FF","Foul","null","null"
"168","Aroldis Chapman",570256,"FF|SL","Foul","null","null"
"169","Aroldis Chapman",570256,"SL|SL","Swinging Strike (Blocked)","null","null"
"173","Aroldis Chapman",465041,"FF|FF","Swinging Strike","null","null"
"174","Aroldis Chapman",465041,"FF|FF","In play, run(s)","83.3","20.42"
"180","Aroldis Chapman",474568,"FF|FF","Swinging Strike","null","null"
"181","Aroldis Chapman",474568,"FF|FF","Foul","null","null"
"182","Aroldis Chapman",474568,"FF|FF","Foul","null","null"
"183","Aroldis Chapman",474568,"FF|SL","Foul","null","null"
"184","Aroldis Chapman",474568,"SL|SL","Foul","null","null"
"187","Aroldis Chapman",474568,"FF|FF","Foul","null","null"
"188","Aroldis Chapman",474568,"FF|FF","Foul","null","null"
"189","Aroldis Chapman",474568,"FF|SL","Swinging Strike","null","null"
"193","Aroldis Chapman",543281,"FF|FF","Swinging Strike","null","null"
"195","Aroldis Chapman",543281,"FF|FF","Foul","null","null"
"198","Aroldis Chapman",605137,"FF|FF","In play, out(s)","102.7","-16.77"
"199","Aroldis Chapman",605137,"FF|FF","Swinging Strike","null","null"
"200","Aroldis Chapman",605137,"FF|FF","Foul","null","null"
"203","Aroldis Chapman",457705,"FF|FF","In play, out(s)","97.5","35.36"
"206","Aroldis Chapman",457705,"FF|FF","Foul","null","null"
"208","Aroldis Chapman",457705,"FF|SL","Swinging Strike","null","null"
"212","Aroldis Chapman",570256,"SL|FF","Foul","null","null"
"213","Aroldis Chapman",570256,"FF|FF","Foul","null","null"
"214","Aroldis Chapman",570256,"FF|FF","Foul","null","null"
"217","Aroldis Chapman",516782,"FF|FF","Swinging Strike","null","null"
"218","Aroldis Chapman",516782,"FF|FF","Swinging Strike","null","null"
