"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Carlos Martinez",605137,"FF|FT","Swinging Strike","null","null"
"3","Carlos Martinez",605137,"FT|CU","Foul","null","null"
"4","Carlos Martinez",605137,"CU|CU","Foul","null","null"
"5","Carlos Martinez",605137,"CU|CU","Swinging Strike","null","null"
"6","Carlos Martinez",605137,"CU|FT","Called Strike","null","null"
"8","Carlos Martinez",605137,"FF|FF","Foul","null","null"
"11","Carlos Martinez",457705,"FT|CU","Foul","null","null"
"14","Carlos Martinez",457705,"FT|CU","Called Strike","null","null"
"15","Carlos Martinez",457705,"CU|CU","In play, out(s)","95.6","41.36"
"17","Carlos Martinez",444379,"FT|FT","Swinging Strike","null","null"
"22","Carlos Martinez",593700,"FF|FT","In play, out(s)","102.6","-2.99"
"24","Carlos Martinez",518700,"CU|CU","Called Strike","null","null"
"25","Carlos Martinez",518700,"CU|CU","Called Strike","null","null"
"27","Carlos Martinez",518700,"CU|CU","Swinging Strike","null","null"
"29","Carlos Martinez",607192,"CU|CU","Called Strike","null","null"
"30","Carlos Martinez",607192,"CU|FF","Swinging Strike","null","null"
"32","Carlos Martinez",605137,"CU|CU","In play, out(s)","69.8","-27.21"
"33","Carlos Martinez",605137,"CU|CH","Called Strike","null","null"
"34","Carlos Martinez",605137,"CH|CH","Swinging Strike","null","null"
"36","Carlos Martinez",570256,"CU|CH","In play, out(s)","null","null"
"37","Carlos Martinez",570256,"CH|CH","Foul","null","null"
"41","Carlos Martinez",457705,"CH|CU","Swinging Strike","null","null"
"42","Carlos Martinez",457705,"CU|FT","Called Strike","null","null"
"43","Carlos Martinez",457705,"FT|FT","Swinging Strike","null","null"
"46","Carlos Martinez",628356,"FT|FT","In play, out(s)","84","38.36"
"48","Carlos Martinez",444379,"CH|CU","Swinging Strike","null","null"
"50","Carlos Martinez",444379,"FF|FF","Foul","null","null"
"52","Carlos Martinez",446481,"CH|CU","In play, out(s)","83.2","59.82"
"53","Carlos Martinez",446481,"CU|CU","Called Strike","null","null"
"55","Carlos Martinez",593700,"FF|CU","Foul","null","null"
"56","Carlos Martinez",593700,"CU|CU","Foul","null","null"
"57","Carlos Martinez",593700,"CU|CU","Called Strike","null","null"
"58","Carlos Martinez",593700,"CU|FT","Called Strike","null","null"
"59","Carlos Martinez",593700,"FT|CH","Foul","null","null"
"61","Carlos Martinez",518700,"FT|FT","In play, out(s)","57.3","-52.9"
"62","Carlos Martinez",518700,"FT|CU","Swinging Strike","null","null"
"65","Carlos Martinez",605137,"CU|FF","Swinging Strike","null","null"
"66","Carlos Martinez",605137,"FF|FF","Foul","null","null"
"67","Carlos Martinez",605137,"FF|CH","Swinging Strike (Blocked)","null","null"
"71","Carlos Martinez",570256,"FF|CU","Called Strike","null","null"
"74","Carlos Martinez",628356,"CU|FT","Called Strike","null","null"
"75","Carlos Martinez",628356,"FT|CH","Swinging Strike","null","null"
"77","Carlos Martinez",446481,"FT|FT","In play, out(s)","75.2","-4.02"
"80","Carlos Martinez",593700,"FT|FT","Foul","null","null"
"81","Carlos Martinez",593700,"FT|CH","In play, no out","88.7","-7.01"
"83","Carlos Martinez",518700,"FT|FT","Foul","null","null"
"84","Carlos Martinez",518700,"FT|CH","Swinging Strike","null","null"
"85","Carlos Martinez",518700,"CH|CU","Called Strike","null","null"
"88","Carlos Martinez",459964,"CH|FF","Called Strike","null","null"
"89","Carlos Martinez",459964,"FF|CH","In play, out(s)","80.3","32.01"
"92","Carlos Martinez",444379,"CH|CU","Foul","null","null"
"93","Carlos Martinez",444379,"CU|CU","In play, out(s)","65.7","-15.35"
"96","Carlos Martinez",628356,"CU|CU","Foul","null","null"
"97","Carlos Martinez",628356,"CU|CU","Called Strike","null","null"
"99","Carlos Martinez",628356,"FT|CU","In play, out(s)","null","null"
"102","Carlos Martinez",457705,"FT|FT","Foul","null","null"
"103","Carlos Martinez",457705,"FT|CU","In play, no out","76","14.28"
"111","Carlos Martinez",519203,"FF|FT","Foul","null","null"
"114","Carlos Martinez",519203,"FF|FF","In play, out(s)","68.2","50.01"
"116","Carlos Martinez",450314,"FT|FF","In play, no out","102.3","1.64"
"118","Carlos Martinez",450314,"FT|CH","Called Strike","null","null"
"120","Carlos Martinez",608365,"FT|FF","Called Strike","null","null"
"122","Carlos Martinez",518792,"CU|FF","In play, no out","95.1","4.84"
"123","Carlos Martinez",518792,"FF|FF","Called Strike","null","null"
"124","Carlos Martinez",518792,"FF|CU","Foul","null","null"
"126","Carlos Martinez",595879,"FT|FT","Called Strike","null","null"
"127","Carlos Martinez",595879,"FT|CU","Swinging Strike","null","null"
"128","Carlos Martinez",595879,"CU|CU","In play, out(s)","97.4","42.51"
"130","Carlos Martinez",424325,"FT|CU","Swinging Strike","null","null"
"132","Carlos Martinez",424325,"FF|CU","Swinging Strike","null","null"
"136","Carlos Martinez",451594,"CU|CU","Foul","null","null"
"138","Carlos Martinez",451594,"FT|CU","Called Strike","null","null"
"139","Carlos Martinez",451594,"CU|FF","Foul","null","null"
"140","Carlos Martinez",451594,"FF|CU","Swinging Strike","null","null"
"145","Carlos Martinez",592178,"FT|CH","Swinging Strike","null","null"
"148","Carlos Martinez",519203,"CU|FF","Foul","null","null"
"149","Carlos Martinez",519203,"FF|FF","In play, out(s)","null","null"
"150","Carlos Martinez",519203,"FF|FF","Foul","null","null"
"152","Carlos Martinez",450314,"CU|FF","Foul","null","null"
"153","Carlos Martinez",450314,"FF|CU","In play, out(s)","90.8","-0.13"
"157","Carlos Martinez",595879,"FT|FT","Foul","null","null"
"158","Carlos Martinez",595879,"FT|CU","Swinging Strike","null","null"
"159","Carlos Martinez",595879,"CU|CU","Called Strike","null","null"
"164","Carlos Martinez",452657,"FF|CH","Swinging Strike (Blocked)","null","null"
"165","Carlos Martinez",452657,"CH|FF","Swinging Strike","null","null"
"166","Carlos Martinez",452657,"FF|CU","Foul","null","null"
"167","Carlos Martinez",452657,"CU|FF","Foul","null","null"
"169","Carlos Martinez",451594,"FF|CH","In play, no out","98.1","-7.65"
"170","Carlos Martinez",451594,"CH|CU","Swinging Strike","null","null"
"174","Carlos Martinez",592178,"CH|FT","Swinging Strike","null","null"
"175","Carlos Martinez",592178,"FT|FT","Foul","null","null"
