"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"3","Carlos Rodon",572821,"FF|FT","Foul","null","null"
"4","Carlos Rodon",572821,"FT|FT","Called Strike","null","null"
"6","Carlos Rodon",572821,"SL|SL","Swinging Strike","null","null"
"9","Carlos Rodon",593871,"FT|SL","Swinging Strike","null","null"
"11","Carlos Rodon",593871,"FF|FT","Foul","null","null"
"14","Carlos Rodon",543257,"SL|SL","Called Strike","null","null"
"15","Carlos Rodon",543257,"SL|FT","Foul","null","null"
"17","Carlos Rodon",543257,"FF|SL","Called Strike","null","null"
"19","Carlos Rodon",593934,"FT|FF","Called Strike","null","null"
"20","Carlos Rodon",593934,"FF|FT","Foul","null","null"
"21","Carlos Rodon",593934,"FT|SL","Swinging Strike","null","null"
"23","Carlos Rodon",573627,"SL|FT","Called Strike","null","null"
"24","Carlos Rodon",573627,"FT|CH","Swinging Strike","null","null"
"25","Carlos Rodon",573627,"CH|CH","Foul","null","null"
"28","Carlos Rodon",500871,"FF|SL","Swinging Strike (Blocked)","null","null"
"29","Carlos Rodon",500871,"SL|FT","Foul","null","null"
"32","Carlos Rodon",571974,"FF|FF","Foul","null","null"
"33","Carlos Rodon",571974,"FF|FF","Called Strike","null","null"
"35","Carlos Rodon",502582,"FF|SL","Swinging Strike","null","null"
"42","Carlos Rodon",621439,"FF|FF","Called Strike","null","null"
"44","Carlos Rodon",572821,"CH|CH","Swinging Strike","null","null"
"46","Carlos Rodon",593871,"CH|FF","Called Strike","null","null"
"50","Carlos Rodon",593934,"FT|FF","Foul","null","null"
"51","Carlos Rodon",593934,"FF|SL","Swinging Strike","null","null"
"52","Carlos Rodon",593934,"SL|CH","Called Strike","null","null"
"54","Carlos Rodon",573627,"FF|SL","Swinging Strike","null","null"
"56","Carlos Rodon",573627,"FF|CH","Swinging Strike","null","null"
"59","Carlos Rodon",500871,"CH|FT","Called Strike","null","null"
"61","Carlos Rodon",500871,"FF|FF","Foul","null","null"
"63","Carlos Rodon",571974,"FF|FF","In play, out(s)","88.6","27.5"
"66","Carlos Rodon",502582,"FF|FF","Called Strike","null","null"
"68","Carlos Rodon",502582,"SL|FF","Called Strike","null","null"
"72","Carlos Rodon",621439,"FF|FT","In play, no out","90.8","-28.55"
"77","Carlos Rodon",593871,"FF|FF","Foul","null","null"
"78","Carlos Rodon",593871,"FF|FF","In play, run(s)","89.3","11.72"
"80","Carlos Rodon",543257,"CH|FF","Called Strike","null","null"
"83","Carlos Rodon",543257,"FF|FF","Called Strike","null","null"
"86","Carlos Rodon",593934,"SL|FF","In play, run(s)","96.7","31.86"
"90","Carlos Rodon",573627,"FF|FF","Called Strike","null","null"
"91","Carlos Rodon",573627,"FF|FF","In play, out(s)","92.4","-16.67"
"93","Carlos Rodon",572821,"FT|FT","In play, no out","99.8","15.19"
"97","Carlos Rodon",434658,"SL|FF","Called Strike","null","null"
"99","Carlos Rodon",543401,"FT|FF","Called Strike","null","null"
"100","Carlos Rodon",543401,"FF|FF","Called Strike","null","null"
"101","Carlos Rodon",543401,"FF|SL","Called Strike","null","null"
"111","Carlos Rodon",446386,"FF|FF","Called Strike","null","null"
"112","Carlos Rodon",446386,"FF|FT","Called Strike","null","null"
"116","Carlos Rodon",460269,"SL|FT","In play, out(s)","108.1","17.91"
"117","Carlos Rodon",460269,"FT|FF","Called Strike","null","null"
