"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Casey Fien",506560,"FF|FF","Called Strike","null","null"
"3","Casey Fien",506560,"FF|SL","Called Strike","null","null"
"7","Casey Fien",493351,"FT|FT","In play, out(s)","null","null"
"10","Casey Fien",500208,"FF|SL","Foul","null","null"
"11","Casey Fien",500208,"SL|FF","In play, out(s)","null","null"
"13","Casey Fien",500208,"FF|FF","Swinging Strike","null","null"
"18","Casey Fien",506924,"SL|FF","Foul","null","null"
"19","Casey Fien",506924,"FF|FF","Foul","null","null"
"20","Casey Fien",506924,"FF|SL","Foul","null","null"
"21","Casey Fien",506924,"SL|FF","Foul","null","null"
"22","Casey Fien",506924,"FF|SL","In play, run(s)","105.2","22.55"
"24","Casey Fien",453568,"SL|FF","In play, out(s)","71.5","35.03"
"27","Casey Fien",518934,"SL|FF","Called Strike","null","null"
"28","Casey Fien",518934,"FF|SL","Foul","null","null"
"29","Casey Fien",518934,"SL|FF","Foul","null","null"
"33","Casey Fien",471865,"FF|SL","Foul","null","null"
"34","Casey Fien",471865,"SL|FF","Swinging Strike","null","null"
"38","Casey Fien",571448,"CU|SL","Called Strike","null","null"
"40","Casey Fien",571448,"FF|FF","Swinging Strike","null","null"
"41","Casey Fien",571448,"FF|FF","Foul","null","null"
"43","Casey Fien",571448,"FF|FF","Foul (Runner Going)","null","null"
"44","Casey Fien",571448,"FF|FF","Foul (Runner Going)","null","null"
"45","Casey Fien",571448,"FF|FF","Foul (Runner Going)","null","null"
"46","Casey Fien",571448,"FF|FF","Swinging Strike","null","null"
"49","Casey Fien",571437,"SL|SL","Swinging Strike (Blocked)","null","null"
"50","Casey Fien",571437,"SL|FT","Foul","null","null"
"52","Casey Fien",605227,"SL|FT","Foul","null","null"
"53","Casey Fien",605227,"FT|FF","In play, out(s)","73.7","8.32"
"56","Casey Fien",595963,"SL|SL","Swinging Strike","null","null"
"57","Casey Fien",595963,"SL|CU","Called Strike","null","null"
"61","Casey Fien",519237,"FT|SL","In play, no out","76.8","41.29"
"64","Casey Fien",520471,"FT|SL","Foul","null","null"
"66","Casey Fien",488721,"FF|SL","In play, out(s)","82.4","-6.2"
"68","Casey Fien",517370,"SL|SL","Swinging Strike","null","null"
"69","Casey Fien",517370,"SL|FT","In play, out(s)","105.5","39.28"
"71","Casey Fien",517370,"FF|FT","Swinging Strike","null","null"
"74","Casey Fien",571875,"FF|CU","Called Strike","null","null"
"75","Casey Fien",571875,"CU|SL","In play, no out","104.8","4.67"
"86","Casey Fien",592273,"FF|FF","In play, run(s)","104.2","1.9"
"90","Casey Fien",456422,"FT|FF","Called Strike","null","null"
"91","Casey Fien",456422,"FF|SL","In play, no out","96.1","5.05"
"92","Casey Fien",456422,"SL|CU","Called Strike","null","null"
"93","Casey Fien",456422,"CU|FT","Foul","null","null"
"96","Casey Fien",605113,"SL|FF","Foul","null","null"
"97","Casey Fien",605113,"FF|SL","In play, out(s)","85.4","-7.61"
"98","Casey Fien",605113,"SL|CU","Swinging Strike","null","null"
"101","Casey Fien",500208,"FF|CU","Called Strike","null","null"
"103","Casey Fien",500208,"SL|SL","Foul","null","null"
"106","Casey Fien",425834,"FF|SL","Swinging Strike","null","null"
"107","Casey Fien",425834,"SL|SL","Swinging Strike","null","null"
"108","Casey Fien",425834,"SL|FT","Foul","null","null"
"111","Casey Fien",572114,"FF|SL","Foul","null","null"
"112","Casey Fien",572114,"SL|CU","Called Strike","null","null"
"115","Casey Fien",572114,"CU|FF","Swinging Strike","null","null"
"117","Casey Fien",493351,"SL|FT","Swinging Strike","null","null"
"119","Casey Fien",493351,"FF|FF","In play, out(s)","84.6","40.43"
"120","Casey Fien",493351,"FF|FF","Called Strike","null","null"
"122","Casey Fien",493351,"FF|FF","Foul","null","null"
"123","Casey Fien",493351,"FF|FF","Foul","null","null"
"127","Casey Fien",543376,"FF|FT","Foul","null","null"
"128","Casey Fien",543376,"FT|SL","Swinging Strike","null","null"
"129","Casey Fien",543376,"SL|SL","Swinging Strike","null","null"
"131","Casey Fien",645848,"SL|FF","Foul","null","null"
"132","Casey Fien",645848,"FF|FF","Foul (Runner Going)","null","null"
"135","Casey Fien",645848,"FF|FF","Foul","null","null"
"137","Casey Fien",645848,"FF|FF","Foul (Runner Going)","null","null"
