"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"5","Homer Bailey",594838,"SL|CH","Foul","null","null"
"8","Homer Bailey",594838,"FF|FF","In play, no out","99.9","10.19"
"10","Homer Bailey",571875,"CH|FF","Called Strike","null","null"
"11","Homer Bailey",571875,"FF|FF","In play, run(s)","105.4","-2.04"
"17","Homer Bailey",456078,"FF|SL","In play, run(s)","93","-13.99"
"18","Homer Bailey",456078,"SL|SL","Called Strike","null","null"
"20","Homer Bailey",572008,"CH|SL","Foul","null","null"
"21","Homer Bailey",572008,"SL|SL","In play, out(s)","null","null"
"23","Homer Bailey",572008,"FF|CH","Called Strike","null","null"
"24","Homer Bailey",572008,"CH|FF","Foul","null","null"
"25","Homer Bailey",572008,"FF|KC","Foul","null","null"
"26","Homer Bailey",572008,"KC|CH","Foul","null","null"
"29","Homer Bailey",456422,"FF|CH","Foul","null","null"
"33","Homer Bailey",456422,"SL|FT","Foul (Runner Going)","null","null"
"34","Homer Bailey",456422,"FT|CH","In play, no out","98.4","-3.04"
"37","Homer Bailey",608369,"CH|CH","Foul","null","null"
"40","Homer Bailey",518735,"SL|CH","Swinging Strike","null","null"
"41","Homer Bailey",518735,"CH|SL","In play, out(s)","106.9","17.46"
"42","Homer Bailey",518735,"SL|FT","Called Strike","null","null"
"44","Homer Bailey",592626,"CH|FT","Foul","null","null"
"50","Homer Bailey",592808,"FF|SL","Foul","null","null"
"51","Homer Bailey",592808,"SL|FT","Foul","null","null"
"52","Homer Bailey",592808,"FT|SL","Foul","null","null"
"54","Homer Bailey",592808,"FF|FF","Swinging Strike","null","null"
"55","Homer Bailey",592808,"FF|FT","Foul","null","null"
"56","Homer Bailey",592808,"FT|KC","Foul","null","null"
"57","Homer Bailey",592808,"KC|SL","Foul","null","null"
"58","Homer Bailey",592808,"SL|FT","Foul","null","null"
"59","Homer Bailey",592808,"FT|FF","Foul","null","null"
"60","Homer Bailey",592808,"FF|CH","In play, run(s)","86.2","41.33"
