"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"3","J.T. Chargois",594809,"CH|FF","In play, no out","null","null"
"4","J.T. Chargois",594809,"FF|FT","Foul","null","null"
"5","J.T. Chargois",594809,"FT|CH","Foul","null","null"
"8","J.T. Chargois",641313,"FT|SL","Swinging Strike (Blocked)","null","null"
"11","J.T. Chargois",641313,"FT|SL","Called Strike","null","null"
"13","J.T. Chargois",547989,"SL|FF","In play, out(s)","85.7","-9.12"
"16","J.T. Chargois",449181,"FT|SL","Foul","null","null"
"18","J.T. Chargois",444876,"FT|FF","In play, out(s)","86.7","30.82"
"24","J.T. Chargois",502481,"FT|FT","Foul","null","null"
"25","J.T. Chargois",502481,"FT|FF","Called Strike","null","null"
"27","J.T. Chargois",502481,"SL|SL","Foul","null","null"
"29","J.T. Chargois",593160,"SL|FF","In play, out(s)","null","null"
"34","J.T. Chargois",607385,"SL|FF","Foul","null","null"
"36","J.T. Chargois",607385,"FF|FT","Foul","null","null"
"38","J.T. Chargois",607385,"SL|FF","Foul","null","null"
"39","J.T. Chargois",607385,"FF|CH","Foul","null","null"
"40","J.T. Chargois",607385,"CH|FF","Swinging Strike","null","null"
"43","J.T. Chargois",400121,"CH|FT","Foul","null","null"
"45","J.T. Chargois",502110,"SL|FF","Called Strike","null","null"
"46","J.T. Chargois",502110,"FF|CH","Foul","null","null"
"50","J.T. Chargois",457708,"FF|SL","Called Strike","null","null"
"52","J.T. Chargois",457708,"SL|SL","Called Strike","null","null"
"53","J.T. Chargois",457708,"SL|SL","In play, out(s)","62.8","-15.72"
"55","J.T. Chargois",578428,"FF|FF","In play, no out","86","10.15"
"56","J.T. Chargois",578428,"FF|FF","Foul","null","null"
"58","J.T. Chargois",608061,"FT|SL","In play, out(s)","86.7","-15.54"
"60","J.T. Chargois",571841,"FF|CH","Swinging Strike","null","null"
"61","J.T. Chargois",571841,"CH|SL","Called Strike","null","null"
"62","J.T. Chargois",571841,"SL|SL","Foul","null","null"
"64","J.T. Chargois",608700,"SL|FF","In play, out(s)","103.7","-7.64"
"67","J.T. Chargois",607385,"FF|SL","Foul","null","null"
"68","J.T. Chargois",607385,"SL|FF","Swinging Strike","null","null"
"70","J.T. Chargois",607385,"SL|CH","Foul","null","null"
"75","J.T. Chargois",408234,"FF|SL","Foul","null","null"
"77","J.T. Chargois",408234,"FT|CH","In play, run(s)","87.3","15.29"
"80","J.T. Chargois",400121,"SL|FF","In play, out(s)","94.6","26.61"
"84","J.T. Chargois",502110,"FT|SL","Swinging Strike","null","null"
"85","J.T. Chargois",502110,"SL|FF","Swinging Strike","null","null"
"86","J.T. Chargois",502110,"FF|SL","In play, out(s)","100.4","41.23"
"89","J.T. Chargois",457708,"CH|SL","Swinging Strike","null","null"
"90","J.T. Chargois",457708,"SL|CH","Swinging Strike","null","null"
"91","J.T. Chargois",457708,"CH|FF","Called Strike","null","null"
