"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"3","Jose Quintana",523253,"FF|FF","In play, out(s)","78.3","33.61"
"6","Jose Quintana",595281,"FF|FF","Foul","null","null"
"8","Jose Quintana",595281,"CU|FF","Swinging Strike","null","null"
"9","Jose Quintana",595281,"FF|FT","In play, out(s)","85","-28.49"
"12","Jose Quintana",446334,"FT|FF","Swinging Strike","null","null"
"13","Jose Quintana",446334,"FF|FF","Called Strike","null","null"
"15","Jose Quintana",446334,"CH|FF","Called Strike","null","null"
"16","Jose Quintana",446334,"FF|FT","Foul","null","null"
"19","Jose Quintana",543543,"FF|FT","Swinging Strike","null","null"
"20","Jose Quintana",543543,"FT|FF","Foul","null","null"
"24","Jose Quintana",543484,"FT|FT","Called Strike","null","null"
"25","Jose Quintana",543484,"FT|FF","Called Strike","null","null"
"26","Jose Quintana",543484,"FF|CH","Foul","null","null"
"30","Jose Quintana",493351,"FF|FF","In play, run(s)","62.8","23.65"
"32","Jose Quintana",592200,"CU|FT","In play, out(s)","93.2","17.43"
"34","Jose Quintana",592200,"FT|CU","Foul","null","null"
"37","Jose Quintana",435064,"CU|CU","Swinging Strike (Blocked)","null","null"
"38","Jose Quintana",435064,"CU|CU","Swinging Strike","null","null"
"42","Jose Quintana",523253,"FT|FT","Foul","null","null"
"43","Jose Quintana",523253,"FT|FF","Called Strike","null","null"
"44","Jose Quintana",523253,"FF|FF","Foul","null","null"
"45","Jose Quintana",523253,"FF|CU","Swinging Strike","null","null"
"47","Jose Quintana",595281,"CU|FT","In play, no out","96.9","9.04"
"48","Jose Quintana",595281,"FT|CU","Called Strike","null","null"
"49","Jose Quintana",595281,"CU|FF","Swinging Strike","null","null"
"51","Jose Quintana",446334,"FF|FT","In play, out(s)","105.8","7.99"
"53","Jose Quintana",446334,"FF|CU","Foul","null","null"
"55","Jose Quintana",543543,"FF|CU","Foul","null","null"
"56","Jose Quintana",543543,"CU|CU","Swinging Strike (Blocked)","null","null"
"58","Jose Quintana",572816,"FT|FT","Swinging Strike","null","null"
"59","Jose Quintana",572816,"FT|CU","Called Strike","null","null"
"64","Jose Quintana",493351,"CU|CU","Foul","null","null"
"65","Jose Quintana",493351,"CU|FF","Foul","null","null"
"66","Jose Quintana",493351,"FF|CU","Foul","null","null"
"67","Jose Quintana",493351,"CU|FF","Foul","null","null"
"68","Jose Quintana",493351,"FF|FF","Foul","null","null"
"70","Jose Quintana",493351,"CU|CU","In play, out(s)","90.7","-14.09"
"72","Jose Quintana",592200,"FF|CU","Foul","null","null"
"74","Jose Quintana",592200,"FF|FF","Called Strike","null","null"
"77","Jose Quintana",592200,"CU|FF","Called Strike","null","null"
"78","Jose Quintana",592200,"FF|FT","Foul","null","null"
"79","Jose Quintana",592200,"FT|FF","Foul","null","null"
"81","Jose Quintana",435064,"CU|FF","Called Strike","null","null"
"83","Jose Quintana",523253,"FF|FF","Foul","null","null"
"84","Jose Quintana",523253,"FF|FT","In play, out(s)","99.8","0.52"
"85","Jose Quintana",523253,"FT|CH","Swinging Strike","null","null"
"86","Jose Quintana",523253,"CH|FF","Foul","null","null"
"90","Jose Quintana",595281,"FT|FF","In play, no out","95.7","11.93"
"95","Jose Quintana",543543,"FT|CU","Swinging Strike","null","null"
"96","Jose Quintana",543543,"CU|FT","Foul","null","null"
"97","Jose Quintana",543543,"FT|FT","Foul","null","null"
"101","Jose Quintana",572816,"FF|CU","Called Strike","null","null"
"102","Jose Quintana",572816,"CU|FT","Foul","null","null"
"103","Jose Quintana",572816,"FT|FF","Foul","null","null"
"104","Jose Quintana",572816,"FF|CU","In play, no out","92.1","3.15"
"105","Jose Quintana",572816,"CU|FT","Called Strike","null","null"
"108","Jose Quintana",434658,"FF|FF","Foul","null","null"
"110","Jose Quintana",434658,"FT|FF","Foul","null","null"
"113","Jose Quintana",596019,"FT|FT","Called Strike","null","null"
"121","Jose Quintana",435063,"FF|FT","Swinging Strike","null","null"
"123","Jose Quintana",435063,"FT|CH","Foul","null","null"
"125","Jose Quintana",608070,"FF|FT","Called Strike","null","null"
"126","Jose Quintana",608070,"FT|CU","In play, no out","95","12.82"
"129","Jose Quintana",446386,"FF|FT","Foul","null","null"
"131","Jose Quintana",446386,"FT|FT","In play, no out","101","-1.32"
"132","Jose Quintana",446386,"FT|FF","Foul","null","null"
"133","Jose Quintana",446386,"FF|FT","Foul","null","null"
"137","Jose Quintana",424825,"FT|FF","Called Strike","null","null"
"140","Jose Quintana",424825,"CU|FT","Foul","null","null"
"142","Jose Quintana",547379,"FF|FF","Foul","null","null"
"145","Jose Quintana",547379,"FF|FT","Swinging Strike","null","null"
"148","Jose Quintana",434658,"FF|FT","Foul","null","null"
"149","Jose Quintana",434658,"FT|FT","In play, run(s)","90.7","13.46"
"151","Jose Quintana",543401,"FF|CU","Called Strike","null","null"
"152","Jose Quintana",543401,"CU|FT","In play, out(s)","98.1","5.23"
"155","Jose Quintana",596019,"FT|FF","In play, out(s)","76.3","51.82"
"157","Jose Quintana",435063,"FF|FF","In play, out(s)","null","null"
"161","Jose Quintana",435063,"FF|FF","Foul","null","null"
"163","Jose Quintana",467793,"FT|FT","In play, out(s)","80.2","59.82"
"166","Jose Quintana",467793,"CH|FF","Called Strike","null","null"
"167","Jose Quintana",467793,"FF|FF","Foul","null","null"
"170","Jose Quintana",608070,"FF|FF","Called Strike","null","null"
"171","Jose Quintana",608070,"FF|FF","In play, out(s)","105","-6.67"
"174","Jose Quintana",424825,"CU|FF","In play, out(s)","71.2","55.17"
"179","Jose Quintana",596019,"CU|FF","In play, out(s)","80.8","57.05"
"182","Jose Quintana",467793,"CU|FT","In play, out(s)","82.3","55.9"
"183","Jose Quintana",467793,"FT|FF","Called Strike","null","null"
