"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Josh Smoker",596748,"FS|FF","Foul","null","null"
"4","Josh Smoker",519237,"SL|FF","Foul","null","null"
"6","Josh Smoker",519237,"SL|SL","Swinging Strike","null","null"
"7","Josh Smoker",519237,"SL|FF","Foul","null","null"
"9","Josh Smoker",429667,"FF|FF","Called Strike","null","null"
"11","Josh Smoker",596451,"SL|SL","Missed Bunt","null","null"
"12","Josh Smoker",596451,"SL|SL","Foul","null","null"
"16","Josh Smoker",546318,"FS|FF","Foul","null","null"
"20","Josh Smoker",429667,"SL|FF","Foul","null","null"
"21","Josh Smoker",429667,"FF|SL","Foul","null","null"
"23","Josh Smoker",429667,"SL|FF","In play, out(s)","88","31.94"
"25","Josh Smoker",519237,"FF|FF","Swinging Strike","null","null"
"29","Josh Smoker",519237,"SL|FF","Foul","null","null"
"30","Josh Smoker",519237,"FF|SL","Foul","null","null"
"31","Josh Smoker",519237,"SL|FF","Foul","null","null"
"32","Josh Smoker",519237,"FF|SL","Swinging Strike (Blocked)","null","null"
"34","Josh Smoker",520471,"FF|FF","Called Strike","null","null"
"35","Josh Smoker",520471,"FF|FF","Foul","null","null"
"36","Josh Smoker",520471,"FF|SL","Swinging Strike","null","null"
"38","Josh Smoker",605125,"FF|FF","Foul","null","null"
"42","Josh Smoker",605125,"SL|FF","Foul","null","null"
"45","Josh Smoker",573131,"FF|FF","Swinging Strike","null","null"
"47","Josh Smoker",573131,"FF|FF","Foul","null","null"
"50","Josh Smoker",573131,"SL|FF","In play, run(s)","109.6","21.03"
"53","Josh Smoker",455976,"FF|FF","Foul","null","null"
"55","Josh Smoker",455976,"FF|SL","Called Strike","null","null"
"60","Josh Smoker",435559,"FF|SL","Called Strike","null","null"
"61","Josh Smoker",435559,"SL|FF","Swinging Strike","null","null"
"63","Josh Smoker",502582,"FF|SL","Called Strike","null","null"
"64","Josh Smoker",502582,"SL|FF","Foul","null","null"
"65","Josh Smoker",502582,"FF|FF","Foul","null","null"
"66","Josh Smoker",502582,"FF|SL","Swinging Strike (Blocked)","null","null"
"69","Josh Smoker",572821,"FS|FS","Foul","null","null"
"72","Josh Smoker",572821,"SL|SL","Foul","null","null"
"73","Josh Smoker",572821,"SL|FF","In play, out(s)","79.9","83.78"
"75","Josh Smoker",592696,"FF|SL","Called Strike","null","null"
"76","Josh Smoker",592696,"SL|SL","Called Strike","null","null"
"78","Josh Smoker",621439,"FF|FF","Swinging Strike","null","null"
"79","Josh Smoker",621439,"FF|FF","Swinging Strike","null","null"
"81","Josh Smoker",621439,"FF|SL","Foul","null","null"
"84","Josh Smoker",518542,"FF|FF","In play, no out","103.6","7.7"
"86","Josh Smoker",429722,"FF|FF","Swinging Strike","null","null"
"87","Josh Smoker",429722,"FF|FF","Swinging Strike","null","null"
"88","Josh Smoker",429722,"FF|FF","Swinging Strike","null","null"
"95","Josh Smoker",547180,"FF|SL","Called Strike","null","null"
"96","Josh Smoker",547180,"SL|SL","Foul","null","null"
"97","Josh Smoker",547180,"SL|FF","Called Strike","null","null"
"99","Josh Smoker",542255,"SL|FF","In play, out(s)","81.3","56.73"
"100","Josh Smoker",542255,"FF|SL","Called Strike","null","null"
"102","Josh Smoker",611177,"FF|FF","In play, run(s)","101.3","0.56"
"103","Josh Smoker",611177,"FF|SL","Called Strike","null","null"
"105","Josh Smoker",150229,"FF|FF","Swinging Strike","null","null"
"106","Josh Smoker",150229,"FF|FF","Foul","null","null"
"108","Josh Smoker",150229,"SL|FF","Foul (Runner Going)","null","null"
"113","Josh Smoker",408252,"FF|FF","In play, out(s)","null","null"
"115","Josh Smoker",408252,"FF|FF","Foul","null","null"
"116","Josh Smoker",408252,"FF|FF","Foul","null","null"
