"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Kevin Gausman",458731,"SL|FF","Foul","null","null"
"3","Kevin Gausman",458731,"FF|FS","Swinging Strike","null","null"
"4","Kevin Gausman",458731,"FS|FT","Called Strike","null","null"
"7","Kevin Gausman",596142,"SL|FF","Swinging Strike","null","null"
"9","Kevin Gausman",435263,"FS|FS","Foul","null","null"
"11","Kevin Gausman",435263,"SL|FF","Called Strike","null","null"
"12","Kevin Gausman",435263,"FF|FS","In play, out(s)","94.7","38.52"
"15","Kevin Gausman",407893,"FF|FS","Called Strike","null","null"
"18","Kevin Gausman",591720,"SL|FS","Foul","null","null"
"19","Kevin Gausman",591720,"FS|FF","In play, out(s)","81.7","-25.1"
"20","Kevin Gausman",591720,"FF|FF","Called Strike","null","null"
"21","Kevin Gausman",591720,"FF|SL","Called Strike","null","null"
"22","Kevin Gausman",591720,"SL|FS","Foul","null","null"
"25","Kevin Gausman",456781,"SL|SL","In play, out(s)","76","-20.82"
"26","Kevin Gausman",456781,"SL|FF","Called Strike","null","null"
"28","Kevin Gausman",458731,"SL|FF","Called Strike","null","null"
"30","Kevin Gausman",458731,"FF|FF","In play, no out","98","6.22"
"33","Kevin Gausman",453056,"FS|FS","In play, no out","100","7.93"
"34","Kevin Gausman",453056,"FS|FF","Foul","null","null"
"35","Kevin Gausman",453056,"FF|FF","Swinging Strike","null","null"
"38","Kevin Gausman",596142,"FF|FF","Swinging Strike","null","null"
"39","Kevin Gausman",596142,"FF|FF","Called Strike","null","null"
"40","Kevin Gausman",596142,"FF|FF","Swinging Strike","null","null"
"42","Kevin Gausman",435263,"FF|FT","Foul","null","null"
"45","Kevin Gausman",591720,"FS|SL","Called Strike","null","null"
"47","Kevin Gausman",591720,"FF|FS","Foul","null","null"
"48","Kevin Gausman",591720,"FS|FS","In play, out(s)","72.2","-36.24"
"50","Kevin Gausman",456781,"FF|FF","In play, out(s)","103.1","-19.89"
"52","Kevin Gausman",458731,"FT|FS","Swinging Strike","null","null"
"54","Kevin Gausman",458731,"FS|FF","Called Strike","null","null"
"55","Kevin Gausman",458731,"FF|FS","In play, no out","65.7","-32.79"
"57","Kevin Gausman",453056,"FF|FF","In play, out(s)","75.4","-9.62"
"65","Kevin Gausman",435263,"FS|FF","In play, out(s)","90.8","19.89"
"67","Kevin Gausman",407893,"FF|FS","In play, out(s)","74.1","46.7"
"68","Kevin Gausman",407893,"FS|FF","Called Strike","null","null"
"72","Kevin Gausman",456781,"FF|FF","Called Strike","null","null"
"73","Kevin Gausman",456781,"FF|FF","Called Strike","null","null"
"78","Kevin Gausman",453056,"FF|FF","Foul","null","null"
"79","Kevin Gausman",453056,"FF|FF","In play, out(s)","88.2","-19.1"
"81","Kevin Gausman",453056,"SL|FF","Foul","null","null"
"84","Kevin Gausman",596142,"FF|FF","Foul","null","null"
"86","Kevin Gausman",596142,"FF|FF","Foul","null","null"
"87","Kevin Gausman",596142,"FF|FF","In play, no out","107","10.9"
"89","Kevin Gausman",544369,"SL|FF","Swinging Strike","null","null"
"90","Kevin Gausman",544369,"FF|FS","In play, out(s)","null","null"
"91","Kevin Gausman",544369,"FS|FF","Foul","null","null"
"94","Kevin Gausman",407893,"FF|FF","Foul","null","null"
"95","Kevin Gausman",407893,"FF|FS","In play, out(s)","63.9","-11.81"
"98","Kevin Gausman",407893,"FS|FF","Foul","null","null"
"102","Kevin Gausman",543305,"FS|FF","In play, out(s)","93.6","28.57"
"103","Kevin Gausman",543305,"FF|FS","Called Strike","null","null"
"104","Kevin Gausman",543305,"FS|FF","Called Strike","null","null"
"106","Kevin Gausman",544369,"FF|FF","In play, no out","90.5","13.61"
"108","Kevin Gausman",485567,"SL|FT","Called Strike","null","null"
"109","Kevin Gausman",485567,"FT|FT","Called Strike","null","null"
"110","Kevin Gausman",485567,"FT|FT","Foul","null","null"
"115","Kevin Gausman",518626,"FF|SL","Swinging Strike","null","null"
"117","Kevin Gausman",518626,"FF|FF","Called Strike","null","null"
"118","Kevin Gausman",518626,"FF|FF","In play, run(s)","110.1","22.35"
"120","Kevin Gausman",429665,"SL|SL","Called Strike","null","null"
"121","Kevin Gausman",429665,"SL|FF","Called Strike","null","null"
"123","Kevin Gausman",429665,"SL|FS","Swinging Strike","null","null"
"126","Kevin Gausman",430832,"SL|FS","Foul","null","null"
"127","Kevin Gausman",430832,"FS|FF","Foul","null","null"
"128","Kevin Gausman",430832,"FF|FF","Called Strike","null","null"
"130","Kevin Gausman",430832,"FF|FF","Swinging Strike","null","null"
