"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Kevin Quackenbush",594838,"FF|SL","In play, out(s)","71.5","-27.9"
"6","Kevin Quackenbush",516416,"FF|FF","Called Strike","null","null"
"7","Kevin Quackenbush",516416,"FF|FF","Swinging Strike","null","null"
"8","Kevin Quackenbush",516416,"FF|FF","In play, no out","107.5","16.13"
"11","Kevin Quackenbush",572008,"CU|SL","Swinging Strike","null","null"
"12","Kevin Quackenbush",572008,"SL|SL","In play, run(s)","96.8","13.87"
"14","Kevin Quackenbush",502671,"SL|FF","Called Strike","null","null"
"17","Kevin Quackenbush",502671,"SL|FF","Foul","null","null"
"19","Kevin Quackenbush",502671,"FF|FF","Foul","null","null"
"20","Kevin Quackenbush",502671,"FF|CU","Swinging Strike","null","null"
"22","Kevin Quackenbush",502671,"FF|CU","Called Strike","null","null"
"24","Kevin Quackenbush",502671,"CU|CU","In play, out(s)","null","null"
"27","Kevin Quackenbush",456078,"FF|FF","In play, out(s)","null","null"
"31","Kevin Quackenbush",571771,"FF|CU","Called Strike","null","null"
"32","Kevin Quackenbush",571771,"CU|FF","Foul","null","null"
"34","Kevin Quackenbush",571771,"CU|FF","Foul","null","null"
"37","Kevin Quackenbush",605509,"CU|FF","Called Strike","null","null"
"38","Kevin Quackenbush",605509,"FF|FF","Swinging Strike","null","null"
"40","Kevin Quackenbush",474832,"CU|FF","In play, out(s)","100.6","41.91"
"41","Kevin Quackenbush",474832,"FF|CU","Called Strike","null","null"
"44","Kevin Quackenbush",474832,"CU|FF","Called Strike","null","null"
"46","Kevin Quackenbush",457763,"FF|FF","In play, out(s)","96.1","3.74"
"49","Kevin Quackenbush",452655,"CU|FF","In play, run(s)","89.5","26.83"
"52","Kevin Quackenbush",434636,"FF|FF","In play, no out","105.7","6.51"
"54","Kevin Quackenbush",434636,"CU|FF","Called Strike","null","null"
"55","Kevin Quackenbush",434636,"FF|FF","Called Strike","null","null"
"58","Kevin Quackenbush",572008,"CU|FF","In play, out(s)","99.9","36.87"
"59","Kevin Quackenbush",572008,"FF|CU","Called Strike","null","null"
