"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"4","Kyle Hendricks",606299,"FC|FC","Called Strike","null","null"
"5","Kyle Hendricks",606299,"FC|SI","Called Strike","null","null"
"8","Kyle Hendricks",458015,"CU|FC","Foul","null","null"
"9","Kyle Hendricks",458015,"FC|CH","In play, out(s)","74.5","42.92"
"11","Kyle Hendricks",594807,"CH|SI","Called Strike","null","null"
"12","Kyle Hendricks",594807,"SI|CH","In play, no out","87.6","18.7"
"14","Kyle Hendricks",594988,"FC|CH","Called Strike","null","null"
"18","Kyle Hendricks",553993,"FC|FC","Swinging Strike","null","null"
"21","Kyle Hendricks",571466,"SI|CH","Called Strike","null","null"
"22","Kyle Hendricks",571466,"CH|CH","Swinging Strike","null","null"
"23","Kyle Hendricks",571466,"CH|CH","Foul","null","null"
"25","Kyle Hendricks",571466,"SI|SI","In play, run(s)","80.7","4.78"
"29","Kyle Hendricks",573113,"SI|SI","Called Strike","null","null"
"30","Kyle Hendricks",573113,"SI|SI","Foul","null","null"
"31","Kyle Hendricks",573113,"SI|SI","In play, out(s)","87.3","32.62"
"33","Kyle Hendricks",596112,"SI|SI","Called Strike","null","null"
"34","Kyle Hendricks",596112,"SI|FC","In play, out(s)","88.1","2.57"
"37","Kyle Hendricks",474443,"CH|SI","Called Strike","null","null"
"38","Kyle Hendricks",474443,"SI|SI","Called Strike","null","null"
"39","Kyle Hendricks",474443,"SI|CH","Foul","null","null"
"40","Kyle Hendricks",474443,"CH|CH","Swinging Strike","null","null"
"42","Kyle Hendricks",458015,"FC|SI","Foul","null","null"
"44","Kyle Hendricks",458015,"FC|SI","Called Strike","null","null"
"45","Kyle Hendricks",458015,"SI|CH","In play, out(s)","88.7","17.75"
"47","Kyle Hendricks",594807,"FC|SI","Called Strike","null","null"
"48","Kyle Hendricks",594807,"SI|SI","Called Strike","null","null"
"50","Kyle Hendricks",594988,"CH|CH","Swinging Strike","null","null"
"53","Kyle Hendricks",553993,"SI|FC","Called Strike","null","null"
"55","Kyle Hendricks",553993,"CU|FC","Foul","null","null"
"56","Kyle Hendricks",553993,"FC|SI","In play, no out","103.1","18.24"
"58","Kyle Hendricks",623182,"FC|FC","Called Strike","null","null"
"60","Kyle Hendricks",606299,"CU|CU","Foul","null","null"
"63","Kyle Hendricks",474443,"FC|SI","Foul","null","null"
"64","Kyle Hendricks",474443,"SI|SI","Called Strike","null","null"
"66","Kyle Hendricks",474443,"CH|SI","Foul","null","null"
"67","Kyle Hendricks",474443,"SI|SI","Foul","null","null"
"70","Kyle Hendricks",458015,"FC|FC","Called Strike","null","null"
"72","Kyle Hendricks",458015,"FC|FC","Called Strike","null","null"
"73","Kyle Hendricks",458015,"FC|FC","In play, no out","99.1","11.67"
"75","Kyle Hendricks",594807,"SI|CU","Foul","null","null"
"77","Kyle Hendricks",606299,"CH|SI","In play, out(s)","null","null"
"78","Kyle Hendricks",606299,"SI|SI","Called Strike","null","null"
"79","Kyle Hendricks",606299,"SI|CH","Foul","null","null"
"82","Kyle Hendricks",571466,"CH|CU","Called Strike","null","null"
"84","Kyle Hendricks",474443,"SI|SI","Called Strike","null","null"
"85","Kyle Hendricks",474443,"SI|CH","In play, no out","85.3","0.77"
"88","Kyle Hendricks",573113,"CH|SI","In play, run(s)","98.8","18.5"
"91","Kyle Hendricks",605137,"SI|SI","In play, no out","null","null"
"94","Kyle Hendricks",457705,"CH|CH","Swinging Strike","null","null"
"95","Kyle Hendricks",457705,"CH|CH","Swinging Strike","null","null"
"96","Kyle Hendricks",457705,"CH|SI","Called Strike","null","null"
"100","Kyle Hendricks",446481,"SI|CU","Called Strike","null","null"
"102","Kyle Hendricks",465041,"SI|CH","Swinging Strike","null","null"
"103","Kyle Hendricks",465041,"CH|FC","Called Strike","null","null"
"106","Kyle Hendricks",624428,"SI|FC","Called Strike","null","null"
"107","Kyle Hendricks",624428,"FC|FC","Swinging Strike","null","null"
"108","Kyle Hendricks",624428,"FC|FC","Foul","null","null"
"110","Kyle Hendricks",624428,"SI|FC","Foul","null","null"
"111","Kyle Hendricks",624428,"FC|CH","In play, out(s)","null","null"
"113","Kyle Hendricks",444379,"CH|SI","Called Strike","null","null"
"114","Kyle Hendricks",444379,"SI|SI","In play, no out","null","null"
