"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"4","Leonel Campos",571745,"FF|FT","Swinging Strike","null","null"
"7","Leonel Campos",571875,"SL|CH","Swinging Strike","null","null"
"8","Leonel Campos",571875,"CH|FF","In play, no out","85.1","0.46"
"10","Leonel Campos",571812,"FF|FF","Swinging Strike","null","null"
"11","Leonel Campos",571812,"FF|SL","Called Strike","null","null"
"13","Leonel Campos",571812,"SL|SL","Swinging Strike","null","null"
"15","Leonel Campos",592273,"FF|FF","Called Strike","null","null"
"18","Leonel Campos",435062,"FF|SL","Called Strike","null","null"
"20","Leonel Campos",435062,"SL|SL","Swinging Strike","null","null"
"22","Leonel Campos",518586,"FF|FF","Called Strike","null","null"
"23","Leonel Campos",518586,"FF|FF","Swinging Strike","null","null"
"25","Leonel Campos",518586,"FF|FF","Foul","null","null"
"28","Leonel Campos",624577,"FF|SL","Swinging Strike","null","null"
"29","Leonel Campos",624577,"SL|SL","Foul","null","null"
"31","Leonel Campos",624577,"FF|SL","Called Strike","null","null"
"32","Leonel Campos",624577,"SL|SL","In play, no out","69.3","15.24"
"34","Leonel Campos",434563,"SL|FF","In play, run(s)","84.4","-0.09"
"37","Leonel Campos",571771,"SL|SL","Swinging Strike","null","null"
"39","Leonel Campos",434636,"FF|FF","In play, no out","99.5","-8.69"
"43","Leonel Campos",518516,"FF|SL","Swinging Strike","null","null"
"44","Leonel Campos",518516,"SL|FF","Foul","null","null"
"45","Leonel Campos",518516,"FF|SL","Swinging Strike (Blocked)","null","null"
"48","Leonel Campos",452655,"FF|FF","In play, out(s)","65","45.13"
"49","Leonel Campos",452655,"FF|SL","Called Strike","null","null"
"50","Leonel Campos",452655,"SL|FF","Foul","null","null"
"54","Leonel Campos",518934,"SL|FF","In play, out(s)","87.8","52.35"
"56","Leonel Campos",471865,"CH|FF","Foul","null","null"
"57","Leonel Campos",471865,"FF|FF","In play, out(s)","78.7","54.31"
"60","Leonel Campos",571448,"SL|FF","Swinging Strike","null","null"
"61","Leonel Campos",571448,"FF|FF","Foul","null","null"
"62","Leonel Campos",571448,"FF|SL","Swinging Strike (Blocked)","null","null"
"63","Leonel Campos",571448,"SL|SL","In play, out(s)","67.6","7.81"
"64","Leonel Campos",571448,"SL|FF","Called Strike","null","null"
"65","Leonel Campos",571448,"FF|FF","Foul","null","null"
"67","Leonel Campos",621311,"FF|FF","In play, out(s)","97.2","31.8"
"69","Leonel Campos",608596,"SL|SL","Called Strike","null","null"
"70","Leonel Campos",608596,"SL|FF","Foul","null","null"
"72","Leonel Campos",467827,"CH|SL","Swinging Strike","null","null"
"74","Leonel Campos",467827,"CH|FF","Foul","null","null"
"75","Leonel Campos",467827,"FF|FF","Called Strike","null","null"
"77","Leonel Campos",543768,"SL|SL","Called Strike","null","null"
"78","Leonel Campos",543768,"SL|FF","Foul","null","null"
"79","Leonel Campos",543768,"FF|SL","Swinging Strike (Blocked)","null","null"
"86","Leonel Campos",593428,"SL|SL","Swinging Strike","null","null"
"87","Leonel Campos",593428,"SL|SL","Swinging Strike","null","null"
"89","Leonel Campos",434670,"SL|SL","Foul","null","null"
"92","Leonel Campos",571788,"SL|SL","In play, run(s)","99.8","23.83"
"93","Leonel Campos",571788,"SL|FF","Foul","null","null"
"94","Leonel Campos",571788,"FF|SL","Foul","null","null"
"101","Leonel Campos",598265,"SL|SL","Called Strike","null","null"
"104","Leonel Campos",598265,"SL|SL","Swinging Strike (Blocked)","null","null"
"106","Leonel Campos",434670,"SL|FF","In play, out(s)","78.4","-34.06"
"109","Leonel Campos",605141,"SL|FF","Called Strike","null","null"
"110","Leonel Campos",605141,"FF|FF","In play, out(s)","106.6","-16.52"
"114","Leonel Campos",435062,"FF|FF","Foul","null","null"
"115","Leonel Campos",435062,"FF|FF","In play, out(s)","89.6","-30.47"
"118","Leonel Campos",435062,"FF|FF","Foul","null","null"
"119","Leonel Campos",435062,"FF|CH","Foul","null","null"
"120","Leonel Campos",435062,"CH|FF","Foul","null","null"
"122","Leonel Campos",592808,"CH|CH","In play, out(s)","90.1","-74.43"
"123","Leonel Campos",592808,"CH|FF","Foul","null","null"
"127","Leonel Campos",622110,"FF|SL","Called Strike","null","null"
"129","Leonel Campos",622110,"SL|FF","Foul","null","null"
"130","Leonel Campos",622110,"FF|SL","In play, no out","95.7","-6.01"
"139","Leonel Campos",435064,"FF|FF","Called Strike","null","null"
"140","Leonel Campos",435064,"FF|FF","Foul (Runner Going)","null","null"
"143","Leonel Campos",523253,"SL|SL","In play, run(s)","79.8","37.92"
"148","Leonel Campos",595281,"FF|FF","In play, run(s)","109.6","20.03"
"150","Leonel Campos",446334,"FF|FF","Called Strike","null","null"
"151","Leonel Campos",446334,"FF|SL","Called Strike","null","null"
"152","Leonel Campos",446334,"SL|SL","In play, out(s)","64.6","-28.88"
"154","Leonel Campos",489149,"FF|SL","Foul","null","null"
"156","Leonel Campos",489149,"FF|FF","In play, run(s)","109.9","10.14"
"159","Leonel Campos",571841,"FF|FF","Called Strike","null","null"
"160","Leonel Campos",571841,"FF|SL","Called Strike","null","null"
"164","Leonel Campos",435522,"FF|CH","Foul","null","null"
"165","Leonel Campos",435522,"CH|SL","Foul","null","null"
"167","Leonel Campos",435522,"FF|FF","Foul","null","null"
"169","Leonel Campos",435522,"FT|SL","Foul","null","null"
"171","Leonel Campos",435522,"SL|FF","Swinging Strike","null","null"
"175","Leonel Campos",457803,"FF|FF","Foul","null","null"
"178","Leonel Campos",457477,"SL|SL","Foul","null","null"
"179","Leonel Campos",457477,"SL|CH","Foul","null","null"
"180","Leonel Campos",457477,"CH|FF","Foul","null","null"
"182","Leonel Campos",457477,"FF|FF","Swinging Strike","null","null"
"185","Leonel Campos",425784,"CH|SL","In play, out(s)","72.4","-53.04"
"186","Leonel Campos",425784,"SL|SL","Swinging Strike","null","null"
"188","Leonel Campos",608061,"FF|SL","Swinging Strike","null","null"
"189","Leonel Campos",608061,"SL|SL","In play, out(s)","53","-81.52"
"192","Leonel Campos",527038,"FF|FF","In play, out(s)","null","null"
"196","Leonel Campos",457705,"SL|FF","Called Strike","null","null"
"197","Leonel Campos",457705,"FF|FF","In play, out(s)","82.6","33.13"
"200","Leonel Campos",501896,"FF|SL","Foul","null","null"
"202","Leonel Campos",501896,"CH|SL","Swinging Strike","null","null"
"207","Leonel Campos",570256,"SL|FF","In play, out(s)","90.4","43.64"
"209","Leonel Campos",628356,"SL|FF","Foul","null","null"
"212","Leonel Campos",628356,"SL|FF","Foul","null","null"
"214","Leonel Campos",465041,"SL|FF","Foul","null","null"
"215","Leonel Campos",465041,"FF|SL","Foul","null","null"
"216","Leonel Campos",465041,"SL|SL","Swinging Strike","null","null"
"217","Leonel Campos",465041,"SL|FF","Called Strike","null","null"
"218","Leonel Campos",465041,"FF|SL","Called Strike","null","null"
"220","Leonel Campos",446481,"SL|SL","Swinging Strike (Blocked)","null","null"
"221","Leonel Campos",446481,"SL|SL","Swinging Strike","null","null"
"222","Leonel Campos",446481,"SL|FF","Foul","null","null"
"229","Leonel Campos",516782,"FF|SL","Swinging Strike","null","null"
"230","Leonel Campos",516782,"SL|FF","Called Strike","null","null"
"232","Leonel Campos",457705,"FF|FF","Foul","null","null"
"233","Leonel Campos",457705,"FF|SL","Swinging Strike","null","null"
"237","Leonel Campos",457705,"SL|FF","Foul","null","null"
"238","Leonel Campos",457705,"FF|FF","Foul","null","null"
"242","Leonel Campos",543281,"FF|SL","In play, no out","null","null"
"244","Leonel Campos",570256,"SL|SL","In play, out(s)","101.1","5.47"
"246","Leonel Campos",501896,"SL|FF","In play, out(s)","null","null"
"248","Leonel Campos",542340,"SL|FF","Swinging Strike","null","null"
"249","Leonel Campos",542340,"FF|FF","Called Strike","null","null"
"251","Leonel Campos",571697,"SL|FF","In play, out(s)","91.9","28.06"
"255","Leonel Campos",460075,"FF|SL","Called Strike","null","null"
"256","Leonel Campos",460075,"SL|SL","Swinging Strike","null","null"
"258","Leonel Campos",571466,"FF|FF","Foul","null","null"
"260","Leonel Campos",571466,"FF|FF","Foul","null","null"
"262","Leonel Campos",571466,"FF|FF","In play, out(s)","94.1","26.32"
"264","Leonel Campos",474443,"SL|FF","Called Strike","null","null"
"267","Leonel Campos",474443,"FF|FF","In play, out(s)","86.9","2.21"
"269","Leonel Campos",571740,"FF|SL","In play, no out","54.9","-35.66"
"270","Leonel Campos",571740,"SL|FF","Called Strike","null","null"
