"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"3","Lucas Giolito",571745,"FF|FF","Foul","null","null"
"5","Lucas Giolito",571745,"FF|FF","Foul","null","null"
"7","Lucas Giolito",571745,"FF|FF","Called Strike","null","null"
"8","Lucas Giolito",571745,"FF|CH","Foul","null","null"
"12","Lucas Giolito",571875,"CH|FF","Foul","null","null"
"14","Lucas Giolito",571875,"FT|FF","In play, run(s)","106.1","21.56"
"16","Lucas Giolito",456078,"FF|CU","Called Strike","null","null"
"18","Lucas Giolito",456078,"CU|CU","Called Strike","null","null"
"20","Lucas Giolito",592273,"CH|FF","In play, no out","105.7","12.65"
"25","Lucas Giolito",572008,"CU|CU","Called Strike","null","null"
"26","Lucas Giolito",572008,"CU|FF","In play, run(s)","93.3","-0.35"
"29","Lucas Giolito",502671,"CH|FF","Called Strike","null","null"
"30","Lucas Giolito",502671,"FF|CH","In play, out(s)","48.6","-35.99"
"33","Lucas Giolito",571812,"CU|FF","In play, out(s)","null","null"
"35","Lucas Giolito",571812,"FF|FF","Foul","null","null"
"36","Lucas Giolito",571812,"FF|FF","Foul","null","null"
"40","Lucas Giolito",452095,"FF|CU","Called Strike","null","null"
"41","Lucas Giolito",452095,"CU|CU","Hit By Pitch","null","null"
"43","Lucas Giolito",592314,"FF|FF","Swinging Strike","null","null"
"44","Lucas Giolito",592314,"FF|CU","Swinging Strike","null","null"
"45","Lucas Giolito",592314,"CU|FF","Called Strike","null","null"
"48","Lucas Giolito",542255,"CH|FF","Foul","null","null"
"49","Lucas Giolito",542255,"FF|CH","Swinging Strike","null","null"
"50","Lucas Giolito",542255,"CH|CU","Foul","null","null"
"52","Lucas Giolito",542255,"FF|CU","Swinging Strike","null","null"
"54","Lucas Giolito",611177,"CH|FF","Swinging Strike","null","null"
"56","Lucas Giolito",452095,"FF|CH","Foul","null","null"
"58","Lucas Giolito",452095,"CH|CH","Foul","null","null"
"59","Lucas Giolito",452095,"CH|FF","In play, run(s)","91","-20.83"
"61","Lucas Giolito",488818,"FF|CU","Foul","null","null"
"62","Lucas Giolito",488818,"CU|FF","Called Strike","null","null"
"63","Lucas Giolito",488818,"FF|FF","Foul","null","null"
"64","Lucas Giolito",488818,"FF|CU","Foul","null","null"
"65","Lucas Giolito",488818,"CU|FF","Foul","null","null"
"66","Lucas Giolito",488818,"FF|CH","Foul","null","null"
"67","Lucas Giolito",488818,"CH|FF","Called Strike","null","null"
"70","Lucas Giolito",607054,"FF|FF","In play, out(s)","84.7","-26.88"
"71","Lucas Giolito",607054,"FF|FF","Called Strike","null","null"
"72","Lucas Giolito",607054,"FF|FF","Foul","null","null"
"74","Lucas Giolito",455976,"FF|FF","Called Strike","null","null"
"75","Lucas Giolito",455976,"FF|FF","In play, out(s)","97.8","23.04"
"77","Lucas Giolito",621020,"FF|CU","In play, out(s)","88.6","-3.1"
"78","Lucas Giolito",621020,"CU|FF","Called Strike","null","null"
"80","Lucas Giolito",607054,"FF|CH","Foul","null","null"
"81","Lucas Giolito",607054,"CH|FF","In play, out(s)","101.1","-10.2"
"82","Lucas Giolito",607054,"FF|FF","Foul","null","null"
"85","Lucas Giolito",621020,"FF|FF","In play, run(s)","105.2","29.32"
"87","Lucas Giolito",621020,"FF|FF","Called Strike","null","null"
"91","Lucas Giolito",461314,"FF|CU","In play, no out","92.8","14"
"92","Lucas Giolito",461314,"CU|FF","In play, no out","90.3","10.52"
"93","Lucas Giolito",461314,"FF|FF","Foul","null","null"
"97","Lucas Giolito",455976,"FF|FF","In play, no out","97.1","-7.23"
"99","Lucas Giolito",453568,"FF|FF","In play, no out","101.6","8.35"
"106","Lucas Giolito",471865,"FF|FF","Foul (Runner Going)","null","null"
"109","Lucas Giolito",471865,"CU|FF","Foul","null","null"
"110","Lucas Giolito",471865,"FF|FF","In play, out(s)","91.8","30.66"
"112","Lucas Giolito",571448,"FF|CU","Called Strike","null","null"
"114","Lucas Giolito",571448,"FF|CU","In play, run(s)","90","13.38"
"116","Lucas Giolito",621311,"FF|CU","Called Strike","null","null"
"117","Lucas Giolito",621311,"CU|FF","Foul","null","null"
"119","Lucas Giolito",467827,"FF|CU","In play, out(s)","95.8","-4.81"
"120","Lucas Giolito",467827,"CU|FF","Called Strike","null","null"
"121","Lucas Giolito",467827,"FF|FF","Foul","null","null"
"123","Lucas Giolito",547172,"CU|CH","Called Strike","null","null"
"124","Lucas Giolito",547172,"CH|FF","Foul","null","null"
"125","Lucas Giolito",547172,"FF|CH","Swinging Strike","null","null"
"128","Lucas Giolito",518452,"FF|FF","Swinging Strike","null","null"
"129","Lucas Giolito",518452,"FF|FF","In play, out(s)","91","-9.68"
"133","Lucas Giolito",453568,"FF|CH","Swinging Strike","null","null"
"134","Lucas Giolito",453568,"CH|CU","Called Strike","null","null"
"136","Lucas Giolito",453568,"FF|FF","Foul","null","null"
"139","Lucas Giolito",467827,"FF|FF","Swinging Strike","null","null"
"142","Lucas Giolito",467827,"CH|FF","Called Strike","null","null"
"145","Lucas Giolito",453568,"FF|FF","In play, out(s)","89.3","40.33"
"149","Lucas Giolito",518934,"CU|CH","In play, out(s)","62.7","-20.02"
"150","Lucas Giolito",518934,"CH|FF","Called Strike","null","null"
"151","Lucas Giolito",518934,"FF|CU","Foul","null","null"
"156","Lucas Giolito",471865,"CH|FF","In play, out(s)","96.4","24.7"
"162","Lucas Giolito",518614,"CH|FF","Foul","null","null"
"163","Lucas Giolito",518614,"FF|FF","In play, out(s)","99.2","13.58"
"164","Lucas Giolito",518614,"FF|FF","Called Strike","null","null"
"167","Lucas Giolito",471865,"FF|CU","Swinging Strike","null","null"
"168","Lucas Giolito",471865,"CU|FF","In play, no out","107.8","-3.73"
"171","Lucas Giolito",471865,"FF|CU","Foul","null","null"
"174","Lucas Giolito",571448,"FF|FF","Foul","null","null"
"175","Lucas Giolito",571448,"FF|FF","Foul","null","null"
"176","Lucas Giolito",571448,"FF|FF","In play, no out","97.2","37.03"
"177","Lucas Giolito",571448,"FF|FF","Called Strike","null","null"
"178","Lucas Giolito",571448,"FF|FF","Swinging Strike","null","null"
"179","Lucas Giolito",571448,"FF|CU","Foul","null","null"
"180","Lucas Giolito",571448,"CU|CH","Foul","null","null"
"181","Lucas Giolito",571448,"CH|FF","Foul","null","null"
"183","Lucas Giolito",518452,"FF|FF","Called Strike","null","null"
"185","Lucas Giolito",518452,"CU|FF","Foul","null","null"
"186","Lucas Giolito",518452,"FF|FF","Foul","null","null"
"189","Lucas Giolito",518452,"FF|FF","In play, out(s)","null","null"
"193","Lucas Giolito",518934,"CU|CH","In play, out(s)","100","13.34"
