"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Mike Bolsinger",542340,"SL|FF","Called Strike","null","null"
"8","Mike Bolsinger",460075,"FF|CU","Foul","null","null"
"9","Mike Bolsinger",460075,"CU|SL","In play, out(s)","null","null"
"13","Mike Bolsinger",518960,"CU|SL","In play, run(s)","98.3","20.91"
"15","Mike Bolsinger",518960,"FC|SL","Called Strike","null","null"
"17","Mike Bolsinger",474892,"FF|CU","In play, out(s)","90.4","34.77"
"18","Mike Bolsinger",474892,"CU|FF","Called Strike","null","null"
"20","Mike Bolsinger",474892,"SL|SL","Swinging Strike","null","null"
"23","Mike Bolsinger",431094,"FF|FF","Called Strike","null","null"
"24","Mike Bolsinger",431094,"FF|FF","In play, no out","98.4","11.05"
"27","Mike Bolsinger",543590,"CU|CU","In play, out(s)","101","4.62"
"29","Mike Bolsinger",570717,"SL|FF","Called Strike","null","null"
"30","Mike Bolsinger",570717,"FF|CU","Foul","null","null"
"32","Mike Bolsinger",502624,"CH|CU","Called Strike","null","null"
"33","Mike Bolsinger",502624,"CU|SL","Foul","null","null"
"34","Mike Bolsinger",502624,"SL|CU","In play, no out","96.9","-1.65"
"37","Mike Bolsinger",542340,"FF|FF","Foul","null","null"
"38","Mike Bolsinger",542340,"FF|FF","In play, run(s)","97.5","-22.72"
"40","Mike Bolsinger",542340,"CU|FF","Called Strike","null","null"
"44","Mike Bolsinger",460075,"FF|CU","Foul","null","null"
"46","Mike Bolsinger",460075,"FF|CU","In play, out(s)","82.2","4.89"
"48","Mike Bolsinger",518960,"CU|FF","In play, out(s)","97.7","-15.51"
"51","Mike Bolsinger",518960,"CU|FF","Foul","null","null"
"55","Mike Bolsinger",474892,"FF|FF","Called Strike","null","null"
"59","Mike Bolsinger",431094,"FF|CU","Foul","null","null"
"60","Mike Bolsinger",431094,"CU|CU","In play, no out","82.5","17.68"
"62","Mike Bolsinger",431094,"CU|SL","Called Strike","null","null"
"67","Mike Bolsinger",543590,"CU|SL","In play, no out","97.1","4.73"
"69","Mike Bolsinger",570717,"SL|CU","Called Strike","null","null"
"71","Mike Bolsinger",502624,"SL|FC","Foul","null","null"
"72","Mike Bolsinger",502624,"FC|CU","Missed Bunt","null","null"
"76","Mike Bolsinger",571875,"SL|FF","Called Strike","null","null"
"77","Mike Bolsinger",571875,"FF|CU","In play, out(s)","96.2","18.53"
"79","Mike Bolsinger",571875,"CU|CU","Swinging Strike","null","null"
"81","Mike Bolsinger",502671,"SL|FC","Called Strike","null","null"
"83","Mike Bolsinger",444482,"FF|FF","In play, no out","79.9","16.44"
"86","Mike Bolsinger",456078,"FF|CU","Called Strike","null","null"
"88","Mike Bolsinger",456078,"FF|SL","Swinging Strike","null","null"
"93","Mike Bolsinger",630111,"SL|CU","In play, out(s)","null","null"
"94","Mike Bolsinger",630111,"CU|FC","Called Strike","null","null"
"100","Mike Bolsinger",605113,"CU|CU","Called Strike","null","null"
"102","Mike Bolsinger",605113,"FC|CU","Swinging Strike","null","null"
"104","Mike Bolsinger",516416,"CU|SL","Foul","null","null"
"105","Mike Bolsinger",516416,"SL|CU","Foul","null","null"
"108","Mike Bolsinger",516416,"FC|FC","In play, out(s)","85.2","-8.91"
"111","Mike Bolsinger",502671,"FF|FC","Called Strike","null","null"
"112","Mike Bolsinger",502671,"FC|FC","In play, out(s)","100.7","26.66"
"116","Mike Bolsinger",444482,"FC|CU","Swinging Strike","null","null"
"117","Mike Bolsinger",444482,"CU|SL","Foul","null","null"
"119","Mike Bolsinger",444482,"FC|FF","Swinging Strike","null","null"
"122","Mike Bolsinger",456078,"CU|FC","Called Strike","null","null"
"123","Mike Bolsinger",456078,"FC|CU","Foul","null","null"
"125","Mike Bolsinger",456078,"FC|FC","Called Strike","null","null"
"127","Mike Bolsinger",598284,"FC|FF","Foul","null","null"
"128","Mike Bolsinger",598284,"FF|SL","Swinging Strike","null","null"
