"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Nate Jones",593934,"SL|FT","In play, out(s)","86","-22.53"
"3","Nate Jones",593934,"FT|FT","Foul","null","null"
"10","Nate Jones",500871,"SL|FT","Foul","null","null"
"11","Nate Jones",500871,"FT|SL","Called Strike","null","null"
"12","Nate Jones",500871,"SL|SL","In play, out(s)","86.9","-13.05"
"17","Nate Jones",592200,"SL|SL","In play, out(s)","46.6","-46.34"
"18","Nate Jones",592200,"SL|FT","Swinging Strike","null","null"
"20","Nate Jones",493351,"SL|FT","Called Strike","null","null"
"21","Nate Jones",493351,"FT|FT","In play, out(s)","101.4","-2.61"
"23","Nate Jones",570481,"FT|SL","Foul","null","null"
"24","Nate Jones",570481,"SL|SL","Swinging Strike","null","null"
"25","Nate Jones",570481,"SL|FT","Called Strike","null","null"
"26","Nate Jones",570481,"FT|FT","Foul","null","null"
"28","Nate Jones",542583,"FT|SL","In play, out(s)","55.3","-82.51"
"30","Nate Jones",542583,"FT|FT","Foul","null","null"
"31","Nate Jones",542583,"FT|SL","Called Strike","null","null"
"34","Nate Jones",435063,"SL|SL","Called Strike","null","null"
"35","Nate Jones",435063,"SL|SL","Swinging Strike","null","null"
"40","Nate Jones",467793,"SL|FT","Foul","null","null"
"41","Nate Jones",467793,"FT|FT","Called Strike","null","null"
"42","Nate Jones",467793,"FT|FT","Swinging Strike","null","null"
"43","Nate Jones",467793,"FT|FT","Swinging Strike","null","null"
"46","Nate Jones",608070,"SL|FT","Foul","null","null"
"47","Nate Jones",608070,"FT|FT","In play, out(s)","91.2","17.93"
"49","Nate Jones",596144,"FT|SL","In play, out(s)","88.3","-6.09"
"50","Nate Jones",596144,"SL|FT","Swinging Strike","null","null"
"51","Nate Jones",596144,"FT|FT","Called Strike","null","null"
"54","Nate Jones",609275,"FT|FT","In play, no out","92.8","8.36"
"58","Nate Jones",449181,"FT|FT","In play, out(s)","null","null"
"60","Nate Jones",444876,"FT|SL","Swinging Strike","null","null"
"61","Nate Jones",444876,"SL|SL","Swinging Strike","null","null"
"63","Nate Jones",457727,"FT|FT","Called Strike","null","null"
"65","Nate Jones",457727,"FT|SL","Swinging Strike (Blocked)","null","null"
"71","Nate Jones",400121,"SL|SL","Swinging Strike (Blocked)","null","null"
"72","Nate Jones",400121,"SL|FT","Foul","null","null"
"74","Nate Jones",502110,"FT|SL","Foul","null","null"
"75","Nate Jones",502110,"SL|SL","Called Strike","null","null"
"76","Nate Jones",502110,"SL|SL","Swinging Strike","null","null"
"78","Nate Jones",502110,"FT|SL","Swinging Strike (Blocked)","null","null"
"80","Nate Jones",457708,"FT|SL","Swinging Strike","null","null"
"81","Nate Jones",457708,"SL|FT","Called Strike","null","null"
"82","Nate Jones",457708,"FT|SL","Called Strike","null","null"
"85","Nate Jones",457454,"SL|SL","Foul","null","null"
"87","Nate Jones",457454,"SL|FT","Swinging Strike","null","null"
"88","Nate Jones",457454,"FT|FT","Swinging Strike","null","null"
"90","Nate Jones",408045,"FT|FT","Foul","null","null"
"92","Nate Jones",408045,"FT|SL","Called Strike","null","null"
"94","Nate Jones",461858,"SL|SL","Swinging Strike","null","null"
"95","Nate Jones",461858,"SL|SL","Called Strike","null","null"
"97","Nate Jones",461858,"FT|SL","Foul","null","null"
"99","Nate Jones",461858,"FT|FT","In play, no out","91.9","-5.26"
"101","Nate Jones",596146,"FT|FT","Called Strike","null","null"
"102","Nate Jones",596146,"FT|SL","Swinging Strike","null","null"
"105","Nate Jones",500871,"FT|FT","Swinging Strike","null","null"
"106","Nate Jones",500871,"FT|SL","Swinging Strike","null","null"
"107","Nate Jones",500871,"SL|SL","Foul","null","null"
"109","Nate Jones",593871,"SL|FT","Foul","null","null"
"110","Nate Jones",593871,"FT|FT","Called Strike","null","null"
"111","Nate Jones",593871,"FT|FT","Foul","null","null"
"113","Nate Jones",593871,"FT|SL","Foul","null","null"
"114","Nate Jones",593871,"SL|SL","Foul","null","null"
"115","Nate Jones",593871,"SL|FT","Foul","null","null"
"116","Nate Jones",593871,"FT|SL","Swinging Strike","null","null"
"118","Nate Jones",461858,"FT|FT","In play, out(s)","65.3","82.75"
"124","Nate Jones",502110,"SL|FT","Foul","null","null"
"129","Nate Jones",457708,"FT|FT","Called Strike","null","null"
"130","Nate Jones",457708,"FT|FT","Foul","null","null"
"135","Nate Jones",430947,"FT|FT","Called Strike","null","null"
"138","Nate Jones",547982,"SL|FT","Called Strike","null","null"
"140","Nate Jones",547982,"SL|SL","Foul","null","null"
"141","Nate Jones",547982,"SL|FT","Foul","null","null"
"142","Nate Jones",547982,"FT|SL","Foul","null","null"
"143","Nate Jones",547982,"SL|SL","Foul","null","null"
"144","Nate Jones",547982,"SL|SL","Foul","null","null"
"145","Nate Jones",547982,"SL|FT","Swinging Strike","null","null"
"147","Nate Jones",452234,"SL|FT","Swinging Strike","null","null"
"148","Nate Jones",452234,"FT|SL","Swinging Strike (Blocked)","null","null"
"149","Nate Jones",452234,"SL|SL","Called Strike","null","null"
"152","Nate Jones",606466,"FT|FT","In play, out(s)","96.1","18.11"
"157","Nate Jones",452252,"FT|FT","Foul","null","null"
"159","Nate Jones",452252,"FT|FT","In play, out(s)","106.1","-19.72"
"163","Nate Jones",572287,"SL|SL","Swinging Strike","null","null"
"164","Nate Jones",572287,"SL|SL","In play, out(s)","null","null"
"166","Nate Jones",547982,"FT|FT","In play, out(s)","96.6","40.68"
"170","Nate Jones",543760,"FT|CU","Called Strike","null","null"
"172","Nate Jones",543760,"SL|FT","Foul","null","null"
"173","Nate Jones",543760,"FT|FT","Foul","null","null"
"174","Nate Jones",543760,"FT|FT","Foul","null","null"
"175","Nate Jones",543760,"FT|FT","Foul","null","null"
"176","Nate Jones",543760,"FT|FT","Foul","null","null"
"177","Nate Jones",543760,"FT|FT","Foul","null","null"
"178","Nate Jones",543760,"FT|FT","Swinging Strike","null","null"
"180","Nate Jones",501981,"SL|SL","Called Strike","null","null"
"181","Nate Jones",501981,"SL|SL","Swinging Strike (Blocked)","null","null"
"184","Nate Jones",592387,"SL|SL","Called Strike","null","null"
"185","Nate Jones",592387,"SL|SL","In play, no out","80.4","-4.89"
"189","Nate Jones",518649,"SL|SL","In play, out(s)","78.8","48.18"
"190","Nate Jones",518649,"SL|SL","Called Strike","null","null"
"191","Nate Jones",518649,"SL|SL","Foul","null","null"
"193","Nate Jones",501981,"FT|FT","In play, out(s)","90","67.07"
"196","Nate Jones",592387,"SL|FT","Called Strike","null","null"
"197","Nate Jones",592387,"FT|FT","In play, no out","100.1","4.81"
"199","Nate Jones",519390,"SL|FT","In play, no out","67.4","-17.12"
"200","Nate Jones",519390,"FT|FT","Foul","null","null"
"202","Nate Jones",518649,"FT|FT","In play, run(s)","92.5","14.28"
