"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Noah Syndergaard",542303,"SL|SI","Foul","null","null"
"3","Noah Syndergaard",542303,"SI|SL","Foul","null","null"
"5","Noah Syndergaard",542303,"SI|FF","Called Strike","null","null"
"6","Noah Syndergaard",542303,"FF|FF","Foul","null","null"
"8","Noah Syndergaard",542303,"SI|SL","In play, run(s)","87.3","-12.06"
"10","Noah Syndergaard",445988,"FF|FF","Foul","null","null"
"11","Noah Syndergaard",445988,"FF|FF","Called Strike","null","null"
"12","Noah Syndergaard",445988,"FF|FF","In play, out(s)","93.6","-14.19"
"14","Noah Syndergaard",592885,"SI|FF","In play, out(s)","107.5","-17.1"
"16","Noah Syndergaard",592885,"FF|SI","Foul","null","null"
"18","Noah Syndergaard",519317,"FF|FF","Swinging Strike","null","null"
"19","Noah Syndergaard",519317,"FF|FF","Called Strike","null","null"
"22","Noah Syndergaard",571506,"FF|SI","In play, no out","104.5","9.58"
"25","Noah Syndergaard",592663,"FF|FF","In play, out(s)","94","21.4"
"26","Noah Syndergaard",592663,"FF|SL","Called Strike","null","null"
"27","Noah Syndergaard",592663,"SL|SL","Foul","null","null"
"29","Noah Syndergaard",588751,"SL|FF","Called Strike","null","null"
"30","Noah Syndergaard",588751,"FF|SL","In play, no out","101.7","-3.83"
"32","Noah Syndergaard",543408,"FF|FF","Swinging Strike","null","null"
"33","Noah Syndergaard",543408,"FF|FF","Swinging Strike","null","null"
"35","Noah Syndergaard",543829,"SL|SL","Swinging Strike","null","null"
"36","Noah Syndergaard",543829,"SL|SI","Called Strike","null","null"
"38","Noah Syndergaard",542303,"FF|FF","Foul","null","null"
"39","Noah Syndergaard",542303,"FF|SL","Called Strike","null","null"
"40","Noah Syndergaard",542303,"SL|SI","Foul","null","null"
"41","Noah Syndergaard",542303,"SI|SL","Swinging Strike","null","null"
"43","Noah Syndergaard",542303,"FF|CH","Foul","null","null"
"45","Noah Syndergaard",445988,"SI|SL","Swinging Strike","null","null"
"46","Noah Syndergaard",445988,"SL|FF","Called Strike","null","null"
"47","Noah Syndergaard",445988,"FF|SL","Foul","null","null"
"49","Noah Syndergaard",592885,"FF|FF","In play, out(s)","111.2","-1.44"
"51","Noah Syndergaard",571506,"CH|FF","Called Strike","null","null"
"54","Noah Syndergaard",592663,"SL|FF","Foul","null","null"
"55","Noah Syndergaard",592663,"FF|CU","Foul","null","null"
"56","Noah Syndergaard",592663,"CU|FF","Foul","null","null"
"57","Noah Syndergaard",592663,"FF|CU","In play, out(s)","90.9","5.51"
"59","Noah Syndergaard",542513,"SI|SI","Called Strike","null","null"
"60","Noah Syndergaard",542513,"SI|FF","In play, out(s)","100.8","-9.34"
"62","Noah Syndergaard",543829,"SI|SI","Foul","null","null"
"63","Noah Syndergaard",543829,"SI|FF","Foul","null","null"
"64","Noah Syndergaard",543829,"FF|CH","Swinging Strike","null","null"
"65","Noah Syndergaard",543829,"CH|SL","Foul","null","null"
"66","Noah Syndergaard",543829,"SL|SL","Foul","null","null"
"69","Noah Syndergaard",542303,"FF|SL","Foul","null","null"
"70","Noah Syndergaard",542303,"SL|SI","In play, out(s)","103.5","32.47"
"74","Noah Syndergaard",445988,"FF|SL","Swinging Strike","null","null"
"76","Noah Syndergaard",592885,"CH|SL","Called Strike","null","null"
"77","Noah Syndergaard",592885,"SL|SI","Swinging Strike","null","null"
"82","Noah Syndergaard",519317,"SL|SL","Called Strike","null","null"
"84","Noah Syndergaard",519317,"SI|FF","Swinging Strike","null","null"
"89","Noah Syndergaard",588751,"SL|SI","In play, out(s)","104.7","-13.11"
"90","Noah Syndergaard",588751,"SI|SI","Called Strike","null","null"
"91","Noah Syndergaard",588751,"SI|SI","Called Strike","null","null"
"95","Noah Syndergaard",542255,"FF|SL","Swinging Strike","null","null"
"98","Noah Syndergaard",542255,"FF|FF","Called Strike","null","null"
"101","Noah Syndergaard",611177,"FF|SI","Called Strike","null","null"
"102","Noah Syndergaard",611177,"SI|SL","Swinging Strike","null","null"
"104","Noah Syndergaard",455976,"CH|FF","Foul","null","null"
"105","Noah Syndergaard",455976,"FF|SL","Foul","null","null"
"106","Noah Syndergaard",455976,"SL|FF","Foul","null","null"
"107","Noah Syndergaard",455976,"FF|CH","In play, no out","93.6","-2.3"
"109","Noah Syndergaard",455976,"SI|SI","Called Strike","null","null"
"110","Noah Syndergaard",455976,"SI|CH","Foul","null","null"
"116","Noah Syndergaard",452095,"SL|SI","Swinging Strike","null","null"
"121","Noah Syndergaard",607054,"FF|SI","Called Strike","null","null"
"123","Noah Syndergaard",621020,"SI|SL","Swinging Strike","null","null"
"124","Noah Syndergaard",621020,"SL|SI","In play, run(s)","98.6","2.05"
"126","Noah Syndergaard",542255,"CH|SL","In play, run(s)","81.3","5.52"
"128","Noah Syndergaard",542255,"SL|CH","Foul","null","null"
"130","Noah Syndergaard",611177,"SI|FF","In play, out(s)","78.9","44.64"
"133","Noah Syndergaard",611177,"FF|SI","Foul","null","null"
"135","Noah Syndergaard",518692,"FF|FF","Foul","null","null"
"136","Noah Syndergaard",518692,"FF|SI","In play, run(s)","105.6","27.45"
"138","Noah Syndergaard",518692,"FF|CH","Foul","null","null"
"141","Noah Syndergaard",461314,"FF|CH","Foul","null","null"
"142","Noah Syndergaard",461314,"CH|CH","Foul","null","null"
"143","Noah Syndergaard",461314,"CH|SL","Called Strike","null","null"
"144","Noah Syndergaard",461314,"SL|FF","Swinging Strike","null","null"
"146","Noah Syndergaard",455976,"FF|SL","Foul","null","null"
"148","Noah Syndergaard",455976,"FF|CU","Called Strike","null","null"
"149","Noah Syndergaard",455976,"CU|FF","Called Strike","null","null"
"151","Noah Syndergaard",455976,"FF|FF","Foul","null","null"
"153","Noah Syndergaard",455976,"CU|FF","In play, no out","90.3","14.5"
"156","Noah Syndergaard",452095,"SL|FF","Foul","null","null"
"157","Noah Syndergaard",452095,"FF|SI","Called Strike","null","null"
"158","Noah Syndergaard",452095,"SI|FF","Called Strike","null","null"
"161","Noah Syndergaard",607054,"SI|SI","Called Strike","null","null"
"162","Noah Syndergaard",607054,"SI|CU","In play, out(s)","88.8","-11.79"
"164","Noah Syndergaard",621020,"SL|FF","In play, no out","97.8","15.23"
"166","Noah Syndergaard",621020,"SI|SL","Swinging Strike","null","null"
"168","Noah Syndergaard",594760,"FF|FF","Foul","null","null"
"169","Noah Syndergaard",594760,"FF|FF","Foul","null","null"
"172","Noah Syndergaard",542255,"FF|FF","Foul","null","null"
"173","Noah Syndergaard",542255,"FF|FF","Foul","null","null"
