"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"3","Rob Scahill",471865,"SL|FT","Called Strike","null","null"
"5","Rob Scahill",471865,"FT|FT","In play, no out","99.7","-6.12"
"8","Rob Scahill",608596,"SL|FT","Swinging Strike","null","null"
"9","Rob Scahill",608596,"FT|CU","In play, out(s)","null","null"
"11","Rob Scahill",641958,"FF|FF","Called Strike","null","null"
"14","Rob Scahill",642162,"SL|FF","Called Strike","null","null"
"16","Rob Scahill",642162,"SL|CU","Called Strike","null","null"
"17","Rob Scahill",642162,"CU|CU","Foul","null","null"
"18","Rob Scahill",642162,"CU|SL","Swinging Strike","null","null"
"21","Rob Scahill",608566,"FT|FT","Foul","null","null"
"23","Rob Scahill",608566,"FF|FF","Called Strike","null","null"
"24","Rob Scahill",608566,"FF|CU","Swinging Strike","null","null"
"27","Rob Scahill",453568,"FT|FF","Foul","null","null"
"29","Rob Scahill",621311,"FT|CU","Foul","null","null"
"32","Rob Scahill",621311,"FF|FT","Foul","null","null"
"33","Rob Scahill",621311,"FT|FF","In play, out(s)","77.9","27.44"
"37","Rob Scahill",571448,"SL|SL","In play, out(s)","65.6","-13.64"
"38","Rob Scahill",571448,"SL|FF","Called Strike","null","null"
"42","Rob Scahill",460576,"SL|SL","Called Strike","null","null"
"44","Rob Scahill",608577,"FT|FT","In play, out(s)","99.2","-16.83"
"45","Rob Scahill",608577,"FT|FT","Called Strike","null","null"
"48","Rob Scahill",573185,"FF|FF","In play, out(s)","73.3","-24.13"
"50","Rob Scahill",606299,"SL|FT","In play, no out","95.6","-7.74"
"52","Rob Scahill",606299,"FT|FT","Called Strike","null","null"
"53","Rob Scahill",606299,"FT|CH","Foul","null","null"
"55","Rob Scahill",594988,"FT|FT","In play, no out","108.8","8.43"
"58","Rob Scahill",458015,"SL|FT","Foul","null","null"
"60","Rob Scahill",458015,"FT|SL","Foul","null","null"
"61","Rob Scahill",458015,"SL|SL","Foul","null","null"
"62","Rob Scahill",458015,"SL|FT","Foul","null","null"
"65","Rob Scahill",594807,"FT|SL","In play, run(s)","null","null"
"66","Rob Scahill",594807,"SL|FF","Foul","null","null"
"67","Rob Scahill",594807,"FF|FT","Called Strike","null","null"
"70","Rob Scahill",446481,"FT|SL","Foul","null","null"
"71","Rob Scahill",446481,"SL|FF","Swinging Strike","null","null"
"72","Rob Scahill",446481,"FF|FT","Foul","null","null"
"74","Rob Scahill",474568,"SL|FF","Called Strike","null","null"
"75","Rob Scahill",474568,"FF|FF","Called Strike","null","null"
"78","Rob Scahill",474568,"FF|FT","In play, out(s)","74.5","-28.17"
"80","Rob Scahill",501896,"FT|SL","Foul","null","null"
"81","Rob Scahill",501896,"SL|SL","Swinging Strike","null","null"
"83","Rob Scahill",501896,"SL|FF","Called Strike","null","null"
"86","Rob Scahill",519333,"FT|FF","In play, out(s)","80.2","47"
"89","Rob Scahill",493128,"FT|FT","Foul","null","null"
"90","Rob Scahill",493128,"FT|FF","Foul","null","null"
"92","Rob Scahill",471083,"FT|CU","In play, out(s)","null","null"
"93","Rob Scahill",471083,"CU|FT","Called Strike","null","null"
"94","Rob Scahill",471083,"FT|FF","Called Strike","null","null"
"95","Rob Scahill",471083,"FF|FF","Hit By Pitch","null","null"
"96","Rob Scahill",471083,"FF|FF","Swinging Strike","null","null"
"98","Rob Scahill",608365,"SL|FF","Foul","null","null"
"102","Rob Scahill",608365,"SL|FF","Foul","null","null"
"103","Rob Scahill",608365,"FF|SL","In play, out(s)","95.9","-0.97"
"106","Rob Scahill",592178,"FT|FT","In play, out(s)","108.4","6.46"
"109","Rob Scahill",519203,"CU|FT","In play, out(s)","64","-41.18"
"114","Rob Scahill",519333,"FT|FF","Foul","null","null"
"115","Rob Scahill",519333,"FF|FT","In play, out(s)","107.6","-4.19"
"118","Rob Scahill",450314,"FF|CU","Called Strike","null","null"
"120","Rob Scahill",450314,"FT|FT","In play, out(s)","null","null"
"126","Rob Scahill",543281,"FT|FT","Foul","null","null"
"127","Rob Scahill",543281,"FT|FF","Foul","null","null"
"132","Rob Scahill",457705,"FT|FF","Swinging Strike","null","null"
"133","Rob Scahill",457705,"FF|FT","Foul","null","null"
"135","Rob Scahill",285064,"FF|FT","In play, out(s)","null","null"
"136","Rob Scahill",285064,"FT|FF","Swinging Strike","null","null"
"140","Rob Scahill",543281,"FF|CU","Called Strike","null","null"
"146","Rob Scahill",452252,"CU|FT","Called Strike","null","null"
"147","Rob Scahill",452252,"FT|FT","In play, run(s)","97","22.07"
"153","Rob Scahill",572287,"FT|FF","In play, run(s)","92.9","19.25"
"156","Rob Scahill",547982,"CU|FT","In play, out(s)","104.3","-6.03"
"157","Rob Scahill",547982,"FT|CU","Called Strike","null","null"
"159","Rob Scahill",606466,"CU|FF","Foul","null","null"
"161","Rob Scahill",606466,"FT|CU","Swinging Strike (Blocked)","null","null"
"163","Rob Scahill",624585,"CU|FT","Swinging Strike","null","null"
"167","Rob Scahill",624585,"FT|FT","Called Strike","null","null"
"170","Rob Scahill",453562,"FT|FT","Foul","null","null"
"173","Rob Scahill",575929,"CU|FT","In play, out(s)","51.2","-10.54"
"174","Rob Scahill",575929,"FT|CU","Called Strike","null","null"
"178","Rob Scahill",450314,"FF|FT","In play, no out","85.1","28.76"
