"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"3","Tim Lincecum",493114,"CH|CU","In play, no out","81.2","5.59"
"5","Tim Lincecum",452234,"CU|CH","Swinging Strike (Blocked)","null","null"
"7","Tim Lincecum",452234,"CH|FT","Called Strike","null","null"
"9","Tim Lincecum",452234,"CH|FT","In play, no out","76.8","16.24"
"11","Tim Lincecum",429664,"CH|FT","In play, run(s)","106.1","-6.4"
"14","Tim Lincecum",572122,"CU|FT","Called Strike","null","null"
"17","Tim Lincecum",452252,"CH|CH","In play, run(s)","109.1","18.09"
"18","Tim Lincecum",452252,"CH|CH","Swinging Strike","null","null"
"19","Tim Lincecum",452252,"CH|FT","Foul","null","null"
"21","Tim Lincecum",547982,"CU|CH","Foul","null","null"
"22","Tim Lincecum",547982,"CH|CH","Swinging Strike","null","null"
"23","Tim Lincecum",547982,"CH|CH","In play, run(s)","81.5","30.94"
"27","Tim Lincecum",572287,"CH|CH","In play, run(s)","99.1","30.99"
"28","Tim Lincecum",572287,"CH|CH","Foul","null","null"
"29","Tim Lincecum",572287,"CH|CH","Swinging Strike","null","null"
"30","Tim Lincecum",572287,"CH|CU","Foul","null","null"
"34","Tim Lincecum",493114,"FT|CU","In play, out(s)","76.2","75.64"
"40","Tim Lincecum",452234,"CH|FT","Called Strike","null","null"
"44","Tim Lincecum",572122,"CH|CH","Swinging Strike","null","null"
"45","Tim Lincecum",572122,"CH|SL","Foul","null","null"
"46","Tim Lincecum",572122,"SL|SL","Foul","null","null"
"48","Tim Lincecum",572122,"FT|CH","In play, out(s)","98","8.54"
"50","Tim Lincecum",452252,"CH|SL","Foul","null","null"
"51","Tim Lincecum",452252,"SL|CH","In play, no out","100.2","16.65"
"53","Tim Lincecum",452252,"CH|FT","Called Strike","null","null"
"55","Tim Lincecum",547982,"FT|CU","Called Strike","null","null"
"57","Tim Lincecum",547982,"CH|CH","In play, out(s)","101.6","25.67"
"59","Tim Lincecum",572287,"FT|FF","Foul","null","null"
"60","Tim Lincecum",572287,"FF|CH","In play, out(s)","99.9","39.24"
"61","Tim Lincecum",572287,"CH|CH","Swinging Strike","null","null"
"64","Tim Lincecum",502523,"SL|FT","Called Strike","null","null"
"69","Tim Lincecum",493114,"CH|FT","Foul","null","null"
"70","Tim Lincecum",493114,"FT|CU","Foul (Runner Going)","null","null"
