"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Tyler Chatwood",452655,"FF|FC","In play, no out","97","5.09"
"3","Tyler Chatwood",452655,"FC|FT","Called Strike","null","null"
"4","Tyler Chatwood",452655,"FT|FC","Swinging Strike","null","null"
"7","Tyler Chatwood",474832,"FF|FC","Swinging Strike","null","null"
"8","Tyler Chatwood",474832,"FC|FF","Foul","null","null"
"10","Tyler Chatwood",452254,"FF|FF","Called Strike","null","null"
"12","Tyler Chatwood",452254,"FC|FC","Swinging Strike","null","null"
"13","Tyler Chatwood",452254,"FC|FT","In play, no out","97.8","2.52"
"16","Tyler Chatwood",543063,"FF|FC","Swinging Strike","null","null"
"17","Tyler Chatwood",543063,"FC|FT","Called Strike","null","null"
"19","Tyler Chatwood",543063,"FT|FF","Foul","null","null"
"21","Tyler Chatwood",605412,"FF|FC","Foul","null","null"
"23","Tyler Chatwood",605412,"FT|FF","Foul","null","null"
"24","Tyler Chatwood",605412,"FF|FF","Swinging Strike (Blocked)","null","null"
"25","Tyler Chatwood",605412,"FF|FF","Swinging Strike","null","null"
"28","Tyler Chatwood",543216,"FT|FT","Called Strike","null","null"
"29","Tyler Chatwood",543216,"FT|FT","In play, no out","103.1","-5.49"
"32","Tyler Chatwood",502188,"FT|FF","Called Strike","null","null"
"33","Tyler Chatwood",502188,"FF|FF","Swinging Strike","null","null"
"34","Tyler Chatwood",502188,"FF|FF","Swinging Strike","null","null"
"38","Tyler Chatwood",452655,"FF|CU","Called Strike","null","null"
"39","Tyler Chatwood",452655,"CU|CU","Swinging Strike (Blocked)","null","null"
"41","Tyler Chatwood",474832,"FC|FF","In play, out(s)","71.3","4.7"
"46","Tyler Chatwood",452254,"FT|FF","Foul","null","null"
"47","Tyler Chatwood",452254,"FF|FF","Foul","null","null"
"50","Tyler Chatwood",452254,"FT|FF","Swinging Strike","null","null"
"53","Tyler Chatwood",543063,"FF|FC","Swinging Strike","null","null"
"55","Tyler Chatwood",543063,"FC|FF","Foul","null","null"
"59","Tyler Chatwood",434636,"FT|FF","In play, out(s)","87.7","-26.22"
"61","Tyler Chatwood",543216,"FT|FC","Foul","null","null"
"63","Tyler Chatwood",543216,"FF|CU","Called Strike","null","null"
"65","Tyler Chatwood",543216,"FC|CU","Swinging Strike (Blocked)","null","null"
"71","Tyler Chatwood",457763,"FT|FT","In play, out(s)","null","null"
"74","Tyler Chatwood",452254,"FF|FF","Swinging Strike","null","null"
"75","Tyler Chatwood",452254,"FF|FF","Called Strike","null","null"
"81","Tyler Chatwood",434636,"FF|FT","Foul","null","null"
"83","Tyler Chatwood",605412,"FF|FT","In play, out(s)","93.1","8.09"
"84","Tyler Chatwood",605412,"FT|FF","Called Strike","null","null"
"85","Tyler Chatwood",605412,"FF|FF","Called Strike","null","null"
"87","Tyler Chatwood",605412,"FF|FT","Called Strike","null","null"
"89","Tyler Chatwood",605412,"FT|FC","In play, out(s)","93.1","4.82"
"91","Tyler Chatwood",434636,"FF|FF","Called Strike","null","null"
"94","Tyler Chatwood",434636,"FT|CH","In play, out(s)","61.2","-20.77"
"101","Tyler Chatwood",457763,"FC|FT","Called Strike","null","null"
"102","Tyler Chatwood",457763,"FT|FT","In play, out(s)","89.9","38.63"
"104","Tyler Chatwood",608369,"FT|FF","In play, out(s)","103","-1.44"
"106","Tyler Chatwood",608369,"FF|FF","Called Strike","null","null"
"109","Tyler Chatwood",408236,"FT|FF","In play, out(s)","92.5","45.41"
"114","Tyler Chatwood",502210,"FT|FF","Foul","null","null"
"116","Tyler Chatwood",502210,"FT|FT","In play, out(s)","84.2","32.28"
"122","Tyler Chatwood",435062,"FC|FF","Called Strike","null","null"
"123","Tyler Chatwood",435062,"FF|FT","In play, out(s)","null","null"
"124","Tyler Chatwood",435062,"FT|FF","Called Strike","null","null"
"128","Tyler Chatwood",474463,"FT|FT","Called Strike","null","null"
"129","Tyler Chatwood",474463,"FT|FT","In play, out(s)","87.8","-12.21"
"132","Tyler Chatwood",400284,"FT|FF","Foul","null","null"
"133","Tyler Chatwood",400284,"FF|FF","Foul","null","null"
"134","Tyler Chatwood",400284,"FF|FT","Called Strike","null","null"
"135","Tyler Chatwood",400284,"FT|FT","Foul","null","null"
"139","Tyler Chatwood",608369,"FF|FF","Foul","null","null"
"140","Tyler Chatwood",608369,"FF|FT","Foul","null","null"
"144","Tyler Chatwood",608369,"FF|FF","Called Strike","null","null"
"150","Tyler Chatwood",518735,"FT|FF","Foul","null","null"
"151","Tyler Chatwood",518735,"FF|FF","In play, no out","95.1","0.38"
"154","Tyler Chatwood",502210,"FT|FF","Foul","null","null"
"155","Tyler Chatwood",502210,"FF|FF","Called Strike","null","null"
"156","Tyler Chatwood",502210,"FF|FT","In play, out(s)","86.6","30.26"
"159","Tyler Chatwood",592626,"FT|FC","Swinging Strike","null","null"
"162","Tyler Chatwood",592626,"FF|FF","Swinging Strike","null","null"
"166","Tyler Chatwood",574847,"FT|FT","Foul","null","null"
"167","Tyler Chatwood",574847,"FT|FF","Foul","null","null"
"169","Tyler Chatwood",574847,"FC|FT","Foul","null","null"
"171","Tyler Chatwood",574847,"FT|FC","Swinging Strike","null","null"
"173","Tyler Chatwood",400284,"FF|CU","Swinging Strike","null","null"
"174","Tyler Chatwood",400284,"CU|CU","Called Strike","null","null"
"178","Tyler Chatwood",408236,"FT|FT","Called Strike","null","null"
"179","Tyler Chatwood",408236,"FT|FC","In play, no out","81","8.58"
"181","Tyler Chatwood",518735,"FT|FF","Called Strike","null","null"
"184","Tyler Chatwood",502210,"FF|FF","In play, run(s)","42.8","20.17"
"185","Tyler Chatwood",502210,"FF|FF","Foul","null","null"
"186","Tyler Chatwood",502210,"FF|FT","Swinging Strike","null","null"
"192","Tyler Chatwood",435062,"FT|FT","In play, out(s)","null","null"
"195","Tyler Chatwood",592808,"FF|FT","Foul","null","null"
"197","Tyler Chatwood",592808,"FF|FT","Swinging Strike","null","null"
"199","Tyler Chatwood",592808,"FT|FF","Foul","null","null"
"200","Tyler Chatwood",592808,"FF|FF","In play, out(s)","62.3","-7.66"
"201","Tyler Chatwood",592808,"FF|FF","In play, out(s)","83.4","65.6"
"202","Tyler Chatwood",592808,"FF|CU","Foul","null","null"
"204","Tyler Chatwood",608369,"FF|FC","Swinging Strike","null","null"
"208","Tyler Chatwood",571976,"FC|FT","In play, run(s)","104.9","20.47"
"210","Tyler Chatwood",571976,"FT|FT","Foul","null","null"
"213","Tyler Chatwood",543105,"FF|FF","Swinging Strike","null","null"
"215","Tyler Chatwood",543105,"FF|FT","Called Strike","null","null"
"218","Tyler Chatwood",596143,"FF|FT","In play, out(s)","85","48.01"
"221","Tyler Chatwood",519083,"CH|FC","Swinging Strike","null","null"
"222","Tyler Chatwood",519083,"FC|FC","In play, out(s)","73.2","-6.59"
"223","Tyler Chatwood",519083,"FC|CH","Called Strike","null","null"
"226","Tyler Chatwood",506560,"FF|FF","Foul","null","null"
"228","Tyler Chatwood",506560,"FF|FT","Foul","null","null"
"230","Tyler Chatwood",543184,"FF|FF","Foul","null","null"
"231","Tyler Chatwood",543184,"FF|FF","Called Strike","null","null"
"233","Tyler Chatwood",543184,"FF|FF","Swinging Strike","null","null"
"234","Tyler Chatwood",543184,"FF|FF","Called Strike","null","null"
"242","Tyler Chatwood",445055,"FT|null","Hit By Pitch","null","null"
"244","Tyler Chatwood",571976,"FC|FC","Foul","null","null"
"245","Tyler Chatwood",571976,"FC|FF","Swinging Strike","null","null"
"248","Tyler Chatwood",571976,"FC|FC","Called Strike","null","null"
"251","Tyler Chatwood",572114,"FF|FT","Called Strike","null","null"
"254","Tyler Chatwood",572114,"FT|FT","Foul","null","null"
"257","Tyler Chatwood",543105,"FT|FF","In play, run(s)","61.4","22"
"259","Tyler Chatwood",519083,"FC|FC","In play, out(s)","92.4","43.98"
"262","Tyler Chatwood",506560,"CU|FT","In play, out(s)","null","null"
"266","Tyler Chatwood",506560,"FF|FF","Foul","null","null"
"268","Tyler Chatwood",543184,"FF|FF","Foul","null","null"
"269","Tyler Chatwood",543184,"FF|FF","Swinging Strike","null","null"
"270","Tyler Chatwood",543184,"FF|FF","Called Strike","null","null"
"274","Tyler Chatwood",608671,"FF|CU","In play, no out","91.6","-26.94"
"276","Tyler Chatwood",608671,"CU|CH","Foul","null","null"
"278","Tyler Chatwood",445055,"CU|CU","Called Strike","null","null"
"279","Tyler Chatwood",445055,"CU|FT","In play, run(s)","null","null"
"281","Tyler Chatwood",571976,"FT|FT","Called Strike","null","null"
"283","Tyler Chatwood",572114,"FF|FT","Foul","null","null"
"284","Tyler Chatwood",572114,"FT|FC","Swinging Strike","null","null"
"286","Tyler Chatwood",543105,"FT|FC","Swinging Strike","null","null"
"287","Tyler Chatwood",543105,"FC|FC","Called Strike","null","null"
"288","Tyler Chatwood",543105,"FC|FC","Swinging Strike","null","null"
"292","Tyler Chatwood",596143,"FC|FF","Called Strike","null","null"
"294","Tyler Chatwood",596143,"CU|CU","In play, run(s)","null","null"
"296","Tyler Chatwood",519083,"null|null","Called Strike","null","null"
"301","Tyler Chatwood",596143,"FF|CU","Foul","null","null"
"303","Tyler Chatwood",543105,"FT|FT","In play, out(s)","104.3","-4.03"
"304","Tyler Chatwood",543105,"FT|FT","Foul","null","null"
"307","Tyler Chatwood",596143,"CH|FF","Called Strike","null","null"
"308","Tyler Chatwood",596143,"FF|FT","Called Strike","null","null"
"309","Tyler Chatwood",596143,"FT|FT","In play, out(s)","87.5","-25.95"
"311","Tyler Chatwood",608671,"FF|FT","Called Strike","null","null"
"313","Tyler Chatwood",608671,"FT|FF","Foul","null","null"
"315","Tyler Chatwood",500208,"FF|FF","Foul","null","null"
"316","Tyler Chatwood",500208,"FF|FT","Called Strike","null","null"
"318","Tyler Chatwood",516949,"FF|FF","Foul","null","null"
"319","Tyler Chatwood",516949,"FF|FT","Foul","null","null"
"325","Tyler Chatwood",606131,"CU|FF","Called Strike","null","null"
"326","Tyler Chatwood",606131,"FF|FT","Foul","null","null"
"327","Tyler Chatwood",606131,"FT|CU","Swinging Strike (Blocked)","null","null"
"329","Tyler Chatwood",608671,"FT|FT","Called Strike","null","null"
"339","Tyler Chatwood",608671,"FT|FT","Called Strike","null","null"
"340","Tyler Chatwood",608671,"FT|FF","Called Strike","null","null"
"343","Tyler Chatwood",572114,"FF|FT","Called Strike","null","null"
"344","Tyler Chatwood",572114,"FT|FT","Swinging Strike","null","null"
"346","Tyler Chatwood",572114,"FT|FT","Called Strike","null","null"
"348","Tyler Chatwood",445055,"FF|FF","Foul","null","null"
"350","Tyler Chatwood",445055,"FF|FC","In play, out(s)","85.7","12"
"351","Tyler Chatwood",445055,"FC|FF","In play, out(s)","75.7","-38.48"
"353","Tyler Chatwood",516949,"FF|FT","In play, out(s)","82.4","6.08"
