"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"9","Pedro Baez",543216,"FF|FF","Swinging Strike","null","null"
"12","Pedro Baez",543216,"CH|FF","Foul","null","null"
"14","Pedro Baez",519043,"FF|FF","Swinging Strike","null","null"
"17","Pedro Baez",519043,"FF|FF","In play, out(s)","null","null"
"19","Pedro Baez",434636,"FF|FF","Foul","null","null"
"20","Pedro Baez",434636,"FF|FF","Called Strike","null","null"
"21","Pedro Baez",434636,"FF|CH","In play, no out","null","null"
"23","Pedro Baez",572863,"FT|FT","Foul (Runner Going)","null","null"
"24","Pedro Baez",572863,"FT|FF","Swinging Strike","null","null"
"30","Pedro Baez",518934,"SL|SL","In play, out(s)","85.7","7.67"
"34","Pedro Baez",506924,"FF|FF","In play, out(s)","59.2","18.75"
"35","Pedro Baez",506924,"FF|FT","Foul","null","null"
"37","Pedro Baez",606132,"FF|FF","Foul","null","null"
"38","Pedro Baez",606132,"FF|FF","Swinging Strike","null","null"
"41","Pedro Baez",453568,"CH|FF","Foul","null","null"
"42","Pedro Baez",453568,"FF|FF","Foul","null","null"
"43","Pedro Baez",453568,"FF|FF","In play, out(s)","92.6","26.3"
"45","Pedro Baez",518934,"FT|FT","In play, out(s)","79.3","38.41"
"47","Pedro Baez",571448,"FF|FF","Called Strike","null","null"
"48","Pedro Baez",571448,"FF|FF","Swinging Strike","null","null"
"50","Pedro Baez",457763,"SL|FF","Foul","null","null"
"53","Pedro Baez",457763,"FF|FF","Foul","null","null"
"54","Pedro Baez",457763,"FF|FF","Foul","null","null"
"55","Pedro Baez",457763,"FF|FF","Foul","null","null"
"56","Pedro Baez",457763,"FF|FF","In play, no out","95.1","12.05"
"58","Pedro Baez",452254,"FF|FF","In play, out(s)","null","null"
"60","Pedro Baez",452254,"FF|FF","Foul","null","null"
"62","Pedro Baez",607776,"FF|FF","Swinging Strike","null","null"
"63","Pedro Baez",607776,"FF|SL","Swinging Strike","null","null"
"65","Pedro Baez",452254,"FF|FF","In play, out(s)","69.5","-19.63"
"66","Pedro Baez",452254,"FF|FF","Foul","null","null"
"68","Pedro Baez",491676,"SL|FF","Called Strike","null","null"
"71","Pedro Baez",491676,"FT|FF","In play, out(s)","94.7","0.99"
"73","Pedro Baez",592273,"FF|SL","In play, out(s)","96.6","4.33"
"74","Pedro Baez",592273,"SL|SL","Swinging Strike","null","null"
"75","Pedro Baez",592273,"SL|SL","Called Strike","null","null"
"77","Pedro Baez",571745,"FF|FF","Foul","null","null"
"79","Pedro Baez",571745,"CH|FF","Foul","null","null"
"80","Pedro Baez",571745,"FF|FF","Foul","null","null"
"82","Pedro Baez",571745,"FT|SL","Swinging Strike","null","null"
"84","Pedro Baez",594838,"CH|FF","In play, no out","97.2","12.2"
"88","Pedro Baez",516416,"FF|FF","Swinging Strike","null","null"
"89","Pedro Baez",516416,"FF|FF","Foul","null","null"
"92","Pedro Baez",594838,"SL|FF","Called Strike","null","null"
