"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"3","Raul Alcantara",493114,"FF|FF","Foul","null","null"
"4","Raul Alcantara",493114,"FF|CH","In play, no out","90.4","-10.01"
"5","Raul Alcantara",493114,"CH|FF","Called Strike","null","null"
"6","Raul Alcantara",493114,"FF|FF","Called Strike","null","null"
"7","Raul Alcantara",493114,"FF|FF","Foul","null","null"
"9","Raul Alcantara",493114,"FF|CH","Foul","null","null"
"12","Raul Alcantara",452234,"FT|FF","Foul","null","null"
"14","Raul Alcantara",452234,"FF|FF","In play, out(s)","100.5","21.78"
"17","Raul Alcantara",443558,"CU|SL","Called Strike","null","null"
"18","Raul Alcantara",443558,"SL|FF","In play, no out","110.9","11.04"
"26","Raul Alcantara",452252,"FF|CH","In play, out(s)","101.1","-10.65"
"27","Raul Alcantara",452252,"CH|FF","Called Strike","null","null"
"29","Raul Alcantara",547982,"CH|CH","Called Strike","null","null"
"30","Raul Alcantara",547982,"CH|FF","Called Strike","null","null"
"33","Raul Alcantara",493114,"FF|FF","Foul","null","null"
"37","Raul Alcantara",443558,"FF|SL","In play, run(s)","103.5","26.59"
"38","Raul Alcantara",443558,"SL|SL","Called Strike","null","null"
"39","Raul Alcantara",443558,"SL|SL","Called Strike","null","null"
"42","Raul Alcantara",572122,"CH|FF","In play, no out","102.1","25.14"
"44","Raul Alcantara",572122,"CH|FF","Called Strike","null","null"
"46","Raul Alcantara",606466,"CH|FF","Called Strike","null","null"
"48","Raul Alcantara",429664,"CH|FF","In play, run(s)","106.8","20.48"
"50","Raul Alcantara",429664,"FF|CH","In play, run(s)","102.4","27.19"
"54","Raul Alcantara",595777,"FF|FF","Foul","null","null"
"55","Raul Alcantara",595777,"FF|null","In play, out(s)","null","null"
"57","Raul Alcantara",608577,"FF|FF","Swinging Strike","null","null"
"61","Raul Alcantara",608577,"FF|FF","Called Strike","null","null"
"63","Raul Alcantara",608336,"FF|FF","Called Strike","null","null"
"64","Raul Alcantara",608336,"FF|FF","Called Strike","null","null"
"65","Raul Alcantara",608336,"FF|FF","Called Strike","null","null"
"67","Raul Alcantara",607387,"FF|FF","Called Strike","null","null"
"68","Raul Alcantara",607387,"FF|FF","Called Strike","null","null"
