"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Zach Eflin",400284,"FF|FF","Called Strike","null","null"
"4","Zach Eflin",608369,"FF|FT","In play, run(s)","104.7","36.03"
"8","Zach Eflin",502210,"FT|FF","Foul","null","null"
"11","Zach Eflin",408236,"FT|FF","Called Strike","null","null"
"14","Zach Eflin",518735,"FT|SL","Foul","null","null"
"15","Zach Eflin",518735,"SL|FT","Called Strike","null","null"
"16","Zach Eflin",518735,"FT|SL","Called Strike","null","null"
"21","Zach Eflin",592626,"SL|FT","In play, run(s)","110.1","14.89"
"23","Zach Eflin",592626,"SL|CH","Foul","null","null"
"24","Zach Eflin",592626,"CH|SL","Foul","null","null"
"26","Zach Eflin",574847,"FT|FF","Foul","null","null"
"27","Zach Eflin",574847,"FF|FF","In play, run(s)","89.4","28.87"
"28","Zach Eflin",574847,"FF|SL","Foul","null","null"
"29","Zach Eflin",574847,"SL|SL","Foul","null","null"
"34","Zach Eflin",457759,"CH|CH","In play, out(s)","91.5","27.42"
"35","Zach Eflin",457759,"CH|FF","Called Strike","null","null"
"38","Zach Eflin",502210,"SL|FF","Called Strike","null","null"
"40","Zach Eflin",408236,"FT|FF","Called Strike","null","null"
"43","Zach Eflin",518735,"FF|CH","Called Strike","null","null"
"44","Zach Eflin",518735,"CH|FT","In play, run(s)","110.2","34.43"
"47","Zach Eflin",592626,"SL|FF","Called Strike","null","null"
"50","Zach Eflin",592626,"FF|CH","In play, out(s)","105.4","8.17"
"52","Zach Eflin",574847,"SL|FF","Foul","null","null"
"54","Zach Eflin",574847,"FF|SL","In play, out(s)","101.4","18.08"
"55","Zach Eflin",574847,"SL|FF","Called Strike","null","null"
"56","Zach Eflin",574847,"FF|SL","Foul","null","null"
"59","Zach Eflin",628711,"FF|FF","Called Strike","null","null"
"62","Zach Eflin",457759,"FT|FT","In play, no out","96","25.82"
"63","Zach Eflin",457759,"FT|SL","Foul","null","null"
"66","Zach Eflin",400284,"SL|SL","Foul","null","null"
"68","Zach Eflin",400284,"FT|FF","In play, run(s)","101.7","26.73"
"69","Zach Eflin",400284,"FF|FT","Called Strike","null","null"
"73","Zach Eflin",434636,"FF|FF","In play, out(s)","83.4","60.38"
"75","Zach Eflin",452254,"SL|FT","Called Strike","null","null"
"76","Zach Eflin",452254,"FT|FF","Called Strike","null","null"
"77","Zach Eflin",452254,"FF|FF","Foul","null","null"
