pitch_type,player_name,batter,description,hit_speed,hit_angle
FF,Rob Scahill,571448,"In play, out(s)",93.1,24.36
SL,Rob Scahill,471865,Ball,null,null
FT,Rob Scahill,471865,Called Strike,null,null
FT,Rob Scahill,471865,Ball,null,null
FT,Rob Scahill,471865,"In play, no out",99.7,-6.12
FT,Rob Scahill,608596,Foul,null,null
SL,Rob Scahill,608596,Ball,null,null
FT,Rob Scahill,608596,Swinging Strike,null,null
CU,Rob Scahill,608596,"In play, out(s)",null,null
FF,Rob Scahill,641958,"In play, no out",96.8,-7.7
FF,Rob Scahill,641958,Called Strike,null,null
FF,Rob Scahill,642162,Foul,null,null
SL,Rob Scahill,642162,Ball In Dirt,null,null
FF,Rob Scahill,642162,Called Strike,null,null
SL,Rob Scahill,642162,Ball,null,null
CU,Rob Scahill,642162,Called Strike,null,null
CU,Rob Scahill,642162,Foul,null,null
SL,Rob Scahill,642162,Swinging Strike,null,null
FT,Rob Scahill,542436,"In play, out(s)",69.5,-31.08
FT,Rob Scahill,608566,Swinging Strike,null,null
FT,Rob Scahill,608566,Foul,null,null
FF,Rob Scahill,608566,Ball,null,null
FF,Rob Scahill,608566,Called Strike,null,null
CU,Rob Scahill,608566,Swinging Strike,null,null
SL,Rob Scahill,453568,"In play, no out",90.3,34.31
FT,Rob Scahill,453568,Ball,null,null
FF,Rob Scahill,453568,Foul,null,null
FT,Rob Scahill,621311,Foul,null,null
CU,Rob Scahill,621311,Foul,null,null
FT,Rob Scahill,621311,Ball,null,null
FF,Rob Scahill,621311,Ball,null,null
FT,Rob Scahill,621311,Foul,null,null
FF,Rob Scahill,621311,"In play, out(s)",77.9,27.44
FT,Rob Scahill,471865,"In play, out(s)",102.6,-4.02
FF,Rob Scahill,642162,"In play, out(s)",95.9,-2.18
SL,Rob Scahill,571448,Swinging Strike,null,null
SL,Rob Scahill,571448,"In play, out(s)",65.6,-13.64
FF,Rob Scahill,571448,Called Strike,null,null
FT,Rob Scahill,462101,"In play, out(s)",60.2,3.37
FT,Rob Scahill,462101,Ball,null,null
SL,Rob Scahill,460576,"In play, out(s)",106.1,13.67
SL,Rob Scahill,460576,Called Strike,null,null
FT,Rob Scahill,608577,Ball,null,null
FT,Rob Scahill,608577,"In play, out(s)",99.2,-16.83
FT,Rob Scahill,608577,Called Strike,null,null
FT,Rob Scahill,608577,Ball,null,null
FF,Rob Scahill,573185,Ball,null,null
FF,Rob Scahill,573185,"In play, out(s)",73.3,-24.13
SL,Rob Scahill,606299,Ball,null,null
FT,Rob Scahill,606299,"In play, no out",95.6,-7.74
FT,Rob Scahill,606299,Ball,null,null
FT,Rob Scahill,606299,Called Strike,null,null
CH,Rob Scahill,606299,Foul,null,null
FT,Rob Scahill,594988,Ball,null,null
FT,Rob Scahill,594988,"In play, no out",108.8,8.43
SL,Rob Scahill,458015,Ball,null,null
SL,Rob Scahill,458015,Ball,null,null
FT,Rob Scahill,458015,Foul,null,null
FT,Rob Scahill,458015,Ball,null,null
SL,Rob Scahill,458015,Foul,null,null
SL,Rob Scahill,458015,Foul,null,null
FT,Rob Scahill,458015,Foul,null,null
FT,Rob Scahill,458015,Ball In Dirt,null,null
FT,Rob Scahill,594807,Ball In Dirt,null,null
SL,Rob Scahill,594807,"In play, run(s)",null,null
FF,Rob Scahill,594807,Foul,null,null
FT,Rob Scahill,594807,Called Strike,null,null
FT,Rob Scahill,408252,"In play, out(s)",64.6,51.94
FT,Rob Scahill,446481,Ball,null,null
SL,Rob Scahill,446481,Foul,null,null
FF,Rob Scahill,446481,Swinging Strike,null,null
FT,Rob Scahill,446481,Foul,null,null
SL,Rob Scahill,474568,Ball,null,null
FF,Rob Scahill,474568,Called Strike,null,null
FF,Rob Scahill,474568,Called Strike,null,null
FT,Rob Scahill,474568,Ball,null,null
FF,Rob Scahill,474568,Ball,null,null
FT,Rob Scahill,474568,"In play, out(s)",74.5,-28.17
FT,Rob Scahill,501896,Ball,null,null
SL,Rob Scahill,501896,Foul,null,null
SL,Rob Scahill,501896,Swinging Strike,null,null
SL,Rob Scahill,501896,Ball,null,null
FF,Rob Scahill,501896,Called Strike,null,null
FF,Rob Scahill,519333,Swinging Strike,null,null
FT,Rob Scahill,519333,Ball,null,null
FF,Rob Scahill,519333,"In play, out(s)",80.2,47
SL,Rob Scahill,493128,Swinging Strike,null,null
FT,Rob Scahill,493128,Ball,null,null
FT,Rob Scahill,493128,Foul,null,null
FF,Rob Scahill,493128,Foul,null,null
FT,Rob Scahill,471083,Ball,null,null
CU,Rob Scahill,471083,"In play, out(s)",null,null
FT,Rob Scahill,471083,Called Strike,null,null
FF,Rob Scahill,471083,Called Strike,null,null
FF,Rob Scahill,471083,Hit By Pitch,null,null
FF,Rob Scahill,471083,Swinging Strike,null,null
SL,Rob Scahill,608365,Swinging Strike,null,null
FF,Rob Scahill,608365,Foul,null,null
FT,Rob Scahill,608365,Ball,null,null
CU,Rob Scahill,608365,Ball,null,null
SL,Rob Scahill,608365,Ball,null,null
FF,Rob Scahill,608365,Foul Tip,null,null
SL,Rob Scahill,608365,"In play, out(s)",95.9,-0.97
FT,Rob Scahill,592178,Swinging Strike,null,null
FT,Rob Scahill,592178,Ball,null,null
FT,Rob Scahill,592178,"In play, out(s)",108.4,6.46
CU,Rob Scahill,519203,Called Strike,null,null
CU,Rob Scahill,519203,Ball,null,null
FT,Rob Scahill,519203,"In play, out(s)",64,-41.18
FT,Rob Scahill,519333,Swinging Strike,null,null
FF,Rob Scahill,519333,Ball,null,null
CU,Rob Scahill,519333,Ball,null,null
FT,Rob Scahill,519333,Ball,null,null
FF,Rob Scahill,519333,Foul,null,null
FT,Rob Scahill,519333,"In play, out(s)",107.6,-4.19
FT,Rob Scahill,450314,Foul,null,null
FF,Rob Scahill,450314,Ball,null,null
CU,Rob Scahill,450314,Called Strike,null,null
FT,Rob Scahill,450314,Ball,null,null
FT,Rob Scahill,450314,"In play, out(s)",null,null
FT,Rob Scahill,458085,"In play, run(s)",102.7,-9.26
FT,Rob Scahill,458085,Ball,null,null
FT,Rob Scahill,446481,"In play, out(s)",93.6,-11.98
FT,Rob Scahill,446481,Ball,null,null
FT,Rob Scahill,543281,Called Strike,null,null
FT,Rob Scahill,543281,Foul Tip,null,null
FF,Rob Scahill,543281,Foul Tip,null,null
FT,Rob Scahill,543281,Ball,null,null
SL,Rob Scahill,543281,Ball,null,null
FT,Rob Scahill,605137,"In play, no out",null,null
FT,Rob Scahill,457705,Foul Tip,null,null
FF,Rob Scahill,457705,Swinging Strike,null,null
FT,Rob Scahill,457705,Foul,null,null
FF,Rob Scahill,285064,Called Strike,null,null
FT,Rob Scahill,285064,"In play, out(s)",null,null
FF,Rob Scahill,285064,Swinging Strike,null,null
FT,Rob Scahill,543281,Ball,null,null
FT,Rob Scahill,543281,Ball,null,null
FF,Rob Scahill,543281,Ball,null,null
CU,Rob Scahill,543281,Called Strike,null,null
CU,Rob Scahill,543281,Ball,null,null
FT,Rob Scahill,605137,"In play, out(s)",null,null
FT,Rob Scahill,605137,Ball,null,null
FT,Rob Scahill,493114,"In play, out(s)",93.7,-10.77
CU,Rob Scahill,452252,Ball,null,null
FT,Rob Scahill,452252,Called Strike,null,null
FT,Rob Scahill,452252,"In play, run(s)",97,22.07
FT,Rob Scahill,452252,Ball,null,null
FT,Rob Scahill,452252,Ball,null,null
FT,Rob Scahill,572287,Foul,null,null
SL,Rob Scahill,572287,Ball,null,null
FT,Rob Scahill,572287,Ball,null,null
FF,Rob Scahill,572287,"In play, run(s)",92.9,19.25
FT,Rob Scahill,547982,Ball,null,null
CU,Rob Scahill,547982,Ball,null,null
FT,Rob Scahill,547982,"In play, out(s)",104.3,-6.03
CU,Rob Scahill,547982,Called Strike,null,null
CU,Rob Scahill,606466,Called Strike,null,null
FF,Rob Scahill,606466,Foul,null,null
FT,Rob Scahill,606466,Ball,null,null
CU,Rob Scahill,606466,Swinging Strike (Blocked),null,null
CU,Rob Scahill,624585,Called Strike,null,null
FT,Rob Scahill,624585,Swinging Strike,null,null
CU,Rob Scahill,624585,Ball,null,null
FT,Rob Scahill,624585,Ball,null,null
FT,Rob Scahill,624585,Ball,null,null
FT,Rob Scahill,624585,Called Strike,null,null
FF,Rob Scahill,595879,"In play, no out",83.7,18.48
FT,Rob Scahill,453562,"In play, out(s)",null,null
FT,Rob Scahill,453562,Foul,null,null
FT,Rob Scahill,575929,Swinging Strike,null,null
CU,Rob Scahill,575929,Ball,null,null
FT,Rob Scahill,575929,"In play, out(s)",51.2,-10.54
CU,Rob Scahill,575929,Called Strike,null,null
FT,Rob Scahill,575929,Ball,null,null
FF,Rob Scahill,450314,Foul,null,null
FF,Rob Scahill,450314,Ball,null,null
FT,Rob Scahill,450314,"In play, no out",85.1,28.76
CU,Rob Scahill,450314,Ball,null,null
FT,Rob Scahill,450314,Called Strike,null,null
FF,Rob Scahill,575929,"In play, run(s)",103.2,-6.54
FT,Rob Scahill,575929,Ball,null,null
SL,Rob Scahill,575929,Foul,null,null
SL,Rob Scahill,595879,Called Strike,null,null
FF,Rob Scahill,595879,"In play, run(s)",105.7,32.21
FF,Rob Scahill,424325,Foul,null,null
CU,Rob Scahill,424325,Ball,null,null
FF,Rob Scahill,424325,Ball,null,null
FT,Rob Scahill,424325,Foul Tip,null,null
CU,Rob Scahill,424325,Called Strike,null,null
