pitch_type,player_name,batter,description,hit_speed,hit_angle
FF,Ross Ohlendorf,546991,Foul,null,null
SL,Ross Ohlendorf,546991,"In play, out(s)",71.4,22.49
FF,Ross Ohlendorf,546991,Called Strike,null,null
CH,Ross Ohlendorf,546991,Ball,null,null
SL,Ross Ohlendorf,546991,Ball In Dirt,null,null
FF,Ross Ohlendorf,493128,Ball,null,null
FF,Ross Ohlendorf,493128,Ball,null,null
FF,Ross Ohlendorf,493128,Ball,null,null
FF,Ross Ohlendorf,493128,Ball,null,null
SL,Ross Ohlendorf,519333,Ball,null,null
FF,Ross Ohlendorf,519333,Foul Tip,null,null
SL,Ross Ohlendorf,519333,Ball,null,null
FF,Ross Ohlendorf,519333,Foul,null,null
SL,Ross Ohlendorf,519333,Swinging Strike (Blocked),null,null
CH,Ross Ohlendorf,518792,Ball,null,null
FF,Ross Ohlendorf,518792,Called Strike,null,null
FF,Ross Ohlendorf,518792,Ball,null,null
FF,Ross Ohlendorf,518792,Foul Tip,null,null
FF,Ross Ohlendorf,518792,"In play, out(s)",81.6,21.83
FF,Ross Ohlendorf,608365,Ball,null,null
FF,Ross Ohlendorf,608365,Ball,null,null
FF,Ross Ohlendorf,608365,Ball,null,null
CH,Ross Ohlendorf,608365,Ball,null,null
FF,Ross Ohlendorf,608365,Called Strike,null,null
FF,Ross Ohlendorf,458085,Called Strike,null,null
SL,Ross Ohlendorf,458085,Swinging Strike (Blocked),null,null
FF,Ross Ohlendorf,458085,Ball,null,null
FF,Ross Ohlendorf,458085,Foul,null,null
CH,Ross Ohlendorf,461235,Swinging Strike,null,null
FT,Ross Ohlendorf,461235,Foul,null,null
SL,Ross Ohlendorf,461235,Swinging Strike (Blocked),null,null
FF,Ross Ohlendorf,461235,Ball,null,null
FF,Ross Ohlendorf,649557,Called Strike,null,null
FF,Ross Ohlendorf,649557,"In play, out(s)",85.3,57.1
FF,Ross Ohlendorf,594824,Ball,null,null
FF,Ross Ohlendorf,594824,Ball,null,null
FF,Ross Ohlendorf,594824,Swinging Strike,null,null
FF,Ross Ohlendorf,594824,Foul,null,null
SL,Ross Ohlendorf,594824,Ball,null,null
FF,Ross Ohlendorf,594824,Called Strike,null,null
FF,Ross Ohlendorf,594824,Ball,null,null
FF,Ross Ohlendorf,572761,Ball,null,null
SL,Ross Ohlendorf,572761,Ball In Dirt,null,null
FF,Ross Ohlendorf,572761,Foul,null,null
FF,Ross Ohlendorf,572761,Called Strike,null,null
FF,Ross Ohlendorf,572761,Swinging Strike,null,null
FT,Ross Ohlendorf,572761,"In play, out(s)",99.5,44.73
FT,Ross Ohlendorf,571757,"In play, out(s)",57.4,17.46
FT,Ross Ohlendorf,571757,Ball,null,null
FF,Ross Ohlendorf,546991,"In play, out(s)",89.6,55
FF,Ross Ohlendorf,451594,"In play, no out",89.6,12.39
FF,Ross Ohlendorf,451594,Ball,null,null
CH,Ross Ohlendorf,592178,Ball,null,null
CH,Ross Ohlendorf,592178,Ball,null,null
FF,Ross Ohlendorf,592178,"In play, run(s)",108.7,31.28
CH,Ross Ohlendorf,592178,Swinging Strike,null,null
FT,Ross Ohlendorf,592178,Ball,null,null
FF,Ross Ohlendorf,519203,Ball,null,null
CH,Ross Ohlendorf,519203,Ball,null,null
FF,Ross Ohlendorf,519203,Foul,null,null
FF,Ross Ohlendorf,519203,Ball,null,null
FF,Ross Ohlendorf,519203,Swinging Strike,null,null
FT,Ross Ohlendorf,519203,Called Strike,null,null
CH,Ross Ohlendorf,519203,Ball,null,null
FF,Ross Ohlendorf,450314,Ball,null,null
FF,Ross Ohlendorf,450314,Foul,null,null
FF,Ross Ohlendorf,450314,"In play, out(s)",61.5,65.83
CH,Ross Ohlendorf,450314,Ball,null,null
FF,Ross Ohlendorf,518792,"In play, out(s)",79.1,-4.15
FF,Ross Ohlendorf,628356,"In play, out(s)",64.4,82.52
SL,Ross Ohlendorf,446481,"In play, no out",76.4,16.93
SL,Ross Ohlendorf,501896,Ball,null,null
SL,Ross Ohlendorf,501896,Ball In Dirt,null,null
FT,Ross Ohlendorf,501896,"In play, out(s)",88,-14.78
FF,Ross Ohlendorf,501896,Foul,null,null
FF,Ross Ohlendorf,501896,Called Strike,null,null
FF,Ross Ohlendorf,624428,Ball,null,null
FF,Ross Ohlendorf,624428,Ball,null,null
FT,Ross Ohlendorf,624428,Ball,null,null
CH,Ross Ohlendorf,624428,Foul,null,null
FF,Ross Ohlendorf,624428,Ball,null,null
FF,Ross Ohlendorf,624428,Foul,null,null
FF,Ross Ohlendorf,453281,Ball,null,null
FF,Ross Ohlendorf,453281,Ball,null,null
FF,Ross Ohlendorf,453281,Foul,null,null
FF,Ross Ohlendorf,453281,Foul,null,null
FF,Ross Ohlendorf,453281,Foul,null,null
FF,Ross Ohlendorf,453281,Swinging Strike,null,null
FF,Ross Ohlendorf,453281,Called Strike,null,null
FF,Ross Ohlendorf,453281,Ball,null,null
FF,Ross Ohlendorf,453281,Swinging Strike,null,null
FF,Ross Ohlendorf,453281,Foul,null,null
FT,Ross Ohlendorf,457705,"In play, out(s)",73.8,9.35
SL,Ross Ohlendorf,457705,Ball In Dirt,null,null
CH,Ross Ohlendorf,457705,Called Strike,null,null
CH,Ross Ohlendorf,457705,Foul,null,null
CH,Ross Ohlendorf,465753,"In play, no out",84.2,18.42
FF,Ross Ohlendorf,465041,Ball,null,null
FT,Ross Ohlendorf,465041,Called Strike,null,null
CH,Ross Ohlendorf,465041,Ball,null,null
FF,Ross Ohlendorf,465041,"In play, no out",100.1,15.72
CH,Ross Ohlendorf,542979,Swinging Strike,null,null
FF,Ross Ohlendorf,542979,Ball,null,null
FT,Ross Ohlendorf,542979,Swinging Strike,null,null
FT,Ross Ohlendorf,542979,Swinging Strike,null,null
FF,Ross Ohlendorf,460075,Ball,null,null
FF,Ross Ohlendorf,460075,Called Strike,null,null
FF,Ross Ohlendorf,460075,Foul,null,null
FT,Ross Ohlendorf,460075,Ball,null,null
FF,Ross Ohlendorf,460075,Ball,null,null
FF,Ross Ohlendorf,460075,Ball,null,null
FT,Ross Ohlendorf,474892,Ball,null,null
FF,Ross Ohlendorf,474892,Called Strike,null,null
FF,Ross Ohlendorf,474892,Ball,null,null
FT,Ross Ohlendorf,474892,Ball,null,null
FF,Ross Ohlendorf,474892,Ball,null,null
CH,Ross Ohlendorf,571697,Foul,null,null
SL,Ross Ohlendorf,571697,"In play, out(s)",91.4,34.96
CH,Ross Ohlendorf,571697,Foul,null,null
SL,Ross Ohlendorf,606115,Called Strike,null,null
SL,Ross Ohlendorf,606115,Foul,null,null
FT,Ross Ohlendorf,606115,Foul,null,null
SL,Ross Ohlendorf,606115,Foul,null,null
SL,Ross Ohlendorf,606115,Swinging Strike (Blocked),null,null
CH,Ross Ohlendorf,570267,"In play, run(s)",107.6,26.78
SL,Ross Ohlendorf,501896,Swinging Strike (Blocked),null,null
FF,Ross Ohlendorf,501896,Foul,null,null
CH,Ross Ohlendorf,501896,Swinging Strike,null,null
FF,Ross Ohlendorf,624428,Ball,null,null
CH,Ross Ohlendorf,624428,Called Strike,null,null
FF,Ross Ohlendorf,624428,"In play, no out",76.5,22.53
CH,Ross Ohlendorf,446481,"In play, out(s)",55.4,1.4
CH,Ross Ohlendorf,457705,Ball,null,null
FF,Ross Ohlendorf,457705,Ball,null,null
CH,Ross Ohlendorf,457705,Ball,null,null
CH,Ross Ohlendorf,457705,Ball,null,null
CH,Ross Ohlendorf,570256,"In play, out(s)",90.4,59.83
CH,Ross Ohlendorf,446481,Called Strike,null,null
CH,Ross Ohlendorf,446481,Foul,null,null
SL,Ross Ohlendorf,446481,Ball,null,null
CH,Ross Ohlendorf,446481,Called Strike,null,null
SL,Ross Ohlendorf,446481,Ball,null,null
FF,Ross Ohlendorf,446481,"In play, out(s)",85.7,-15.17
SL,Ross Ohlendorf,628356,Ball,null,null
SL,Ross Ohlendorf,628356,Ball In Dirt,null,null
CH,Ross Ohlendorf,628356,Called Strike,null,null
CH,Ross Ohlendorf,628356,"In play, out(s)",100.9,15.23
SL,Ross Ohlendorf,628356,Called Strike,null,null
