"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"3","Adam Wainwright",570256,"CH|SI","Called Strike","null","null"
"4","Adam Wainwright",570256,"SI|CU","Swinging Strike (Blocked)","null","null"
"6","Adam Wainwright",457705,"CU|SI","Ball","null","null"
"7","Adam Wainwright",457705,"SI|SI","Foul","null","null"
"8","Adam Wainwright",457705,"SI|CU","Foul","null","null"
"9","Adam Wainwright",457705,"CU|SI","In play, no out","91.3","-21.74"
"11","Adam Wainwright",628356,"SI|FF","In play, out(s)","98.8","24.21"
"13","Adam Wainwright",459964,"FC|CU","Called Strike","null","null"
"15","Adam Wainwright",593700,"CU|SI","Ball","null","null"
"16","Adam Wainwright",593700,"SI|FC","Foul Bunt","null","null"
"17","Adam Wainwright",593700,"FC|FC","In play, out(s)","60.1","62.99"
"19","Adam Wainwright",518700,"FF|FF","Foul","null","null"
"20","Adam Wainwright",518700,"FF|CU","Called Strike","null","null"
"21","Adam Wainwright",518700,"CU|SI","Called Strike","null","null"
"22","Adam Wainwright",518700,"SI|SI","Ball","null","null"
"24","Adam Wainwright",465753,"SI|FC","Swinging Strike","null","null"
"25","Adam Wainwright",465753,"FC|SI","Foul","null","null"
"26","Adam Wainwright",465753,"SI|CU","Called Strike","null","null"
"27","Adam Wainwright",465753,"CU|CU","Ball","null","null"
"28","Adam Wainwright",465753,"CU|FC","Ball","null","null"
"29","Adam Wainwright",465753,"FC|FF","Swinging Strike","null","null"
"31","Adam Wainwright",285064,"CU|CU","Called Strike","null","null"
"32","Adam Wainwright",285064,"CU|SI","Foul","null","null"
"33","Adam Wainwright",285064,"SI|FC","Foul","null","null"
"35","Adam Wainwright",444379,"FC|FC","Ball","null","null"
"36","Adam Wainwright",444379,"FC|SI","Ball","null","null"
"37","Adam Wainwright",444379,"SI|CU","Foul","null","null"
"38","Adam Wainwright",444379,"CU|SI","Ball","null","null"
"39","Adam Wainwright",444379,"SI|CU","Ball","null","null"
"42","Adam Wainwright",457705,"FC|SI","Called Strike","null","null"
"43","Adam Wainwright",457705,"SI|CU","Called Strike","null","null"
"44","Adam Wainwright",457705,"CU|null","Ball","null","null"
"45","Adam Wainwright",457705,"null|CU","Ball","null","null"
"46","Adam Wainwright",457705,"CU|FF","Foul","null","null"
"48","Adam Wainwright",628356,"null|null","Called Strike","null","null"
"49","Adam Wainwright",628356,"null|null","In play, out(s)","93.1","-10.96"
"50","Adam Wainwright",628356,"null|SI","Ball","null","null"
"51","Adam Wainwright",628356,"SI|null","Foul","null","null"
"52","Adam Wainwright",628356,"null|FC","Ball","null","null"
"54","Adam Wainwright",459964,"null|null","Ball","null","null"
"55","Adam Wainwright",459964,"null|null","Ball","null","null"
"56","Adam Wainwright",459964,"null|null","Foul","null","null"
"57","Adam Wainwright",459964,"null|null","Ball","null","null"
"58","Adam Wainwright",459964,"null|null","Foul","null","null"
"60","Adam Wainwright",518700,"FC|CU","Called Strike","null","null"
"62","Adam Wainwright",465753,"FC|SI","Swinging Strike","null","null"
"63","Adam Wainwright",465753,"SI|CU","Called Strike","null","null"
"64","Adam Wainwright",465753,"CU|SI","Called Strike","null","null"
"65","Adam Wainwright",465753,"SI|FC","Ball","null","null"
"66","Adam Wainwright",465753,"FC|CU","Ball","null","null"
"68","Adam Wainwright",285064,"FC|SI","Called Strike","null","null"
"70","Adam Wainwright",570256,"CU|FC","Ball","null","null"
"71","Adam Wainwright",570256,"FC|SI","Ball","null","null"
"72","Adam Wainwright",570256,"SI|CU","Ball","null","null"
"74","Adam Wainwright",457705,"SI|SI","Swinging Strike","null","null"
"75","Adam Wainwright",457705,"SI|CU","In play, run(s)","100.7","15.1"
"77","Adam Wainwright",628356,"FC|SI","Ball","null","null"
"78","Adam Wainwright",628356,"SI|SI","Called Strike","null","null"
"79","Adam Wainwright",628356,"SI|SI","In play, out(s)","95","51.16"
"81","Adam Wainwright",459964,"SI|FC","Foul","null","null"
"82","Adam Wainwright",459964,"FC|SI","Ball","null","null"
"83","Adam Wainwright",459964,"SI|SI","In play, no out","99.7","-7.51"
"84","Adam Wainwright",459964,"SI|CH","Called Strike","null","null"
"86","Adam Wainwright",518700,"SI|FC","Foul","null","null"
