"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"3","Addison Reed",546318,"FF|FF","Hit","82.9","38.07"
"7","Addison Reed",433217,"FF|SL","Foul","null","null"
"8","Addison Reed",433217,"SL|SL","Foul","null","null"
"10","Addison Reed",433217,"FF|FF","Strike","null","null"
"11","Addison Reed",433217,"FF|FF","Foul","null","null"
"12","Addison Reed",433217,"FF|FF","Foul","null","null"
"13","Addison Reed",433217,"FF|FF","Hit","92.6","5.88"
"20","Addison Reed",596748,"FF|FF","Strike","null","null"
"21","Addison Reed",596748,"FF|FF","Strike","null","null"
"22","Addison Reed",596748,"FF|SL","Foul","null","null"
"23","Addison Reed",596748,"SL|FF","Foul","null","null"
"24","Addison Reed",596748,"FF|FF","Foul","null","null"
"28","Addison Reed",429667,"SL|FF","Strike","null","null"
"29","Addison Reed",429667,"FF|FF","Foul","null","null"
"32","Addison Reed",592885,"SL|FF","Foul","null","null"
"34","Addison Reed",592885,"FF|FF","Strike","null","null"
"38","Addison Reed",519317,"FF|FF","Strike","null","null"
"40","Addison Reed",519317,"SL|FF","Strike","null","null"
"43","Addison Reed",592663,"FF|FF","Foul","null","null"
"47","Addison Reed",571506,"FF|FF","Strike","null","null"
"48","Addison Reed",571506,"FF|FF","Hit","88.7","21.55"
"51","Addison Reed",570639,"FF|FF","Strike","null","null"
"55","Addison Reed",543829,"FF|FF","Hit","73.6","4.27"
"58","Addison Reed",542303,"SL|FF","Strike","null","null"
"59","Addison Reed",542303,"FF|FF","Hit","91.2","21.66"
"62","Addison Reed",596451,"FF|FF","Hit","null","null"
"65","Addison Reed",596748,"FF|FF","Strike","null","null"
"66","Addison Reed",596748,"FF|FF","Foul","null","null"
"69","Addison Reed",596748,"SL|FC","Hit","101.8","23.48"
"72","Addison Reed",429667,"SL|SL","Foul","null","null"
"76","Addison Reed",546318,"SL|FF","Strike","null","null"
"80","Addison Reed",503351,"FF|FF","Foul","null","null"
"81","Addison Reed",503351,"FF|SL","Foul","null","null"
"82","Addison Reed",503351,"SL|FF","Foul","null","null"
"85","Addison Reed",542255,"SL|FF","Foul","null","null"
"87","Addison Reed",611177,"FF|FF","Foul","null","null"
"88","Addison Reed",611177,"FF|SL","Foul","null","null"
"89","Addison Reed",611177,"SL|FF","Foul","null","null"
"90","Addison Reed",611177,"FF|FF","Foul","null","null"
"92","Addison Reed",611177,"SL|FC","Hit","86.7","55.42"
"95","Addison Reed",542255,"SL|FF","Strike","null","null"
"99","Addison Reed",611177,"FF|FF","Foul","null","null"
"100","Addison Reed",611177,"FF|FF","Foul","null","null"
"105","Addison Reed",461314,"FF|SL","Hit","88.5","-2.14"
"106","Addison Reed",461314,"SL|FF","Strike","null","null"
"108","Addison Reed",592696,"SL|SL","Foul","null","null"
"109","Addison Reed",592696,"SL|FF","Foul","null","null"
"110","Addison Reed",592696,"FF|FF","Foul","null","null"
"111","Addison Reed",592696,"FF|FF","Foul","null","null"
"114","Addison Reed",621439,"FF|FF","Hit","90.3","41.22"
"116","Addison Reed",500871,"FF|FF","Strike","null","null"
"117","Addison Reed",500871,"FF|FF","Hit","95.6","-9.66"
"120","Addison Reed",621439,"FF|SL","Strike","null","null"
"124","Addison Reed",572821,"FF|FF","Strike","null","null"
"128","Addison Reed",519184,"FF|FF","Strike","null","null"
"130","Addison Reed",607208,"FF|FF","Foul","null","null"
"131","Addison Reed",607208,"FF|FF","Strike","null","null"
"135","Addison Reed",607208,"FF|FF","Foul","null","null"
"137","Addison Reed",150029,"FF|FF","Strike","null","null"
"138","Addison Reed",150029,"FF|FF","Foul","null","null"
"141","Addison Reed",518692,"FC|FF","Hit","103.4","7.39"
"148","Addison Reed",611177,"SL|FF","Hit","92.3","19.43"
"149","Addison Reed",611177,"FF|FF","Strike","null","null"
"151","Addison Reed",493596,"FF|FF","Strike","null","null"
"156","Addison Reed",621020,"SL|FF","Foul","null","null"
"157","Addison Reed",621020,"FF|FF","Foul","null","null"
"158","Addison Reed",621020,"FF|FF","Foul","null","null"
"159","Addison Reed",621020,"FF|SL","Foul","null","null"
"161","Addison Reed",621020,"FF|FF","Foul","null","null"
"162","Addison Reed",621020,"FF|FF","Foul","null","null"
"166","Addison Reed",534627,"FF|FF","Strike","null","null"
"167","Addison Reed",534627,"FF|FF","Foul","null","null"
"171","Addison Reed",541608,"FF|FF","Strike","null","null"
"175","Addison Reed",553993,"FF|FF","Strike","null","null"
"176","Addison Reed",553993,"FF|FC","Strike","null","null"
"179","Addison Reed",571466,"FF|FF","Hit","82.4","24.63"
"182","Addison Reed",458015,"FC|FF","Foul","null","null"
"183","Addison Reed",458015,"FF|FF","Hit","94.1","33.8"
"191","Addison Reed",150029,"SL|FF","Foul","null","null"
"192","Addison Reed",150029,"FF|FF","Strike","null","null"
"193","Addison Reed",150029,"FF|FF","Foul","null","null"
"197","Addison Reed",547180,"SL|FF","Hit","82.8","40.72"
"198","Addison Reed",547180,"FF|FF","Strike","null","null"
"200","Addison Reed",547180,"FF|FF","Foul","null","null"
"207","Addison Reed",467092,"FF|FF","Foul","null","null"
"208","Addison Reed",467092,"FF|FF","Strike","null","null"
"209","Addison Reed",467092,"FF|FF","Foul","null","null"
"211","Addison Reed",467092,"FF|SL","Foul","null","null"
"214","Addison Reed",502517,"FF|FF","Hit","93.5","34.58"
"217","Addison Reed",543685,"SL|FF","Foul","null","null"
"218","Addison Reed",543685,"FF|FF","Foul","null","null"
"222","Addison Reed",475582,"FF|SL","Hit","null","null"
"223","Addison Reed",475582,"SL|FF","Foul","null","null"
"224","Addison Reed",475582,"FF|FF","Strike","null","null"
"227","Addison Reed",467092,"SL|FF","Hit","null","null"
"228","Addison Reed",467092,"FF|FF","Strike","null","null"
"232","Addison Reed",445988,"FF|SL","Hit","85.2","20.3"
"234","Addison Reed",592885,"FF|SL","Strike","null","null"
"235","Addison Reed",592885,"SL|SL","Hit","78.2","1.03"
"242","Addison Reed",542303,"FF|FF","Hit","105.8","14.78"
"243","Addison Reed",542303,"FF|SL","Foul","null","null"
"245","Addison Reed",400085,"FF|FF","Strike","null","null"
"249","Addison Reed",588751,"FF|FF","Foul","null","null"
"253","Addison Reed",592663,"SL|FF","Foul","null","null"
"255","Addison Reed",425509,"FF|FF","Hit","97.5","23.45"
"256","Addison Reed",425509,"FF|FF","Strike","null","null"
"261","Addison Reed",594824,"SL|FF","Hit","96.7","-13.84"
"267","Addison Reed",545341,"SL|SL","Hit","73","57.76"
"269","Addison Reed",571757,"FF|SL","Strike","null","null"
"272","Addison Reed",502054,"FF|FF","Strike","null","null"
"276","Addison Reed",572039,"SL|FF","Foul","null","null"
"278","Addison Reed",572039,"FF|FF","Strike","null","null"
"279","Addison Reed",572039,"FF|FF","Foul","null","null"
"280","Addison Reed",572039,"FF|SL","Foul","null","null"
"283","Addison Reed",572761,"SL|FF","Strike","null","null"
"284","Addison Reed",572761,"FF|FF","Hit","94.2","42.08"
"294","Addison Reed",623143,"FF|FF","Hit","73.4","48.08"
"298","Addison Reed",452655,"FC|FF","Foul","null","null"
"303","Addison Reed",605412,"SL|FF","Hit","null","null"
"304","Addison Reed",605412,"FF|FC","Strike","null","null"
"306","Addison Reed",474832,"SL|SL","Foul","null","null"
"308","Addison Reed",543063,"SL|IN","Hit","null","null"
"310","Addison Reed",543063,"FF|IN","Hit","null","null"
"312","Addison Reed",452254,"FF|FF","Strike","null","null"
"315","Addison Reed",457763,"FF|FF","Foul","null","null"
"316","Addison Reed",457763,"FF|FF","Foul","null","null"
"318","Addison Reed",457763,"FF|FF","Strike","null","null"
"319","Addison Reed",457763,"FF|FF","Strike","null","null"
"320","Addison Reed",457763,"FF|FF","Hit","98.6","27.2"
"322","Addison Reed",572008,"SL|SL","Hit","72.9","-15.92"
"326","Addison Reed",430001,"FF|FF","Strike","null","null"
"328","Addison Reed",430001,"FC|FC","Foul","null","null"
"330","Addison Reed",516416,"SL|FF","Foul","null","null"
"331","Addison Reed",516416,"FF|FF","Strike","null","null"
"333","Addison Reed",516416,"SL|FF","Foul","null","null"
"334","Addison Reed",516416,"FF|SL","Foul","null","null"
"335","Addison Reed",516416,"SL|SL","Foul","null","null"
"336","Addison Reed",516416,"SL|SL","Hit","null","null"
"339","Addison Reed",571745,"FF|FF","Foul","null","null"
"341","Addison Reed",571745,"SL|SL","Hit","102.4","17.29"
"343","Addison Reed",571745,"FF|FF","Strike","null","null"
"350","Addison Reed",519083,"FF|FF","Foul","null","null"
"351","Addison Reed",519083,"FF|FF","Foul","null","null"
"352","Addison Reed",519083,"FF|FF","Strike","null","null"
"354","Addison Reed",519083,"FF|SL","Hit","88.9","60.48"
"359","Addison Reed",518466,"FF|FF","Strike","null","null"
"360","Addison Reed",518466,"FF|FF","Foul","null","null"
"362","Addison Reed",542194,"FF|SL","Hit","102.9","3.07"
"364","Addison Reed",519082,"FF|FF","Hit","87.6","55.6"
"366","Addison Reed",516416,"SL|FF","Foul","null","null"
"367","Addison Reed",516416,"FF|FF","Foul","null","null"
"370","Addison Reed",516416,"FF|FF","Strike","null","null"
"372","Addison Reed",516416,"SL|FF","Foul","null","null"
"377","Addison Reed",571875,"FF|SL","Foul","null","null"
"378","Addison Reed",571875,"SL|FF","Foul","null","null"
"380","Addison Reed",408234,"SL|SL","Strike","null","null"
"386","Addison Reed",502110,"FF|FF","Strike","null","null"
"389","Addison Reed",457708,"IN|IN","Hit","null","null"
"390","Addison Reed",457708,"IN|IN","Hit","null","null"
"391","Addison Reed",457708,"IN|IN","Hit","null","null"
"395","Addison Reed",578428,"SL|SL","Strike","null","null"
"398","Addison Reed",400121,"SL|FF","Hit","75.7","2.59"
"401","Addison Reed",453056,"SL|FF","Strike","null","null"
"402","Addison Reed",453056,"FF|FF","Hit","100","28.62"
"405","Addison Reed",452104,"FF|FF","Strike","null","null"
"406","Addison Reed",452104,"FF|FF","Strike","null","null"
"408","Addison Reed",435263,"SL|SL","Strike","null","null"
"412","Addison Reed",407893,"FF|FC","Strike","null","null"
"414","Addison Reed",407893,"FF|FF","Foul","null","null"
"416","Addison Reed",435263,"FF|FF","Strike","null","null"
"418","Addison Reed",544369,"SL|SL","Foul","null","null"
"419","Addison Reed",544369,"SL|SL","Foul","null","null"
"420","Addison Reed",544369,"SL|SL","Foul","null","null"
"424","Addison Reed",544369,"FF|FF","Hit","68.9","26.61"
"428","Addison Reed",448602,"FF|FF","Strike","null","null"
"429","Addison Reed",448602,"FF|FF","Strike","null","null"
