"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Andrew Miller",542993,"SL|SL","Strike","null","null"
"3","Andrew Miller",542993,"SL|FF","Foul","null","null"
"4","Andrew Miller",542993,"FF|SL","Strike","null","null"
"6","Andrew Miller",593160,"FF|SL","Strike","null","null"
"8","Andrew Miller",460086,"SL|SL","Strike","null","null"
"9","Andrew Miller",460086,"SL|SL","Foul","null","null"
"15","Andrew Miller",537953,"FF|SL","Strike","null","null"
"17","Andrew Miller",444876,"SL|SL","Hit","null","null"
"19","Andrew Miller",444876,"FF|FF","Strike","null","null"
"21","Andrew Miller",460077,"SL|FF","Hit","87.1","14.88"
"27","Andrew Miller",609275,"FF|SL","Strike","null","null"
"28","Andrew Miller",609275,"SL|SL","Foul","null","null"
"29","Andrew Miller",609275,"SL|SL","Foul","null","null"
"33","Andrew Miller",408234,"SL|FF","Hit","90.1","-9.93"
"35","Andrew Miller",400121,"SL|SL","Swinging Strike","null","null"
"36","Andrew Miller",400121,"SL|SL","Strike","null","null"
"39","Andrew Miller",502110,"SL|FF","Strike","null","null"
"42","Andrew Miller",457708,"FF|SL","Hit","61.3","5.63"
"43","Andrew Miller",457708,"SL|SL","Strike","null","null"
"44","Andrew Miller",457708,"SL|SL","Foul","null","null"
"47","Andrew Miller",430947,"SL|FF","Strike","null","null"
"49","Andrew Miller",543510,"FF|SL","Strike","null","null"
"50","Andrew Miller",543510,"SL|FF","Foul","null","null"
"51","Andrew Miller",543510,"FF|FT","Foul","null","null"
"53","Andrew Miller",542993,"SL|SL","Strike","null","null"
"54","Andrew Miller",542993,"SL|SL","Hit","91.4","0.23"
"56","Andrew Miller",542993,"FT|FF","Foul","null","null"
"58","Andrew Miller",502481,"SL|FF","Strike","null","null"
"59","Andrew Miller",502481,"FF|SL","Foul","null","null"
"66","Andrew Miller",434778,"SL|FF","Hit","103.3","14.58"
"69","Andrew Miller",521692,"SL|FF","Foul","null","null"
"70","Andrew Miller",521692,"FF|FF","Foul","null","null"
"71","Andrew Miller",521692,"FF|SL","Swinging Strike","null","null"
"73","Andrew Miller",518568,"SL|FF","Foul","null","null"
"76","Andrew Miller",518568,"FF|SL","Foul","null","null"
"77","Andrew Miller",518568,"SL|FF","Strike","null","null"
"79","Andrew Miller",593160,"FF|SL","Foul","null","null"
"80","Andrew Miller",593160,"SL|SL","Foul","null","null"
"81","Andrew Miller",593160,"SL|FF","Strike","null","null"
"82","Andrew Miller",593160,"FF|SL","Strike","null","null"
"85","Andrew Miller",593160,"FF|FF","Foul","null","null"
"87","Andrew Miller",408234,"FF|FF","Foul","null","null"
"88","Andrew Miller",408234,"FF|FF","Foul","null","null"
"91","Andrew Miller",408234,"SL|FF","Strike","null","null"
"95","Andrew Miller",400121,"SL|SL","Hit","57.6","-12.9"
"96","Andrew Miller",400121,"SL|FF","Strike","null","null"
"98","Andrew Miller",400121,"FF|SL","Strike","null","null"
"101","Andrew Miller",502110,"FF|SL","Hit","104.5","4.07"
"103","Andrew Miller",431171,"FF|SL","Foul","null","null"
"104","Andrew Miller",431171,"SL|FF","Strike","null","null"
"106","Andrew Miller",543510,"FF|FF","Strike","null","null"
"114","Andrew Miller",578428,"FF|SL","Strike","null","null"
"117","Andrew Miller",457708,"SL|FT","Hit","90","22.81"
"119","Andrew Miller",457708,"SL|SL","Strike","null","null"
"120","Andrew Miller",457708,"SL|FT","Strike","null","null"
"126","Andrew Miller",502110,"SL|FF","Strike","null","null"
"131","Andrew Miller",457708,"FF|FF","Foul","null","null"
"136","Andrew Miller",457708,"SL|FF","Strike","null","null"
"137","Andrew Miller",457708,"FF|SL","Strike","null","null"
"139","Andrew Miller",430947,"SL|SL","Foul","null","null"
"140","Andrew Miller",430947,"SL|SL","Strike","null","null"
"141","Andrew Miller",430947,"SL|FT","Hit","88.5","-9.16"
"143","Andrew Miller",594809,"FF|SL","Hit","null","null"
"146","Andrew Miller",641313,"SL|SL","Strike","null","null"
"147","Andrew Miller",641313,"SL|SL","Strike","null","null"
"150","Andrew Miller",573135,"FF|FF","Strike","null","null"
"153","Andrew Miller",596146,"SL|FT","Strike","null","null"
"156","Andrew Miller",408045,"SL|FF","Foul","null","null"
"157","Andrew Miller",408045,"FF|FF","Hit","95","21.98"
"158","Andrew Miller",408045,"FF|FF","Strike","null","null"
"161","Andrew Miller",593871,"SL|SL","Strike","null","null"
"163","Andrew Miller",593871,"FF|FF","Hit","82","54.5"
"165","Andrew Miller",606192,"FF|SL","Strike","null","null"
"168","Andrew Miller",606192,"FF|FF","Hit","null","null"
"170","Andrew Miller",503556,"SL|FF","Strike","null","null"
"171","Andrew Miller",503556,"FF|FF","Strike","null","null"
"173","Andrew Miller",643603,"SL|FF","Strike","null","null"
"174","Andrew Miller",643603,"FF|SL","Foul","null","null"
"176","Andrew Miller",643603,"SL|SL","Strike","null","null"
"177","Andrew Miller",643603,"SL|FF","Strike","null","null"
"179","Andrew Miller",606192,"SL|FF","Foul","null","null"
"180","Andrew Miller",606192,"FF|FF","Strike","null","null"
"183","Andrew Miller",643603,"SL|FF","Foul","null","null"
"187","Andrew Miller",493329,"SL|SL","Foul","null","null"
"189","Andrew Miller",493329,"SL|SL","Hit","100.3","33.19"
"191","Andrew Miller",493329,"SL|SL","Foul","null","null"
"195","Andrew Miller",503556,"SL|SL","Hit","89.7","15.46"
"200","Andrew Miller",453400,"SL|FF","Hit","79.6","2.5"
"203","Andrew Miller",400085,"SL|SL","Foul","null","null"
"204","Andrew Miller",400085,"SL|FF","Foul","null","null"
"205","Andrew Miller",400085,"FF|SL","Hit","96.9","13.06"
"206","Andrew Miller",400085,"SL|SL","Foul","null","null"
"207","Andrew Miller",400085,"SL|SL","Foul","null","null"
"208","Andrew Miller",400085,"SL|SL","Foul","null","null"
"210","Andrew Miller",588751,"FF|SL","Hit","88.1","-20.59"
"211","Andrew Miller",588751,"SL|SL","Strike","null","null"
"214","Andrew Miller",592885,"SL|FF","Strike","null","null"
"217","Andrew Miller",592663,"FF|FF","Hit","null","null"
"219","Andrew Miller",592696,"FF|SL","Swinging Strike","null","null"
"222","Andrew Miller",592696,"SL|SL","Foul","null","null"
"225","Andrew Miller",435559,"FF|FF","Hit","101.9","-6.66"
"232","Andrew Miller",408045,"SL|FF","Strike","null","null"
"233","Andrew Miller",408045,"FF|SL","Hit","67.4","16.41"
"237","Andrew Miller",593871,"SL|FF","Strike","null","null"
"238","Andrew Miller",593871,"FF|FF","Foul","null","null"
"239","Andrew Miller",593871,"FF|SL","Hit","86.5","-18.98"
"247","Andrew Miller",518542,"SL|SL","Hit","64","26.02"
"249","Andrew Miller",543257,"FF|SL","Strike","null","null"
"252","Andrew Miller",572821,"SL|SL","Foul","null","null"
"254","Andrew Miller",572821,"FF|SL","Strike","null","null"
"258","Andrew Miller",408045,"FF|FF","Hit","104.1","1.75"
"260","Andrew Miller",596059,"SL|SL","Strike","null","null"
"262","Andrew Miller",596059,"FF|FF","Strike","null","null"
"263","Andrew Miller",596059,"FF|SL","Foul","null","null"
"266","Andrew Miller",460576,"FF|FF","Foul","null","null"
"267","Andrew Miller",460576,"FF|SL","Swinging Strike","null","null"
"270","Andrew Miller",519048,"SL|SL","Strike","null","null"
"272","Andrew Miller",519295,"FF|FF","Strike","null","null"
"275","Andrew Miller",502143,"SL|FF","Foul","null","null"
"276","Andrew Miller",502143,"FF|FF","Strike","null","null"
"277","Andrew Miller",502143,"FF|SL","Strike","null","null"
"282","Andrew Miller",501981,"SL|SL","Foul","null","null"
"283","Andrew Miller",501981,"SL|SL","Swinging Strike","null","null"
"287","Andrew Miller",453943,"FF|SL","Strike","null","null"
"288","Andrew Miller",453943,"SL|SL","Strike","null","null"
"292","Andrew Miller",641313,"SL|SL","Strike","null","null"
"295","Andrew Miller",605183,"FF|SL","Strike","null","null"
"297","Andrew Miller",425900,"FF|SL","Foul","null","null"
"298","Andrew Miller",425900,"SL|SL","Foul","null","null"
"300","Andrew Miller",425900,"FF|SL","Hit","93.8","29.99"
"307","Andrew Miller",408047,"SL|SL","Hit","80.6","-35.51"
"309","Andrew Miller",408047,"SL|FF","Strike","null","null"
"315","Andrew Miller",466320,"SL|SL","Hit","86.3","-14.97"
"318","Andrew Miller",405395,"SL|SL","Strike","null","null"
"319","Andrew Miller",405395,"SL|SL","Foul","null","null"
"320","Andrew Miller",405395,"SL|SL","Foul","null","null"
"323","Andrew Miller",405395,"FF|FF","Strike","null","null"
"325","Andrew Miller",488862,"FF|SL","Hit","81.9","-24.87"
"327","Andrew Miller",488862,"SL|SL","Foul","null","null"
"329","Andrew Miller",460060,"FF|SL","Hit","88","-6.61"
"331","Andrew Miller",460060,"FF|SL","Foul","null","null"
"333","Andrew Miller",502544,"SL|FF","Hit","null","null"
"341","Andrew Miller",463610,"FF|FF","Strike","null","null"
"342","Andrew Miller",463610,"FF|FF","Foul","null","null"
"350","Andrew Miller",594777,"SL|SL","Strike","null","null"
"351","Andrew Miller",594777,"SL|SL","Foul","null","null"
"353","Andrew Miller",545361,"SL|SL","Strike","null","null"
"356","Andrew Miller",571718,"SL|SL","Hit","68.1","42.47"
"358","Andrew Miller",607208,"SL|SL","Strike","null","null"
"359","Andrew Miller",607208,"SL|FF","Strike","null","null"
"361","Andrew Miller",150029,"SL|SL","Foul","null","null"
"362","Andrew Miller",150029,"SL|SL","Foul","null","null"
"363","Andrew Miller",150029,"SL|SL","Hit","112.3","21.38"
"364","Andrew Miller",150029,"SL|FF","Strike","null","null"
"366","Andrew Miller",150029,"FF|FF","Foul","null","null"
"370","Andrew Miller",458731,"FF|SL","Strike","null","null"
"371","Andrew Miller",458731,"SL|SL","Hit","80.4","5.77"
"374","Andrew Miller",453056,"FT|SL","Strike","null","null"
"375","Andrew Miller",453056,"SL|SL","Swinging Strike","null","null"
"377","Andrew Miller",407893,"SL|FF","Foul","null","null"
"380","Andrew Miller",407893,"SL|SL","Swinging Strike","null","null"
"382","Andrew Miller",435263,"SL|FF","Strike","null","null"
"383","Andrew Miller",435263,"FF|SL","Strike","null","null"
"385","Andrew Miller",435263,"SL|SL","Hit","65.5","13.79"
"387","Andrew Miller",621439,"SL|SL","Foul","null","null"
"389","Andrew Miller",621439,"SL|FF","Strike","null","null"
"390","Andrew Miller",621439,"FF|SL","Strike","null","null"
"393","Andrew Miller",572821,"FF|SL","Hit","78.3","-23.68"
