"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Andrew Bailey",643603,"FC|FF","Foul","null","null"
"3","Andrew Bailey",643603,"FF|FF","Foul","null","null"
"7","Andrew Bailey",643603,"FC|CU","Hit","77.3","30.34"
"11","Andrew Bailey",607223,"FC|FF","Strike","null","null"
"12","Andrew Bailey",607223,"FF|FF","Strike","null","null"
"13","Andrew Bailey",607223,"FF|FF","Foul","null","null"
"16","Andrew Bailey",514888,"FF|FC","Hit","71.7","23.27"
"18","Andrew Bailey",519390,"CU|FC","Hit","61.1","81"
"19","Andrew Bailey",519390,"FC|FF","Foul","null","null"
"20","Andrew Bailey",519390,"FF|FF","Foul","null","null"
"22","Andrew Bailey",501981,"FC|FF","Foul","null","null"
"25","Andrew Bailey",501981,"FC|FF","Strike","null","null"
"27","Andrew Bailey",501981,"FC|CU","Foul","null","null"
"30","Andrew Bailey",475174,"FF|FC","Foul","null","null"
"32","Andrew Bailey",475174,"FF|FF","Foul","null","null"
"34","Andrew Bailey",475174,"FF|FF","Foul","null","null"
"35","Andrew Bailey",475174,"FF|FF","Hit","85.6","-22.75"
"37","Andrew Bailey",592387,"FF|FC","Hit","64.1","-45.64"
"38","Andrew Bailey",592387,"FC|FF","Strike","null","null"
"39","Andrew Bailey",592387,"FF|FC","Foul","null","null"
"42","Andrew Bailey",545350,"FF|FF","Strike","null","null"
"46","Andrew Bailey",493329,"FC|FF","Foul","null","null"
"49","Andrew Bailey",543807,"FC|FF","Hit","85.8","14.6"
"52","Andrew Bailey",543807,"FF|FF","Foul","null","null"
"57","Andrew Bailey",514888,"FF|FC","Hit","94.3","5.96"
"59","Andrew Bailey",621043,"FF|FF","Strike","null","null"
"60","Andrew Bailey",621043,"FF|FF","Foul","null","null"
"61","Andrew Bailey",621043,"FF|CU","Hit","86.9","28.92"
"67","Andrew Bailey",519048,"FC|FF","Strike","null","null"
"68","Andrew Bailey",519048,"FF|FF","Strike","null","null"
"72","Andrew Bailey",595777,"CU|FF","Foul","null","null"
"75","Andrew Bailey",595777,"null|FF","Strike","null","null"
"78","Andrew Bailey",581527,"FF|FF","Foul","null","null"
"81","Andrew Bailey",581527,"FF|FF","Strike","null","null"
"83","Andrew Bailey",581527,"FF|CU","Foul","null","null"
"86","Andrew Bailey",518626,"FF|FF","Foul","null","null"
"87","Andrew Bailey",518626,"FF|FC","Hit","103.8","21.64"
"89","Andrew Bailey",518626,"FF|FC","Strike","null","null"
"91","Andrew Bailey",518626,"FC|CU","Strike","null","null"
"94","Andrew Bailey",429665,"FF|CU","Hit","104.5","12.38"
"96","Andrew Bailey",430832,"FC|FF","Hit","82.7","-16.92"
"98","Andrew Bailey",431145,"FF|FF","Foul","null","null"
"99","Andrew Bailey",431145,"FF|FF","Hit","101.1","23.53"
"101","Andrew Bailey",581527,"FF|FC","Hit","92.3","8.02"
"102","Andrew Bailey",581527,"FC|FF","Foul","null","null"
"106","Andrew Bailey",518626,"FF|FF","Hit","95.4","33.77"
"108","Andrew Bailey",429665,"FC|FC","Foul","null","null"
"109","Andrew Bailey",429665,"FC|FF","Hit","109.9","23.85"
"111","Andrew Bailey",493193,"FF|FF","Foul","null","null"
"112","Andrew Bailey",493193,"FF|FF","Hit","87.1","50.65"
"117","Andrew Bailey",547982,"FC|FF","Hit","null","null"
"118","Andrew Bailey",547982,"FF|CU","Foul","null","null"
"120","Andrew Bailey",572122,"FF|FC","Foul","null","null"
"121","Andrew Bailey",572122,"FC|FC","Strike","null","null"
"123","Andrew Bailey",572122,"FF|FF","Hit","98","43.49"
"125","Andrew Bailey",134181,"FF|FF","Foul","null","null"
"126","Andrew Bailey",134181,"FF|FF","Foul","null","null"
"129","Andrew Bailey",519048,"FC|FF","Strike","null","null"
"130","Andrew Bailey",519048,"FF|CU","Hit","83.4","-15.8"
"132","Andrew Bailey",608577,"FF|FC","Strike","null","null"
"133","Andrew Bailey",608577,"FC|FF","Strike","null","null"
"136","Andrew Bailey",519295,"CU|FC","Foul","null","null"
"137","Andrew Bailey",519295,"FC|CU","Swinging Strike","null","null"
"138","Andrew Bailey",519295,"CU|FF","Strike","null","null"
"139","Andrew Bailey",519295,"FF|FF","Foul","null","null"
"140","Andrew Bailey",519295,"FF|FF","Foul","null","null"
"143","Andrew Bailey",622194,"FF|FC","Strike","null","null"
"144","Andrew Bailey",622194,"FC|FF","Strike","null","null"
