"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"3","Arquimedes Caminero",621563,"FF|FS","Strike","null","null"
"4","Arquimedes Caminero",621563,"FS|FF","Foul","null","null"
"5","Arquimedes Caminero",621563,"FF|FF","Foul","null","null"
"9","Arquimedes Caminero",640461,"FF|FF","Swinging Strike","null","null"
"13","Arquimedes Caminero",592387,"FF|FF","Swinging Strike","null","null"
"14","Arquimedes Caminero",592387,"FF|FF","Strike","null","null"
"15","Arquimedes Caminero",592387,"FF|SL","Foul","null","null"
"18","Arquimedes Caminero",593871,"FF|FF","Strike","null","null"
"21","Arquimedes Caminero",593871,"FS|FF","Strike","null","null"
"22","Arquimedes Caminero",593871,"FF|FF","Foul","null","null"
"23","Arquimedes Caminero",593871,"FF|FF","Foul","null","null"
"24","Arquimedes Caminero",593871,"FF|FF","Foul","null","null"
"25","Arquimedes Caminero",593871,"FF|FF","Hit","88.8","32.86"
"28","Arquimedes Caminero",543257,"FS|FS","Swinging Strike","null","null"
"30","Arquimedes Caminero",543257,"FT|FS","Hit","null","null"
"34","Arquimedes Caminero",593934,"FF|FF","Strike","null","null"
"37","Arquimedes Caminero",573627,"FF|FF","Foul","null","null"
"38","Arquimedes Caminero",573627,"FF|FS","Swinging Strike","null","null"
"39","Arquimedes Caminero",573627,"FS|FS","Foul","null","null"
"40","Arquimedes Caminero",573627,"FS|FS","Swinging Strike","null","null"
"42","Arquimedes Caminero",545350,"FT|FF","Swinging Strike","null","null"
"45","Arquimedes Caminero",545350,"FF|FF","Strike","null","null"
"46","Arquimedes Caminero",545350,"FF|FT","Foul","null","null"
"49","Arquimedes Caminero",543807,"FT|FF","Strike","null","null"
"52","Arquimedes Caminero",543807,"FT|FT","Foul","null","null"
"54","Arquimedes Caminero",493329,"SL|SL","Swinging Strike","null","null"
"55","Arquimedes Caminero",493329,"SL|FT","Swinging Strike","null","null"
"57","Arquimedes Caminero",514888,"SL|FF","Strike","null","null"
"58","Arquimedes Caminero",514888,"FF|SL","Hit","94.7","18"
"60","Arquimedes Caminero",621043,"FT|SL","Hit","99","39.8"
"61","Arquimedes Caminero",621043,"SL|SL","Strike","null","null"
"63","Arquimedes Caminero",621043,"FT|SL","Swinging Strike","null","null"
"66","Arquimedes Caminero",594828,"SL|FF","Foul","null","null"
