"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"9","Chris Beck",593871,"SL|FF","Strike","null","null"
"11","Chris Beck",593871,"CH|FF","Foul","null","null"
"14","Chris Beck",543257,"CH|FF","Foul","null","null"
"15","Chris Beck",543257,"FF|CH","Strike","null","null"
"22","Chris Beck",573627,"CH|FF","Foul","null","null"
"29","Chris Beck",500871,"FF|FT","Strike","null","null"
"31","Chris Beck",571974,"FT|FT","Hit","80.6","32.17"
"37","Chris Beck",572821,"CH|FF","Strike","null","null"
"44","Chris Beck",543094,"FF|FT","Hit","77.8","26.41"
"50","Chris Beck",592200,"FT|FT","Strike","null","null"
"51","Chris Beck",592200,"FT|FF","Hit","96.5","-0.2"
"53","Chris Beck",543484,"FF|SL","Strike","null","null"
"54","Chris Beck",543484,"SL|FT","Hit","73.1","-9.76"
"57","Chris Beck",571830,"FT|FF","Strike","null","null"
"60","Chris Beck",519237,"FT|FT","Strike","null","null"
"61","Chris Beck",519237,"FT|FF","Strike","null","null"
"62","Chris Beck",519237,"FF|SL","Strike","null","null"
"73","Chris Beck",595191,"SL|FT","Foul","null","null"
"74","Chris Beck",595191,"FT|FF","Hit","83.8","29.66"
"81","Chris Beck",514917,"CH|FF","Foul","null","null"
"87","Chris Beck",596451,"CH|FF","Strike","null","null"
"90","Chris Beck",444876,"FF|FT","Hit","99.3","7.92"
"95","Chris Beck",641531,"FF|CH","Foul","null","null"
"101","Chris Beck",449181,"FT|null","Foul","null","null"
"104","Chris Beck",543333,"CH|FT","Hit","null","null"
"107","Chris Beck",434778,"FT|FT","Foul","null","null"
"108","Chris Beck",434778,"FT|FF","Foul","null","null"
"109","Chris Beck",434778,"FF|SL","Hit","103","32.66"
"111","Chris Beck",521692,"SL|FT","Strike","null","null"
"112","Chris Beck",521692,"FT|FF","Foul","null","null"
"113","Chris Beck",521692,"FF|FF","Hit","94.8","16.43"
"117","Chris Beck",424825,"FF|FF","Foul","null","null"
"118","Chris Beck",424825,"FF|FF","Strike","null","null"
"120","Chris Beck",424825,"FF|FF","Foul","null","null"
"123","Chris Beck",547379,"FT|FF","Strike","null","null"
"124","Chris Beck",547379,"FF|FF","Hit","92.8","4.58"
"128","Chris Beck",435063,"FF|FF","Hit","51.7","-41.32"
"129","Chris Beck",435063,"FF|FF","Strike","null","null"
"135","Chris Beck",467793,"CH|CH","Foul","null","null"
"136","Chris Beck",467793,"CH|FF","Foul","null","null"
"137","Chris Beck",467793,"FF|SL","Hit","53.6","27.36"
"139","Chris Beck",608070,"FT|FF","Foul","null","null"
"144","Chris Beck",608070,"FF|FF","Foul","null","null"
"146","Chris Beck",571980,"FT|FF","Foul","null","null"
"152","Chris Beck",444876,"CH|FF","Strike","null","null"
"160","Chris Beck",593160,"CH|CH","Strike","null","null"
"166","Chris Beck",456715,"FT|FF","Strike","null","null"
"173","Chris Beck",457727,"FF|FF","Strike","null","null"
"198","Chris Beck",578428,"SL|FF","Strike","null","null"
"200","Chris Beck",457708,"SL|SL","Strike","null","null"
"201","Chris Beck",457708,"SL|SL","Foul","null","null"
"203","Chris Beck",457708,"FT|FF","Hit","106.6","30.66"
"209","Chris Beck",572821,"CH|SL","Foul","null","null"
"212","Chris Beck",572821,"CH|CH","Foul","null","null"
"213","Chris Beck",572821,"CH|SL","Swinging Strike","null","null"
"217","Chris Beck",592696,"CH|FF","Foul","null","null"
"218","Chris Beck",592696,"FF|FF","Hit","69.4","58.69"
"221","Chris Beck",593934,"FF|SL","Foul","null","null"
"222","Chris Beck",593934,"SL|CH","Strike","null","null"
