"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"3","Cole Hamels",460075,"FT|FC","Foul","null","null"
"5","Cole Hamels",460075,"CU|FT","Foul","null","null"
"6","Cole Hamels",460075,"FT|FT","Foul","null","null"
"7","Cole Hamels",460075,"FT|FT","Hit","106","13.83"
"9","Cole Hamels",541650,"CU|CU","Swinging Strike","null","null"
"10","Cole Hamels",541650,"CU|FT","Foul","null","null"
"12","Cole Hamels",444489,"FT|FT","Hit","103.6","17.33"
"15","Cole Hamels",606115,"FC|FT","Hit","78.9","-25.73"
"16","Cole Hamels",606115,"FT|FF","Strike","null","null"
"20","Cole Hamels",592680,"FF|FF","Strike","null","null"
"24","Cole Hamels",570267,"CH|FC","Foul","null","null"
"25","Cole Hamels",570267,"FC|CH","Strike","null","null"
"27","Cole Hamels",570267,"CU|CH","Swinging Strike","null","null"
"28","Cole Hamels",570267,"CH|FT","Foul","null","null"
"31","Cole Hamels",460075,"FC|FF","Strike","null","null"
"33","Cole Hamels",460075,"CH|FF","Hit","107.4","-3.1"
"35","Cole Hamels",474892,"FF|CH","Swinging Strike","null","null"
"36","Cole Hamels",474892,"CH|CU","Strike","null","null"
"40","Cole Hamels",606115,"FF|CH","Swinging Strike","null","null"
"41","Cole Hamels",606115,"CH|CH","Foul","null","null"
"42","Cole Hamels",606115,"CH|CU","Swinging Strike","null","null"
"43","Cole Hamels",606115,"CU|FF","Foul","null","null"
"46","Cole Hamels",455117,"FC|FT","Hit","105.5","8.58"
"48","Cole Hamels",592680,"CH|FT","Hit","94.5","-32.96"
"49","Cole Hamels",592680,"FT|CU","Strike","null","null"
"51","Cole Hamels",542340,"CU|CH","Swinging Strike","null","null"
"52","Cole Hamels",542340,"CH|FT","Swinging Strike","null","null"
"54","Cole Hamels",542340,"FF|FF","Foul","null","null"
"57","Cole Hamels",570267,"CU|CH","Hit","78.7","-14.86"
"60","Cole Hamels",460075,"FT|FT","Hit","72.2","13.78"
"61","Cole Hamels",460075,"FT|CU","Strike","null","null"
"63","Cole Hamels",474892,"CU|FT","Foul","null","null"
"64","Cole Hamels",474892,"FT|CU","Swinging Strike","null","null"
"66","Cole Hamels",541650,"CH|CH","Hit","89.9","35.34"
"67","Cole Hamels",541650,"CH|CU","Strike","null","null"
"72","Cole Hamels",606115,"CH|FF","Swinging Strike","null","null"
"73","Cole Hamels",606115,"FF|CU","Foul","null","null"
"74","Cole Hamels",606115,"CU|CH","Swinging Strike","null","null"
"76","Cole Hamels",606115,"FF|FF","Foul","null","null"
"77","Cole Hamels",606115,"FF|FF","Foul","null","null"
"81","Cole Hamels",455117,"CU|FT","Strike","null","null"
"84","Cole Hamels",455117,"FT|FF","Hit","107.2","-7.98"
"86","Cole Hamels",592680,"CH|FT","Swinging Strike","null","null"
"87","Cole Hamels",592680,"FT|FT","Hit","100.3","28.96"
"88","Cole Hamels",592680,"FT|FF","Foul","null","null"
"91","Cole Hamels",542340,"CU|CH","Swinging Strike","null","null"
"93","Cole Hamels",542340,"CU|FC","Strike","null","null"
"94","Cole Hamels",542340,"FC|FT","Hit","88.1","34.21"
"97","Cole Hamels",474892,"FT|FF","Hit","null","null"
"99","Cole Hamels",541650,"FF|FF","Hit","91.1","5.6"
"100","Cole Hamels",541650,"FF|CH","Foul","null","null"
"101","Cole Hamels",541650,"CH|FT","Foul","null","null"
"105","Cole Hamels",570267,"FC|FF","Strike","null","null"
"106","Cole Hamels",570267,"FF|FT","Foul","null","null"
"107","Cole Hamels",570267,"FT|FF","Hit","66.6","32.59"
"109","Cole Hamels",543760,"FF|FT","Foul","null","null"
"110","Cole Hamels",543760,"FT|FT","Hit","96.1","-4.67"
"112","Cole Hamels",518649,"FT|FT","Hit","97.1","15.31"
"114","Cole Hamels",592387,"FT|FT","Hit","108.7","7.2"
"116","Cole Hamels",501981,"FF|FT","Foul","null","null"
"117","Cole Hamels",501981,"FT|FT","Foul","null","null"
"120","Cole Hamels",501981,"FT|FT","Foul","null","null"
"123","Cole Hamels",502143,"CU|CU","Strike","null","null"
"125","Cole Hamels",502143,"CH|FT","Hit","96","51.77"
"127","Cole Hamels",519390,"FF|FT","Strike","null","null"
