"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Daniel Norris",542255,"FF|FF","Foul","null","null"
"3","Daniel Norris",542255,"FF|SL","Hit","null","null"
"4","Daniel Norris",542255,"SL|FF","Strike","null","null"
"9","Daniel Norris",611177,"FF|FF","Strike","null","null"
"18","Daniel Norris",455976,"FF|FF","Hit","null","null"
"19","Daniel Norris",455976,"FF|FF","Strike","null","null"
"20","Daniel Norris",455976,"FF|FF","Foul","null","null"
"26","Daniel Norris",621020,"FF|FF","Foul","null","null"
"27","Daniel Norris",621020,"FF|FF","Strike","null","null"
"34","Daniel Norris",542255,"CH|FF","Foul","null","null"
"35","Daniel Norris",542255,"FF|SL","Hit","92.7","8.94"
"38","Daniel Norris",542255,"SL|FF","Foul","null","null"
"40","Daniel Norris",611177,"FF|SL","Foul","null","null"
"41","Daniel Norris",611177,"SL|FF","Hit","69.7","54.7"
"45","Daniel Norris",518692,"FF|CU","Strike","null","null"
"49","Daniel Norris",461314,"SL|FF","Hit","99.5","33.19"
"50","Daniel Norris",461314,"FF|CU","Strike","null","null"
"53","Daniel Norris",455976,"FF|FF","Strike","null","null"
"58","Daniel Norris",621020,"FF|CH","Strike","null","null"
"60","Daniel Norris",621020,"SL|FF","Foul","null","null"
"64","Daniel Norris",488818,"FF|FF","Strike","null","null"
"65","Daniel Norris",488818,"FF|FF","Foul","null","null"
"68","Daniel Norris",488818,"FF|FF","Strike","null","null"
"69","Daniel Norris",488818,"FF|FF","Hit","100.2","-6.87"
"71","Daniel Norris",542255,"FF|FF","Foul","null","null"
"73","Daniel Norris",542255,"CU|FF","Hit","87.7","-3.1"
"75","Daniel Norris",542255,"FF|FF","Foul","null","null"
"78","Daniel Norris",593495,"FF|FF","Hit","null","null"
"82","Daniel Norris",518692,"FF|FF","Foul","null","null"
"84","Daniel Norris",461314,"CH|FF","Foul","null","null"
"85","Daniel Norris",461314,"FF|FF","Foul","null","null"
"86","Daniel Norris",461314,"FF|CH","Foul","null","null"
"90","Daniel Norris",455976,"FF|CU","Strike","null","null"
"94","Daniel Norris",452095,"FF|FF","Strike","null","null"
"98","Daniel Norris",621020,"FF|FF","Foul","null","null"
"99","Daniel Norris",621020,"FF|FF","Foul","null","null"
"103","Daniel Norris",474319,"FF|FF","Foul","null","null"
"105","Daniel Norris",474319,"FF|FF","Hit","106.9","30.91"
"108","Daniel Norris",474319,"FF|FF","Foul","null","null"
"109","Daniel Norris",474319,"FF|FF","Foul","null","null"
"111","Daniel Norris",593495,"FF|SL","Foul","null","null"
"112","Daniel Norris",593495,"SL|FF","Hit","89.1","-15.7"
"117","Daniel Norris",596144,"CH|FF","Hit","96.8","56.91"
"119","Daniel Norris",543333,"FF|FF","Foul","null","null"
"121","Daniel Norris",543333,"CH|SL","Strike","null","null"
"128","Daniel Norris",434778,"FF|FF","Foul","null","null"
"131","Daniel Norris",434778,"CH|FF","Foul","null","null"
"135","Daniel Norris",460086,"FF|FF","Hit","90.5","68.12"
"137","Daniel Norris",444876,"SL|SL","Strike","null","null"
"138","Daniel Norris",444876,"SL|FF","Hit","89.5","25.02"
"140","Daniel Norris",641531,"CH|CH","Foul","null","null"
