"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"3","Edwin Jackson",516416,"CU|CH","Strike","null","null"
"8","Edwin Jackson",571875,"CU|FF","Hit","87.8","43.18"
"10","Edwin Jackson",502671,"SL|SL","Hit","95.3","38.78"
"11","Edwin Jackson",502671,"SL|SL","Strike","null","null"
"14","Edwin Jackson",456078,"SL|FF","Hit","76.3","24.51"
"18","Edwin Jackson",592273,"CH|SL","Foul","null","null"
"23","Edwin Jackson",572008,"CH|FF","Hit","null","null"
"26","Edwin Jackson",593647,"FF|SL","Swinging Strike","null","null"
"27","Edwin Jackson",593647,"SL|FF","Foul","null","null"
"31","Edwin Jackson",640463,"FF|FF","Hit","null","null"
"34","Edwin Jackson",516416,"FF|SL","Foul","null","null"
"35","Edwin Jackson",516416,"SL|FF","Hit","null","null"
"38","Edwin Jackson",516416,"CH|FF","Foul","null","null"
"40","Edwin Jackson",516416,"FF|SL","Foul","null","null"
"48","Edwin Jackson",502671,"FF|SL","Hit","null","null"
"52","Edwin Jackson",456078,"SL|FF","Strike","null","null"
"53","Edwin Jackson",456078,"FF|SL","Foul","null","null"
"57","Edwin Jackson",592273,"FF|SL","Foul","null","null"
"58","Edwin Jackson",592273,"SL|FF","Hit","null","null"
"65","Edwin Jackson",572008,"SL|FF","Hit","null","null"
"68","Edwin Jackson",593647,"FF|FF","Foul","null","null"
"69","Edwin Jackson",593647,"FF|CU","Strike","null","null"
"70","Edwin Jackson",593647,"CU|SL","Hit","null","null"
"72","Edwin Jackson",571745,"SL|FF","Hit","null","null"
"76","Edwin Jackson",640463,"FF|CH","Hit","null","null"
"77","Edwin Jackson",640463,"CH|FF","Strike","null","null"
"80","Edwin Jackson",571875,"SL|SL","Hit","null","null"
"81","Edwin Jackson",571875,"SL|FF","Strike","null","null"
"86","Edwin Jackson",456078,"FF|FF","Strike","null","null"
"92","Edwin Jackson",572008,"SL|FF","Hit","null","null"
"95","Edwin Jackson",593647,"SL|CU","Strike","null","null"
"98","Edwin Jackson",452254,"FF|SL","Hit","97.5","12"
"102","Edwin Jackson",474832,"FF|FF","Strike","null","null"
"103","Edwin Jackson",474832,"FF|FF","Foul","null","null"
"104","Edwin Jackson",474832,"FF|FF","Foul","null","null"
"105","Edwin Jackson",474832,"FF|SL","Foul","null","null"
"106","Edwin Jackson",474832,"SL|FF","Foul","null","null"
"109","Edwin Jackson",456488,"SL|FF","Foul","null","null"
"113","Edwin Jackson",605412,"FF|FF","Hit","88","17.52"
"115","Edwin Jackson",592620,"CU|SL","Foul","null","null"
"116","Edwin Jackson",592620,"SL|SL","Foul","null","null"
"118","Edwin Jackson",592620,"FF|FF","Strike","null","null"
"121","Edwin Jackson",452655,"SL|FF","Foul","null","null"
"122","Edwin Jackson",452655,"FF|SL","Strike","null","null"
"124","Edwin Jackson",452655,"SL|SL","Foul","null","null"
"134","Edwin Jackson",457763,"SL|FF","Foul","null","null"
"135","Edwin Jackson",457763,"FF|SL","Foul","null","null"
"136","Edwin Jackson",457763,"SL|FF","Hit","98.7","28.2"
