"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Jeff Samardzija",453568,"FF|FF","Ball","null","null"
"4","Jeff Samardzija",518614,"FF|SL","Foul","null","null"
"5","Jeff Samardzija",518614,"SL|SL","Swinging Strike","null","null"
"6","Jeff Samardzija",518614,"SL|FF","Called Strike","null","null"
"7","Jeff Samardzija",518614,"FF|FF","Ball","null","null"
"9","Jeff Samardzija",471865,"FF|SL","Foul","null","null"
"10","Jeff Samardzija",471865,"SL|FF","Foul","null","null"
"11","Jeff Samardzija",471865,"FF|FF","Ball","null","null"
"12","Jeff Samardzija",471865,"FF|FF","Called Strike","null","null"
"13","Jeff Samardzija",471865,"FF|FS","Ball","null","null"
"14","Jeff Samardzija",471865,"FS|FS","Swinging Strike","null","null"
"16","Jeff Samardzija",571448,"SL|FF","Ball","null","null"
"17","Jeff Samardzija",571448,"FF|FF","Ball","null","null"
"18","Jeff Samardzija",571448,"FF|FF","Ball","null","null"
"20","Jeff Samardzija",621311,"FS|FT","Ball","null","null"
"21","Jeff Samardzija",621311,"FT|FT","Swinging Strike","null","null"
"22","Jeff Samardzija",621311,"FT|FT","In play, out(s)","96.5","31.05"
"24","Jeff Samardzija",467827,"FT|FF","Foul","null","null"
"25","Jeff Samardzija",467827,"FF|SL","Ball In Dirt","null","null"
"26","Jeff Samardzija",467827,"SL|FS","Swinging Strike","null","null"
"27","Jeff Samardzija",467827,"FS|FS","Ball","null","null"
"29","Jeff Samardzija",542436,"FS|FF","Called Strike","null","null"
"30","Jeff Samardzija",542436,"FF|FT","Foul Tip","null","null"
"32","Jeff Samardzija",547172,"FT|FT","Ball","null","null"
"34","Jeff Samardzija",543022,"SL|SL","Foul (Runner Going)","null","null"
"35","Jeff Samardzija",543022,"SL|FT","Foul Bunt","null","null"
"36","Jeff Samardzija",543022,"FT|SL","Ball","null","null"
"38","Jeff Samardzija",453568,"FF|FS","Foul","null","null"
"39","Jeff Samardzija",453568,"FS|FF","Ball","null","null"
"40","Jeff Samardzija",453568,"FF|FS","Swinging Strike","null","null"
"41","Jeff Samardzija",453568,"FS|FF","Called Strike","null","null"
"42","Jeff Samardzija",453568,"FF|FF","Foul","null","null"
"43","Jeff Samardzija",453568,"FF|SL","Ball","null","null"
"45","Jeff Samardzija",518614,"SL|FT","In play, out(s)","87.9","38.92"
"46","Jeff Samardzija",518614,"FT|FF","Ball","null","null"
"47","Jeff Samardzija",518614,"FF|FS","Ball","null","null"
"49","Jeff Samardzija",471865,"FF|FT","In play, no out","97.5","29.03"
"50","Jeff Samardzija",471865,"FT|FS","Swinging Strike","null","null"
"52","Jeff Samardzija",571448,"FT|CU","Ball","null","null"
"54","Jeff Samardzija",621311,"CU|FS","Foul","null","null"
"55","Jeff Samardzija",621311,"FS|FT","Called Strike","null","null"
"56","Jeff Samardzija",621311,"FT|FT","Ball","null","null"
"58","Jeff Samardzija",542436,"FF|FS","Swinging Strike","null","null"
"59","Jeff Samardzija",542436,"FS|FS","Called Strike","null","null"
"60","Jeff Samardzija",542436,"FS|FF","Foul","null","null"
"62","Jeff Samardzija",547172,"FS|CU","Ball","null","null"
"63","Jeff Samardzija",547172,"CU|CU","Called Strike","null","null"
"64","Jeff Samardzija",547172,"CU|FS","Swinging Strike","null","null"
"66","Jeff Samardzija",543022,"SL|FF","Called Strike","null","null"
"67","Jeff Samardzija",543022,"FF|FF","Called Strike","null","null"
"68","Jeff Samardzija",543022,"FF|FF","Ball","null","null"
"69","Jeff Samardzija",543022,"FF|FT","Ball","null","null"
"70","Jeff Samardzija",543022,"FT|FF","Called Strike","null","null"
"72","Jeff Samardzija",453568,"CU|FT","In play, no out","88.7","15.43"
"73","Jeff Samardzija",453568,"FT|CU","Ball","null","null"
"74","Jeff Samardzija",453568,"CU|FS","Swinging Strike","null","null"
"76","Jeff Samardzija",518614,"FF|FS","Swinging Strike","null","null"
