"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"11","Leonel Campos",571812,"FF|SL","Strike","null","null"
"15","Leonel Campos",592273,"FF|FF","Strike","null","null"
"18","Leonel Campos",435062,"FF|SL","Strike","null","null"
"22","Leonel Campos",518586,"FF|FF","Strike","null","null"
"25","Leonel Campos",518586,"FF|FF","Foul","null","null"
"29","Leonel Campos",624577,"SL|SL","Foul","null","null"
"31","Leonel Campos",624577,"FF|SL","Strike","null","null"
"34","Leonel Campos",434563,"SL|FF","Hit","84.4","-0.09"
"44","Leonel Campos",518516,"SL|FF","Foul","null","null"
"48","Leonel Campos",452655,"FF|FF","Hit","65","45.13"
"49","Leonel Campos",452655,"FF|SL","Strike","null","null"
"50","Leonel Campos",452655,"SL|FF","Foul","null","null"
"54","Leonel Campos",518934,"SL|FF","Hit","87.8","52.35"
"56","Leonel Campos",471865,"CH|FF","Foul","null","null"
"57","Leonel Campos",471865,"FF|FF","Hit","78.7","54.31"
"61","Leonel Campos",571448,"FF|FF","Foul","null","null"
"63","Leonel Campos",571448,"SL|SL","Hit","67.6","7.81"
"64","Leonel Campos",571448,"SL|FF","Strike","null","null"
"65","Leonel Campos",571448,"FF|FF","Foul","null","null"
"67","Leonel Campos",621311,"FF|FF","Hit","97.2","31.8"
"69","Leonel Campos",608596,"SL|SL","Strike","null","null"
"70","Leonel Campos",608596,"SL|FF","Foul","null","null"
"74","Leonel Campos",467827,"CH|FF","Foul","null","null"
"75","Leonel Campos",467827,"FF|FF","Strike","null","null"
"77","Leonel Campos",543768,"SL|SL","Strike","null","null"
"78","Leonel Campos",543768,"SL|FF","Foul","null","null"
"89","Leonel Campos",434670,"SL|SL","Foul","null","null"
"92","Leonel Campos",571788,"SL|SL","Hit","99.8","23.83"
"93","Leonel Campos",571788,"SL|FF","Foul","null","null"
"94","Leonel Campos",571788,"FF|SL","Foul","null","null"
"101","Leonel Campos",598265,"SL|SL","Strike","null","null"
"106","Leonel Campos",434670,"SL|FF","Hit","78.4","-34.06"
"109","Leonel Campos",605141,"SL|FF","Strike","null","null"
"110","Leonel Campos",605141,"FF|FF","Hit","106.6","-16.52"
"114","Leonel Campos",435062,"FF|FF","Foul","null","null"
"115","Leonel Campos",435062,"FF|FF","Hit","89.6","-30.47"
"118","Leonel Campos",435062,"FF|FF","Foul","null","null"
"119","Leonel Campos",435062,"FF|CH","Foul","null","null"
"120","Leonel Campos",435062,"CH|FF","Foul","null","null"
"122","Leonel Campos",592808,"CH|CH","Hit","90.1","-74.43"
"123","Leonel Campos",592808,"CH|FF","Foul","null","null"
"127","Leonel Campos",622110,"FF|SL","Strike","null","null"
"129","Leonel Campos",622110,"SL|FF","Foul","null","null"
"133","Leonel Campos",572816,"IN|IN","Hit","null","null"
"134","Leonel Campos",572816,"IN|IN","Hit","null","null"
"135","Leonel Campos",572816,"IN|IN","Hit","null","null"
"139","Leonel Campos",435064,"FF|FF","Strike","null","null"
"140","Leonel Campos",435064,"FF|FF","Foul","null","null"
"143","Leonel Campos",523253,"SL|SL","Hit","79.8","37.92"
