"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Matt Barnes",581527,"CU|CU","Foul","null","null"
"5","Matt Barnes",453064,"FF|CH","Foul","null","null"
"6","Matt Barnes",453064,"CH|CU","Strike","null","null"
"8","Matt Barnes",453064,"CU|CH","Hit","99.2","19.83"
"10","Matt Barnes",459431,"FF|FF","Strike","null","null"
"11","Matt Barnes",459431,"FF|FF","Foul","null","null"
"13","Matt Barnes",459431,"CU|FF","Strike","null","null"
"15","Matt Barnes",459431,"FF|FF","Foul","null","null"
"16","Matt Barnes",459431,"FF|FF","Foul","null","null"
"19","Matt Barnes",607680,"FF|FF","Hit","88.4","3.11"
"20","Matt Barnes",607680,"FF|CU","Strike","null","null"
"22","Matt Barnes",485567,"FF|FF","Hit","96.2","-2.11"
"23","Matt Barnes",485567,"FF|FF","Foul","null","null"
"27","Matt Barnes",523253,"FF|CH","Hit","67.8","9.72"
"28","Matt Barnes",523253,"CH|CU","Strike","null","null"
"30","Matt Barnes",543094,"FF|FF","Swinging Strike","null","null"
"33","Matt Barnes",543094,"CU|FF","Strike","null","null"
"40","Matt Barnes",545338,"FF|FF","Hit","72.7","50.34"
"42","Matt Barnes",435064,"CH|FF","Strike","null","null"
"43","Matt Barnes",435064,"FF|FF","Swinging Strike","null","null"
"45","Matt Barnes",543094,"CU|CU","Strike","null","null"
"46","Matt Barnes",543094,"CU|FF","Swinging Strike","null","null"
"53","Matt Barnes",641820,"FF|FF","Hit","87.7","-4.36"
"54","Matt Barnes",641820,"FF|CU","Strike","null","null"
"56","Matt Barnes",641820,"FF|FF","Swinging Strike","null","null"
"60","Matt Barnes",547957,"CU|FF","Hit","93.5","-16.32"
"61","Matt Barnes",547957,"FF|FF","Strike","null","null"
"62","Matt Barnes",547957,"FF|FF","Foul","null","null"
"64","Matt Barnes",429666,"CH|FF","Strike","null","null"
"66","Matt Barnes",429666,"CH|CU","Hit","null","null"
"70","Matt Barnes",596142,"CU|FF","Strike","null","null"
"71","Matt Barnes",596142,"FF|FF","Swinging Strike","null","null"
"73","Matt Barnes",407893,"CU|CU","Strike","null","null"
"74","Matt Barnes",407893,"CU|CU","Hit","87.4","-5.36"
"80","Matt Barnes",544369,"CU|FF","Strike","null","null"
"81","Matt Barnes",544369,"FF|FF","Foul","null","null"
"83","Matt Barnes",591720,"CU|FF","Foul","null","null"
"84","Matt Barnes",591720,"FF|FF","Hit","90.1","-3.2"
"85","Matt Barnes",591720,"FF|CU","Strike","null","null"
"87","Matt Barnes",591720,"FF|FF","Strike","null","null"
"90","Matt Barnes",430945,"FF|CU","Swinging Strike","null","null"
"91","Matt Barnes",430945,"CU|FF","Swinging Strike","null","null"
"92","Matt Barnes",430945,"FF|FF","Hit","83.6","-14.66"
"94","Matt Barnes",570731,"CU|CU","Strike","null","null"
"95","Matt Barnes",570731,"CU|CU","Hit","63.4","-45.76"
"97","Matt Barnes",592518,"CH|FF","Swinging Strike","null","null"
"98","Matt Barnes",592518,"FF|CU","Foul","null","null"
"99","Matt Barnes",592518,"CU|FF","Swinging Strike","null","null"
"101","Matt Barnes",444432,"FF|CU","Foul","null","null"
"103","Matt Barnes",607680,"CU|CU","Hit","86.9","0.29"
"105","Matt Barnes",475253,"CU|FF","Strike","null","null"
"106","Matt Barnes",475253,"FF|FF","Swinging Strike","null","null"
"107","Matt Barnes",475253,"FF|CU","Foul","null","null"
"111","Matt Barnes",518626,"FF|CU","Strike","null","null"
"114","Matt Barnes",429665,"FF|FF","Foul","null","null"
"116","Matt Barnes",581527,"CU|CU","Strike","null","null"
"118","Matt Barnes",571976,"FF|FF","Foul","null","null"
"119","Matt Barnes",571976,"FF|CU","Swinging Strike","null","null"
"120","Matt Barnes",571976,"CU|CU","Strike","null","null"
"121","Matt Barnes",571976,"CU|FF","Foul","null","null"
"125","Matt Barnes",523253,"FF|FF","Strike","null","null"
"126","Matt Barnes",523253,"FF|FF","Swinging Strike","null","null"
"129","Matt Barnes",595281,"FF|CU","Hit","105.7","8.24"
"132","Matt Barnes",446334,"FF|FF","Foul","null","null"
"133","Matt Barnes",446334,"FF|FF","Swinging Strike","null","null"
"135","Matt Barnes",523253,"CH|FF","Strike","null","null"
"140","Matt Barnes",595281,"FF|FF","Swinging Strike","null","null"
"141","Matt Barnes",595281,"FF|CU","Strike","null","null"
"144","Matt Barnes",449181,"CU|FF","Foul","null","null"
"149","Matt Barnes",596144,"CH|FF","Hit","78.1","-78.25"
"153","Matt Barnes",456715,"FF|FF","Strike","null","null"
"155","Matt Barnes",456715,"FF|FF","Hit","105.5","16.09"
"159","Matt Barnes",523253,"CH|FF","Swinging Strike","null","null"
"160","Matt Barnes",523253,"FF|FF","Foul","null","null"
"161","Matt Barnes",523253,"FF|CH","Strike","null","null"
"165","Matt Barnes",595281,"FF|FF","Hit","71.1","60.69"
"167","Matt Barnes",571912,"null|null","Foul","null","null"
"170","Matt Barnes",523253,"FF|FF","Hit","null","null"
"171","Matt Barnes",523253,"FF|FF","Strike","null","null"
"172","Matt Barnes",523253,"FF|CU","Strike","null","null"
"173","Matt Barnes",523253,"CU|FF","Foul","null","null"
"176","Matt Barnes",595281,"FF|CU","Hit","98.9","1.76"
"177","Matt Barnes",595281,"CU|FF","Foul","null","null"
"180","Matt Barnes",543543,"CU|FF","Strike","null","null"
"182","Matt Barnes",543543,"CU|FF","Swinging Strike","null","null"
"186","Matt Barnes",572816,"CU|FF","Strike","null","null"
"187","Matt Barnes",572816,"FF|CU","Foul","null","null"
"188","Matt Barnes",572816,"CU|FF","Swinging Strike","null","null"
"192","Matt Barnes",543510,"FF|FF","Foul","null","null"
"194","Matt Barnes",543510,"FF|FF","Swinging Strike","null","null"
"197","Matt Barnes",607385,"FF|FF","Swinging Strike","null","null"
"198","Matt Barnes",607385,"FF|FF","Swinging Strike","null","null"
"211","Matt Barnes",448801,"FF|FF","Strike","null","null"
"212","Matt Barnes",448801,"FF|FF","Strike","null","null"
"213","Matt Barnes",448801,"FF|FF","Swinging Strike","null","null"
"216","Matt Barnes",429666,"FF|CU","Foul","null","null"
"217","Matt Barnes",429666,"CU|FF","Swinging Strike","null","null"
"218","Matt Barnes",429666,"FF|FF","Strike","null","null"
"219","Matt Barnes",429666,"FF|FF","Strike","null","null"
"220","Matt Barnes",429666,"FF|FF","Foul","null","null"
"222","Matt Barnes",460099,"FF|FF","Hit","102.6","-2.06"
"224","Matt Barnes",430945,"CU|CH","Hit","81.4","-6.4"
"226","Matt Barnes",570731,"FF|FF","Foul","null","null"
"227","Matt Barnes",570731,"FF|FF","Swinging Strike","null","null"
"233","Matt Barnes",456665,"FF|FF","Foul","null","null"
"234","Matt Barnes",456665,"FF|FF","Hit","null","null"
"235","Matt Barnes",456665,"FF|CU","Strike","null","null"
"239","Matt Barnes",592518,"FF|CU","Foul","null","null"
"240","Matt Barnes",592518,"CU|FF","Hit","74.4","9.78"
"241","Matt Barnes",592518,"FF|CU","Foul","null","null"
"247","Matt Barnes",593647,"FF|FF","Foul","null","null"
"248","Matt Barnes",593647,"FF|FF","Swinging Strike","null","null"
"249","Matt Barnes",593647,"FF|CU","Strike","null","null"
"250","Matt Barnes",593647,"CU|CU","Swinging Strike","null","null"
"252","Matt Barnes",516416,"FF|CU","Swinging Strike","null","null"
"253","Matt Barnes",516416,"CU|FF","Hit","97","-24.84"
"255","Matt Barnes",456422,"FF|FF","Foul","null","null"
"258","Matt Barnes",456422,"FF|CU","Strike","null","null"
"260","Matt Barnes",456422,"CU|FF","Strike","null","null"
"265","Matt Barnes",502671,"FF|FF","Strike","null","null"
"271","Matt Barnes",544369,"FF|CU","Strike","null","null"
"272","Matt Barnes",544369,"CU|CU","Foul","null","null"
"274","Matt Barnes",544369,"FF|FF","Swinging Strike","null","null"
"276","Matt Barnes",596142,"CH|CU","Foul","null","null"
"280","Matt Barnes",596142,"CH|FF","Foul","null","null"
"281","Matt Barnes",596142,"FF|FF","Swinging Strike","null","null"
"283","Matt Barnes",407893,"CU|FF","Swinging Strike","null","null"
"285","Matt Barnes",407893,"CU|CU","Swinging Strike","null","null"
"287","Matt Barnes",544369,"FF|FF","Foul","null","null"
"288","Matt Barnes",544369,"FF|CU","Foul","null","null"
"290","Matt Barnes",544369,"CU|FF","Hit","98.8","4.85"
"291","Matt Barnes",544369,"FF|FF","Strike","null","null"
"295","Matt Barnes",519222,"FF|FF","Swinging Strike","null","null"
"298","Matt Barnes",121347,"FF|FF","Foul","null","null"
"299","Matt Barnes",121347,"FF|FF","Hit","97","41.32"
"303","Matt Barnes",407893,"CU|FF","Strike","null","null"
"305","Matt Barnes",407893,"CU|FF","Foul","null","null"
"307","Matt Barnes",592626,"CU|CU","Swinging Strike","null","null"
"308","Matt Barnes",592626,"CU|FF","Swinging Strike","null","null"
"310","Matt Barnes",475100,"CU|FF","Foul","null","null"
"312","Matt Barnes",475100,"FF|FF","Foul","null","null"
"315","Matt Barnes",475100,"CU|FF","Hit","91.7","-0.94"
"317","Matt Barnes",454560,"FF|FF","Swinging Strike","null","null"
"319","Matt Barnes",454560,"FF|FF","Foul","null","null"
"321","Matt Barnes",454560,"CU|FF","Foul","null","null"
"322","Matt Barnes",454560,"FF|FF","Strike","null","null"
"324","Matt Barnes",594795,"FF|FF","Swinging Strike","null","null"
"326","Matt Barnes",594795,"FF|FF","Swinging Strike","null","null"
"328","Matt Barnes",502210,"CU|CU","Strike","null","null"
"330","Matt Barnes",502210,"FF|CU","Swinging Strike","null","null"
"331","Matt Barnes",502210,"CU|FF","Foul","null","null"
"333","Matt Barnes",502210,"FF|FF","Foul","null","null"
"334","Matt Barnes",502210,"FF|CU","Hit","97.7","9.17"
"336","Matt Barnes",452234,"CU|FF","Swinging Strike","null","null"
"337","Matt Barnes",452234,"FF|FF","Swinging Strike","null","null"
"342","Matt Barnes",592206,"FF|CU","Swinging Strike","null","null"
"343","Matt Barnes",592206,"CU|CU","Swinging Strike","null","null"
"344","Matt Barnes",592206,"CU|FF","Foul","null","null"
"347","Matt Barnes",457708,"FF|FF","Swinging Strike","null","null"
"349","Matt Barnes",578428,"CU|FF","Hit","60.9","5.73"
"352","Matt Barnes",435079,"FF|CU","Strike","null","null"
"358","Matt Barnes",400121,"FF|FF","Strike","null","null"
"360","Matt Barnes",400121,"CU|FF","Hit","95.3","28.31"
"362","Matt Barnes",408045,"FF|FF","Strike","null","null"
"363","Matt Barnes",408045,"FF|FF","Hit","93.7","5.28"
"366","Matt Barnes",593934,"CU|CU","Strike","null","null"
"368","Matt Barnes",593934,"CU|FF","Hit","90.4","10.01"
"371","Matt Barnes",572821,"FF|FF","Hit","97.3","6.25"
"372","Matt Barnes",572821,"FF|FF","Strike","null","null"
"377","Matt Barnes",596146,"FF|FF","Strike","null","null"
"380","Matt Barnes",453923,"CU|FF","Foul","null","null"
"382","Matt Barnes",434636,"FF|FF","Strike","null","null"
"384","Matt Barnes",434636,"FF|CU","Hit","89.8","-2.54"
"387","Matt Barnes",623143,"FF|FF","Hit","100.1","-1.83"
"388","Matt Barnes",623143,"FF|CU","Strike","null","null"
"391","Matt Barnes",452655,"CU|CU","Hit","97.2","19.87"
"392","Matt Barnes",452655,"CU|FF","Foul","null","null"
"394","Matt Barnes",474832,"FF|FF","Swinging Strike","null","null"
"395","Matt Barnes",474832,"FF|FF","Foul","null","null"
"396","Matt Barnes",474832,"FF|CU","Swinging Strike","null","null"
"398","Matt Barnes",474832,"CU|FF","Swinging Strike","null","null"
"401","Matt Barnes",457763,"CU|CU","Strike","null","null"
"403","Matt Barnes",457763,"FF|FF","Strike","null","null"
"404","Matt Barnes",457763,"FF|FF","Strike","null","null"
