"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"3","Max Scherzer",543829,"FF|FF","Foul","null","null"
"4","Max Scherzer",543829,"FF|FF","Foul","null","null"
"5","Max Scherzer",543829,"FF|CH","Foul","null","null"
"6","Max Scherzer",543829,"CH|SL","Swinging Strike","null","null"
"8","Max Scherzer",542513,"FF|FF","Hit","98.6","26.46"
"11","Max Scherzer",445988,"FF|SL","Strike","null","null"
"12","Max Scherzer",445988,"SL|FF","Hit","82.8","16.06"
"14","Max Scherzer",592885,"FF|FF","Foul","null","null"
"16","Max Scherzer",571506,"FF|SL","Strike","null","null"
"17","Max Scherzer",571506,"SL|FF","Hit","86.4","19.76"
"19","Max Scherzer",489305,"FF|FF","Hit","67","-35.33"
"21","Max Scherzer",543329,"SL|FF","Strike","null","null"
"22","Max Scherzer",543329,"FF|SL","Swinging Strike","null","null"
"23","Max Scherzer",543329,"SL|SL","Strike","null","null"
"27","Max Scherzer",588751,"CH|FF","Foul","null","null"
"28","Max Scherzer",588751,"FF|SL","Swinging Strike","null","null"
"29","Max Scherzer",588751,"SL|FF","Hit","81.4","53.24"
"31","Max Scherzer",543408,"SL|FF","Swinging Strike","null","null"
"32","Max Scherzer",543408,"FF|FF","Strike","null","null"
"35","Max Scherzer",542513,"SL|CH","Swinging Strike","null","null"
"37","Max Scherzer",542513,"SL|CU","Strike","null","null"
"38","Max Scherzer",542513,"CU|FF","Hit","null","null"
"40","Max Scherzer",445988,"FF|SL","Strike","null","null"
"42","Max Scherzer",592885,"SL|CU","Swinging Strike","null","null"
"44","Max Scherzer",592885,"SL|CH","Strike","null","null"
"47","Max Scherzer",571506,"FF|CU","Strike","null","null"
"48","Max Scherzer",571506,"CU|SL","Swinging Strike","null","null"
"53","Max Scherzer",489305,"CH|FF","Foul","null","null"
"54","Max Scherzer",489305,"FF|SL","Strike","null","null"
"56","Max Scherzer",489305,"FF|SL","Strike","null","null"
"58","Max Scherzer",543329,"FF|FF","Hit","102.5","29.71"
"61","Max Scherzer",588751,"CH|SL","Swinging Strike","null","null"
"62","Max Scherzer",588751,"SL|FF","Foul","null","null"
"64","Max Scherzer",588751,"CH|SL","Hit","86.8","8.76"
"66","Max Scherzer",400085,"FF|FF","Swinging Strike","null","null"
"67","Max Scherzer",400085,"FF|FF","Hit","90.3","2.7"
"71","Max Scherzer",542513,"SL|FF","Strike","null","null"
"73","Max Scherzer",518618,"CH|FF","Foul","null","null"
"75","Max Scherzer",518618,"CU|FF","Hit","69.5","28.02"
"76","Max Scherzer",518618,"FF|FF","Strike","null","null"
"78","Max Scherzer",592885,"CH|FF","Strike","null","null"
"84","Max Scherzer",489305,"SL|SL","Swinging Strike","null","null"
"85","Max Scherzer",489305,"SL|SL","Strike","null","null"
"89","Max Scherzer",543329,"SL|SL","Foul","null","null"
"90","Max Scherzer",543329,"SL|SL","Foul","null","null"
"91","Max Scherzer",543329,"SL|FF","Foul","null","null"
"94","Max Scherzer",543829,"FF|CH","Strike","null","null"
"95","Max Scherzer",543829,"CH|FC","Foul","null","null"
"96","Max Scherzer",543829,"FC|CU","Hit","89.2","-1.3"
"98","Max Scherzer",571875,"FF|SL","Swinging Strike","null","null"
"101","Max Scherzer",571875,"FF|FF","Strike","null","null"
"102","Max Scherzer",571875,"FF|FF","Foul","null","null"
"106","Max Scherzer",456078,"FF|FF","Hit","103.5","16.99"
"111","Max Scherzer",630111,"FF|SL","Strike","null","null"
"113","Max Scherzer",571745,"FF|SL","Strike","null","null"
"115","Max Scherzer",571863,"FF|FF","Hit","null","null"
"118","Max Scherzer",516416,"SL|SL","Foul","null","null"
"120","Max Scherzer",516416,"FF|SL","Strike","null","null"
"122","Max Scherzer",516416,"SL|SL","Swinging Strike","null","null"
"126","Max Scherzer",502671,"SL|SL","Swinging Strike","null","null"
"127","Max Scherzer",502671,"SL|SL","Strike","null","null"
"129","Max Scherzer",456078,"SL|FF","Hit","104.5","19.93"
"131","Max Scherzer",630111,"SL|FF","Swinging Strike","null","null"
"132","Max Scherzer",630111,"FF|FF","Foul","null","null"
"133","Max Scherzer",630111,"FF|FF","Swinging Strike","null","null"
"135","Max Scherzer",630111,"FF|SL","Swinging Strike","null","null"
"136","Max Scherzer",630111,"SL|SL","Foul","null","null"
"139","Max Scherzer",572008,"CU|SL","Swinging Strike","null","null"
"140","Max Scherzer",572008,"SL|FF","Foul","null","null"
"142","Max Scherzer",571745,"CU|SL","Swinging Strike","null","null"
"143","Max Scherzer",571745,"SL|SL","Foul","null","null"
