"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Nick Goody",444432,"SL|SL","Hit","104.5","23.38"
"3","Nick Goody",444432,"SL|SL","Strike","null","null"
"5","Nick Goody",570731,"FF|SL","Hit","null","null"
"6","Nick Goody",570731,"SL|FF","Hit","null","null"
"8","Nick Goody",570731,"SL|FF","Foul","null","null"
"10","Nick Goody",429666,"SL|FF","Strike","null","null"
"12","Nick Goody",547957,"FF|SL","Hit","null","null"
"13","Nick Goody",547957,"SL|SL","Foul","null","null"
"14","Nick Goody",547957,"SL|SL","Strike","null","null"
"18","Nick Goody",430945,"SL|FF","Foul","null","null"
"19","Nick Goody",430945,"FF|FF","Hit","null","null"
"21","Nick Goody",446308,"SL|FF","Foul","102.4","19.11"
"22","Nick Goody",446308,"FF|FF","Foul","null","null"
"23","Nick Goody",446308,"FF|SL","Foul","null","null"
"25","Nick Goody",448801,"FF|SL","Strike","null","null"
"26","Nick Goody",448801,"SL|FF","Hit","105.3","34.69"
"36","Nick Goody",605141,"SL|FF","Strike","null","null"
"37","Nick Goody",605141,"FF|FF","Foul","null","null"
"39","Nick Goody",120074,"IN|IN","Hit","null","null"
"40","Nick Goody",120074,"IN|IN","Hit","null","null"
"41","Nick Goody",120074,"IN|IN","Hit","null","null"
"45","Nick Goody",434670,"SL|FF","Foul","null","null"
"50","Nick Goody",502082,"FF|FF","Strike","null","null"
"57","Nick Goody",434658,"FF|FF","Foul","null","null"
"62","Nick Goody",543401,"SL|CH","Hit","91.7","12.78"
"65","Nick Goody",547379,"SL|FF","Strike","null","null"
"69","Nick Goody",467793,"FF|FF","Strike","null","null"
"71","Nick Goody",467793,"FF|FF","Strike","null","null"
"75","Nick Goody",492841,"SL|FF","Foul","null","null"
"76","Nick Goody",492841,"FF|FF","Foul","null","null"
"78","Nick Goody",492841,"FF|FF","Hit","null","null"
"79","Nick Goody",492841,"FF|FF","Strike","null","null"
"83","Nick Goody",596019,"FF|FF","Foul","null","null"
"85","Nick Goody",435063,"FF|SL","Foul","null","null"
"86","Nick Goody",435063,"SL|SL","Foul","null","null"
"88","Nick Goody",435063,"SL|SL","Hit","null","null"
"91","Nick Goody",435063,"FF|FF","Foul","null","null"
"94","Nick Goody",608070,"SL|FF","Foul","null","null"
"96","Nick Goody",608070,"SL|FF","Strike","null","null"
"98","Nick Goody",435522,"SL|FF","Strike","null","null"
"104","Nick Goody",570731,"FF|FF","Hit","null","null"
"110","Nick Goody",430945,"FF|FF","Foul","null","null"
"115","Nick Goody",592518,"FF|SL","Hit","null","null"
"117","Nick Goody",444432,"SL|FF","Foul","null","null"
"118","Nick Goody",444432,"FF|FF","Foul","null","null"
"120","Nick Goody",444432,"SL|FF","Hit","null","null"
"122","Nick Goody",570731,"FF|SL","Hit","null","null"
"124","Nick Goody",570731,"SL|FF","Foul","null","null"
"129","Nick Goody",456030,"FF|FF","Strike","null","null"
"130","Nick Goody",456030,"FF|FF","Strike","null","null"
"135","Nick Goody",593428,"FF|SL","Hit","null","null"
"136","Nick Goody",593428,"SL|FF","Foul","null","null"
"137","Nick Goody",593428,"FF|FF","Hit","null","null"
"139","Nick Goody",593428,"SL|SL","Strike","null","null"
"141","Nick Goody",518614,"SL|SL","Hit","null","null"
"143","Nick Goody",518614,"SL|SL","Strike","null","null"
"144","Nick Goody",518614,"SL|FF","Hit","null","null"
"148","Nick Goody",430605,"FF|FF","Strike","null","null"
"149","Nick Goody",430605,"FF|SL","Hit","null","null"
"151","Nick Goody",547172,"FF|FF","Strike","null","null"
"154","Nick Goody",547172,"SL|FF","Foul","null","null"
"156","Nick Goody",453568,"FF|FF","Foul","null","null"
"158","Nick Goody",453568,"SL|FF","Foul","null","null"
"160","Nick Goody",453568,"SL|FF","Strike","null","null"
"162","Nick Goody",453568,"SL|SL","Foul","null","null"
"165","Nick Goody",518934,"FF|FF","Foul","null","null"
"166","Nick Goody",518934,"FF|SL","Foul","67.4","7.42"
"167","Nick Goody",518934,"SL|FF","Strike","null","null"
"169","Nick Goody",571448,"FF|FF","Strike","null","null"
"171","Nick Goody",500871,"SL|FF","Strike","null","null"
"174","Nick Goody",596146,"FF|FF","Foul","109.2","7.68"
"178","Nick Goody",542454,"SL|SL","Strike","null","null"
"184","Nick Goody",435559,"SL|FF","Foul","null","null"
"187","Nick Goody",461858,"FF|SL","Foul","null","null"
"189","Nick Goody",461858,"FF|FF","Hit","null","null"
"192","Nick Goody",461858,"FF|FF","Foul","null","null"
"197","Nick Goody",500871,"FF|FF","Hit","null","null"
"198","Nick Goody",500871,"FF|FF","Foul","null","null"
"199","Nick Goody",500871,"FF|SL","Foul","null","null"
"200","Nick Goody",500871,"SL|FF","Foul","null","null"
"201","Nick Goody",500871,"FF|SL","Foul","null","null"
"202","Nick Goody",500871,"SL|SL","Foul","null","null"
"203","Nick Goody",500871,"SL|FF","Hit","93.8","34.84"
"206","Nick Goody",596146,"SL|SL","Foul","106","3.73"
"207","Nick Goody",596146,"SL|SL","Strike","null","null"
"208","Nick Goody",596146,"SL|FF","Foul","null","null"
"212","Nick Goody",435559,"FF|FF","Strike","null","null"
"219","Nick Goody",430605,"FF|FF","Hit","null","null"
"220","Nick Goody",430605,"FF|SL","Hit","null","null"
"223","Nick Goody",448602,"FF|FF","Strike","null","null"
"229","Nick Goody",471865,"SL|SL","Hit","null","null"
"231","Nick Goody",502110,"FF|FF","Strike","null","null"
"232","Nick Goody",502110,"FF|SL","Foul","75.4","22.81"
"234","Nick Goody",592206,"FF|FF","Foul","null","null"
"235","Nick Goody",592206,"FF|FF","Strike","null","null"
"236","Nick Goody",592206,"FF|FF","Hit","null","null"
"242","Nick Goody",457454,"FF|FF","Strike","null","null"
"243","Nick Goody",457454,"FF|FF","Hit","null","null"
"246","Nick Goody",400121,"FF|SL","Hit","null","null"
"249","Nick Goody",400121,"FF|SL","Hit","null","null"
"251","Nick Goody",502110,"SL|SL","Foul","97","9.31"
"253","Nick Goody",502110,"SL|FF","Foul","null","null"
"255","Nick Goody",592206,"SL|SL","Hit","null","null"
"256","Nick Goody",592206,"SL|FF","Strike","null","null"
"259","Nick Goody",457708,"FF|FF","Hit","null","null"
"260","Nick Goody",457708,"FF|FF","Strike","null","null"
"262","Nick Goody",545361,"FF|SL","Foul","null","null"
"264","Nick Goody",545361,"FF|FF","Hit","109.8","26.6"
"265","Nick Goody",545361,"FF|FF","Strike","null","null"
"268","Nick Goody",527043,"SL|SL","Hit","null","null"
"269","Nick Goody",527043,"SL|FF","Strike","null","null"
"272","Nick Goody",405395,"FF|SL","Hit","null","null"
"276","Nick Goody",475253,"SL|SL","Hit","99.8","12.3"
"277","Nick Goody",475253,"SL|FF","Foul","null","null"
"282","Nick Goody",431145,"FF|FF","Strike","null","null"
"284","Nick Goody",581527,"SL|FF","Strike","null","null"
"285","Nick Goody",581527,"FF|FF","Strike","null","null"
"287","Nick Goody",581527,"FF|FF","Hit","null","null"
"289","Nick Goody",459431,"SL|SL","Foul","null","null"
"292","Nick Goody",459431,"FF|FF","Foul","null","null"
"293","Nick Goody",459431,"FF|SL","Hit","104.5","21.98"
"297","Nick Goody",572365,"SL|FF","Hit","null","null"
"299","Nick Goody",430832,"SL|FF","Foul","null","null"
"301","Nick Goody",430832,"FF|FF","Strike","null","null"
"302","Nick Goody",430832,"FF|FF","Hit","null","null"
"304","Nick Goody",429665,"SL|FF","Strike","null","null"
"306","Nick Goody",429665,"FF|SL","Hit","null","null"
"311","Nick Goody",456665,"SL|FF","Foul","null","null"
"316","Nick Goody",489149,"FF|SL","Foul","108.8","13.19"
"324","Nick Goody",475253,"SL|FF","Hit","null","null"
"327","Nick Goody",431145,"SL|FF","Foul","null","null"
"328","Nick Goody",431145,"FF|SL","Foul","null","null"
"330","Nick Goody",431145,"SL|SL","Strike","null","null"
"335","Nick Goody",430832,"SL|SL","Foul","null","null"
"336","Nick Goody",430832,"SL|SL","Strike","null","null"
"341","Nick Goody",518626,"FF|SL","Foul","null","null"
"344","Nick Goody",518626,"FF|SL","Strike","null","null"
"348","Nick Goody",429665,"FF|SL","Hit","95.3","-3.85"
"352","Nick Goody",459431,"SL|SL","Foul","null","null"
"354","Nick Goody",607680,"FF|FF","Foul","null","null"
"355","Nick Goody",607680,"FF|FF","Strike","null","null"
"367","Nick Goody",543760,"SL|FF","Strike","null","null"
"368","Nick Goody",543760,"FF|FF","Foul","null","null"
"373","Nick Goody",458085,"FF|FF","Foul","null","null"
"376","Nick Goody",458085,"SL|FF","Foul","null","null"
"377","Nick Goody",458085,"FF|SL","Foul","null","null"
"380","Nick Goody",473724,"SL|FF","Strike","null","null"
"382","Nick Goody",605113,"FF|FF","Foul","null","null"
