"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"3","Ross Stripling",571976,"SL|FF","Foul","null","null"
"4","Ross Stripling",571976,"FF|CU","Hit","67.4","-24.77"
"5","Ross Stripling",571976,"CU|CU","Swinging Strike","null","null"
"6","Ross Stripling",571976,"CU|CU","Strike","null","null"
"10","Ross Stripling",500208,"FF|CU","Swinging Strike","null","null"
"11","Ross Stripling",500208,"CU|CU","Foul","null","null"
"12","Ross Stripling",500208,"CU|CH","Foul","null","null"
"14","Ross Stripling",543105,"FF|FF","Strike","null","null"
"17","Ross Stripling",543105,"SL|SL","Strike","null","null"
"19","Ross Stripling",592669,"SL|CU","Swinging Strike","null","null"
"22","Ross Stripling",592669,"CU|CU","Swinging Strike","null","null"
"23","Ross Stripling",592669,"CU|SL","Strike","null","null"
"25","Ross Stripling",572114,"SL|FF","Swinging Strike","null","null"
"26","Ross Stripling",572114,"FF|CU","Strike","null","null"
"30","Ross Stripling",595978,"CU|SL","Foul","null","null"
"31","Ross Stripling",595978,"SL|FF","Foul","null","null"
"32","Ross Stripling",595978,"FF|SL","Hit","78.4","-6.21"
"35","Ross Stripling",506560,"FF|CH","Foul","null","null"
"36","Ross Stripling",506560,"CH|CU","Hit","95","-0.15"
"37","Ross Stripling",506560,"CU|FF","Strike","null","null"
"38","Ross Stripling",506560,"FF|FF","Swinging Strike","null","null"
"41","Ross Stripling",477165,"FF|FF","Strike","null","null"
"43","Ross Stripling",606131,"SL|FF","Strike","null","null"
"45","Ross Stripling",430605,"CU|SL","Foul","null","null"
"48","Ross Stripling",430605,"FF|CH","Swinging Strike","null","null"
"51","Ross Stripling",506924,"CH|FF","Hit","82.9","36.24"
"54","Ross Stripling",542436,"SL|FF","Foul","null","null"
"55","Ross Stripling",542436,"FF|SL","Hit","null","null"
"58","Ross Stripling",453568,"CH|CH","Swinging Strike","null","null"
"59","Ross Stripling",453568,"CH|SL","Hit","104.8","9.72"
"61","Ross Stripling",518934,"FF|FF","Foul","null","null"
"63","Ross Stripling",518934,"FF|CU","Foul","null","null"
"64","Ross Stripling",518934,"CU|FF","Hit","72.8","33.21"
"69","Ross Stripling",571448,"FF|CU","Swinging Strike","null","null"
"70","Ross Stripling",571448,"CU|SL","Foul","null","null"
"71","Ross Stripling",571448,"SL|CU","Swinging Strike","null","null"
"73","Ross Stripling",471865,"FF|FF","Strike","null","null"
"75","Ross Stripling",471865,"FF|CH","Foul","null","null"
"76","Ross Stripling",471865,"CH|FF","Swinging Strike","null","null"
"79","Ross Stripling",608596,"CU|FF","Foul","null","null"
"83","Ross Stripling",506924,"SL|CU","Strike","null","null"
"89","Ross Stripling",542436,"CU|FF","Foul","null","null"
"90","Ross Stripling",542436,"FF|FF","Strike","null","null"
"93","Ross Stripling",430605,"SL|SL","Hit","87.3","5.63"
"95","Ross Stripling",608596,"CU|CU","Swinging Strike","null","null"
"98","Ross Stripling",608596,"FF|FF","Foul","null","null"
"99","Ross Stripling",608596,"FF|CU","Foul","null","null"
"100","Ross Stripling",608596,"CU|FF","Hit","97.6","39.57"
"103","Ross Stripling",592273,"FF|SL","Strike","null","null"
"108","Ross Stripling",571745,"CU|FF","Hit","103.3","2.48"
"111","Ross Stripling",456078,"SL|SL","Swinging Strike","null","null"
"112","Ross Stripling",456078,"SL|SL","Strike","null","null"
"115","Ross Stripling",571812,"SL|SL","Foul","null","null"
"116","Ross Stripling",571812,"SL|SL","Foul","null","null"
"117","Ross Stripling",571812,"SL|CU","Swinging Strike","null","null"
"120","Ross Stripling",630111,"FF|SL","Hit","null","null"
"123","Ross Stripling",516416,"FF|SL","Hit","94.4","16"
"126","Ross Stripling",572008,"CU|FF","Foul","null","null"
"127","Ross Stripling",572008,"FF|FF","Foul","null","null"
"128","Ross Stripling",572008,"FF|CU","Foul","null","null"
"129","Ross Stripling",572008,"CU|FF","Foul","null","null"
"132","Ross Stripling",571875,"FF|CH","Hit","95.6","-4.25"
"136","Ross Stripling",592273,"FF|SL","Hit","90.2","50.9"
"139","Ross Stripling",571745,"FF|FF","Hit","85.8","47.34"
"147","Ross Stripling",598284,"SL|FF","Swinging Strike","null","null"
"148","Ross Stripling",598284,"FF|CU","Hit","null","null"
"151","Ross Stripling",630111,"FF|CU","Strike","null","null"
"152","Ross Stripling",630111,"CU|FF","Swinging Strike","null","null"
"155","Ross Stripling",572008,"FF|FF","Hit","102.9","-4.79"
"157","Ross Stripling",502671,"FF|SL","Hit","93.3","6.85"
"163","Ross Stripling",592273,"SL|SL","Swinging Strike","null","null"
"164","Ross Stripling",592273,"SL|FF","Hit","93.3","-7.15"
"166","Ross Stripling",516770,"FF|FF","Strike","null","null"
"169","Ross Stripling",516770,"SL|SL","Hit","89.9","12.16"
"171","Ross Stripling",407893,"CH|SL","Foul","null","null"
"172","Ross Stripling",407893,"SL|FF","Hit","100.2","5.63"
"174","Ross Stripling",435263,"SL|SL","Foul","null","null"
"175","Ross Stripling",435263,"SL|SL","Strike","null","null"
"177","Ross Stripling",435263,"CU|SL","Swinging Strike","null","null"
"178","Ross Stripling",435263,"SL|FF","Hit","97","-12.35"
"182","Ross Stripling",458731,"CU|SL","Hit","98.4","45.59"
"187","Ross Stripling",608701,"FF|SL","Strike","null","null"
"188","Ross Stripling",608701,"SL|SL","Hit","88.2","-5.15"
"189","Ross Stripling",608701,"SL|FF","Hit","95.2","41.57"
"191","Ross Stripling",453056,"SL|FF","Foul","null","null"
"192","Ross Stripling",453056,"FF|CU","Strike","null","null"
"196","Ross Stripling",453056,"CU|SL","Foul","null","null"
"197","Ross Stripling",453056,"SL|SL","Foul","null","null"
"198","Ross Stripling",453056,"SL|CU","Hit","99.2","34.24"
"200","Ross Stripling",516416,"CU|CU","Strike","null","null"
"201","Ross Stripling",516416,"CU|CU","Foul","null","null"
"203","Ross Stripling",516416,"CU|FF","Strike","null","null"
"205","Ross Stripling",516416,"FF|FF","Hit","99.8","32.15"
"207","Ross Stripling",572008,"SL|FF","Foul","null","null"
"208","Ross Stripling",572008,"FF|FT","Hit","60.3","-25.93"
"212","Ross Stripling",572041,"SL|FF","Strike","null","null"
"214","Ross Stripling",572041,"CU|SL","Hit","104.7","25.77"
"218","Ross Stripling",502671,"FF|FF","Swinging Strike","null","null"
"220","Ross Stripling",502671,"FF|CU","Swinging Strike","null","null"
"221","Ross Stripling",502671,"CU|FF","Foul","null","null"
"223","Ross Stripling",571875,"FF|FF","Strike","null","null"
"225","Ross Stripling",571875,"FF|CH","Hit","76.2","11.78"
"228","Ross Stripling",456078,"CU|SL","Strike","null","null"
"230","Ross Stripling",456078,"FF|SL","Swinging Strike","null","null"
"233","Ross Stripling",630111,"FF|FT","Swinging Strike","null","null"
"234","Ross Stripling",630111,"FT|SL","Swinging Strike","null","null"
"237","Ross Stripling",571946,"FF|CU","Swinging Strike","null","null"
"238","Ross Stripling",571946,"CU|SL","Strike","null","null"
"241","Ross Stripling",572041,"FF|SL","Strike","null","null"
"242","Ross Stripling",572041,"SL|FF","Strike","null","null"
"243","Ross Stripling",572041,"FF|SL","Swinging Strike","null","null"
"245","Ross Stripling",502671,"CU|SL","Hit","84.5","22.27"
"246","Ross Stripling",502671,"SL|SL","Strike","null","null"
"256","Ross Stripling",592273,"CU|SL","Hit","90.3","2.53"
"259","Ross Stripling",571946,"FF|FF","Strike","null","null"
"260","Ross Stripling",571946,"FF|SL","Foul","null","null"
"262","Ross Stripling",571946,"FT|FF","Hit","null","null"
"264","Ross Stripling",572008,"FF|CH","Strike","null","null"
"266","Ross Stripling",453568,"FF|SL","Hit","null","null"
"268","Ross Stripling",518934,"FF|FF","Foul","null","null"
"269","Ross Stripling",518934,"FF|FF","Hit","96.8","-18.76"
"271","Ross Stripling",471865,"FF|FF","Foul","null","null"
"272","Ross Stripling",471865,"FF|FF","Foul","null","null"
"273","Ross Stripling",471865,"FF|SL","Strike","null","null"
"276","Ross Stripling",571448,"FF|SL","Foul","null","null"
"277","Ross Stripling",571448,"SL|FF","Hit","94.7","17.6"
"279","Ross Stripling",621311,"CU|SL","Hit","78.7","27.58"
"282","Ross Stripling",542436,"CU|CU","Hit","97.2","-5.77"
"285","Ross Stripling",547172,"FF|SL","Hit","null","null"
"287","Ross Stripling",542881,"CU|CU","Hit","91.5","3.69"
"289","Ross Stripling",453568,"SL|SL","Hit","97.4","-11.7"
"291","Ross Stripling",518934,"SL|SL","Strike","null","null"
"292","Ross Stripling",518934,"SL|FF","Hit","80.4","20.4"
"294","Ross Stripling",471865,"FF|SL","Foul","null","null"
"295","Ross Stripling",471865,"SL|CH","Swinging Strike","null","null"
"297","Ross Stripling",471865,"FF|CH","Hit","97.9","-5.9"
"300","Ross Stripling",571448,"FF|FF","Strike","null","null"
"302","Ross Stripling",571448,"FF|SL","Foul","null","null"
"303","Ross Stripling",571448,"SL|FF","Foul","null","null"
"304","Ross Stripling",571448,"FF|FF","Foul","null","null"
"307","Ross Stripling",621311,"SL|CH","Swinging Strike","null","null"
"310","Ross Stripling",621311,"FF|CH","Foul","null","null"
"315","Ross Stripling",542436,"CH|SL","Foul","null","null"
"316","Ross Stripling",542436,"SL|CH","Hit","81.8","16.37"
"318","Ross Stripling",453568,"FF|CH","Swinging Strike","null","null"
"319","Ross Stripling",453568,"CH|CH","Swinging Strike","null","null"
"323","Ross Stripling",471865,"SL|SL","Foul","null","null"
"324","Ross Stripling",471865,"SL|FF","Swinging Strike","null","null"
"328","Ross Stripling",571448,"SL|SL","Hit","65.9","-24.11"
"331","Ross Stripling",467827,"SL|FF","Hit","100.1","20"
"334","Ross Stripling",542436,"SL|FF","Foul","null","null"
"336","Ross Stripling",542436,"SL|SL","Hit","91.1","-2.9"
"339","Ross Stripling",547172,"CH|SL","Strike","null","null"
"340","Ross Stripling",547172,"SL|SL","Foul","null","null"
"341","Ross Stripling",547172,"SL|CH","Hit","85.7","9.49"
"344","Ross Stripling",518934,"FF|FF","Strike","null","null"
"346","Ross Stripling",518934,"CH|SL","Hit","93.4","-6.49"
"350","Ross Stripling",621311,"SL|CU","Hit","93.5","28.46"
"352","Ross Stripling",452655,"FF|FF","Hit","98.8","15.12"
"353","Ross Stripling",452655,"FF|FF","Strike","null","null"
"354","Ross Stripling",452655,"FF|CH","Strike","null","null"
"355","Ross Stripling",452655,"CH|CU","Foul","null","null"
"359","Ross Stripling",457763,"FF|FF","Hit","95.7","36.17"
"361","Ross Stripling",543063,"CH|SL","Foul","null","null"
"364","Ross Stripling",543063,"FT|CU","Swinging Strike","null","null"
"365","Ross Stripling",543063,"CU|SL","Hit","93.4","21.13"
"367","Ross Stripling",456488,"FF|SL","Foul","null","null"
"368","Ross Stripling",456488,"SL|SL","Swinging Strike","null","null"
"370","Ross Stripling",474832,"FF|FF","Hit","null","null"
"372","Ross Stripling",474832,"FF|CU","Foul","null","null"
"378","Ross Stripling",519043,"CU|FF","Strike","null","null"
"379","Ross Stripling",519043,"FF|CU","Swinging Strike","null","null"
"382","Ross Stripling",452655,"CU|CU","Foul","null","null"
"384","Ross Stripling",452655,"FF|CU","Strike","null","null"
"385","Ross Stripling",452655,"CU|SL","Hit","57.2","-20.27"
"388","Ross Stripling",434636,"CU|SL","Foul","null","null"
"389","Ross Stripling",434636,"SL|FF","Foul","null","null"
"390","Ross Stripling",434636,"FF|CU","Foul","null","null"
"391","Ross Stripling",434636,"CU|CU","Strike","null","null"
"394","Ross Stripling",434636,"CH|SL","Hit","72","-10.39"
"397","Ross Stripling",452254,"SL|FF","Foul","null","null"
"398","Ross Stripling",452254,"FF|CU","Hit","null","null"
"402","Ross Stripling",543063,"FF|CH","Hit","81.9","19.03"
