pitch_type,player_name,batter
SL,Kevin Gausman,458731
FF,Kevin Gausman,458731
FS,Kevin Gausman,458731
FT,Kevin Gausman,458731
FF,Kevin Gausman,453056
SL,Kevin Gausman,596142
FF,Kevin Gausman,596142
FS,Kevin Gausman,435263
FS,Kevin Gausman,435263
SL,Kevin Gausman,435263
FF,Kevin Gausman,435263
FS,Kevin Gausman,435263
FS,Kevin Gausman,407893
FF,Kevin Gausman,407893
FS,Kevin Gausman,407893
FF,Kevin Gausman,543305
SL,Kevin Gausman,591720
FS,Kevin Gausman,591720
FF,Kevin Gausman,591720
FF,Kevin Gausman,591720
SL,Kevin Gausman,591720
FS,Kevin Gausman,591720
FF,Kevin Gausman,456781
SL,Kevin Gausman,456781
SL,Kevin Gausman,456781
FF,Kevin Gausman,456781
SL,Kevin Gausman,458731
FF,Kevin Gausman,458731
FF,Kevin Gausman,458731
FF,Kevin Gausman,458731
FF,Kevin Gausman,453056
FS,Kevin Gausman,453056
FS,Kevin Gausman,453056
FF,Kevin Gausman,453056
FF,Kevin Gausman,453056
FS,Kevin Gausman,453056
FF,Kevin Gausman,596142
FF,Kevin Gausman,596142
FF,Kevin Gausman,596142
FF,Kevin Gausman,596142
FF,Kevin Gausman,435263
FT,Kevin Gausman,435263
FS,Kevin Gausman,591720
FS,Kevin Gausman,591720
SL,Kevin Gausman,591720
FF,Kevin Gausman,591720
FS,Kevin Gausman,591720
FS,Kevin Gausman,591720
FF,Kevin Gausman,456781
FF,Kevin Gausman,456781
FT,Kevin Gausman,458731
FS,Kevin Gausman,458731
FS,Kevin Gausman,458731
FF,Kevin Gausman,458731
FS,Kevin Gausman,458731
FF,Kevin Gausman,453056
FF,Kevin Gausman,453056
FS,Kevin Gausman,453056
FS,Kevin Gausman,453056
CH,Tommy Layne,446308
FT,Tommy Layne,446308
SL,Tommy Layne,446308
FT,Tommy Layne,446308
CU,Tommy Layne,448801
FT,Tommy Layne,448801
FF,Tommy Layne,448801
CU,Tommy Layne,448801
CU,Tommy Layne,448801
CU,Tommy Layne,448801
SL,Kevin Gausman,596142
SL,Kevin Gausman,596142
SL,Kevin Gausman,596142
FF,Kevin Gausman,596142
FS,Kevin Gausman,435263
FF,Kevin Gausman,435263
FF,Kevin Gausman,407893
FS,Kevin Gausman,407893
FF,Kevin Gausman,407893
FS,Kevin Gausman,544369
FF,Kevin Gausman,591720
FF,Kevin Gausman,456781
FF,Kevin Gausman,456781
FF,Kevin Gausman,456781
FF,Kevin Gausman,458731
FS,Kevin Gausman,458731
FF,Kevin Gausman,458731
FF,Kevin Gausman,453056
FF,Kevin Gausman,453056
FF,Kevin Gausman,453056
SL,Kevin Gausman,453056
FF,Kevin Gausman,453056
SL,Kevin Gausman,596142
FF,Kevin Gausman,596142
FF,Kevin Gausman,596142
FF,Kevin Gausman,596142
FF,Kevin Gausman,596142
FF,Kevin Gausman,596142
FF,Heath Hembree,429665
FF,Heath Hembree,429665
SL,Heath Hembree,430832
CU,Heath Hembree,430832
SL,Heath Hembree,430832
FF,Heath Hembree,430832
SL,Heath Hembree,430832
FF,Heath Hembree,430832
SL,Heath Hembree,430832
SL,Heath Hembree,430832
SL,Heath Hembree,453064
CU,Heath Hembree,453064
SI,Kyle Hendricks,606299
FC,Kyle Hendricks,606299
FC,Kyle Hendricks,606299
FC,Kyle Hendricks,606299
SI,Kyle Hendricks,606299
SI,Kyle Hendricks,458015
CU,Kyle Hendricks,458015
FC,Kyle Hendricks,458015
CH,Kyle Hendricks,458015
CH,Kyle Hendricks,594807
SI,Kyle Hendricks,594807
