"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"3","Tim Lincecum",493114,"CH|CU","Hit","81.2","5.59"
"7","Tim Lincecum",452234,"CH|FT","Strike","null","null"
"9","Tim Lincecum",452234,"CH|FT","Hit","76.8","16.24"
"11","Tim Lincecum",429664,"CH|FT","Hit","106.1","-6.4"
"14","Tim Lincecum",572122,"CU|FT","Strike","null","null"
"17","Tim Lincecum",452252,"CH|CH","Hit","109.1","18.09"
"19","Tim Lincecum",452252,"CH|FT","Foul","null","null"
"21","Tim Lincecum",547982,"CU|CH","Foul","null","null"
"23","Tim Lincecum",547982,"CH|CH","Hit","81.5","30.94"
"27","Tim Lincecum",572287,"CH|CH","Hit","99.1","30.99"
"28","Tim Lincecum",572287,"CH|CH","Foul","null","null"
"30","Tim Lincecum",572287,"CH|CU","Foul","null","null"
"34","Tim Lincecum",493114,"FT|CU","Hit","76.2","75.64"
"40","Tim Lincecum",452234,"CH|FT","Strike","null","null"
"45","Tim Lincecum",572122,"CH|SL","Foul","null","null"
"46","Tim Lincecum",572122,"SL|SL","Foul","null","null"
"48","Tim Lincecum",572122,"FT|CH","Hit","98","8.54"
"50","Tim Lincecum",452252,"CH|SL","Foul","null","null"
"51","Tim Lincecum",452252,"SL|CH","Hit","100.2","16.65"
"53","Tim Lincecum",452252,"CH|FT","Strike","null","null"
"55","Tim Lincecum",547982,"FT|CU","Strike","null","null"
"57","Tim Lincecum",547982,"CH|CH","Hit","101.6","25.67"
"59","Tim Lincecum",572287,"FT|FF","Foul","null","null"
"60","Tim Lincecum",572287,"FF|CH","Hit","99.9","39.24"
"64","Tim Lincecum",502523,"SL|FT","Strike","null","null"
"69","Tim Lincecum",493114,"CH|FT","Foul","null","null"
"70","Tim Lincecum",493114,"FT|CU","Foul","null","null"
"72","Tim Lincecum",493114,"CH|FT","Strike","null","null"
"76","Tim Lincecum",452234,"FT|FT","Foul","null","null"
"77","Tim Lincecum",452234,"FT|CH","Foul","null","null"
"78","Tim Lincecum",452234,"CH|CH","Hit","84","11.16"
"79","Tim Lincecum",452234,"CH|FT","Strike","null","null"
"83","Tim Lincecum",443558,"CH|SL","Foul","null","null"
"85","Tim Lincecum",443558,"FT|CH","Hit","null","null"
"97","Tim Lincecum",593428,"CH|CH","Strike","null","null"
"103","Tim Lincecum",120074,"CH|FT","Hit","100.1","40.36"
"105","Tim Lincecum",598265,"CU|CH","Foul","null","null"
"107","Tim Lincecum",598265,"CH|CH","Strike","null","null"
"109","Tim Lincecum",431094,"FF|CU","Hit","97.8","24"
"112","Tim Lincecum",452672,"FT|FF","Hit","93.2","28.45"
"114","Tim Lincecum",605141,"FT|FT","Foul","null","null"
"125","Tim Lincecum",593428,"CU|CU","Strike","null","null"
"126","Tim Lincecum",593428,"CU|FF","Hit","98.5","16.66"
"129","Tim Lincecum",120074,"CH|CH","Hit","92","16.68"
"138","Tim Lincecum",431094,"CU|FT","Strike","null","null"
"139","Tim Lincecum",431094,"FT|CH","Foul","null","null"
"140","Tim Lincecum",431094,"CH|CH","Hit","99.3","-6.85"
"144","Tim Lincecum",452672,"CH|CU","Foul","null","null"
"148","Tim Lincecum",571788,"CH|CH","Hit","84.5","8.37"
"152","Tim Lincecum",605141,"CH|FF","Strike","null","null"
"153","Tim Lincecum",605141,"FF|FT","Hit","93.2","31.13"
"156","Tim Lincecum",456030,"FF|CU","Hit","98.3","4.23"
"158","Tim Lincecum",593428,"CU|CU","Hit","93.7","19.83"
"160","Tim Lincecum",120074,"FT|FF","Hit","null","null"
"162","Tim Lincecum",434670,"CU|FF","Strike","null","null"
"163","Tim Lincecum",434670,"FF|CU","Foul","null","null"
"164","Tim Lincecum",434670,"CU|CU","Foul","null","null"
"166","Tim Lincecum",434670,"CH|CH","Foul","null","null"
"168","Tim Lincecum",598265,"CU|FT","Strike","null","null"
"170","Tim Lincecum",598265,"FT|CU","Hit","96.4","36.79"
"172","Tim Lincecum",434670,"CH|CH","Hit","null","null"
"176","Tim Lincecum",571788,"CU|FT","Hit","98.6","5.99"
"184","Tim Lincecum",503556,"CH|FT","Hit","93.5","6.01"
"186","Tim Lincecum",503556,"FT|FF","Strike","null","null"
"190","Tim Lincecum",621043,"CH|FF","Hit","84.6","54.65"
"191","Tim Lincecum",621043,"FF|CH","Strike","null","null"
"194","Tim Lincecum",472528,"SL|CH","Foul","null","null"
"196","Tim Lincecum",472528,"FT|SL","Hit","98.5","33.1"
"202","Tim Lincecum",460576,"FF|FT","Strike","null","null"
"204","Tim Lincecum",605512,"FF|FT","Foul","null","null"
"206","Tim Lincecum",543807,"FT|CH","Strike","null","null"
"208","Tim Lincecum",543807,"FT|CH","Hit","95","-1.02"
"210","Tim Lincecum",503556,"FT|FF","Hit","98.5","54.04"
"214","Tim Lincecum",514888,"FT|CH","Hit","101.8","19.78"
"215","Tim Lincecum",514888,"CH|CH","Foul","null","null"
"216","Tim Lincecum",514888,"CH|SL","Strike","null","null"
"218","Tim Lincecum",621043,"CH|SL","Foul","null","null"
"221","Tim Lincecum",621043,"CH|FF","Hit","109.7","16.71"
"223","Tim Lincecum",594828,"FT|FT","Strike","null","null"
"225","Tim Lincecum",594828,"FF|CH","Hit","null","null"
"228","Tim Lincecum",425783,"FF|FT","Foul","null","null"
"230","Tim Lincecum",425783,"CU|FT","Strike","null","null"
"232","Tim Lincecum",425783,"CH|FT","Hit","93.6","33.39"
"236","Tim Lincecum",596059,"FT|FT","Hit","106.4","9.49"
"243","Tim Lincecum",519048,"FF|CH","Foul","null","null"
"244","Tim Lincecum",519048,"CH|FT","Strike","null","null"
"247","Tim Lincecum",607387,"CH|FT","Foul","null","null"
"251","Tim Lincecum",607387,"CH|SL","Foul","null","null"
"252","Tim Lincecum",607387,"SL|FF","Foul","null","null"
"254","Tim Lincecum",608577,"FT|SL","Hit","72.6","-33.91"
"256","Tim Lincecum",608577,"FT|FT","Strike","null","null"
"257","Tim Lincecum",608577,"FT|CH","Foul","null","null"
"260","Tim Lincecum",455139,"CH|CH","Hit","100.1","30.81"
"261","Tim Lincecum",455139,"CH|FF","Strike","null","null"
"264","Tim Lincecum",425783,"SL|FT","Strike","null","null"
"265","Tim Lincecum",425783,"FT|FF","Strike","null","null"
"269","Tim Lincecum",435622,"FF|CH","Hit","108.9","4.76"
"274","Tim Lincecum",519048,"CH|CH","Strike","null","null"
"277","Tim Lincecum",519048,"CH|FT","Strike","null","null"
"282","Tim Lincecum",607387,"SL|FF","Strike","null","null"
"285","Tim Lincecum",608577,"SL|FT","Strike","null","null"
"287","Tim Lincecum",462101,"CH|FF","Hit","102.7","13.6"
"292","Tim Lincecum",425783,"FT|CH","Strike","null","null"
"303","Tim Lincecum",596059,"CH|SL","Foul","null","null"
"307","Tim Lincecum",134181,"CH|CH","Strike","null","null"
"313","Tim Lincecum",608577,"CH|FT","Hit","109.5","12.28"
"314","Tim Lincecum",608577,"FT|CH","Strike","null","null"
"319","Tim Lincecum",430945,"FT|CU","Hit","106.9","13.8"
"320","Tim Lincecum",430945,"CU|CH","Strike","null","null"
"321","Tim Lincecum",430945,"CH|CH","Foul","null","null"
"323","Tim Lincecum",547957,"CH|CU","Hit","null","null"
"324","Tim Lincecum",547957,"CU|FT","Foul","null","null"
"328","Tim Lincecum",592518,"SL|FT","Hit","86.6","-38.59"
"333","Tim Lincecum",448801,"FT|FT","Strike","null","null"
"334","Tim Lincecum",448801,"FT|CH","Strike","null","null"
"338","Tim Lincecum",446308,"FT|CU","Foul","null","null"
"340","Tim Lincecum",446308,"FT|SL","Foul","null","null"
"341","Tim Lincecum",446308,"SL|FF","Foul","null","null"
"344","Tim Lincecum",446308,"CU|SL","Foul","null","null"
"346","Tim Lincecum",446308,"FT|CH","Hit","97.7","8.04"
"348","Tim Lincecum",570731,"CH|CH","Hit","99.2","3.41"
"349","Tim Lincecum",570731,"CH|FT","Strike","null","null"
"352","Tim Lincecum",476883,"SL|FT","Foul","null","null"
"353","Tim Lincecum",476883,"FT|FT","Hit","113.8","8.62"
"357","Tim Lincecum",429666,"CH|FT","Strike","null","null"
"363","Tim Lincecum",430945,"CH|FT","Strike","null","null"
"367","Tim Lincecum",448801,"FT|FT","Foul","null","null"
"369","Tim Lincecum",448801,"CH|FT","Hit","107.7","30.88"
"372","Tim Lincecum",446308,"CH|CH","Foul","null","null"
"373","Tim Lincecum",446308,"CH|CH","Foul","null","null"
"374","Tim Lincecum",446308,"CH|CH","Hit","80.8","-17.62"
"378","Tim Lincecum",476883,"CH|CH","Hit","110.4","8.7"
"382","Tim Lincecum",429666,"CH|CH","Strike","null","null"
"383","Tim Lincecum",429666,"CH|FF","Strike","null","null"
"386","Tim Lincecum",430945,"FF|CH","Hit","97.3","7.69"
"390","Tim Lincecum",592518,"CH|FT","Foul","null","null"
"391","Tim Lincecum",592518,"FT|FT","Hit","77.1","53.82"
"399","Tim Lincecum",446308,"FT|FT","Strike","null","null"
"403","Tim Lincecum",570731,"CH|CH","Foul","null","null"
"410","Tim Lincecum",572073,"SL|SL","Hit","75.2","-0.59"
"411","Tim Lincecum",572073,"SL|FT","Strike","null","null"
"412","Tim Lincecum",572073,"FT|FT","Foul","null","null"
"415","Tim Lincecum",448801,"CH|CH","Hit","88.8","42.07"
"416","Tim Lincecum",448801,"CH|FT","Strike","null","null"
"422","Tim Lincecum",523253,"FT|FT","Hit","107.1","12.2"
"423","Tim Lincecum",523253,"FT|FF","Strike","null","null"
"431","Tim Lincecum",446334,"FF|FF","Hit","89.9","-9.39"
"435","Tim Lincecum",572816,"FF|FT","Foul","null","null"
"440","Tim Lincecum",545338,"CU|CH","Foul","null","null"
"441","Tim Lincecum",545338,"CH|FF","Hit","98.3","8.09"
"445","Tim Lincecum",542455,"FF|CH","Foul","null","null"
"448","Tim Lincecum",542455,"CH|FT","Strike","null","null"
"449","Tim Lincecum",542455,"FT|SL","Foul","null","null"
"451","Tim Lincecum",474233,"CH|CH","Foul","null","null"
"455","Tim Lincecum",474233,"CH|CH","Foul","null","null"
"457","Tim Lincecum",523253,"SL|SL","Strike","null","null"
"458","Tim Lincecum",523253,"SL|CH","Hit","null","null"
"460","Tim Lincecum",543543,"SL|SL","Foul","null","null"
"461","Tim Lincecum",543543,"SL|CH","Foul","null","null"
"464","Tim Lincecum",543543,"FF|CH","Hit","null","null"
"466","Tim Lincecum",446334,"CU|FT","Foul","null","null"
"467","Tim Lincecum",446334,"FT|CH","Hit","null","null"
"468","Tim Lincecum",446334,"CH|CH","Strike","null","null"
"472","Tim Lincecum",519306,"CH|SL","Hit","87.6","31.64"
"476","Tim Lincecum",545338,"CH|FT","Strike","null","null"
"478","Tim Lincecum",545338,"CH|CH","Hit","99.7","3.79"
"481","Tim Lincecum",542455,"CH|CU","Foul","null","null"
"485","Tim Lincecum",542455,"CH|CU","Foul","null","null"
"488","Tim Lincecum",474233,"CH|FF","Strike","null","null"
"490","Tim Lincecum",474233,"CU|FF","Hit","78.6","-27.18"
"500","Tim Lincecum",489149,"FT|CH","Hit","96.4","20.73"
"509","Tim Lincecum",572816,"FF|FF","Strike","null","null"
"510","Tim Lincecum",572816,"FF|FF","Hit","null","null"
"513","Tim Lincecum",543543,"CH|CH","Foul","null","null"
"516","Tim Lincecum",489149,"CH|CH","Strike","null","null"
"517","Tim Lincecum",489149,"CH|FF","Foul","null","null"
"518","Tim Lincecum",489149,"FF|CH","Hit","101.6","-1.62"
"523","Tim Lincecum",519306,"CH|CH","Foul","null","null"
"524","Tim Lincecum",519306,"CH|CH","Hit","89","-15.79"
"531","Tim Lincecum",472528,"CH|FT","Strike","null","null"
"532","Tim Lincecum",472528,"FT|CH","Foul","null","null"
"533","Tim Lincecum",472528,"CH|CH","Strike","null","null"
"539","Tim Lincecum",458675,"CH|FT","Strike","null","null"
"542","Tim Lincecum",503556,"FT|FT","Strike","null","null"
"545","Tim Lincecum",503556,"CH|FT","Strike","null","null"
"547","Tim Lincecum",460576,"CH|CH","Foul","null","null"
"550","Tim Lincecum",460576,"CH|FT","Strike","null","null"
"551","Tim Lincecum",460576,"FT|FT","Hit","94.1","8.3"
"555","Tim Lincecum",488771,"FT|CU","Strike","null","null"
"559","Tim Lincecum",543807,"FT|FT","Hit","101.1","-8.19"
"562","Tim Lincecum",472528,"CH|CU","Strike","null","null"
"566","Tim Lincecum",621043,"SL|FT","Strike","null","null"
"568","Tim Lincecum",621043,"FT|CH","Hit","78.9","26.07"
"570","Tim Lincecum",458675,"CH|FT","Hit","90","58.16"
"574","Tim Lincecum",594828,"CH|CH","Foul","null","null"
"576","Tim Lincecum",594828,"CH|CH","Foul","null","null"
"586","Tim Lincecum",543807,"FF|FT","Strike","null","null"
"590","Tim Lincecum",472528,"FT|CH","Foul","null","null"
"591","Tim Lincecum",472528,"CH|FT","Foul","null","null"
"592","Tim Lincecum",472528,"FT|CH","Foul","null","null"
"594","Tim Lincecum",472528,"FT|FT","Foul","null","null"
"596","Tim Lincecum",472528,"FT|CH","Hit","93.5","-4.65"
"598","Tim Lincecum",514888,"CU|FF","Hit","105.2","14.73"
"600","Tim Lincecum",514888,"CU|CU","Foul","null","null"
"605","Tim Lincecum",621043,"CH|CH","Strike","null","null"
"609","Tim Lincecum",458675,"CH|FT","Foul","null","null"
"611","Tim Lincecum",458675,"FT|CH","Foul","null","null"
"614","Tim Lincecum",458675,"CH|CH","Foul","null","null"
"615","Tim Lincecum",458675,"CH|CH","Hit","85.6","4.57"
"617","Tim Lincecum",514888,"CH|SL","Hit","54.1","38.67"
"618","Tim Lincecum",514888,"SL|CU","Strike","null","null"
"621","Tim Lincecum",621043,"FF|FT","Hit","105.1","23.65"
"631","Tim Lincecum",424825,"CH|CH","Foul","null","null"
"632","Tim Lincecum",424825,"CH|CH","Hit","88.1","9.65"
"634","Tim Lincecum",424825,"FT|FT","Strike","null","null"
"636","Tim Lincecum",570489,"FT|CU","Hit","74","-4.87"
"637","Tim Lincecum",570489,"CU|FT","Strike","null","null"
"640","Tim Lincecum",476704,"FT|CH","Hit","57.6","-12.64"
"642","Tim Lincecum",476704,"FT|FT","Foul","null","null"
"643","Tim Lincecum",476704,"FT|CH","Foul","null","null"
"645","Tim Lincecum",519390,"FT|FT","Strike","null","null"
"646","Tim Lincecum",519390,"FT|FT","Hit","96.5","3.1"
"651","Tim Lincecum",502143,"FF|FT","Foul","null","null"
