"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"6","Trevor May",571980,"CU|CU","Swinging Strike","null","null"
"7","Trevor May",571980,"CU|SL","Strike","null","null"
"8","Trevor May",571980,"SL|SL","Swinging Strike","null","null"
"12","Trevor May",547379,"FF|FF","Hit","97.2","23.01"
"14","Trevor May",547379,"SL|FF","Strike","null","null"
"15","Trevor May",547379,"FF|FF","Foul","null","null"
"17","Trevor May",492841,"FF|SL","Hit","87.6","-1.84"
"20","Trevor May",519306,"FF|FF","Foul","null","null"
"22","Trevor May",519306,"CU|FF","Foul","null","null"
"24","Trevor May",519306,"FF|FF","Foul","null","null"
"29","Trevor May",542921,"SL|FF","Hit","94.4","61.13"
"31","Trevor May",435064,"FF|CH","Foul","null","null"
"35","Trevor May",523253,"FF|FF","Strike","null","null"
"38","Trevor May",523253,"FF|FF","Foul","null","null"
"39","Trevor May",523253,"FF|CU","Foul","null","null"
"41","Trevor May",523253,"FF|FF","Hit","99.3","35.13"
"45","Trevor May",446334,"FF|FF","Strike","null","null"
"48","Trevor May",595281,"CU|CH","Foul","null","null"
"49","Trevor May",595281,"CH|FF","Foul","null","null"
"50","Trevor May",595281,"FF|CU","Foul","null","null"
"53","Trevor May",595281,"CH|FF","Hit","83.9","30.76"
"55","Trevor May",467793,"CU|FF","Foul","null","null"
"56","Trevor May",467793,"FF|FF","Foul","null","null"
"58","Trevor May",467793,"CU|CH","Hit","100.2","20.4"
"63","Trevor May",608070,"CU|CU","Strike","null","null"
"65","Trevor May",608070,"CH|FF","Foul","null","null"
"67","Trevor May",446386,"CU|FF","Foul","null","null"
"69","Trevor May",446386,"CU|SL","Strike","null","null"
"70","Trevor May",446386,"SL|FF","Strike","null","null"
"73","Trevor May",596019,"CH|FF","Strike","null","null"
"76","Trevor May",596019,"SL|FF","Strike","null","null"
"79","Trevor May",435063,"FF|FF","Strike","null","null"
"81","Trevor May",435063,"SL|CU","Hit","78.3","2.99"
"84","Trevor May",502082,"FF|FF","Foul","null","null"
"85","Trevor May",502082,"FF|FF","Strike","null","null"
"89","Trevor May",434658,"FF|FF","Foul","null","null"
"91","Trevor May",434658,"FF|FF","Strike","null","null"
