"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Tyler Duffey",594809,"KC|KC","Foul","null","null"
"3","Tyler Duffey",594809,"KC|FT","Foul","null","null"
"4","Tyler Duffey",594809,"FT|KC","Foul","null","null"
"5","Tyler Duffey",594809,"KC|KC","Swinging Strike (Blocked)","null","null"
"6","Tyler Duffey",594809,"KC|FT","Foul","null","null"
"7","Tyler Duffey",594809,"FT|FT","Called Strike","null","null"
"9","Tyler Duffey",641313,"FT|FT","In play, no out","102.1","24.2"
"10","Tyler Duffey",641313,"FT|FT","Called Strike","null","null"
"11","Tyler Duffey",641313,"FT|KC","Ball","null","null"
"12","Tyler Duffey",641313,"KC|KC","Ball","null","null"
"14","Tyler Duffey",466320,"FT|FT","Ball","null","null"
"15","Tyler Duffey",466320,"FT|FT","Ball","null","null"
"16","Tyler Duffey",466320,"FT|KC","Foul","null","null"
"17","Tyler Duffey",466320,"KC|KC","In play, run(s)","95","15.16"
"19","Tyler Duffey",547989,"FT|FT","Called Strike","null","null"
"21","Tyler Duffey",408047,"KC|FT","Foul","null","null"
"22","Tyler Duffey",408047,"FT|FT","In play, no out","96.8","-4.44"
"23","Tyler Duffey",408047,"FT|FT","Called Strike","null","null"
"24","Tyler Duffey",408047,"FT|CH","Ball In Dirt","null","null"
"26","Tyler Duffey",453943,"KC|KC","Ball In Dirt","null","null"
"27","Tyler Duffey",453943,"KC|FT","Foul","null","null"
"28","Tyler Duffey",453943,"FT|FT","Foul","null","null"
"29","Tyler Duffey",453943,"FT|KC","Foul","null","null"
"30","Tyler Duffey",453943,"KC|FT","Ball","null","null"
"31","Tyler Duffey",453943,"FT|FT","Foul","null","null"
"32","Tyler Duffey",453943,"FT|FT","Foul","null","null"
"33","Tyler Duffey",453943,"FT|KC","In play, out(s)","84.4","67.01"
"35","Tyler Duffey",570560,"CH|KC","Foul","null","null"
"36","Tyler Duffey",570560,"KC|KC","Foul","null","null"
"37","Tyler Duffey",570560,"KC|FT","Called Strike","null","null"
"38","Tyler Duffey",570560,"FT|FT","Foul","null","null"
"39","Tyler Duffey",570560,"FT|FT","Called Strike","null","null"
"41","Tyler Duffey",553882,"FT|FT","Called Strike","null","null"
"42","Tyler Duffey",553882,"FT|FT","Foul","null","null"
"43","Tyler Duffey",553882,"FT|KC","Swinging Strike (Blocked)","null","null"
"45","Tyler Duffey",544725,"KC|FT","Ball","null","null"
"46","Tyler Duffey",544725,"FT|FT","Called Strike","null","null"
"47","Tyler Duffey",544725,"FT|FT","Foul","null","null"
"48","Tyler Duffey",544725,"FT|KC","Swinging Strike","null","null"
"50","Tyler Duffey",594809,"FT|FT","Foul","null","null"
"51","Tyler Duffey",594809,"FT|KC","Foul","null","null"
"52","Tyler Duffey",594809,"KC|KC","Ball","null","null"
"53","Tyler Duffey",594809,"KC|CH","Ball","null","null"
"54","Tyler Duffey",594809,"CH|FT","Foul","null","null"
"55","Tyler Duffey",594809,"FT|FT","Ball","null","null"
"57","Tyler Duffey",641313,"KC|FT","Called Strike","null","null"
"58","Tyler Duffey",641313,"FT|FT","Foul","null","null"
"59","Tyler Duffey",641313,"FT|FT","In play, run(s)","106.4","27.86"
"60","Tyler Duffey",641313,"FT|FT","Ball","null","null"
"61","Tyler Duffey",641313,"FT|FT","Swinging Strike","null","null"
"62","Tyler Duffey",641313,"FT|FT","Ball","null","null"
"63","Tyler Duffey",641313,"FT|FT","Foul (Runner Going)","null","null"
"66","Tyler Duffey",547989,"KC|KC","Ball In Dirt","null","null"
"67","Tyler Duffey",547989,"KC|KC","In play, run(s)","99.8","10.46"
"68","Tyler Duffey",547989,"KC|KC","Swinging Strike","null","null"
"69","Tyler Duffey",547989,"KC|KC","Foul","null","null"
"70","Tyler Duffey",547989,"KC|FT","Ball","null","null"
"72","Tyler Duffey",493114,"FT|FF","In play, out(s)","99.6","38.79"
"75","Tyler Duffey",443558,"KC|FT","Ball","null","null"
"76","Tyler Duffey",443558,"FT|FT","In play, no out","109.8","17.84"
"77","Tyler Duffey",443558,"FT|FF","Called Strike","null","null"
"78","Tyler Duffey",443558,"FF|FT","Ball","null","null"
"79","Tyler Duffey",443558,"FT|KC","Called Strike","null","null"
"81","Tyler Duffey",572122,"FF|KC","Ball","null","null"
"82","Tyler Duffey",572122,"KC|FT","Called Strike","null","null"
