"","x"
"CH|CH",247
"CH|CU",84
"CH|FF",448
"CH|FT",403
"CH|IN",2
"CH|null",2
"CH|SL",225
"CU|CH",81
"CU|CU",300
"CU|FF",613
"CU|FT",159
"CU|SL",49
"FC|FC",2
"FC|FF",19
"FC|SL",2
"FF|CH",409
"FF|CU",585
"FF|FC",15
"FF|FF",2769
"FF|FT",453
"FF|IN",1
"FF|null",4
"FF|PO",1
"FF|SL",823
"FT|CH",354
"FT|CU",163
"FT|FF",436
"FT|FT",1183
"FT|null",2
"FT|SL",591
"IN|FF",1
"IN|IN",22
"IN|null",1
"IN|SL",1
"IN|UN",1
"null|CH",3
"null|FF",7
"null|FT",3
"null|IN",2
"null|null",11
"null|SL",2
"PO|FF",1
"SL|CH",191
"SL|CU",51
"SL|FC",8
"SL|FF",793
"SL|FT",545
"SL|IN",1
"SL|null",3
"SL|SL",881
"UN|CU",1
"UN|null",2
