pitch_type,player_name,batter,description,hit_speed,hit_angle
FF,Trevor May,501659,Ball,null,null
FF,Trevor May,501659,Ball,null,null
FF,Trevor May,501659,Ball,null,null
FT,Trevor May,501659,Ball,null,null
CU,Trevor May,571980,Ball,null,null
CU,Trevor May,571980,Swinging Strike (Blocked),null,null
SL,Trevor May,571980,Called Strike,null,null
SL,Trevor May,571980,Swinging Strike (Blocked),null,null
CU,Trevor May,547379,Foul,null,null
SL,Trevor May,547379,Ball In Dirt,null,null
FF,Trevor May,547379,Ball,null,null
FF,Trevor May,547379,"In play, run(s)",97.2,23.01
SL,Trevor May,547379,Ball,null,null
FF,Trevor May,547379,Called Strike,null,null
FF,Trevor May,547379,Foul,null,null
FF,Trevor May,492841,Foul,null,null
SL,Trevor May,492841,"In play, run(s)",87.6,-1.84
FF,Trevor May,519306,Swinging Strike,null,null
FF,Trevor May,519306,Ball,null,null
FF,Trevor May,519306,Foul,null,null
CU,Trevor May,519306,Ball,null,null
FF,Trevor May,519306,Foul,null,null
FF,Trevor May,519306,Ball,null,null
FF,Trevor May,519306,Foul (Runner Going),null,null
CU,Trevor May,519306,Ball In Dirt,null,null
FF,Trevor May,542921,Called Strike,null,null
SL,Trevor May,542921,Ball In Dirt,null,null
SL,Trevor May,542921,Ball,null,null
FF,Trevor May,542921,"In play, out(s)",94.4,61.13
FF,Trevor May,435064,Foul,null,null
CH,Trevor May,435064,Foul,null,null
FF,Trevor May,435064,Ball,null,null
FF,Trevor May,435064,Swinging Strike,null,null
FF,Trevor May,523253,Called Strike,null,null
FF,Trevor May,523253,Called Strike,null,null
FF,Trevor May,523253,Ball,null,null
FF,Trevor May,523253,Ball,null,null
FF,Trevor May,523253,Foul,null,null
CU,Trevor May,523253,Foul,null,null
FF,Trevor May,523253,Ball,null,null
FF,Trevor May,523253,"In play, run(s)",99.3,35.13
FF,Trevor May,446334,Ball,null,null
SL,Trevor May,446334,Ball,null,null
FF,Trevor May,446334,Ball,null,null
FF,Trevor May,446334,Called Strike,null,null
FF,Trevor May,446334,Ball,null,null
CU,Trevor May,595281,Ball,null,null
CH,Trevor May,595281,Foul,null,null
FF,Trevor May,595281,Foul,null,null
CU,Trevor May,595281,Foul,null,null
FF,Trevor May,595281,Ball,null,null
CH,Trevor May,595281,Ball,null,null
FF,Trevor May,595281,"In play, out(s)",83.9,30.76
CU,Trevor May,467793,Ball,null,null
FF,Trevor May,467793,Foul,null,null
FF,Trevor May,467793,Foul,null,null
CU,Trevor May,467793,Ball,null,null
CH,Trevor May,467793,"In play, out(s)",100.2,20.4
FF,Trevor May,608070,Foul,null,null
CU,Trevor May,608070,Ball,null,null
FF,Trevor May,608070,Ball,null,null
CU,Trevor May,608070,Swinging Strike,null,null
CU,Trevor May,608070,Called Strike,null,null
CH,Trevor May,608070,Ball,null,null
FF,Trevor May,608070,Foul,null,null
