pitch_type,player_name,batter,description,hit_speed,hit_angle
FF,Tyler Chatwood,452655,Ball,null,null
FC,Tyler Chatwood,452655,"In play, no out",97,5.09
FT,Tyler Chatwood,452655,Called Strike,null,null
FC,Tyler Chatwood,452655,Swinging Strike,null,null
FF,Tyler Chatwood,452655,Ball,null,null
FF,Tyler Chatwood,474832,Foul,null,null
FC,Tyler Chatwood,474832,Swinging Strike,null,null
FF,Tyler Chatwood,474832,Foul,null,null
FF,Tyler Chatwood,452254,Foul,null,null
FF,Tyler Chatwood,452254,Called Strike,null,null
FC,Tyler Chatwood,452254,Ball,null,null
FC,Tyler Chatwood,452254,Swinging Strike,null,null
FT,Tyler Chatwood,452254,"In play, no out",97.8,2.52
CH,Tyler Chatwood,452254,Ball,null,null
FF,Tyler Chatwood,543063,Foul,null,null
FC,Tyler Chatwood,543063,Swinging Strike,null,null
FT,Tyler Chatwood,543063,Called Strike,null,null
FT,Tyler Chatwood,543063,Ball,null,null
FF,Tyler Chatwood,543063,Foul,null,null
FF,Tyler Chatwood,605412,Called Strike,null,null
FC,Tyler Chatwood,605412,Foul,null,null
FT,Tyler Chatwood,605412,Ball,null,null
FF,Tyler Chatwood,605412,Foul,null,null
FF,Tyler Chatwood,605412,Swinging Strike (Blocked),null,null
FF,Tyler Chatwood,605412,Swinging Strike,null,null
FC,Tyler Chatwood,605412,Ball,null,null
FT,Tyler Chatwood,543216,Ball,null,null
FT,Tyler Chatwood,543216,Called Strike,null,null
FT,Tyler Chatwood,543216,"In play, no out",103.1,-5.49
FT,Tyler Chatwood,502188,Ball,null,null
FT,Tyler Chatwood,502188,Ball In Dirt,null,null
FF,Tyler Chatwood,502188,Called Strike,null,null
FF,Tyler Chatwood,502188,Swinging Strike,null,null
FF,Tyler Chatwood,502188,Swinging Strike,null,null
FT,Tyler Chatwood,502188,Ball,null,null
FF,Tyler Chatwood,452655,Foul,null,null
FF,Tyler Chatwood,452655,Ball,null,null
CU,Tyler Chatwood,452655,Called Strike,null,null
CU,Tyler Chatwood,452655,Swinging Strike (Blocked),null,null
FC,Tyler Chatwood,474832,Foul,null,null
FF,Tyler Chatwood,474832,"In play, out(s)",71.3,4.7
