pitch_type,player_name,batter,description,hit_speed,hit_angle
FT,Wei-Yin Chen,607208,Swinging Strike,null,null
FT,Wei-Yin Chen,607208,"In play, no out",105.6,12.4
FT,Wei-Yin Chen,607208,Ball,null,null
SL,Wei-Yin Chen,547180,"In play, run(s)",97.5,7.47
FT,Wei-Yin Chen,475582,"In play, out(s)",95.2,31.77
FF,Wei-Yin Chen,475582,Ball,null,null
FF,Wei-Yin Chen,594694,"In play, out(s)",103.9,38.29
CH,Wei-Yin Chen,457787,Foul,null,null
SL,Wei-Yin Chen,457787,"In play, no out",103.4,13.67
FF,Wei-Yin Chen,457787,Called Strike,null,null
SL,Wei-Yin Chen,543699,Ball In Dirt,null,null
FF,Wei-Yin Chen,543699,Ball,null,null
FF,Wei-Yin Chen,543699,Ball,null,null
FT,Wei-Yin Chen,543699,Foul (Runner Going),null,null
FT,Wei-Yin Chen,543699,Foul,null,null
SL,Wei-Yin Chen,543699,Swinging Strike,null,null
FF,Wei-Yin Chen,543699,Foul,null,null
SL,Wei-Yin Chen,543699,Foul,null,null
FF,Wei-Yin Chen,543699,Ball,null,null
CU,Wei-Yin Chen,572191,Ball,null,null
CH,Wei-Yin Chen,572191,Ball,null,null
FT,Wei-Yin Chen,572191,Foul,null,null
CU,Wei-Yin Chen,572191,Called Strike,null,null
FF,Wei-Yin Chen,572191,Ball,null,null
SL,Wei-Yin Chen,572191,"In play, no out",88.9,18.28
FF,Wei-Yin Chen,547180,Called Strike,null,null
FF,Wei-Yin Chen,547180,Swinging Strike,null,null
FF,Wei-Yin Chen,547180,Swinging Strike,null,null
FF,Wei-Yin Chen,547180,Ball,null,null
FF,Wei-Yin Chen,547180,Ball,null,null
FF,Wei-Yin Chen,547180,Ball,null,null
FF,Wei-Yin Chen,475582,"In play, out(s)",96.1,20.14
CU,Wei-Yin Chen,594694,Called Strike,null,null
FF,Wei-Yin Chen,594694,Called Strike,null,null
FF,Wei-Yin Chen,594694,Called Strike,null,null
CH,Wei-Yin Chen,600474,Swinging Strike,null,null
FT,Wei-Yin Chen,600474,Called Strike,null,null
CU,Wei-Yin Chen,600474,Ball,null,null
SL,Wei-Yin Chen,600474,Called Strike,null,null
CU,Wei-Yin Chen,543699,Foul Tip,null,null
FF,Wei-Yin Chen,543699,Called Strike,null,null
FT,Wei-Yin Chen,543699,Ball,null,null
FT,Wei-Yin Chen,543699,Foul,null,null
FF,Wei-Yin Chen,607208,"In play, run(s)",102.3,25.39
CU,Wei-Yin Chen,607208,Called Strike,null,null
FT,Wei-Yin Chen,547180,Ball,null,null
SL,Wei-Yin Chen,547180,Ball,null,null
SL,Wei-Yin Chen,547180,Ball,null,null
SL,Wei-Yin Chen,547180,Called Strike,null,null
FF,Wei-Yin Chen,547180,Swinging Strike,null,null
FT,Wei-Yin Chen,547180,Swinging Strike,null,null
SL,Wei-Yin Chen,572191,Foul,null,null
FT,Wei-Yin Chen,572191,"In play, out(s)",102.9,-7.81
CH,Wei-Yin Chen,607208,Called Strike,null,null
CH,Wei-Yin Chen,607208,Foul,null,null
SL,Wei-Yin Chen,607208,Ball In Dirt,null,null
SL,Wei-Yin Chen,607208,Foul (Runner Going),null,null
CH,Wei-Yin Chen,607208,Ball,null,null
CU,Wei-Yin Chen,607208,Ball,null,null
CH,Wei-Yin Chen,607208,"In play, out(s)",92.7,5.55
CH,Wei-Yin Chen,457787,Called Strike,null,null
CU,Wei-Yin Chen,457787,Ball,null,null
FT,Wei-Yin Chen,457787,Ball,null,null
FF,Wei-Yin Chen,457787,Ball,null,null
CH,Wei-Yin Chen,457787,"In play, out(s)",null,null
FT,Wei-Yin Chen,543685,"In play, out(s)",null,null
CH,Wei-Yin Chen,543685,Foul,null,null
CH,Wei-Yin Chen,543685,Called Strike,null,null
FF,Wei-Yin Chen,543685,Ball,null,null
FF,Wei-Yin Chen,543685,Foul,null,null
