pitch_type,player_name,batter,description,hit_speed,hit_angle
SL,Andrew Miller,542993,Foul,null,null
SL,Andrew Miller,542993,Called Strike,null,null
FF,Andrew Miller,542993,Foul,null,null
SL,Andrew Miller,542993,Called Strike,null,null
FF,Andrew Miller,593160,"In play, out(s)",101.3,1.14
SL,Andrew Miller,593160,Called Strike,null,null
SL,Andrew Miller,460086,Swinging Strike,null,null
SL,Andrew Miller,460086,Called Strike,null,null
SL,Andrew Miller,460086,Foul,null,null
SL,Andrew Miller,460086,Ball,null,null
SL,Andrew Miller,537953,Swinging Strike,null,null
SL,Andrew Miller,537953,Swinging Strike,null,null
FF,Andrew Miller,537953,Ball,null,null
FF,Andrew Miller,537953,Ball,null,null
SL,Andrew Miller,537953,Called Strike,null,null
SL,Andrew Miller,444876,Ball,null,null
SL,Andrew Miller,444876,"In play, out(s)",null,null
FF,Andrew Miller,444876,Ball,null,null
FF,Andrew Miller,444876,Called Strike,null,null
SL,Andrew Miller,460077,Swinging Strike,null,null
FF,Andrew Miller,460077,"In play, run(s)",87.1,14.88
SL,Andrew Miller,460077,Ball,null,null
SL,Andrew Miller,609275,Foul,null,null
SL,Andrew Miller,609275,Ball In Dirt,null,null
SL,Andrew Miller,609275,Swinging Strike,null,null
FF,Andrew Miller,609275,Ball,null,null
SL,Andrew Miller,609275,Called Strike,null,null
SL,Andrew Miller,609275,Foul,null,null
SL,Andrew Miller,609275,Foul,null,null
FF,Andrew Miller,542993,"In play, out(s)",null,null
FF,Andrew Miller,408234,Ball,null,null
SL,Andrew Miller,408234,Swinging Strike,null,null
FF,Andrew Miller,408234,"In play, run(s)",90.1,-9.93
SL,Andrew Miller,400121,Foul,null,null
SL,Andrew Miller,400121,Swinging Strike (Blocked),null,null
SL,Andrew Miller,400121,Called Strike,null,null
FF,Andrew Miller,502110,Foul,null,null
SL,Andrew Miller,502110,Swinging Strike,null,null
FF,Andrew Miller,502110,Called Strike,null,null
SL,Andrew Miller,457708,Called Strike,null,null
FF,Andrew Miller,457708,Ball,null,null
SL,Andrew Miller,457708,"In play, out(s)",61.3,5.63
SL,Andrew Miller,457708,Called Strike,null,null
SL,Andrew Miller,457708,Foul,null,null
SL,Andrew Miller,430947,Swinging Strike,null,null
SL,Andrew Miller,430947,Swinging Strike,null,null
FF,Andrew Miller,430947,Called Strike,null,null
FF,Andrew Miller,543510,Foul,null,null
SL,Andrew Miller,543510,Called Strike,null,null
FF,Andrew Miller,543510,Foul,null,null
FT,Andrew Miller,543510,Foul,null,null
SL,Andrew Miller,542993,Ball In Dirt,null,null
SL,Andrew Miller,542993,Called Strike,null,null
SL,Andrew Miller,542993,"In play, out(s)",91.4,0.23
FT,Andrew Miller,542993,Ball,null,null
FF,Andrew Miller,542993,Foul,null,null
SL,Andrew Miller,502481,Swinging Strike,null,null
FF,Andrew Miller,502481,Called Strike,null,null
SL,Andrew Miller,502481,Foul,null,null
FT,Andrew Miller,502481,Ball,null,null
SL,Andrew Miller,502481,Swinging Strike,null,null
SL,Andrew Miller,543333,"In play, out(s)",97.7,35.23
SL,Andrew Miller,434778,Called Strike,null,null
SL,Andrew Miller,434778,Swinging Strike,null,null
SL,Andrew Miller,434778,Ball,null,null
FF,Andrew Miller,434778,"In play, out(s)",103.3,14.58
FT,Andrew Miller,521692,Foul,null,null
SL,Andrew Miller,521692,Ball,null,null
FF,Andrew Miller,521692,Foul,null,null
FF,Andrew Miller,521692,Foul,null,null
SL,Andrew Miller,521692,Swinging Strike (Blocked),null,null
SL,Andrew Miller,518568,Called Strike,null,null
FF,Andrew Miller,518568,Foul,null,null
SL,Andrew Miller,518568,Ball,null,null
FF,Andrew Miller,518568,Ball,null,null
SL,Andrew Miller,518568,Foul,null,null
FF,Andrew Miller,518568,Called Strike,null,null
FF,Andrew Miller,593160,Ball,null,null
SL,Andrew Miller,593160,Foul,null,null
SL,Andrew Miller,593160,Foul,null,null
FF,Andrew Miller,593160,Called Strike,null,null
SL,Andrew Miller,593160,Called Strike,null,null
SL,Andrew Miller,593160,Ball,null,null
FF,Andrew Miller,593160,Ball,null,null
FF,Andrew Miller,593160,Foul,null,null
FF,Andrew Miller,408234,Ball,null,null
FF,Andrew Miller,408234,Foul,null,null
FF,Andrew Miller,408234,Foul,null,null
FF,Andrew Miller,408234,Ball,null,null
SL,Andrew Miller,408234,Swinging Strike,null,null
FF,Andrew Miller,408234,Called Strike,null,null
SL,Andrew Miller,408234,Swinging Strike,null,null
SL,Andrew Miller,408234,Ball,null,null
SL,Andrew Miller,400121,Ball,null,null
SL,Andrew Miller,400121,"In play, out(s)",57.6,-12.9
FF,Andrew Miller,400121,Called Strike,null,null
FF,Andrew Miller,400121,Ball,null,null
SL,Andrew Miller,400121,Called Strike,null,null
SL,Andrew Miller,502110,Ball,null,null
FF,Andrew Miller,502110,Swinging Strike,null,null
SL,Andrew Miller,502110,"In play, no out",104.5,4.07
FF,Andrew Miller,431171,Called Strike,null,null
