pitch_type,player_name,batter,description,hit_speed,hit_angle
FF,Carlos Martinez,605137,Ball,null,null
FT,Carlos Martinez,605137,Swinging Strike,null,null
CU,Carlos Martinez,605137,Foul,null,null
CU,Carlos Martinez,605137,Foul,null,null
CU,Carlos Martinez,605137,Swinging Strike,null,null
FT,Carlos Martinez,605137,Called Strike,null,null
FF,Carlos Martinez,605137,Ball,null,null
FF,Carlos Martinez,605137,Foul,null,null
CH,Carlos Martinez,605137,Ball,null,null
FT,Carlos Martinez,457705,Called Strike,null,null
CU,Carlos Martinez,457705,Foul,null,null
FF,Carlos Martinez,457705,Ball,null,null
FT,Carlos Martinez,457705,Ball,null,null
CU,Carlos Martinez,457705,Called Strike,null,null
CU,Carlos Martinez,457705,"In play, out(s)",95.6,41.36
FT,Carlos Martinez,444379,"In play, no out",103.2,3.97
FT,Carlos Martinez,444379,Swinging Strike,null,null
FT,Carlos Martinez,446481,"In play, no out",74.1,14.16
FT,Carlos Martinez,446481,Ball,null,null
CH,Carlos Martinez,593700,Ball,null,null
FF,Carlos Martinez,593700,Ball,null,null
FT,Carlos Martinez,593700,"In play, out(s)",102.6,-2.99
CU,Carlos Martinez,518700,Ball,null,null
CU,Carlos Martinez,518700,Called Strike,null,null
CU,Carlos Martinez,518700,Called Strike,null,null
CU,Carlos Martinez,518700,Ball,null,null
CU,Carlos Martinez,518700,Swinging Strike,null,null
CU,Carlos Martinez,607192,Swinging Strike,null,null
CU,Carlos Martinez,607192,Called Strike,null,null
FF,Carlos Martinez,607192,Swinging Strike,null,null
CU,Carlos Martinez,605137,Ball,null,null
CU,Carlos Martinez,605137,"In play, out(s)",69.8,-27.21
CH,Carlos Martinez,605137,Called Strike,null,null
CH,Carlos Martinez,605137,Swinging Strike,null,null
CU,Carlos Martinez,570256,Ball,null,null
CH,Carlos Martinez,570256,"In play, out(s)",null,null
CH,Carlos Martinez,570256,Foul,null,null
CU,Carlos Martinez,570256,Ball,null,null
FT,Carlos Martinez,457705,Ball,null,null
CH,Carlos Martinez,457705,Ball,null,null
CU,Carlos Martinez,457705,Swinging Strike,null,null
FT,Carlos Martinez,457705,Called Strike,null,null
FT,Carlos Martinez,457705,Swinging Strike,null,null
CU,Carlos Martinez,628356,Swinging Strike,null,null
FT,Carlos Martinez,628356,Ball,null,null
FT,Carlos Martinez,628356,"In play, out(s)",84,38.36
CH,Carlos Martinez,444379,Swinging Strike,null,null
CU,Carlos Martinez,444379,Swinging Strike,null,null
FF,Carlos Martinez,444379,Ball,null,null
FF,Carlos Martinez,444379,Foul,null,null
CH,Carlos Martinez,446481,Swinging Strike,null,null
CU,Carlos Martinez,446481,"In play, out(s)",83.2,59.82
CU,Carlos Martinez,446481,Called Strike,null,null
FF,Carlos Martinez,593700,Ball,null,null
CU,Carlos Martinez,593700,Foul Bunt,null,null
CU,Carlos Martinez,593700,Foul,null,null
CU,Carlos Martinez,593700,Called Strike,null,null
FT,Carlos Martinez,593700,Called Strike,null,null
CH,Carlos Martinez,593700,Foul,null,null
FT,Carlos Martinez,518700,Ball,null,null
FT,Carlos Martinez,518700,"In play, out(s)",57.3,-52.9
CU,Carlos Martinez,518700,Swinging Strike,null,null
CU,Carlos Martinez,605137,Foul,null,null
CU,Carlos Martinez,605137,Ball,null,null
FF,Carlos Martinez,605137,Swinging Strike,null,null
FF,Carlos Martinez,605137,Foul,null,null
CH,Carlos Martinez,605137,Swinging Strike (Blocked),null,null
FF,Carlos Martinez,570256,Ball,null,null
FF,Carlos Martinez,570256,Ball,null,null
FF,Carlos Martinez,570256,Ball,null,null
CU,Carlos Martinez,570256,Called Strike,null,null
FF,Carlos Martinez,570256,Ball,null,null
CU,Carlos Martinez,628356,Called Strike,null,null
FT,Carlos Martinez,628356,Called Strike,null,null
CH,Carlos Martinez,628356,Swinging Strike,null,null
FT,Carlos Martinez,446481,Called Strike,null,null
FT,Carlos Martinez,446481,"In play, out(s)",75.2,-4.02
FT,Carlos Martinez,446481,Ball,null,null
FT,Carlos Martinez,593700,Ball,null,null
FT,Carlos Martinez,593700,Foul,null,null
CH,Carlos Martinez,593700,"In play, no out",88.7,-7.01
FT,Carlos Martinez,518700,Ball,null,null
FT,Carlos Martinez,518700,Foul,null,null
CH,Carlos Martinez,518700,Swinging Strike,null,null
CU,Carlos Martinez,518700,Called Strike,null,null
CU,Carlos Martinez,459964,Ball,null,null
CH,Carlos Martinez,459964,Ball,null,null
FF,Carlos Martinez,459964,Called Strike,null,null
CH,Carlos Martinez,459964,"In play, out(s)",80.3,32.01
FF,Carlos Martinez,607192,"In play, out(s)",null,null
CH,Carlos Martinez,444379,Foul,null,null
CU,Carlos Martinez,444379,Foul,null,null
CU,Carlos Martinez,444379,"In play, out(s)",65.7,-15.35
CH,Carlos Martinez,444379,Ball,null,null
CU,Carlos Martinez,628356,Ball,null,null
CU,Carlos Martinez,628356,Foul,null,null
CU,Carlos Martinez,628356,Called Strike,null,null
FT,Carlos Martinez,628356,Ball,null,null
CU,Carlos Martinez,628356,"In play, out(s)",null,null
FT,Carlos Martinez,570256,"In play, no out",103.3,12.04
FT,Carlos Martinez,457705,Foul,null,null
FT,Carlos Martinez,457705,Foul,null,null
CU,Carlos Martinez,457705,"In play, no out",76,14.28
CU,Carlos Martinez,457705,Ball,null,null
CU,Carlos Martinez,451594,Called Strike,null,null
FF,Carlos Martinez,451594,Ball,null,null
FF,Carlos Martinez,451594,Ball,null,null
FF,Carlos Martinez,451594,Ball,null,null
FT,Carlos Martinez,451594,Ball,null,null
FF,Carlos Martinez,519203,Ball,null,null
FT,Carlos Martinez,519203,Foul,null,null
FF,Carlos Martinez,519203,Ball,null,null
FF,Carlos Martinez,519203,Ball,null,null
FF,Carlos Martinez,519203,"In play, out(s)",68.2,50.01
FT,Carlos Martinez,450314,Ball,null,null
FF,Carlos Martinez,450314,"In play, no out",102.3,1.64
FT,Carlos Martinez,450314,Ball,null,null
CH,Carlos Martinez,450314,Called Strike,null,null
FT,Carlos Martinez,608365,"In play, out(s)",72.7,-25.99
FF,Carlos Martinez,608365,Called Strike,null,null
CU,Carlos Martinez,518792,Ball,null,null
