pitch_type,player_name,batter,description,hit_speed,hit_angle
FT,Carlos Rodon,572821,Ball,null,null
FF,Carlos Rodon,572821,Ball,null,null
FT,Carlos Rodon,572821,Foul,null,null
FT,Carlos Rodon,572821,Called Strike,null,null
SL,Carlos Rodon,572821,Ball,null,null
SL,Carlos Rodon,572821,Swinging Strike,null,null
FT,Carlos Rodon,593871,Called Strike,null,null
FT,Carlos Rodon,593871,Ball,null,null
SL,Carlos Rodon,593871,Swinging Strike,null,null
FF,Carlos Rodon,593871,Ball,null,null
FT,Carlos Rodon,593871,Foul,null,null
CH,Carlos Rodon,543257,Ball,null,null
SL,Carlos Rodon,543257,Ball,null,null
SL,Carlos Rodon,543257,Called Strike,null,null
FT,Carlos Rodon,543257,Foul Tip,null,null
FF,Carlos Rodon,543257,Ball,null,null
SL,Carlos Rodon,543257,Called Strike,null,null
FT,Carlos Rodon,593934,Ball,null,null
FF,Carlos Rodon,593934,Called Strike,null,null
FT,Carlos Rodon,593934,Foul,null,null
SL,Carlos Rodon,593934,Swinging Strike,null,null
SL,Carlos Rodon,573627,Ball,null,null
FT,Carlos Rodon,573627,Called Strike,null,null
CH,Carlos Rodon,573627,Swinging Strike,null,null
CH,Carlos Rodon,573627,Foul,null,null
FF,Carlos Rodon,500871,Swinging Strike,null,null
FF,Carlos Rodon,500871,Ball,null,null
SL,Carlos Rodon,500871,Swinging Strike (Blocked),null,null
FT,Carlos Rodon,500871,Foul,null,null
FF,Carlos Rodon,500871,Ball,null,null
FF,Carlos Rodon,571974,Called Strike,null,null
FF,Carlos Rodon,571974,Foul,null,null
FF,Carlos Rodon,571974,Called Strike,null,null
FF,Carlos Rodon,502582,"In play, no out",95.5,12.34
SL,Carlos Rodon,502582,Swinging Strike,null,null
SL,Carlos Rodon,502582,Ball,null,null
FF,Carlos Rodon,621439,Foul,null,null
SL,Carlos Rodon,621439,Ball In Dirt,null,null
SL,Carlos Rodon,621439,Ball In Dirt,null,null
SL,Carlos Rodon,621439,Ball,null,null
FF,Carlos Rodon,621439,Ball,null,null
FF,Carlos Rodon,621439,Called Strike,null,null
CH,Carlos Rodon,572821,"In play, out(s)",92.3,-8.95
CH,Carlos Rodon,572821,Swinging Strike,null,null
CH,Carlos Rodon,593871,"In play, out(s)",78.2,26.21
FF,Carlos Rodon,593871,Called Strike,null,null
FF,Carlos Rodon,543257,"In play, out(s)",95.5,24.59
CH,Carlos Rodon,543257,Ball,null,null
FT,Carlos Rodon,593934,Called Strike,null,null
FF,Carlos Rodon,593934,Foul,null,null
SL,Carlos Rodon,593934,Swinging Strike,null,null
CH,Carlos Rodon,593934,Called Strike,null,null
FF,Carlos Rodon,573627,Called Strike,null,null
SL,Carlos Rodon,573627,Swinging Strike,null,null
FF,Carlos Rodon,573627,Ball,null,null
CH,Carlos Rodon,573627,Swinging Strike,null,null
FF,Carlos Rodon,500871,Foul,null,null
CH,Carlos Rodon,500871,Ball,null,null
FT,Carlos Rodon,500871,Called Strike,null,null
FF,Carlos Rodon,500871,Ball,null,null
FF,Carlos Rodon,500871,Foul Tip,null,null
FF,Carlos Rodon,571974,Foul,null,null
FF,Carlos Rodon,571974,"In play, out(s)",88.6,27.5
SL,Carlos Rodon,571974,Ball,null,null
FF,Carlos Rodon,502582,Ball,null,null
FF,Carlos Rodon,502582,Called Strike,null,null
