pitch_type,player_name,batter,description,hit_speed,hit_angle
CH,Danny Farquhar,592261,Swinging Strike,null,null
FF,Danny Farquhar,592261,Swinging Strike,null,null
FF,Danny Farquhar,592261,Called Strike,null,null
FF,Danny Farquhar,592261,Foul,null,null
FF,Danny Farquhar,607387,Called Strike,null,null
FF,Danny Farquhar,607387,Ball,null,null
FF,Danny Farquhar,607387,"In play, out(s)",83,53.7
CU,Danny Farquhar,607387,Ball,null,null
CH,Danny Farquhar,607387,Ball,null,null
CH,Danny Farquhar,519048,Foul,null,null
CH,Danny Farquhar,519048,Ball,null,null
CH,Danny Farquhar,519048,Swinging Strike (Blocked),null,null
CU,Danny Farquhar,519048,Ball,null,null
FF,Danny Farquhar,519048,Foul,null,null
CH,Danny Farquhar,595777,Swinging Strike,null,null
CH,Danny Farquhar,595777,Swinging Strike,null,null
CU,Danny Farquhar,595777,Called Strike,null,null
FF,Danny Farquhar,607345,Foul,null,null
CH,Danny Farquhar,607345,Foul Tip,null,null
CU,Danny Farquhar,607345,Ball,null,null
CH,Danny Farquhar,607345,Swinging Strike,null,null
FF,Danny Farquhar,641313,"In play, no out",104.7,12.1
CU,Danny Farquhar,641313,Ball,null,null
CH,Danny Farquhar,544725,Ball In Dirt,null,null
FF,Danny Farquhar,544725,Swinging Strike,null,null
FF,Danny Farquhar,544725,Hit By Pitch,null,null
CU,Danny Farquhar,544725,Swinging Strike (Blocked),null,null
CH,Danny Farquhar,544725,Ball In Dirt,null,null
FF,Danny Farquhar,547989,"In play, out(s)",78.3,55.37
CH,Danny Farquhar,466320,"In play, out(s)",null,null
FF,Danny Farquhar,466320,Called Strike,null,null
CU,Danny Farquhar,506702,Ball,null,null
FF,Danny Farquhar,506702,Called Strike,null,null
CH,Danny Farquhar,506702,"In play, out(s)",80.5,-45.78
CH,Danny Farquhar,456030,Foul,null,null
CH,Danny Farquhar,456030,Ball,null,null
CH,Danny Farquhar,456030,Foul,null,null
FF,Danny Farquhar,456030,Ball,null,null
CH,Danny Farquhar,456030,"In play, run(s)",98.6,26.83
CU,Danny Farquhar,456030,Called Strike,null,null
CH,Danny Farquhar,456030,Foul,null,null
CH,Danny Farquhar,456030,Foul,null,null
CH,Danny Farquhar,593428,Swinging Strike (Blocked),null,null
CU,Danny Farquhar,593428,Ball,null,null
FF,Danny Farquhar,593428,Foul,null,null
CH,Danny Farquhar,593428,Swinging Strike,null,null
CU,Danny Farquhar,434670,"In play, out(s)",45.2,-40.96
CU,Danny Farquhar,605141,Called Strike,null,null
FF,Danny Farquhar,605141,Ball,null,null
FF,Danny Farquhar,605141,Ball,null,null
FF,Danny Farquhar,605141,Ball,null,null
FC,Danny Farquhar,605141,Ball,null,null
FF,Danny Farquhar,543768,Ball,null,null
FC,Danny Farquhar,543768,Called Strike,null,null
CH,Danny Farquhar,543768,Ball,null,null
FC,Danny Farquhar,543768,Foul,null,null
CH,Danny Farquhar,543768,"In play, out(s)",null,null
IN,Danny Farquhar,598265,Intent Ball,null,null
IN,Danny Farquhar,598265,Intent Ball,null,null
IN,Danny Farquhar,598265,Intent Ball,null,null
IN,Danny Farquhar,598265,Intent Ball,null,null
CH,Danny Farquhar,643217,Ball,null,null
CH,Danny Farquhar,643217,Ball,null,null
FF,Danny Farquhar,643217,Foul,null,null
CH,Danny Farquhar,643217,Ball,null,null
FF,Danny Farquhar,643217,Foul,null,null
CH,Danny Farquhar,643217,Ball,null,null
FF,Danny Farquhar,571788,Ball,null,null
FF,Danny Farquhar,571788,"In play, out(s)",88.2,63.22
CU,Danny Farquhar,429666,Ball,null,null
FF,Danny Farquhar,429666,"In play, no out",106,0.29
CU,Danny Farquhar,476883,Ball,null,null
FF,Danny Farquhar,476883,Ball,null,null
FF,Danny Farquhar,476883,Ball,null,null
FF,Danny Farquhar,476883,Called Strike,null,null
FF,Danny Farquhar,476883,Foul,null,null
FF,Danny Farquhar,476883,Ball,null,null
CH,Danny Farquhar,430945,Foul,null,null
CH,Danny Farquhar,430945,Swinging Strike,null,null
FF,Danny Farquhar,430945,Swinging Strike,null,null
FF,Danny Farquhar,543376,Ball,null,null
FF,Danny Farquhar,543376,"In play, out(s)",null,null
null,Danny Farquhar,430945,Hit By Pitch,null,null
FF,Danny Farquhar,547957,"In play, run(s)",99.2,22.51
CH,Danny Farquhar,592518,Foul,null,null
FF,Danny Farquhar,592518,Foul,null,null
CH,Danny Farquhar,592518,Foul,null,null
CH,Danny Farquhar,592518,Swinging Strike,null,null
FF,Danny Farquhar,592518,Ball,null,null
CH,Danny Farquhar,592518,Ball In Dirt,null,null
FF,Danny Farquhar,592518,Swinging Strike,null,null
FF,Danny Farquhar,592518,Foul,null,null
CH,Danny Farquhar,448801,Ball In Dirt,null,null
CH,Danny Farquhar,448801,Foul,null,null
CH,Danny Farquhar,448801,Foul,null,null
FF,Danny Farquhar,448801,Foul,null,null
CH,Danny Farquhar,448801,Swinging Strike,null,null
CH,Danny Farquhar,448801,Ball In Dirt,null,null
FF,Danny Farquhar,448801,Foul,null,null
CH,Danny Farquhar,448801,Swinging Strike (Blocked),null,null
FF,Danny Farquhar,456422,"In play, run(s)",null,null
FF,Danny Farquhar,456422,Ball,null,null
CU,Danny Farquhar,429666,Called Strike,null,null
FF,Danny Farquhar,429666,"In play, run(s)",71.3,-21.37
CU,Danny Farquhar,429666,Ball,null,null
CH,Danny Farquhar,475247,Ball,null,null
FF,Danny Farquhar,475247,Foul,null,null
CH,Danny Farquhar,475247,Ball,null,null
FF,Danny Farquhar,475247,Foul,null,null
CH,Danny Farquhar,475247,Ball,null,null
FF,Danny Farquhar,475247,"In play, out(s)",97.2,-4.5
FF,Danny Farquhar,425900,Ball In Dirt,null,null
