pitch_type,player_name,batter
CH,Danny Farquhar,592261
FF,Danny Farquhar,592261
FF,Danny Farquhar,592261
FF,Danny Farquhar,592261
FC,Andrew Bailey,643603
FF,Andrew Bailey,643603
FF,Andrew Bailey,643603
FF,Andrew Bailey,643603
FF,Andrew Bailey,643603
FC,Andrew Bailey,643603
CU,Andrew Bailey,643603
FF,Andrew Bailey,503556
CU,Andrew Bailey,607223
FC,Andrew Bailey,607223
FF,Andrew Bailey,607223
FF,Andrew Bailey,607223
FF,Andrew Bailey,607223
FF,Andrew Bailey,545358
CH,Pedro Baez,543063
FT,Pedro Baez,543063
FF,Pedro Baez,543063
FF,Pedro Baez,543063
FF,Pedro Baez,605412
FT,Pedro Baez,605412
CH,Pedro Baez,605412
FF,Pedro Baez,543216
FF,Pedro Baez,543216
FF,Pedro Baez,543216
CH,Pedro Baez,543216
FF,Pedro Baez,543216
FF,Pedro Baez,519043
FF,Pedro Baez,519043
FF,Pedro Baez,519043
FF,Pedro Baez,519043
FF,Pedro Baez,519043
FT,Jose Berrios,594809
FT,Jose Berrios,641313
CU,Jose Berrios,641313
FT,Jose Berrios,641313
FF,Jose Berrios,641313
CU,Jose Berrios,641313
FT,Jose Berrios,547989
FT,Jose Berrios,547989
CH,Jose Berrios,408047
FT,Jose Berrios,408047
FT,Jose Berrios,408047
CU,Jose Berrios,408047
FT,Jose Berrios,408047
CH,Jose Berrios,408047
CU,Jose Berrios,453943
FT,Jose Berrios,453943
FT,Jose Berrios,488671
FT,Jose Berrios,488671
FT,Jose Berrios,488671
FT,Jose Berrios,488671
CU,Jose Berrios,488671
FF,Jose Berrios,488671
FT,Jose Berrios,570560
CU,Jose Berrios,570560
CH,Jose Berrios,570560
FT,Jose Berrios,570560
CU,Matt Barnes,581527
CU,Matt Barnes,581527
CH,Jose Berrios,543776
FT,Jose Berrios,543776
CU,Jose Berrios,543776
FT,Jose Berrios,543776
FT,Jose Berrios,543776
FT,Jose Berrios,543776
CU,Jose Berrios,543776
CU,Jose Berrios,594809
FT,Jose Berrios,594809
CU,Jose Berrios,594809
FT,Jose Berrios,594809
FT,Jose Berrios,641313
FT,Jose Berrios,466320
FT,Jose Berrios,466320
CH,Jose Berrios,466320
FT,Jose Berrios,466320
FT,Jose Berrios,547989
FT,Jose Berrios,547989
CU,Jose Berrios,547989
FT,Jose Berrios,547989
CH,Jose Berrios,488671
FT,Jose Berrios,488671
CH,Jose Berrios,488671
FT,Jose Berrios,488671
FT,Jose Berrios,543776
FT,Jose Berrios,543776
FT,Jose Berrios,543776
CH,Jose Berrios,543776
FT,Jose Berrios,594809
CH,Jose Berrios,641313
CH,Jose Berrios,641313
