pitch_type,player_name,batter,description,hit_speed,hit_angle
FF,Heath Hembree,429665,"In play, out(s)",95.1,-5.65
FF,Heath Hembree,429665,Foul,null,null
SL,Heath Hembree,430832,Foul,null,null
CU,Heath Hembree,430832,Ball,null,null
SL,Heath Hembree,430832,Swinging Strike,null,null
FF,Heath Hembree,430832,Swinging Strike,null,null
SL,Heath Hembree,430832,Foul,null,null
FF,Heath Hembree,430832,Foul,null,null
SL,Heath Hembree,430832,Ball,null,null
SL,Heath Hembree,430832,"In play, out(s)",63.1,-47.83
SL,Heath Hembree,453064,"In play, out(s)",105.7,15.58
CU,Heath Hembree,453064,Called Strike,null,null
SL,Heath Hembree,431145,"In play, no out",86,16.23
SL,Heath Hembree,516770,"In play, no out",92.6,10.78
CU,Heath Hembree,516770,Ball,null,null
FF,Heath Hembree,544369,"In play, out(s)",71.9,39.93
FF,Heath Hembree,544369,Ball,null,null
SL,Heath Hembree,452104,Ball,null,null
SL,Heath Hembree,452104,Ball,null,null
CU,Heath Hembree,452104,Ball,null,null
FF,Heath Hembree,452104,Ball,null,null
FF,Heath Hembree,452104,Called Strike,null,null
SL,Heath Hembree,596142,Ball,null,null
FF,Heath Hembree,596142,Called Strike,null,null
SL,Heath Hembree,596142,"In play, out(s)",78.6,57.34
SL,Heath Hembree,543484,Foul,null,null
SL,Heath Hembree,543484,Ball,null,null
FF,Heath Hembree,543484,Called Strike,null,null
SL,Heath Hembree,543484,Ball,null,null
FF,Heath Hembree,543484,Foul,null,null
FF,Heath Hembree,572816,Called Strike,null,null
FF,Heath Hembree,572816,Swinging Strike,null,null
FF,Heath Hembree,572816,Called Strike,null,null
FF,Heath Hembree,572816,Foul,null,null
FF,Heath Hembree,592200,Ball,null,null
FF,Heath Hembree,592200,Ball,null,null
FF,Heath Hembree,592200,Ball,null,null
SL,Heath Hembree,592200,Called Strike,null,null
SL,Heath Hembree,592200,Swinging Strike,null,null
FF,Heath Hembree,592200,Swinging Strike,null,null
SL,Heath Hembree,571912,Called Strike,null,null
CU,Heath Hembree,571912,Swinging Strike,null,null
FF,Heath Hembree,571912,Swinging Strike,null,null
CU,Heath Hembree,572128,Ball,null,null
FF,Heath Hembree,572128,Foul,null,null
FF,Heath Hembree,572128,Foul,null,null
FF,Heath Hembree,572128,Called Strike,null,null
SL,Heath Hembree,572128,Swinging Strike,null,null
CU,Heath Hembree,572128,Swinging Strike,null,null
FF,Heath Hembree,596142,Called Strike,null,null
CU,Heath Hembree,596142,Ball In Dirt,null,null
