pitch_type,player_name,batter,description,hit_speed,hit_angle
SI,Jeanmar Gomez,607054,Ball,null,null
SI,Jeanmar Gomez,607054,"In play, run(s)",80.6,10.49
SI,Jeanmar Gomez,607054,Ball,null,null
SL,Jeanmar Gomez,621020,Ball,null,null
SI,Jeanmar Gomez,621020,Foul,null,null
SI,Jeanmar Gomez,621020,Called Strike,null,null
CH,Jeanmar Gomez,621020,Called Strike,null,null
SI,Jeanmar Gomez,621020,Foul,null,null
SL,Jeanmar Gomez,621020,Ball,null,null
SI,Jeanmar Gomez,621020,Ball,null,null
SI,Jeanmar Gomez,621020,Ball,null,null
SI,Jeanmar Gomez,518692,Swinging Strike,null,null
SI,Jeanmar Gomez,518692,Ball,null,null
SI,Jeanmar Gomez,518692,Swinging Strike,null,null
SL,Jeanmar Gomez,518692,Ball,null,null
SI,Jeanmar Gomez,518692,Foul,null,null
SI,Jeanmar Gomez,461314,"In play, run(s)",102.9,25.18
SI,Jeanmar Gomez,461314,Ball,null,null
IN,Jeanmar Gomez,455976,Intent Ball,null,null
IN,Jeanmar Gomez,455976,Intent Ball,null,null
IN,Jeanmar Gomez,455976,Intent Ball,null,null
IN,Jeanmar Gomez,455976,Intent Ball,null,null
SI,Jeanmar Gomez,489232,Hit By Pitch,null,null
SI,Jeanmar Gomez,489232,Foul,null,null
CH,Jeanmar Gomez,547004,"In play, run(s)",80.2,-40.39
CH,Jeanmar Gomez,547004,Ball,null,null
SI,Jeanmar Gomez,547004,"In play, no out",105.6,20.14
SI,Jeanmar Gomez,547004,Ball,null,null
CH,Jeanmar Gomez,466988,"In play, run(s)",87.9,-14.8
SI,Jeanmar Gomez,461314,"In play, out(s)",80.7,-3.74
CH,Jeanmar Gomez,452095,Ball,null,null
SI,Jeanmar Gomez,452095,"In play, out(s)",100.5,-1.62
SI,Jeanmar Gomez,452095,Ball,null,null
SI,Jeanmar Gomez,457803,Foul,null,null
SI,Jeanmar Gomez,457803,Ball,null,null
SI,Jeanmar Gomez,457803,Swinging Strike,null,null
SL,Jeanmar Gomez,457803,Called Strike,null,null
CH,Jeanmar Gomez,457803,Foul,null,null
SI,Jeanmar Gomez,457803,Ball,null,null
SL,Jeanmar Gomez,457803,Foul,null,null
CH,Jeanmar Gomez,457803,Foul,null,null
SI,Jeanmar Gomez,408314,Ball,null,null
SI,Jeanmar Gomez,408314,Foul,null,null
CH,Jeanmar Gomez,408314,"In play, run(s)",103.2,23.04
SI,Jeanmar Gomez,408314,Ball,null,null
CH,Jeanmar Gomez,607043,Ball,null,null
CH,Jeanmar Gomez,607043,"In play, no out",83,16
SI,Jeanmar Gomez,607043,Called Strike,null,null
CH,Jeanmar Gomez,453943,Called Strike,null,null
SI,Jeanmar Gomez,453943,Ball,null,null
SI,Jeanmar Gomez,453943,Foul,null,null
SI,Jeanmar Gomez,453943,Foul,null,null
SI,Jeanmar Gomez,453943,Ball,null,null
SI,Jeanmar Gomez,453943,Ball,null,null
SI,Jeanmar Gomez,453943,"In play, no out",93.7,12.16
SI,Jeanmar Gomez,553882,"In play, out(s)",89.3,23.95
SI,Jeanmar Gomez,544725,"In play, no out",99.1,3.77
CH,Jeanmar Gomez,408047,Foul,null,null
SI,Jeanmar Gomez,408047,Ball In Dirt,null,null
CH,Jeanmar Gomez,408047,Ball,null,null
CH,Jeanmar Gomez,408047,Swinging Strike,null,null
CH,Jeanmar Gomez,408047,Ball In Dirt,null,null
SI,Jeanmar Gomez,408047,Ball,null,null
SI,Jeanmar Gomez,594809,"In play, run(s)",100.2,16.83
SI,Jeanmar Gomez,594809,Swinging Strike,null,null
CH,Jeanmar Gomez,573135,Foul,null,null
CH,Jeanmar Gomez,573135,Foul,null,null
SI,Jeanmar Gomez,573135,"In play, out(s)",null,null
SI,Jeanmar Gomez,573135,Called Strike,null,null
SI,Jeanmar Gomez,573135,Ball,null,null
CH,Jeanmar Gomez,459964,Swinging Strike,null,null
SI,Jeanmar Gomez,459964,Ball,null,null
SI,Jeanmar Gomez,459964,Swinging Strike,null,null
SI,Jeanmar Gomez,459964,Ball,null,null
SI,Jeanmar Gomez,459964,Ball,null,null
SI,Jeanmar Gomez,459964,"In play, out(s)",102,7.79
SI,Jeanmar Gomez,595386,Ball,null,null
SI,Jeanmar Gomez,595386,Ball,null,null
SI,Jeanmar Gomez,595386,Called Strike,null,null
SI,Jeanmar Gomez,595386,Called Strike,null,null
SI,Jeanmar Gomez,595386,Swinging Strike,null,null
SI,Jeanmar Gomez,465041,Called Strike,null,null
SI,Jeanmar Gomez,465041,Swinging Strike,null,null
SL,Jeanmar Gomez,465041,Ball,null,null
SL,Jeanmar Gomez,465041,Ball,null,null
SI,Jeanmar Gomez,465041,Ball,null,null
SI,Jeanmar Gomez,465041,Ball,null,null
SI,Jeanmar Gomez,446481,Ball,null,null
SI,Jeanmar Gomez,446481,Foul,null,null
SI,Jeanmar Gomez,446481,Called Strike,null,null
SL,Jeanmar Gomez,446481,Ball,null,null
FF,Jeanmar Gomez,446481,"In play, run(s)",103.2,20.36
CH,Jeanmar Gomez,474568,"In play, no out",91.5,16.17
SL,Jeanmar Gomez,474568,Foul Bunt,null,null
CH,Jeanmar Gomez,570256,Swinging Strike,null,null
SI,Jeanmar Gomez,570256,Called Strike,null,null
SI,Jeanmar Gomez,570256,Foul,null,null
SI,Jeanmar Gomez,628356,Ball,null,null
SI,Jeanmar Gomez,628356,Called Strike,null,null
SI,Jeanmar Gomez,628356,Foul,null,null
SL,Jeanmar Gomez,628356,Ball,null,null
CH,Jeanmar Gomez,628356,"In play, no out",49.8,-61.55
CH,Jeanmar Gomez,465041,Ball,null,null
CH,Jeanmar Gomez,465041,"In play, out(s)",91.6,0.68
SI,Jeanmar Gomez,465041,Called Strike,null,null
SI,Jeanmar Gomez,465041,Called Strike,null,null
SL,Jeanmar Gomez,446481,Swinging Strike,null,null
CH,Jeanmar Gomez,446481,"In play, run(s)",100.3,14.19
SL,Jeanmar Gomez,446481,Swinging Strike,null,null
SL,Jeanmar Gomez,446481,Ball,null,null
SI,Jeanmar Gomez,474568,Ball,null,null
SI,Jeanmar Gomez,474568,"In play, out(s)",93.1,33.12
SI,Jeanmar Gomez,474568,Ball,null,null
SI,Jeanmar Gomez,543685,Called Strike,null,null
SI,Jeanmar Gomez,543685,Foul,null,null
SI,Jeanmar Gomez,543685,Ball,null,null
SI,Jeanmar Gomez,543685,Foul,null,null
SL,Jeanmar Gomez,543685,Swinging Strike,null,null
SI,Jeanmar Gomez,475582,Ball,null,null
SI,Jeanmar Gomez,475582,Called Strike,null,null
SI,Jeanmar Gomez,475582,"In play, no out",null,null
CH,Jeanmar Gomez,467092,Swinging Strike,null,null
SI,Jeanmar Gomez,467092,Called Strike,null,null
SL,Jeanmar Gomez,467092,Ball,null,null
SI,Jeanmar Gomez,467092,Ball,null,null
CH,Jeanmar Gomez,467092,Ball,null,null
SI,Jeanmar Gomez,467092,Swinging Strike,null,null
CH,Jeanmar Gomez,519208,Ball,null,null
SI,Jeanmar Gomez,519208,"In play, out(s)",82.9,55.99
SL,Jeanmar Gomez,519208,Called Strike,null,null
SI,Jeanmar Gomez,592663,Called Strike,null,null
SI,Jeanmar Gomez,592663,Ball,null,null
SI,Jeanmar Gomez,592663,Swinging Strike,null,null
CH,Jeanmar Gomez,592663,Swinging Strike,null,null
CH,Jeanmar Gomez,518618,Ball,null,null
CH,Jeanmar Gomez,518618,Ball,null,null
SI,Jeanmar Gomez,518618,Ball,null,null
CU,Jeanmar Gomez,518618,Foul,null,null
SI,Jeanmar Gomez,518618,Ball,null,null
SI,Jeanmar Gomez,588751,Ball,null,null
SI,Jeanmar Gomez,588751,Foul,null,null
SI,Jeanmar Gomez,588751,"In play, no out",61.7,-25.17
SI,Jeanmar Gomez,588751,Called Strike,null,null
SI,Jeanmar Gomez,588751,Ball,null,null
SI,Jeanmar Gomez,400085,Swinging Strike,null,null
SI,Jeanmar Gomez,400085,Foul,null,null
SI,Jeanmar Gomez,400085,Ball,null,null
SI,Jeanmar Gomez,400085,"In play, out(s)",81.3,25.67
SI,Jeanmar Gomez,543829,Called Strike,null,null
SI,Jeanmar Gomez,543829,Called Strike,null,null
SI,Jeanmar Gomez,543829,Ball,null,null
SI,Jeanmar Gomez,543829,Ball,null,null
SI,Jeanmar Gomez,543829,Foul,null,null
CH,Jeanmar Gomez,453400,Swinging Strike,null,null
SI,Jeanmar Gomez,453400,Ball,null,null
CH,Jeanmar Gomez,453400,Swinging Strike,null,null
SI,Jeanmar Gomez,453400,Called Strike,null,null
CH,Jeanmar Gomez,453400,Ball,null,null
SI,Jeanmar Gomez,592663,Called Strike,null,null
SI,Jeanmar Gomez,592663,Ball,null,null
CH,Jeanmar Gomez,592663,Ball,null,null
CH,Jeanmar Gomez,592663,Foul,null,null
SI,Jeanmar Gomez,592663,Called Strike,null,null
CH,Jeanmar Gomez,592663,Foul,null,null
SI,Jeanmar Gomez,592663,Foul,null,null
SI,Jeanmar Gomez,592663,"In play, out(s)",null,null
CH,Jeanmar Gomez,592885,Ball,null,null
SI,Jeanmar Gomez,592885,Foul,null,null
SI,Jeanmar Gomez,592885,"In play, out(s)",99.1,0.1
SI,Jeanmar Gomez,592885,Called Strike,null,null
CH,Jeanmar Gomez,592885,Called Strike,null,null
SI,Jeanmar Gomez,452095,"In play, out(s)",null,null
SI,Jeanmar Gomez,607054,Called Strike,null,null
SL,Jeanmar Gomez,607054,"In play, no out",null,null
CU,Jeanmar Gomez,607054,Called Strike,null,null
CH,Jeanmar Gomez,607054,Ball,null,null
SI,Jeanmar Gomez,621020,Ball,null,null
SI,Jeanmar Gomez,621020,"In play, out(s)",null,null
SI,Jeanmar Gomez,621020,Called Strike,null,null
SI,Jeanmar Gomez,621020,Called Strike,null,null
SI,Jeanmar Gomez,493596,Called Strike,null,null
SL,Jeanmar Gomez,493596,"In play, no out",null,null
SL,Jeanmar Gomez,493596,Swinging Strike,null,null
SL,Jeanmar Gomez,493596,Ball,null,null
CH,Jeanmar Gomez,542255,"In play, out(s)",null,null
CH,Jeanmar Gomez,542255,Ball,null,null
SI,Jeanmar Gomez,542255,Foul,null,null
SI,Jeanmar Gomez,611177,"In play, no out",99.9,1.7
SI,Jeanmar Gomez,611177,Called Strike,null,null
SI,Jeanmar Gomez,518692,Foul,null,null
SI,Jeanmar Gomez,518692,"In play, run(s)",72.2,24.45
SI,Jeanmar Gomez,518692,Ball,null,null
SI,Jeanmar Gomez,518692,Foul,null,null
SI,Jeanmar Gomez,518692,Ball,null,null
SI,Jeanmar Gomez,461314,Called Strike,null,null
CH,Jeanmar Gomez,461314,Foul,null,null
SI,Jeanmar Gomez,461314,Ball,null,null
SI,Jeanmar Gomez,461314,"In play, run(s)",84.9,1.8
CH,Jeanmar Gomez,542255,Called Strike,null,null
SI,Jeanmar Gomez,542255,"In play, no out",83.6,20.34
SI,Jeanmar Gomez,542255,Ball,null,null
SI,Jeanmar Gomez,542255,Ball,null,null
SI,Jeanmar Gomez,543685,Called Strike,null,null
CU,Jeanmar Gomez,543685,Called Strike,null,null
SI,Jeanmar Gomez,543685,Foul,null,null
SI,Jeanmar Gomez,543685,Foul,null,null
CU,Jeanmar Gomez,543685,Ball,null,null
CH,Jeanmar Gomez,543685,"In play, no out",null,null
SI,Jeanmar Gomez,467092,Called Strike,null,null
SI,Jeanmar Gomez,467092,Ball,null,null
CH,Jeanmar Gomez,467092,Foul,null,null
SI,Jeanmar Gomez,467092,Ball,null,null
SI,Jeanmar Gomez,467092,"In play, out(s)",57.5,0.97
SI,Jeanmar Gomez,475582,Ball,null,null
CU,Jeanmar Gomez,475582,Ball,null,null
SI,Jeanmar Gomez,475582,Called Strike,null,null
SI,Jeanmar Gomez,475582,Called Strike,null,null
SI,Jeanmar Gomez,475582,Swinging Strike,null,null
SI,Jeanmar Gomez,518595,Ball,null,null
SI,Jeanmar Gomez,518595,Called Strike,null,null
SI,Jeanmar Gomez,518595,Ball,null,null
SI,Jeanmar Gomez,518595,Ball,null,null
SI,Jeanmar Gomez,518595,"In play, out(s)",95,32.29
SI,Jeanmar Gomez,608061,Ball,null,null
SI,Jeanmar Gomez,608061,Ball,null,null
SI,Jeanmar Gomez,608061,"In play, out(s)",73.5,-17.37
SL,Jeanmar Gomez,608061,Ball,null,null
SI,Jeanmar Gomez,608061,Called Strike,null,null
SI,Jeanmar Gomez,608061,Called Strike,null,null
SI,Jeanmar Gomez,425784,Called Strike,null,null
CH,Jeanmar Gomez,425784,Ball,null,null
SI,Jeanmar Gomez,425784,Ball,null,null
SI,Jeanmar Gomez,425784,Called Strike,null,null
SI,Jeanmar Gomez,425784,Ball,null,null
SI,Jeanmar Gomez,425784,"In play, out(s)",58.8,11.12
CH,Jeanmar Gomez,466320,"In play, out(s)",94.2,25.69
SI,Jeanmar Gomez,466320,Called Strike,null,null
SI,Jeanmar Gomez,466320,Ball,null,null
SI,Jeanmar Gomez,547989,"In play, no out",104.3,3.6
SI,Jeanmar Gomez,547989,Ball,null,null
